# colors_mcd18.0_mld4.2_nc8_cvd100_minj40_maxj82_ns10000_f
# Python 3.6.9 (default, Jan 26 2021, 15:33:00) [GCC 8.4.0]
# NumPy 1.19.5, Numba 0.53.1, Joblib 1.0.1
0049f9 43bfff 5c80e7 707181 93513c 98a1af d96c21 ddb285
2eadfe 5c6bdc 6e5d7e 8f8e94 9bc8d3 a4123e d0a382 ee2224
2eaf82 557788 743dae 9b7417 a561fb adc955 ba0657 d593c7
2eb5f0 426c87 8c9297 983231 9c4af7 ac7a2b c5c4c6 dbab76
2eb7f9 5c50fc 7d6aa9 983958 b1c9d1 c47473 c6ba18 ef1a04
2eb8f6 663ffe 864702 8d58a4 9193a1 b4cbbe cab450 cb6360
2ebb9b 4338fe 596d58 846ef1 8b678e b2b4e8 dc6d1a ebbd0e
2ebc93 413ffb 65685a a94e98 afc3e2 b178fe d54806 d8a832
2ebce6 5d73ef 616d33 8b9c5e 942579 9dc2bb bc668f cfcb29
2ebef9 705f63 8c8fa3 a60c26 ac3dbd b4ce22 cf8d7e e04805
2ec182 538437 655b66 8f15ff 978fa2 b85bd6 c7b8f7 ff9611
2ec1f5 4e6e2d 77b33f 7c43ff 9469b4 a0006c c06a7c e9aeab
2ec2e0 4f7afe 71564e aa8598 b43fa3 c30704 edb88b fe6d04
2ec3ff 59569f 5fa578 88738a 926dfe 9d4f1f c1a01b c6bfc8
2ec476 572afd 67745c 824f86 8d79fc a88ea4 bab0f2 d54604
2ec48d 3960da 505a74 779098 ac5907 b386e7 c4c1e5 d5b00b
2eccfa 4d88f2 856467 8b96a4 9a1597 a6cfc4 cb4603 cf9d76
2ecdde 4e9496 6f58c1 8b4712 a381fe a8cfb8 bd9c61 d02f68
2ecde7 68765c 744691 8667fa b72702 bacd85 c1779e ff6607
2ecef3 398f94 607e15 76be0c 83525c a69373 cac3c1 d241e9
2ecfc1 5b576d 624aef 888ec9 918189 b54448 b5cc7c fd6400
2ed2f6 6357fd 656366 8a2b92 907fc9 94c026 b08c9c bc5c16
2ed4a1 436250 52918f 8aa235 9c4804 9d54ce b4c8e3 c18cfe
2ed56d 555e4c 73908e 9132fe 93418f ae80dc c25208 fba5ce
2ed56d 6519fa 8c8f99 9155a6 b32342 ba6d04 cbc0c4 d06efd
2ed798 5981ab 785f1e 7a18d8 a3a4ff b48a41 c22173 eebc20
2ed9e4 687b14 6e35cc 7b7bd6 9a445c a4ac78 b27e97 f69a01
2ed9fd 469bdb 6f4bc5 7a4a46 847485 ba3f0d d99ba8 f2741a
2eda70 4a7a83 869d88 8c37ca 8f3750 bc8ff7 dc3a3a f4aec7
2edc7e 696160 8342f2 93948f a41619 b2559d dd84f1 e04e2a
2eddf4 6b860e 7691e7 8733ff 9b2190 a2c519 cb9b8f d64d95
2eddf9 6a8405 8193f5 883fe7 97b53a a72859 c7609e e8a1a8
2ee0ad 4994ff 5f5ab2 774b52 aaafd3 ae6d8d d3191b fa714d
2ee1a5 4b5d83 885945 8f9fe4 989098 a23bfa cb5d03 f89740
2ee1cb 3c66f8 57a38d 7b5487 8a4113 ae94e7 ba6e40 c2b425
2ee2a8 6b676a 769a7b 814cff a22724 a966af cca3cd e68017
2ee3c2 585e34 7459d4 92a9cb a67810 b00d77 e2a547 e7588a
2ee3cb 6157e2 72af83 7f4360 a37da1 ba4e0b c5abfb fc8521
2ee4a2 555e5b 6d7dfe 9c8f85 a4559e adb7d2 b9240b da870e
2ee59d 597292 861cf6 909787 9d1e5d d582ec e73f0d ff9c0e
2ee5a2 2f767b 6e2ee8 79a098 a06cfb ae6d42 cfa3fb fb8703
2ee5af 4f6a62 5da58e 8b6b2c 8e5cf3 941b86 a0c141 cc84d1
2ee646 6c5264 878483 9ebca4 a710a7 cc0e32 d08fc7 ec19fe
2ee69b 3a7e6e 9253fa 993b19 9cb1b4 a370ae e399fd ed7c2a
2eea13 425f7a 56949f 777064 b1b2f0 ba32ef bb1612 cd9b88
2f43f3 467d70 7a5197 987bff 9dbea5 ab94b8 b27629 eeb64b
2f47eb 478f00 815657 abb1b4 b92f8d c966e0 dfbb21 f96c73
2f4be1 49c8f9 665e8a 6b7fec 886763 9da288 c67c06 dec056
2f4bfe 609279 7cdd91 817295 afb0cb c40330 c57bfd e4661b
2f53fd 54c7ba 7568a7 a4181e ad95f6 b46169 deba69 f83323
2f5aed 7c9317 828df8 91d1ec 946661 991e74 a1c92f c19785
2f5c9b 7685a6 7b5860 7cc2f3 b3817e c14328 c7c3c3 f58702
2f5dbd 5e745c 927093 96c68f a181ff bf9fcb cc6d1d fdb411
2f5de3 61802b 64cccb 9a088a 9a95ea a9d722 d63f87 dd9780
2f6374 5fd190 779488 944ada a44345 c1c5d6 cc90f6 f86230
2f6463 4dd7e4 717438 8ebf60 907ffd 9905dc c2939f d044a1
2f657c 71d338 9f3edd a19cc3 b32e47 c47b84 f30402 f6afb5
2f65cf 70adff 961d7b a7d613 af89aa bc7000 ce0c58 f2989a
2f684f 60962b 64d527 7640e5 a24e89 b872e4 c3c0ee f68296
2f6900 52c555 535cfd 7c825e 993887 bec6c4 cc70a2 dc9cf5
2f690f 35cc99 6f6aff 7d9540 87696d a6d74c a72c95 dc80c3
2f6a92 4ddde8 7a6f65 8b77ff a9c189 b78da2 c15b1e ee9200
2f6bf4 827691 8a3d4d b2addc b77168 be030b eeba52 f74e00
2f6c4c 7ca0ca 8254fe 9c7c0e b40c97 b5ccad ccad39 f5287e
2f6c58 66a074 766c16 7fdabf 8e4cf5 b462a3 e799f6 ed8a08
2f6c8c 867362 922df8 a086ef a70d04 d9bb4d f1380b ff7ca9
2f6e2d 8c1ffe 8e8585 bcb0e7 bf2b9c cb5fff e8b6b1 f87e28
2f6eef 60c6ef 707ca1 7f5b1c 8cb304 9b1e5b c77074 fea99a
2f6efd 57612c 924a92 999ffe a3889f c8c2cf e5a278 e72a65
2f6fbe 599cfd 5b5d6a 838ca0 ad6a4a c3bee6 cbae86 f87b09
2f706e 44a0a5 9c30e7 9dba9c a31040 a96813 cf6afb e7bc3c
2f716a 7ebe10 906a1d 980196 c4a7fe ca13fc f4aebf fd3bad
2f71d5 65adeb 73605f 8f2f7e 8f8c9a bcc4c1 d43f1b ff8b6a
2f725f 49a48b 60e0b1 8d278c 9c32f4 c9530e cfb731 fc71dc
2f72c7 55655b 66acfe 8b889e b7c2d6 b88f7a d5460e fe8f15
2f733f 6c28df 70c9ac 888184 9884fc a8489e ddb2e9 eb8732
2f7355 6cd79c 6d8608 958ffd 9831f4 9a127e bab704 ea3ea8
2f7371 6849a4 7398b0 9b68f6 a3c9ec acab9c ad5b1a f0a241
2f73fb 7aa5e2 934f99 a0c62d a72c50 a88c98 ed152e edb1a5
2f74fc 367748 5ab390 7e3b89 8a7ca6 b1b4cf d17b00 e9bd5b
2f75f0 44616d 79a6fe 907e76 abb0c3 b03824 d67507 e2b288
2f75ff 545c56 709d94 9d7d48 afcda9 b72298 e494f8 f18c00
2f763c 4fdede 789ce4 9d0c7a a3b708 a42ceb c95894 fc9796
2f76e8 5e5c30 7fb1d8 998003 a03682 b2c03b de5c8f ffaaad
2f79e4 5cc51c 785d0c b52791 bd81a1 c9a8f1 f41468 fbae9e
2f7cf4 36bbfc 655b5b 8784a4 9cbfc3 a1571d c7c790 cf8b2b
2f7de3 525e4e 8bb0ec 973f87 b28192 c33201 c4c4bd fc6448
2f7e5d 6fa89f 747f0b 7b0bdd 86498c aebf5b c447fd efa8fa
2f8066 76afa3 7f28f8 913e02 966aac bba1fc c77014 dcb81a
2f817c 7bd4e8 7c4b40 8894e3 8b35d7 a7aa9a ab7a29 e3aa50
2f825d 41c267 680ffc 735980 91979c b8c2fa ba54f7 d53f01
2f8271 842ddf 97b0aa a47dd5 a8080a d25b1e d4b9f6 f4a52d
2f8425 49e0cc 5f5854 8966f7 99ca54 9a368a c198e6 e5658f
2f85ee 476b80 5ac3d5 6e724d 7604ef 96a293 ad8911 edb260
2f8855 5ec4c5 8618fc 882e8f 95729b 9f88f2 dcbb8e e88905
2f8dea 55d583 5d7b70 7222de 93a4a8 955428 dcb4fb df6f08
2f8e9e 5f42c6 7c6d62 9d6dfd abafa8 b03104 ea6a24 f3a2ff
2f92ad 366368 69c9de 736537 8b48e9 8e8f85 b6cdaf d99b39
2f93d4 446d7a 6ed4ff 7f1ccd 98afb2 ba4029 c5bb17 e3766e
2f93fb 755206 7a7d62 811afe 8dd07a b5a0bb bc2297 f46401
2f988a 4c5d6f 8dd3d0 924cc3 a43d40 b4bb7a d577f4 f64f07
2f9cea 4e787f 625b1c 6ddda8 7d43cc 8b8a22 a0aab8 d2b50a
2f9cf9 4fe1ad 6c5845 8ea7ae 9102ff a5752b caae35 cb099c
2f9cfd 546255 6d4ee9 9bcdf9 b6a3ac bc61a8 d13a0b fc9a79
2f9cff 63574a 6a53b5 938084 99b8d7 a3640d d4c1b2 eb8652
2f9d22 403cfd 5fd486 6b7670 8d4b8c a575fd ef6ba8 fea0fb
2f9dfa 3467c0 52601e 669735 67d21a 996274 ada6bc f1b0a3
2fa0d4 346b19 52dbf7 834df9 8d8383 9b3e82 9fc098 cd9c16
2fa4fb 5de712 64859d 8e29f5 9f294e aebbc5 c7a57f dc630a
2fa5b9 668074 8f35fb 933f92 a6112d c6c19c cd601a f79a0e
2fa987 45e0c0 6c8a2a 7e537c 804dfd 982b44 b2bf2b e378d7
2faaed 537e93 6c5c55 8734f5 929185 a1c5c5 b4700f d1a862
2fac73 575f5f 91cb31 938299 a54e1d b421f2 d4bdc2 f26cf4
2facfb 845664 8cb79b 9544fc a12812 c570a7 cfb742 e04b03
2fb084 555e40 6d4ad5 8b8521 93c52a a95787 d1bbcb ea67fe
2fb0f6 8150d9 87746a 883576 97cc47 ba0015 c1a69d d067a7
2fb1e1 546bce 724d6e 9d4644 9ed0d0 a68c95 e24004 eca64c
2fb2f2 6766db 725505 93789a abcad5 ac3062 b8b194 cb792a
2fb3ee 70564a 82884b 8d51f9 91c944 b21483 cebfbc dd5fa5
2fb68a 50587e 7e5a48 8d3eeb ae7cc9 c0670a c8bfe2 fd9c13
2fb7eb 5969ef 725e7b 8c9b88 a0d0cc a22610 ae7c00 c6b65c
2fbaf5 76428e 7f4df5 9bc2be a39a6f ad668d b91a34 e7c029
2fbbad 8d856d 9515f7 9d1e6a ab52b0 b8ce7b d093fe ec6815
2fbc19 794c58 859784 9c46ff ac6cb1 af4315 c9a0fc f9a9c6
2fbf4a 5d8162 8e1fe4 993308 a27e9f a5b4a8 df50f0 dfa8ec
2fc186 4c7245 7714e7 948502 98c919 c51f8f deb2e9 e158f6
2fc291 3f727a 7431cf 856e51 aeb9ce c973e2 ce6902 fdb327
2fc3ff 838ca3 923dfb 982380 987560 c01201 dd7d29 edaeb8
2fc4c1 91496e 914fd3 9895fb a80b2c bb7f87 c6bf37 da531c
2fc5a8 637968 804f18 9858f5 a2954b adb3f5 b6018b fbb427
2fc5e2 457e82 644e9a 835c3c 94a79f a69110 a756fd cdc877
2fc9fe 509470 745e82 8153fd 834926 a6d179 b78f0d ff6db9
2fcac3 4669e1 5e6374 883f3e a0877b ab96fc c85d16 faa677
2fcbe2 8156e4 91709f 925056 95aaa4 ac1105 d95d38 fcac68
2fcdfb 399c73 406658 7a6519 97b1b4 bb9222 c71dac ccc696
2fd11e 5645fd 565680 8081d8 9c919e a9535d dc3200 e6adee
2fd1b0 573edc 588d86 77568f c5302d c96cf8 cbbcf1 eb8937
2fd1ce 5f5cfd 67876e 9a7cb9 9d1a7f c00311 dbbf83 f46906
2fd488 487082 808b7d a81e1d b18d09 bac8d2 bb8ffa bd1be9
2fd613 5b8494 912ccf 919d69 93345b cd1b1b d6b9c8 e96cfc
2fd8f2 656c61 810ddb 9587fe a0559a cfad72 f377ac fc1a18
2fda89 3b8a6b 7e9225 8f4486 952afd 9c2c0f 9db1bf cb65e0
2fdb1a 4a65e9 813f6e 8e95fe 967c5e b5a5c2 bc0402 faaca7
2fdc03 50a020 706747 7767c9 a30679 a696fd b783a6 c9c6a2
2fdde1 6a9dd3 7f14d4 8cb520 997562 a83174 d11403 d5a69b
2fdeba 6f909d 7244e7 7c6d63 90327d b0a75d dd2804 f780f1
2fe0e5 6128f7 9e52b5 a39495 a696fc ae303c e6a872 fc1b00
2fe1db 489195 704881 8f44ff 94c495 9b483f d082f1 fb4712
2fe29c 4e620d 7090f3 8227f0 9c7f58 9ea6ac af3c98 e5a327
2fe2d5 587597 8928da 95a5f6 999496 9d223e c46d3e e9a77f
2fe4ac 426af6 665c94 729c92 982b47 a7c613 cf91eb dc3f41
2fe58e 563fe1 65938a 746596 a56f3d a682fc c9acd0 ec8e10
2fe5ad 3f695e 6eba19 7b6710 8e9272 a42bf5 c353a5 d5a0e3
2fe70d 8c555f 919cfb 974dea ac0615 beb28d c7759d e34b2e
2fe844 4fa705 6d52c8 91739c 9da988 a65563 a90015 e28bfe
2fe84b 357260 735315 858d19 a302fe b3b3e0 bf3ea6 cd9192
2fe95d 598592 7d5f18 939772 9b235c a01ff5 a5bdc6 e564eb
303efe 60d7dc 6a6fc0 97af82 a08495 b70544 bf660c e7a20e
3041f9 3fb6fe 6b6356 6d6cbb a08ca4 c2c2bf cc520e fd9455
3046f7 81589d 9095b8 a4cfd5 b2c42a b4515e d09a95 eb2d03
3047ee 6dcfa9 7d6aa7 a897f8 ab7677 b52822 e96225 e9c004
3048e8 685c8e 85c2de 886265 9681f9 acab98 d54d03 f1b73d
304af3 64daea 6b6ca9 71626b 8d9af1 b5a6a8 d0592f f5a030
3054c6 589b72 7a7088 7bdd7b a4420b bcb3b8 d782d8 eb6b15
3058f8 5ea3fc 607993 8e9078 a2cf77 a80330 be6918 d0a5bb
305ca4 6790eb 69dace 7e8193 984851 9fc403 cf947d d52513
306085 888b86 8d99f9 a04335 ab2bfa acd292 cfabc6 fd841e
3060b6 7e8763 8087ff 845c73 afadd1 d62204 eeb699 fc7811
306270 54a4f4 7b52e9 807e76 895429 a5b4b8 b68436 d5bf7f
30645d 3d69fe 63cdc6 868355 8793cb 8a439a d3c584 e48502
30664d 6b7815 76ab63 a360db af1483 bfc4c7 d26597 d992e9
306650 678c14 7456fb 79afd8 a71995 b07789 bcc8c8 fc9280
30665f 5e9a81 b091fd b0d087 b132a3 be0011 dca3c4 e37029
306665 5996a1 9b9671 aea5fa b53df7 c12a08 df8b0a e3b5b9
3067bb 319bfd 665267 778c9a 94bee0 aab241 b0615d efb2b3
3067bd 727285 8f9ee4 963706 9d7a68 c0cd5f e36705 e69ca9
3067fd 5e5e0e 638570 77c6a7 ae0197 af830f b595de e9b54d
306857 58aeec 78957a 7d2bff 8464a6 a67408 d1beb7 f19e44
306903 7c5962 7f6aff 86bed9 9f8b88 c709a0 ccc0b0 d68d3c
306a52 5ac5fc 8175fa 8cb94a 966e15 a792ab b71c94 e7b5b3
306c3d 3ed7d5 7c8819 8089ff 8a22f7 a5bc2b ac429d cd8893
306c56 59d442 8a8c4f 8e1cfe 9883fe be2e9c e77aa4 e9aaee
306e94 42aba2 585b59 956835 a9ce97 d803fe e58ef9 f38418
30717f 66d6fe 6ab03e 79816c a02525 a40aff b4a5b2 cd5cd9
3071fa 739986 814266 9377a3 9dceca be9ff5 c00d36 c78d1e
30733d 7f8e82 8211ca 93c689 ac4893 b578ef d0bddd f48704
307349 5edbb3 719fa5 76457c 8360de a67901 ba90fd e3a447
3073df 36b0fe 77839e 7f4263 8dc134 ab846d ac2d2e efb1c5
3075fc 527460 7db29c a671a1 b20b1b bba7ef debd66 e2651e
307625 6a34ce 84aba7 aa64f9 ac4577 d6b3f5 f19b16 fa4b6b
30777f 69c3c2 7f5329 7f8d72 9a53d2 bb8dfd c78024 e8bd06
30782b 5aad1c 6c4d78 797d7b 9730ff 9fc5fe b667be bcb2a8
307951 843f89 8454f9 868511 889dfc aabe65 c06da7 e9b4c2
307ad7 844061 9ba9ff a37a63 a49cae b22909 e6b29f e96204
307d8b 4ac181 841dbd 974b4a 9b8316 a1d531 da9fc2 fe1ffe
308191 6fb181 7c4c4e 823ae4 ac7aed c85a14 daafd9 ff901d
30823e 57b9c7 83a105 8709ff 92267e a6d91b b853d1 c4b68c
308343 4ac707 7c3f85 837d8a 8700ff bdc5df d944dd e2a699
308564 942970 9eb9ee a55ae2 aea5aa bd0215 c68214 f2b860
308976 3bc08f 6c5f9e 73532b 8c8928 aa77ff b2c03c faa5d9
3089fc 5e5d5c 9c8e86 a1bcea ad1e99 d4c0be db1c14 e09a1b
309686 556c2c 789d26 8a3471 8bc999 9a33dd cdcb0b d77be6
3096ef 595f48 8ca89d 8e1fef 946700 d32499 dbb5e3 f19d35
309cfc 7b3eed 873b6e 9bc6ed a2a976 b666a3 be3e4b f39800
309eeb 4959d7 6c718d 73dea1 894203 97a9af ac705c c6bc14
309f20 36d76b 51614e 93938e 9811ef b9c6ce bf3e9b e07ff0
309fa7 3addd8 6e7968 843897 a457f9 af3719 ceac82 f26f00
30a1fd 3c52ff 5e8478 846099 854525 90d0f6 baaeb1 dd9020
30ac8f 55705c 724891 8a4efe 987d26 a2c653 c48cfd ffa5d0
30adfc 3f6579 7d8278 86dc8e 925b27 a52cff b7b8c0 f28f06
30b3e2 427341 883688 8b9b43 9ec1b2 a830ff bf618c c9cc2d
30b584 4a43eb 688b17 776354 b26ce5 bec7d0 c51b8b d6b412
30b5e1 621efa 696442 73a037 96dc30 9760ff ae5488 e0a79c
30bcfe 3b7b5e 6c5281 8759ee bf87ad cc6204 cdc3b0 fb9f00
30bdbe 6a4efa 778008 904468 948afe add0a8 b17c7c f2a534
30bec4 4c6e76 8801ca 92866f a7d903 ccb48a d63d15 ed22fd
30c11b 4a5f8d 6d7c02 95525b a06af4 ba859d c6acf2 fead99
30c37e 417f6c 5c5574 931fcf a8c407 ba71c2 d84f1e ecadcd
30c47b 4c7e81 705b3f 778a01 8633f4 a6b7c2 cb6dfa efb703
30ca2b 778d68 7b417e 7e37e6 b57db0 b8b7b7 ce2f0a f4a4fd
30caf7 6969fd 714e6b 8f7bae 94b0af b9865d bb1a00 c1cb3f
30cdfb 5a766c 6f3bb9 9897aa 9e4606 bc5ef8 d7bebb e09a25
30d0da 6d50ba 903b0b 908ced 9d6885 a5a790 d16705 f4b659
30d3c4 79a778 7f768f 9c3c36 9e3eca b8d068 d57dfc fe3211
30d61d 4c652c 759a51 7f5f74 ae8ea4 bf26b9 c2c7ad fd5bf9
30d685 7d4d1c 858f86 8e11f9 bf36a0 de61ff deb7d9 fc8507
30d961 4b4fb7 8a6e96 8b85fe 984d5a a4a5a6 ebacf1 ed2b25
30da48 6e5ca1 705811 7a9200 878efd ad4e69 c9bfde d68d97
30dcd4 655daa 82445f 83b581 a48399 a883ff c14747 e9a40f
30dea5 3168f6 5c6488 6c5445 75a3ab a7bb33 a9826a d24000
30dfa7 4d41e2 71b42a 75745c 9a73fb bf1a05 c14a9c e298d2
30dfdb 56ab8c 7a8e20 7e50fa 894a8c 98303a a2c35d cc83fd
30dff2 4699fc 687f96 745254 9b8269 b8bd8f be1c11 f9841c
30e097 357155 3fa586 807fa4 923905 a707fb abb4c8 eb7716
30e0d7 4b5d7d 708719 8750e5 885555 96c431 ae88d3 dc8c9b
30e29e 5e6e85 6fa496 a02430 ab32f0 b196d5 e3544d e4a90d
30e2c4 47665c 71a27d 895392 ae9ccf c05419 cf21ff ff9230
30e394 4245ee 6c8c89 8963ac a14729 a3b8c4 b78602 c484ff
30e3c0 3b52ff 49615c 9e8570 a8c355 c83b9b d10009 f367fd
30e3c9 49ab8c 904a81 934be5 a91622 b6c24b d75721 d98ce5
30e492 76a189 81436a 8a0afe c63e3a ca4fd9 d3a2d9 ff7c08
30e4b6 6c5257 7ea8af 818454 8626f3 b33a97 be6def f7a04d
30e56c 5b5577 78889c a131d8 a49077 a9b9be b22246 eb71f4
30e5a0 611bfe 6ca499 735595 9161fc a35e3e d2a0f1 e68830
30e5ac 3791ed 7232fb 8a2f84 8e716c 94acb5 b9bb47 c91e20
30eb0f 43ac64 806b08 8a839d ab1f65 bcb3bd c129df df80f3
30eb18 4682b0 84898a 883c59 97a6fd b90b27 bfb995 d77239
30eb2c 4254f7 50613a 7d8cec 8b8b06 a9498b d0a7cc f26687
3140f9 6a5e9e 7e7fff 88c495 a391a9 ce1c54 e18e1b eca5f9
3141f7 788c83 8a4d7e 8cd3c0 ad70ff c92c07 da9de6 fd742d
3146f4 5abb3e 7e5294 8377f7 a75151 b182a1 c6a8fc f1b1b8
3146f7 87848e 8a539c 9291f9 97d699 c2accb d61f4d f38723
3149ea 647495 7cadfa ac978b b32a47 b67417 bdc2cd f2a006
3156cc 48cfe4 828cf3 8b6993 994a54 b5d43c c09a79 f01312
3158f7 38affa 626f9c 903755 9a8e95 c8c3c8 dbad4e e43e54
3159eb 6b8efe 79437f 797f85 a2abca bf4422 d3b391 e48214
3159fc 3bd1b7 605855 888ddc 936b23 a4b253 b9c2fe d24591
3159ff 499efd 5fe1aa 78777d 8b3097 91acb3 ba6b36 d6aa37
315be1 589205 654f80 82c622 9981cc a1515a c9b4ff fb6790
315bef 4f5c75 6492b4 907876 94ccda ab5512 bbaa99 dd852e
315bf6 388717 724f79 7ad6ee 8f8ad5 ad6977 afad7d f9a116
315d9c 439799 647255 9bceea a46900 b374ea b6baa3 d89745
316081 7b8288 88524c 89c4af 943aed a28c43 cdc82d f265fd
316185 3bad84 746148 9a3cf8 c1c4d3 c581fe cd5c06 dfaf06
3163f3 84d7b5 877eb0 95415b ad8489 b8aee7 d12c1a fe7a4d
31645c 649c77 6c6601 8c4df9 94d68d b8a4e3 c09c12 cd469b
316465 36df99 429975 7e32f4 a6b5cd c468f9 c74509 ed8828
316550 627af5 6e640a 979390 b83690 becaa1 e49ed8 ea8024
316553 359490 81be86 982bb9 bc3e08 cd5fe4 cfaddf f86e1e
31664b 68a4f1 6f8b1f 735eeb 89de12 ae188f c1a290 d168a1
316665 609475 7d4db1 aa7ce2 c5320a c5b9ff daa3b5 f87e1e
316678 59a0b6 71d8e9 7e47d1 8a786d 9db491 c76c22 d1b707
3166bb 5f96fe 76839a 836f65 923918 b6be0c b8c3f0 da9483
3166f1 48adde 4d6554 9d9074 a6bbbc ae5292 d1c711 e24411
31682c 387ad2 659b39 6caefc a2c705 a48f9f aa256e f2b19b
316922 6ebc00 8129fa 9b85ff a953a1 cabafb d0a8ab ea1964
316923 399f0c 7e6c70 7fdb6e 845ffc 993c8f c3a5fe ce96a7
316a17 4dcbf6 6f70fc 787070 984197 9fa5a9 b68759 e4bd84
316a2d 4ca5ef 8bd996 964288 9d2ef2 b8b6c3 d79c21 d94f73
316d61 8136fe 92d1ed a1b544 a26319 b070f3 e3a4ab ea069e
316f80 7c4943 998f90 99b0f0 bec5aa c045fb c13602 eb7c4f
31708e 3ecdf7 7623df 778afc 888584 b05539 bfc8bc d68e16
317264 39d938 634f8e 899c73 ab5e00 ad4eff b4ccbd d292ce
317274 6ab014 838460 8ccffb 9c291c 9e3bf9 b8b09d be6bbc
31728f 721bec 729f82 a062fa a95a18 b9ce84 e192e7 e98001
3172fe 387457 3cb6ff 758f37 7dcd05 813e88 bfc59e ca76ac
3172fe 6ddfa8 6ea08b 81388c 8c7da4 a33d24 e298f2 ed773b
317339 36ab02 5f5661 67e230 857ab2 9d1ef7 b8b2cf cd9b8a
317458 7da5f5 80831b 8647fd 9a0f8c 9fc93c d9659e e4b7c3
3175b3 4bb2fd 5d6943 7d4369 9498a6 a97b10 a9cfc0 e7a96b
3176bd 5e6775 86b0f5 923c16 a7908a c4c5cc c66900 ecaa1a
31774d 74aec8 7c32bb 818303 a94f87 b75efa c0c8b5 f6a150
317b8c 3abfc5 7f36e1 a11951 a976f0 add219 be6358 daa88d
317f63 7e4f91 7eb3e7 866afe 97320d 9d8f11 e4b383 ee66a2
317fff 705259 949491 9badec ae46a4 b72b12 d9c0a3 f76f37
31815d 6cbaa9 704b70 7237f1 a274ef c1c0fc ceb757 ea2304
31826a 68abfb 748a03 8231ef 87387c a1bd98 e8b739 ec52af
31826d 6a17f6 7ec428 84830e a71c8e a963ff bebba3 d276ae
31836e 33d783 9406b2 95aaad a16ecc bb1926 e1b0ff e27413
318798 36e77e 67575d 93afa7 a54725 be9312 cba7ea e515fc
31887e 81ba87 872e93 ab7e28 ae2a45 cba8e6 ea2eff fdb11b
318a66 4be75d 525a6e b42119 b4b8b9 cb32f1 ce92e0 f74d06
318a84 65cbc7 7644a1 96b382 a64746 ab8415 ad84e1 d9c525
318afe 64d7f7 67683a 840ed2 91ca00 97995e ab5c9c e984af
318b82 625490 91563b 9ac690 9b9a29 bc51f9 d9c703 f374be
3190fe 672fdf 8dbfd2 939985 9d67a2 a14a3f ccc78f df9306
319199 79d0f0 8045b5 834800 a186fc c27a01 c71568 cbae7a
31923c 754f58 7cd8bc 844bf3 8eb60c 9b828d ad1a8f eb8de0
31930c 64d602 65674e 842aa4 9dab78 a4788d ebb1d0 f20ff7
3194c0 516c64 74448f 78c7d5 9b9895 b6cea3 bf4b15 e6913a
319671 525e5f 8959b1 928eab 96c2ae 9e471f b79f0c d8b5fd
319998 617945 6fcabf 99248d a845f7 aa95ec ad8e09 e6c02a
319a99 5e6e5f 61dbbd 8d1cbe 92b64a ca3a02 e299e6 e534fc
319ae3 64585d 8031ee 93c6e0 a15b16 a5ac96 cb8f2d e31f98
319b0b 5a6e4e 8fbbfd 902d83 a62bfc ae9e96 c56bab f2b66d
319c1c 4b621f 7b518e 863afd ae5a6e aeb8c1 bc71fa e2bf65
319eb6 3c7363 4ed8e8 774688 b8afa2 ba2af9 bf4316 f5751a
31a17d 476055 54dfc0 876293 b5230d ba90e5 c702f7 f89d02
31a212 474df4 706c66 76c3e2 a67cfe b4cf62 b7539f c09e95
31a4de 7a4674 872ee7 96bec6 a67780 dc1e12 ebb394 fa820e
31a4ef 5a6667 76500d 8b34fe a57e5c a8b7c3 d0bf94 f2860c
31a5dd 5f38da 79567c 7d856e 8cd3ea b8401b dbaaab fa831b
31a6f2 4a8012 7f3ae0 81c975 8c9180 9a6796 9f185a c6bece
31a9f1 389407 46623b 855173 8948fa 8d887b a2d0ca cbad6a
31aa57 615083 7452eb 895505 89dd6d 8b7d8c b6b0c3 e574fb
31aa7a 674cfb 8d70a4 a90650 af8cff b6d22f e99bc5 f42709
31ab82 3fe933 6a49e3 766e7d 8b4143 a6b9c5 c08bf9 cf542e
31abff 3f6162 7a81a3 805b2d 97cdd3 9d1cfb ca7673 cbb34b
31ae70 796664 9e1897 aac9c3 b641ff c0b90e d81a1a e77aea
31aef4 526024 6ba819 7b5dee ab207c b8afb9 ba7175 f3ae83
31b586 7012f1 8965b7 a14b59 bcc2d6 c88cfa e5a61c e72e0c
31b5d1 496988 6a5453 8a8d84 a95220 b832fc bcc4bc dfa765
31b79d 5e587e 984c52 9b39fd b0c7f5 c26aca c6b550 df3e1e
31b7f5 4675d2 676676 90ca75 9e8d8e a9162c ccc2c6 cf5d26
31b7fe 496af9 625b4a 953f96 ba81ad ccbfc1 d9550d ff9068
31bc7c 617f7d 98db48 9a3b25 a182f5 a409e5 c8a1ca d86118
31bda0 668394 71530a 9045f1 ac2a60 b3b0f0 b97f54 dfc134
31bf9c 6e2ced 7d79fb 896b9b 994e5d a8b5db f15447 ffb22c
31c38a 638581 684e7b 933aff ab303c be72d8 f0b322 f23406
31c4fe 56a276 696666 a602ff aa1422 bdbdc4 ce9c07 e022a6
31c729 5e5091 6475f1 8e9e83 984d62 a97da3 cb3123 d5b5c7
31c7f9 4444e3 7181f8 866e5b b02182 d1c25c dc83ae e81804
31cb9f 674f80 71888c 7a32f0 a571f2 b3c8e9 b44b4b c49c45
