# colors_mcd20.0_mld2_nc6_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
c3311f 4dd02c 0047fa cec8ef 844d8d de7193
d38873 b6f211 5c7f10 28f3dd 10a7ee b0206c
a22924 39f230 99b2a3 10a8d4 614bf3 7a6872
f3d477 407701 10aaf5 abb9c2 7002f7 ea2f7a
a2ab43 94e9ae 10ab9f bb49e2 faa7f9 cf115e
e2d180 3a6c15 10ac26 8f72e4 b80476 d87497
667755 10af12 2ef567 ae9ced a12abb dda5b0
f5a115 2c6d3c 10b085 2ef5c6 9f95f6 ae0cb6
bee230 366c3f 10b242 76f9bf 764eb7 dea4cf
885c5a 10b31e 979e9b 88f2dc 6e4dc4 ea70e8
715316 10b63a 8157f1 db85c8 bb0e79 eacfd1
71651d a6f63d 10b646 557873 be32bd faa0dd
8c4a11 3dff5c 10b933 3867f0 6d5f7d ef98b8
dfad90 96460d ea7208 39826f 10becc 74449d
c0941e a3e08f 1d8b65 10bfc8 5f4ba0 9f74ff
c8e164 97f4d0 10c0ba 1d5fb1 9d82fe e6264d
cbd240 10c0ee 643ee4 905c92 fc1155 ffa2ae
10c518 b5e9cb 177a5d c23afc 9c0491 fb85e2
ad2606 10c723 5c56d1 cec4f6 94556c d18693
9d2d0e a99619 d1d8c6 547f68 10c7fc 8a30d6
cf7e62 a8ed3b 10c9fd 7a7b8a 4b54e2 a41635
f3d7c7 596a28 10cc60 b8bcd9 d263f3 b91b91
3d8b1c 10d145 ccc9e2 6022fb f71fae 705962
8ba51a ade884 10d1e2 2a64b3 cc0b51 d97f9b
be2a00 d8ad43 51987b 10d7d0 8a08f8 a16bb9
8a7e13 10d95b 718c8c cec8d0 e824f3 85424f
c1d638 459634 10dbbc 5f32e9 7c6480 ed54f4
eab7b7 d93f01 10de3e 557c7e 9301a7 ee4ef3
cae3c8 10e412 3d5ee1 9f99c8 7b4e75 d9182a
ab4d26 10e44a 5b6afd 585a81 f38df2 cfc5c9
b8cd1b 7ca19e 10e5fe a356ee a04265 eb5054
be381c c1c232 2c8e81 10e8d7 8b23b0 f162f8
b12321 f5cfc9 10eb3e 5c968b bda7f5 a25eb8
ef4e0a 10eb98 4b92b9 7b2fcd f0c4e9 944c59
baee30 1d6f01 10eba6 9e93c7 a60bb6 e94c5b
b94337 c2ba6e 10ebda 3a48e4 9497cf 68687b
a08585 bb2901 96cf54 10edda 6499d2 5b3af3
587e28 79c91e 10eeed b384fd 9334a7 e2629b
72766e 5bb21a 10efdd bb69f9 993e91 b6011f
b35907 969387 d8e382 10f0fe 638bbc 8127c9
5bc137 298027 10f1f5 9b1fb2 f64af1 b48c95
d06929 cecf26 10f3cf 9989d8 745396 8b3d3f
9e8313 10f59e 6e9f8f 19695f baacd8 ca22b1
93887a 6ead0e 10f6a1 445be6 60556d f07cdb
c53b06 646059 9dc882 10f6f5 3043fb ad63a2
10f757 8374f9 fac8fd a91056 f18bae fd1c30
bbd798 46a70c 10f7f6 ba58e7 ea578e 9c3055
f5c06a 448d26 10f7f9 80a5fb 7f44c6 b76a95
e3ab28 537900 10f8b7 1bad92 a589ff bc2a98
b21d06 b07b66 a8d961 10fad1 4ca9cb 952cf0
4da03f 10fb90 286753 d6dfe4 ac06ba dd93de
963231 c17572 b6df44 10fbc2 15b3b6 5f46f8
7c6553 d0791a d5ba9b 10fc01 30a4fd 771fe3
de8b3e 10fca7 98adfc a434b8 a897a6 b20522
fa820a 10fcc4 28afa6 bbc7fd 825fc9 884142
cb640f 767d6d 10fe4c bac9cf 6e5efb cd8eef
997b05 10ff5e 7aaf9b 1367b5 f589fb a41a4b
5f7354 3abe52 10ffb3 6923fb c6adc3 c945a0
c6985a bbea10 10ffec 52a6eb 7914dc b0165c
846018 bb9d27 41e6de 309bf9 1148f4 727690
bdd617 4ab464 50795e 92edbc 114ced c678a8
56e33e c8d8c9 687a7a 1150ea d9a6ec b70e1c
b3aa1e 5c7713 6efe9d 77a5e6 1151f0 d05284
e59219 6a704f 7cfb9e a9b8bd 469eff 1154e5
f0ce82 967816 87c8c2 1155d4 6f86b1 b4195f
cf653f d2d484 33c7e9 115ac6 7d5a75 aa9199
6c7060 18f94d 6ca2f7 115bf3 c4c0d3 9b0e86
c5ea1e 7abb73 4becf9 115cbd a98ce5 72596c
766309 79ff12 c8cfc3 115dad d38de2 f25b65
cc9c8c 7a7e0e 4ce326 115fa3 7288fd ddd8eb
e9dbc7 a89311 a7ef4a 1bbecd 115fb5 b44263
f6d6ad 4bc714 607b56 115fe8 cc78be 9d287a
ae6a27 d5e745 7ebe80 1161f3 657495 f39acb
b66034 d5b538 11fdb9 7daaba 1161f8 626269
d83d30 2ada05 116491 2490fc cbdafe c2a0ac
a82c24 dfa907 33f4bb 11667b 85a3ad c819ef
e3db12 596419 8ca724 97c6d8 1166e2 a0787a
5e6743 1fb11c 17fe41 116776 a842f2 bba1ba
e35245 bcf127 11696c 85999a 19bafd 952af1
f7a885 938a0d 116a55 14f0fe 8216fb b543a0
baef0c 6c9f6c 116b2b 52f0ac d27bfd a60592
ba2721 eae205 86e4ad 116b7c b19fc7 c53cfd
ba1a10 80aa4e a2ee50 116b7f e098fc c31af9
d6ab7d 887f0a b2f407 54c0c0 116bee b72061
fbaf9f b9ec0d 7da722 116c57 8301fa fe04b4
9bd764 116e09 48eefb 7d737f e81ce8 cba6b0
e5bf70 9f7e27 446348 73bac3 116ef4 ae1988
aa9b6d b3f023 116f4d 69d6f8 8e00f6 c24fac
508b0e 1df70b 116fda d7b6ef 864d67 f57f9b
c6df50 117018 8cab9c 37e4f5 12a1d8 8427f3
f6dc35 89970d 11703d 63a98d b8d8f9 7f42f4
e96131 8d9f90 1af19a 1170dd e98edd 9c386f
ca3d3d cdac5d 94cfdc 1170f0 858ba1 694f82
c4550b c49e76 2cfb29 11715d b4bfde 847ec6
e72818 e8b294 bbef18 34cdf0 1171a7 8e6468
977f70 c2e3ac 27d911 117210 844cdc e27fbf
abe339 117304 40fcd1 9b37e6 bda2c3 d20779
ddd3c8 9b7b3d 6aec50 117676 8139c3 f987dc
c7cc41 117728 29d1d3 a363d9 834373 ff5084
cdaa37 117a2c 40f9c2 7a9ed0 8217cd 9d4e7b
fe331a d6e120 21d59c 117df4 95a3bf bb417b
e7e503 879b02 117fbb c3d8fe ac1134 ff879b
118315 19e77b cad3d8 9c3ff5 d083cc 9a2f61
faa018 118421 25e8c1 750df8 d8aff5 c356af
d2e850 76a742 3f6b12 22d6b2 1184e3 c42481
bcc84e 118514 3fedc7 e972e9 a91d9e 938590
67c844 cde5cb 118527 5f5967 9821b5 f472b8
f9c62b 118620 63f3ba ccc1e7 7e06e2 be69a4
c98d8c 904a35 d4d152 b9e7e8 1186f9 676774
118734 1ae881 f418f7 a01998 e3a9de 937b8d
cccbca 62aa23 366c0a 93f45b 1188fe c3399e
afdc52 118949 1ac5a4 69596f f02df2 fdb7fd
b17f7c c7c996 3a8200 9cdcf0 118ef7 ab1f79
cf918d 705b28 65d510 1191e8 d1caf0 dd1e98
b3460c fbcdb1 b0d50c 119290 40c5fa ab39df
f1b8a5 725648 899332 119490 d8d2f0 6956b4
af3416 df9617 90cbd4 1194c1 676c6f 870cce
e6bb77 11990a 38d0dd 8260ce a21966 f1568c
119a16 1cdd3c d0d5ee 9350aa aa0c4f f56b97
d38984 e4e429 81e6e4 119afc 835f7d de1e23
9a2e01 c1e72f 119b59 37d7aa 645e95 c895d2
caaa6f 1e6a2e 78f5d9 11a0a0 b6b4fc 9c5af2
f6da87 11a13a 7902f0 b85cfe bb0e86 fb7fb9
9e6932 89c40e 11a28a 47e9ec 4352d3 b089e1
f49f03 705f13 24f99f 11a3ec 6123fb b0407b
cf9b2e 3de5de 11a6b3 545e78 a835ed be0329
a77b46 bddf94 6ef2eb 11a6fd 8f1efb d92488
d23014 71ff30 11a78b 7151c5 d87cd3 8a4164
b5f26f 11a91e 16dec1 c599f9 8613e6 c53c89
446814 61e868 11ab5a bac2cb 8409ff d921a0
836c5d 11ae22 32f79a a2aca8 5a38fa e295f2
cfce71 66ebd9 11aea1 774bfd 80548b c5525b
f0d31f 11b0d6 ab21f6 9b297d d66486 ee191a
a28158 e3d8bd 89c615 11b1f4 5766df a41c6e
d9b2b2 874f42 7af820 11b449 7a0ae9 bd5fdf
ba390f 69fd60 11b47b 3c6662 b638d7 f683d2
c4a702 556126 43fbe9 11b6c9 6760e6 ed117d
c7e5aa 11b724 493cef f2b7f6 ca59aa be1449
b4c745 12781b 6af9d0 11b7cf 945ce5 d2638b
76fb65 11b88c 9857da d8a1d5 972d7a d3173a
b23333 a4e1ac 11bb29 59738d 7e27dc ff91d2
d55c51 d7b11b c8dcb6 11bbe3 6565d4 923471
915807 11c021 87f4ec 6f41db c9a0fe e75a9a
6a6131 11c036 4b787c 7701f1 b060e0 dbadba
fe9702 e8dda9 5b9763 11c3dc 6949ad 874d67
87a709 aced1b 257c31 11c5b0 c319ac 62555e
80522f 11c829 2e64fa b6a1fe ffbbd7 d55a7f
a23e19 11c842 b8adea 8763e1 784f71 b99399
e6c6c3 bf481a a3cf47 6c8f85 11cbf9 922cf4
bcf11c 11ce7e 1f7956 b298f6 8266aa eec2e0
914202 cba834 dddace 11cfef 6a6b6e ba40e0
b85710 e5c26f bde9d7 51968b 11d2ee 834ede
11d402 1869bb 9897c9 eecdf1 ca101e bd7c7e
ba1004 897c6d cf980a 11d5b0 c3c0fe 6b33e8
d6c6bc 74a11a 9bf10a 1c7a54 11d6fe be59e9
529113 11da0b a439da f7cbf1 e063aa b00c69
fcbc17 877c2e 11da99 c5dffa e058c4 be0c6f
d90906 11db1b 4c85cb 720cfe ff9eb3 915b5c
e3be08 639243 11db99 c4dbf3 d354e4 786871
b1432d c0ec4d 11dca8 5e6872 a32af7 ce86ee
7e7b43 8cb316 b6f524 11dcc9 fb05e7 9a1f63
c7ac9d d25e0e a6f131 11dcfe 5561f7 7b4d7b
7c610c 839375 11de13 3c635d c878b5 f3bdd4
446509 579d08 b1f19a 11e1fa a137cf ea5b98
af3838 b1ad80 b6f116 11e2e8 767aa9 8d0ad0
ea241e 11e475 63786f 454cf1 ef7de8 f0d4e9
db4331 fac53d 838f87 11e4d3 db50f6 8f4784
c72808 11e560 598480 8c25c3 e262fa ecc4e8
a58f03 e9e32a 35926b 11e9d7 e124b9 ad0716
d55d31 edb554 11eaed 429ce9 524de6 82777e
65564e 51ac53 11ebb5 a20eff e96fda a1418a
e14005 d4bd08 11edbf 1fa893 b690f6 7921e8
feccbf 437e08 11ee27 b9b2d1 a615bf fb2282
8a7c52 75b802 11eeba 586cc6 f298e7 903560
df9015 11f1a0 477cff b7bff1 981185 d51b3c
9b7070 c42606 daddd0 11f247 629fc9 20639f
d26617 d3e680 6e7d6c 11f2dd 7aa7c6 933398
eaa104 388c44 82bc8f 11f4e4 b27bff b60e94
cdd01e 60624d 5ea249 11f4f1 f92de9 92287c
f3984d 556018 188774 11f5eb 9493c1 a6159f
fbc8be 858a28 11f801 98aedc 7c1fe2 df478e
e0980c 397f48 11f9d0 c9b6f3 772deb d02d8e
f9491a 6b6058 8fae87 11fb36 c430c4 f183ec
973211 abdf4f 11fce0 4599e2 7d2ef5 e91174
bdceab 11fe3c 688570 3a55df b97fc2 fa0a14
5a761b 11fe88 649bf7 1e4ee6 cdb5ca db627f
7ad330 1a964a 11fef8 ba1aa6 774e5f fb89b1
8b451c 35b81f 11ffeb 2162f8 b09bf8 be7992
6e8f1e cfe4bc 5be232 1247f8 bf2e8b f979b3
66e391 999a9d 124bf9 f85ffd 8e4783 d10346
749301 bbf116 46ccae 124fe3 ec9efa a43f6f
77611f 5fb01a 97f386 1251eb fba9d8 c86e8a
855d3b 63ab12 21f99b 1259ee b095aa a00565
c8e1be 36dd0a 125aeb d29cdf a45a8d d43f48
e4dbda 8c410e 9ded76 125ce6 ec96f1 ef2866
36ca58 c3ddde 125dcc 82818a c78bde c32b44
cdb5b0 9aed6e 569341 2da7f6 1264be 736369
cf2615 a5f149 60adfd 1264cb e06d9e 804754
ef3a2d e3df16 3cda95 126577 a999b1 b52eeb
c6b292 8b8109 bae5e9 1265d7 8d9ffd a73f72
b4e308 5b810b 6bbcc5 1267b7 972a5a d76c80
df190b a6e805 12685f 25f6fe 5f9ba6 7e2ed6
d15040 e5b986 51f7ff 4ab2bb 126877 7a45e4
657349 49b016 3ef471 126878 825cfa b495a9
f6d828 39ab48 c4d6e3 1269a9 b58fed 913c4b
d2655c ebb528 1afdc3 84b9be 126bcd a90a0e
86860a c2de6b 126c59 19b29b ad21c5 f99df0
94380c 99f62f 53af4f 126e64 e727c4 e5b3d8
b2b757 728306 12705a b8e9ea 20aff9 a229b1
7aae10 256d02 42bbe2 1270f2 b4208f fea1a4
6cbf2b 127218 1ffdb1 9613f7 d2a0ca d71d8c
c6c529 858651 35fbe4 80aec8 1272fd 9b1f8f
bd5417 bab15f 127372 41dbfd 7404f0 b257ef
9e290f f07b4c cadecc 12747a b609f7 eba8f9
ce370c 7a9474 19f382 127680 aa14ee f08adf
9e700c 58d267 1276d8 9596b0 edcdf8 a82752
9fb609 127702 18e3d1 7774fc a43e75 d08188
749060 43f36a d3e2d9 1277d6 d29cca 9e1376
f0a882 127912 7cd6d8 b039d1 9f066b e44282
127923 23ec76 7e05e0 fdc0f4 f952dc a64779
f5cf24 758b04 127954 31e2e9 e33ddf 9a0686
ac5f04 cca462 127961 29ffd9 4da8e3 a128ee
af8f27 c2d3bc 127c7c 4ac5fd 912ed0 a4153a
dea773 127d14 67f0e7 89a1a5 ed10ec a50a77
b07d1b ced853 5af8d0 127d80 9e9ae2 9624ce
e1e020 127e31 72dca4 bbb0ee 8a7ca7 7c21fe
4e6200 64f984 127eca cbb1e3 98316d f20b55
cba749 128000 859787 b8e5c7 3dcce0 cf2dca
ee571d 7bf29b 128184 a059f0 d8bfd7 ab1b49
eb7c53 f5d846 97e2be 1281c7 96888d a32c37
904b4b fabbab 898907 aff205 42c5f7 1281ee
f5ae52 958266 4b650b 74bcce 1281fa ae2f8b
e0c8ad bbf319 128216 45b9c5 882aa4 dc5d82
ed6530 facf90 128295 5cb5de 6a38d6 8d4c54
bb701f d1c03a 18eab6 1282f6 a4b5d4 ad0554
98f905 128301 7f8881 2dc255 c6bdd0 a548c6
cbec15 47ebfd 1283fd ba4b94 fd94aa f82425
15d031 128431 7e18fc d7b5fb d756f9 dc0f8c
c31b05 77c449 128469 4bfad7 d864fb 9d1fa8
ac4706 88b836 67f9c3 128971 8607dc ff47b9
c8651f 5fe73e 128ac5 6713fc f0d2e4 89696b
c6b92e 128b2c 84e9e9 a882eb 832fc5 fd5e8f
d5d03b 128c2c 9bb3a9 2ed0f5 aa59f4 af1b6f
848234 cbd44b 2addb2 128c89 c552ff 8e1db3
ebb601 129008 8df7c4 b374ee 8d1abc cd568a
f3d4cf a3e227 808780 12911a a512c5 db70e3
bdf073 129132 a485f3 6d00fd 8c427f d1a9c2
9d6208 24fb14 1291d7 40627b d8dbfb fd6c83
97e607 129243 7a25ef f0ceff e255ef 991a76
49f619 129355 ea3ef7 d0b8d1 a00490 9b7b97
a03712 f4bd70 a89303 12956f c9d5e8 d43fd1
80c05b 129587 5831f7 9f6fd6 ceb8ca b03c47
d8d545 8c9636 12dfe2 1295a8 8112ff c6046e
cb7a3b cad709 12989b bcdafd 8522da 94304d
f8c8b9 4de72a 129b90 b2b7da a71dbc e51145
89e710 3f7011 129b98 b99cfc 990c93 ebcbcc
ef6349 e9c9b4 8bf729 129bb1 9810f4 9a2269
e14033 b9c76b 55eed7 129df5 6638f5 915782
8db618 129f8d 99e9fa a215fb d270f2 ad031d
978609 dbd36f 25faea 12a0ea 8025e7 a92e74
a89a4d b8e91a 67dce6 12a1c4 4a4bcd a73647
7c730d c2e96f 84ac7d 1ef0e1 12a1dd 7a19f3
e80a05 e8ae24 7ff8be 12a581 cab8f2 ab21c5
82d43e 2b7308 12a587 e263e4 e7d1e3 bb1293
e08181 867901 99de40 12a6fb 3a3dfc eed4f5
12a72e 23ec66 cdd2d6 7f20e0 ce77e6 d02e88
cfb116 5f7735 97c8c2 12a8f3 255eb4 977384
8a504e dfb9a1 96ed2a 12a9eb 6c24ef e21497
9fcb2c 277b19 12ad9a 30f2f1 ba44c2 625d5f
d4c0c0 67ef1d 12af48 6e45d1 fa76e6 91355a
e83b31 f0c715 a7bca2 72f1f3 12afda 1663a1
f9da21 236d1f 47f3cc 12b1b7 892edc ea3878
854f07 ceed43 12b24e 5c7066 92d5fd cf39cd
96674e 8bc110 59f2e3 12b2a6 216bca 9c1768
755d5c f6a192 aff326 518f0b 12b6e5 b40bce
b4241f e5d64a 9deed4 12b8f7 7b37ba f84e82
f21615 a3e111 12bd90 416163 d0adda b018bf
7c5813 ad9917 c5e52f 799684 12bfda 465a98
6d7000 8efc01 12c050 226a63 bfbdde 8a4dfd
b47203 cacd61 12c1b3 3b4afe 9382de b81256
c1753e c7d90f 12c1b4 ad79f9 801ef1 7f5a7f
a90d05 9d908a 12c211 c0d3d8 7376ca 675e61
e94517 b6d365 418774 12c6fd b109c1 f9c9d3
9c441f baab9f b4f079 5c7974 12cde7 1d4bed
ec645f 696301 dee319 12ced4 6f75f8 a3035c
2d843a 12d067 1f41ff a70077 ef3eb2 f7a8c8
f4dc16 ada433 65684b 12d0b1 5b73c9 c1b9fc
717c19 12d117 32746e 7d02e2 fa39da dfc0c7
a90908 f2c31b c5ddb4 12d2ee 9754e8 e9445e
c38a28 d1de73 12d6da 33656b a47de6 9023ce
666d40 9ae212 12d6e3 6086a0 ab20fa f08e93
12d846 a173f3 dcc5f5 82398a cd7ea5 df1352
a13603 c9dac1 12de20 5f9766 5245d1 bc9ab7
855121 c6e8c0 12df28 3d4ada 76707e f65ddb
c51105 a78770 12df34 526277 f660ca e3c3ce
baa39c 627f21 8dca10 12e0f7 1f78fe c00498
d86e02 12e381 48917a 7132e9 a86eb8 fdaed3
825d30 be9e08 12e396 218a96 b0a5f6 7a02ec
a48547 695711 e1e121 12e5ba a5089f ed4dab
bc190d ec7858 fbcd0e 42645e 12e7d9 b026b6
858b1d 12ec74 197976 9c14b8 fc4fe4 e5abc3
8c3f15 12ed4c dcd9f9 7b5afc c78ab7 d94968
dee2a4 70c02f 12edeb 666ba6 a2999f ac1429
12ef0c bbc2c9 7222f6 d38eff 914b97 d9496d
737409 12ef65 29a19c 276766 d7a4f3 c210e4
12f25e 558071 b2bdd5 7d479e c673ed be2122
8ebd38 27813e 12f2d3 6e07f7 d972d2 9f3689
ae3027 8bcc5f 12f2d8 666c71 2d5eab 5592fa
fbd215 12f3ab 61707a 9da3f7 b529e6 ae323b
e65a07 12f48e 408571 d1dfea b697c0 a50e8a
a15843 12f65d 5f8193 bebfd1 8b3cd2 c580f4
20b03c 266940 12f67c 924fdb e3b9eb d45790
b4cb40 12f6da 4f9aa5 7f29dc 7a4570 bc4a4f
9e6934 d9e0d6 12f768 307ffc 726a7a cd9ec6
8f3c13 ddb002 12f7aa a8aeb5 975ddc e71569
ff7f6a df2701 3a6658 12f7d2 a68ea7 b1139f
ddaea4 58752b 12f926 2da4d1 a218fe 95337b
959b31 c4d900 12f9b3 6986c9 7e20d0 9c3b40
b5b335 407523 12f9da a06be4 7416e7 a95e7e
b42f0c dfca33 12fad2 89a7c5 6063d9 ac6c6f
ad8177 cf5004 12fb3e 22a7c0 705abe 7c4c52
b79030 727c72 12fb5c 9ca0f7 853b82 b41a1b
b83519 f77112 12fb83 7fb1ae 1e6e79 cb4ee4
76b829 57733c 12fb97 1f96d9 7622dd bdadb5
866f59 c3b910 20b6ac 12fcf0 4b5f70 9366f8
916c11 d3b810 12fcfc 5b93de 7321ee dc3585
e56563 b5e364 12fdef 5eaeee 364adf a63049
6c5707 76a627 12fe65 5b6de4 e1a9cc ab386e
9b8438 95d272 12fef1 32b1f3 136dd1 984053
12ff7a 2d627d a1aeea bf1bf6 c4414e d19798
9bb8a8 12ff7e 1aa6c2 315dc1 a11457 eb3554
a25822 61c63e 12ffcc 7d69ed 68527a dda2f3
eda93b 6fb39d 12ffe9 a586e4 a62b6b f10447
904536 c7d509 1bb469 12fff1 804fad dd7cb2
84e831 22b1d9 134bef 934e8a ecd4dd ca184e
994f08 ddcf63 7feaff 3ea9d8 1353d3 ed4a8b
d3a832 8ee5b3 5d94fa 1355e5 b8b2cd ce3440
ba3b2a 75e471 1357db efc8f9 85507d d783a8
ac9617 69fa71 4f9bae 1357e1 d0cbf5 cd3f6f
d5cd68 20f0fd 577088 72a1f7 1357fa df535b
768d29 9bcd78 31fdeb 135ad7 d58eff 9b5b6c
e8d291 8f7c10 6be3e2 529aa8 135be1 952c57
a5ab02 4d6218 b6dcb6 3ccee1 135cef a76197
805b09 ecce01 7e9a6e 2ee6da 1e91ff 135dad
c89a82 80f528 1365ef 8b9ee5 626076 cf2634
903b0e a9820e 4be744 757d7b 1366a8 cfa4fe
9c5959 e33e0a d8ba0d 1fcb93 1366b5 ab9afe
f82414 44f94c 1366fa 8f9af3 a70896 c89eac
7e7612 69f70f 25b5a0 13677d 8442f6 c38af5
ffc789 a27f4d b5e7fb 58b4fa 1369c7 a10063
bc3a02 7ff614 2ab57d 136b60 8b40ad e791d5
707f2f 96f117 2aa78f 136b78 fa2cf2 e9b4dc
3ef628 6e9685 b9c8cb 136b81 f067f5 a90b11
a3965c 1cf011 136c0f 80a7a8 c9dcf0 ce16ba
7b5008 bc9642 b6e92d 5dd0d0 136cd4 c5286c
c86651 fdbf03 39e1ac 136cfa c5aada 7b495b
71d549 136d34 9808c6 ec44bd edbdcd a97f82
c4b22a 7a8070 136e01 33ecb5 649dc7 8c29cd
47af13 136f3e 13ed86 7430fc bd57af f78fe6
775748 c58620 cce33e 20bf91 136fd6 ada6fb
c28179 dc3902 38dd40 1371d1 f1d0d9 91444f
db9468 756c06 87f705 137260 facdff c729a8
906d10 a4c81a 4ff6b5 1db197 137273 e70ae8
137501 17bc0c 1cfe69 adc2b6 787879 b95fd4
a45929 92e109 137577 a48ff7 6b48bc e496b5
aacf4a 13763d 34b497 f1b7fd bb12dd 6d4f71
a63421 ec6a26 ccea6e 29c495 13786b 9061c9
759e13 cbdfbb 137a80 1cb4df b815f0 9e2636
af7820 77da4b 58615f 137a9e b797fb f1bcc5
f3dc28 5aa50f 41e3a2 137aee b5bddc a3274b
c1231f c2e7cb 13ce60 3f6b6a 137bfb b5a0ac
c6eba0 137e3b 3b9cfc 7709fd ad669c bbaaac
dcd0bd af9a33 516c3e 82ff33 7bafe0 137eeb
c7b701 137f2e 27fea4 b45efc 7e4183 fb7bbb
e6dad7 99a707 80f56b 138047 a643b9 fb74c4
745218 789b01 14ea8b 1380e5 d4d7e8 cd1087
9cac4e 4f621f 81ff56 13817e e602ed fdafe6
e70701 c7df03 3dcf85 138185 9489fc 981be7
c3f01d 3cbd71 138248 645465 d81abe dc9cd3
61da6d 13833c 7800f7 ea85fa f0d4ee de16a3
b18a04 a8ea1b 138366 45a5fe a4008e e9b8d1
904531 efe001 59d4f3 1384ea 5e6e80 fd7178
a3a34e b3f318 416b1b 1bdbdb 1385c0 84516d
e5b70d 13860b 47fbc9 9bb5d6 6833da bf4186
d1b8a7 7d6e01 138896 c8d4f4 6932d4 ad2860
a3d03d 138c2d 5de1dd 6a11fb d139ae 7c5866
975a21 6cef36 babfbb 138c81 fea1fe ef06d9
c7210b abc46d 8ae8ee 138e9f 7846e5 75525b
8a6d18 68f905 1390fc 6332f4 e2bce4 f64897
d10908 bded1a 42d48e 13926d 972d85 fd41d8
22ed1f 139535 e0d8fe 8002f3 d44dae bea3a5
6a601a d0e182 7fae1b 13969c 57e2ef b901f2
a99a3f 9dee9f 1398b2 ccc6d9 812feb a55163
bde69d 13994d 2841fb d760c2 a80a79 f5bce1
b45224 ac958a bfe95c 146d6c 23dafd 139ad1
735b53 63d302 ccdcc3 139b04 9a0b83 e75dc4
cda332 139bf5 c4d9f1 694da5 ff6096 a84c54
8ab51f 2c6a21 88eabc 139c8c d60bd1 ff95f6
979307 a3d280 39eaf5 139cac 6d3bbe a84056
b1b42f 477f40 78e6e4 139de8 2a4de5 815577
ffd043 8daa6b 74dcc4 139eb3 504eb9 c5042e
139f05 36de58 7e35f3 e8c1f5 d66bd4 923550
c8c61a 139f56 abd2e2 7f06ee e265fe 855389
e24021 adb3a5 6bf52e 13a1bf 8503f8 965174
34ef8d 13a276 9847df e989ca 972e65 e90418
7d7673 fec94c 13a2f9 b4cbdd 1f67c2 f31e21
fad62e 13a804 236b2b 79e2ce cca9fc ab50c1
e4c3ac 9dd10c 85f1fc 13acff b6238b f0063d
acea9c 13b187 6b5874 edb4f6 e420e3 d8232a
f60503 c7cc15 32f9d6 13b1b5 3f636d b829d0
885346 d05e10 e6b85c 51f9d0 13b1bb 742fd8
efac6a 52622d 40fed8 13b2cc a6309e ed3e70
286f05 13b40e 35f582 ac9fc7 7f4ac7 c35271
c17e1d a1f215 13b597 917ab4 ecb2e7 b41453
cf2315 b9be54 13b79b 65f2ed dd36dd 813e79
86f574 13b8a3 394fd5 e0dbee b77ee7 d91d56
e19a3b 804c04 b8cdb8 13b8cc a34fee ca166c
a6c30d 67772e 13bc87 df39cd f698df 893b70
f76a57 ffc4ba a4f919 13bee1 7429df ad276c
c7da35 406e3c 13c080 b9e2fb 864fa9 d18bfd
88403f fb5d0b c3d198 13c3e0 6e70c3 b27f91
e2c8b7 b55b0c 9cef44 4a9277 13c3f3 6b41cf
1d811f 13c44c b2a1fa 721fe2 ff1aa5 edb9c8
1f8124 13c472 bae7e1 868b91 d19df4 9553bb
78721d dddf5b b2dcc8 13c5df 354eda e93786
8e4c47 b1d9b2 13c62c 7e05e6 e5a5f2 ed099f
8d9532 bdd469 3e652b 13c6c0 bd50e4 a82481
a3cc1d 658125 13c793 ea0dd7 f2d1eb 9f2e5e
c3544c ddba6c 839495 13c7f7 4c59e6 695577
d0b338 53812d 13c8a9 b9cdfe de06d4 925272
c4300d b8ab91 9bed4e 408186 13ccf4 8524ad
daba1f 13ceab c1e3fb ad9be8 7816e2 dd0259
13d960 bb8af0 884ab3 d96994 a51a4b f9bdcf
e0d62f 409356 13da9e c4bcfc a571cc a10f67
6f620c 13dc36 3546ed b6a7f3 b74075 fa7198
13de15 1c9e34 d4c9f0 910efb c668f6 8a4c5b
f7d59a 5d6d17 52b20f 13dee3 6d1ff5 dc3d87
dfb507 90b695 13dfe0 157c7e cc41e4 ac0448
13e044 748794 c00efd dac7dd fd6afb 9e323f
d07955 81500a aee781 13e1e8 198fee 685f73
ed9227 c7e9ab 38959f 13e4ff 8926ab c84147
8e5100 c09512 657e6a 13e6ac 3291ee 6423fe
55a326 336c1a 13e78c 185cf7 dbaecb c8007f
8d7767 d18312 b4ed18 13e9b1 6a8ed8 9f0573
ded0cf 376d05 13ea53 28a766 f58dec cd0baa
716d2a 13eb46 7088f3 7e12f8 a20760 ec687b
635756 d7230c 13ec78 3fa191 e0a9f6 cb3dcd
da0e08 7dad81 13ed53 dbc3f4 8f25ed b96fab
6db826 398100 13eeb3 62576a e994fa c540c0
dedf75 37a352 13eedd 9c52e7 9f1479 cc74a0
c76c06 cdc25d 1d8778 13efe0 9e86d7 9c01c0
cab754 888014 13effc a98df6 a014f5 d51075
13f183 419c85 8a5bfd cca3e9 93306d d50310
13f33b 366b63 53a5a0 dacffc bc16af dd0116
ff827c cdeb2f 13f3f3 16a1d9 8412cb c91767
6c5723 a88e4b 13f409 bbc1f6 a71486 f255a4
13f45a 6e9ce3 8042f8 8f3e67 dd9da7 e22f44
