# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
e69f97 af3108 a7ae0d 447c62 a0edfd 004ffa 9593e5 f81ca2
973525 ce6115 c4a87b a7e83e 5f7f77 20ffd9 07a3ba 8e36b5
8eab51 65f93e 07a49c c4c7f9 7743fd b07dea 7f4688 b54d58
835546 cadc46 07a506 88efc9 98afb9 6c758f b381ff 7c32c3
ceb231 c2dbb7 07a57e 18dae0 603bfb 8a7db2 6b546f c3041a
72fc26 b0caa4 07a643 818584 9e48eb d08cf3 8d4083 a51539
cee709 8db246 2ae4c6 07a698 4f48cb 695c7b fa88fa ab5056
8ee343 247304 07a74d 9f8ee7 7426d4 e6cbe2 9e5090 c095a2
e7b087 a8f716 798a71 07a802 2ef6de 7a0eff ff1ac5 982760
af3a0f 9fca20 07a96e 1a675b 45eae6 b47ff4 7f39bd b36a99
f5c469 07aa0c 57ded3 613fe8 c390eb 9f5990 b12b50 de808f
e5ae26 686f35 7ce2a7 07ae96 276b7d cab8f4 7e17d6 aa66d1
7f5e53 f8d289 8aac17 07af89 4de1fa 5a5ceb a57fbf 9a2073
963409 e5d700 07b22e 6afcae 556665 b8bec7 f97dff e019b2
9a4b3c ad8504 eecc34 9fb7a5 18f4ff 1a666d 07b2c6 7d5cca
e3e442 56683c 869083 07b32b 34edb4 ae06c3 724d6c de81cc
5cf602 07b33f 6a7170 6328f8 efcefd ae58c0 fe7fa9 b3272e
5d6d08 41f629 b4bcb5 07b35d 4942ee b671cb f7a1f0 ba3f71
865914 72f272 07b50f 96a29a 0f5daa dbdced 726e75 cf8de5
b5af26 96eba6 07b5f7 2044fe e4d9ef 8656a2 ec618c b40732
b7230a 697b68 69e975 07b624 4851c4 cbb0fc ab7baf fabed1
d4b5ac 6c6512 abf705 07b62a 40effc 7d11ed b654e0 ad3080
bb0402 f6de1d 07b65a 3a7f5d 10f0a8 cad6fd 830cd3 e649ba
ee1b0d a3e842 07b990 24fdcc 5d4aac d4bff0 c56ab7 ac175d
ea736a d1cb18 bedcbc 64f7fd 07b9d1 bb00b9 6e4f68 c0022f
a5140e a9ef44 07bb36 5ae0fc 868bc0 9c0ba3 a17e85 e6aaab
c6eab4 07c11a 138343 10f5fa 947af4 8b04fd e02698 e894b1
c8cd6d 296d01 89918c 55fecf 07c1ca 127fe1 94518a f21247
626213 dce0b5 7bb700 9df113 3892a0 07c2f4 ad2ff3 df1075
859a7c 3b7835 a3dfa7 07c31d b015d5 e6b4e7 ec55eb 6e5865
67582c 9cdc4e 639649 07c4ff 1364b1 e3daea ad7a9e ee9ba5
418225 07c628 77f9b6 833dec c777ea f6c0f0 a72170 ed4881
949c89 127e0c 07c629 48ff90 b3c2fc 932ef7 b072bf 9e1185
edd0bc 9fac43 426e00 87ff12 6f9c88 07c8df 922bf9 bc51a5
e96522 7b4d06 f2dc03 07ce91 bfc3ff a394b0 be22d8 ac195c
f9c05c 6d980c b7e7cb 0b6e3c 07cee6 8067f9 b24988 b98a90
fad2bd 94520f a7eb42 79ae51 07cfea 0b7be1 716888 d28ca6
f4d3c1 9ddc4f 6fa546 07d0de 6326fe 9261d0 d87e9d b2204b
527508 07d36e e0d8fe af95fd 9f4aff 970598 b086a6 73565e
d88b40 a06000 f4d934 07d4a0 9299ba cfd2e9 685fc2 ba0957
ebdba3 07d516 18744e bed8ed 9764fb 6b15f5 875793 de9299
e7dbce 07d571 748e9e c1d6fb cd8af6 b02df0 6f595f c6081a
d64512 efdaa6 07d72e b6d1d9 4146fb e165cf 8e8288 8b3b57
e69c02 738750 07d78a cfd9f2 99a0f7 ba20d3 754b67 aa8395
f86010 d3cb8d bbf400 37a398 07d9da 436a6c ce3bd2 ab0b36
9ff605 0fa316 07daac fd9ff9 ba1baf a28699 81526b a70a26
705f1e a6b22f b6f189 608c76 07dac7 6b0cfc c363fd b01394
9a9a8f dbddc9 85ca61 2e7d1d 07dbec 8110ee c05ef1 ab408c
d44537 8f9d90 07dc55 bce4cd 503efd e9c3f6 d774f6 87547e
e89d48 07dcbf 29a1a1 b4c3ff 9c80f4 813ace a0245e df181c
dcc7c2 665905 97ab16 9ef477 07defe 6399c2 6855b4 cc2d64
c1a091 fdd3b5 4b8a43 07e13a d6cef4 863cfe 9b1978 f14eb7
c9b226 7e742a b2f0a3 07e1e2 7c97d0 335dde 932183 e23d87
e2d50b ade9ae 43b548 07e1f5 1567f1 6c5c8b d880ab b00226
7a4d4d c53104 07e251 20a373 2957f3 70758d bba5d1 fab5bd
f04814 f2d63a 73b97a beebc6 23876a 07e4ff 7e28d2 a66fae
5f9f01 d3e1d2 07e64e bb8afe 803ad5 f9bffe eb5da3 cb0557
884949 7a8013 7ebf14 07e6a0 6883e8 d3c3f7 6e15ef d56088
bfe232 70c175 1f8e47 07e6f7 ae8cfb b32bb7 6e5568 ba8ba1
8a8f27 a5c840 556637 28987f 07e7e5 5a2ff2 f357fe a83b9a
b60900 c0eac4 07e84b 89a9ad a97df2 8b2a9f f3c6f8 dd515c
f3d3bb 4a724d 1fae33 07e927 b89ffc 701efb 994ca2 cc8aa8
fd0d0d b08b6f 07e952 4a8389 b08dfb 970fe9 a32a51 f8bfc3
69574e 97904e 07eb1f 1b79ec d6daed da9bf7 be0f99 de739f
c08411 526329 07ef02 b8d9c6 209e72 9052d9 cfb3ed 9f2d77
278333 07ef3f 72a79c cadadd 6b01fe f598fc 6c616b ea10c7
b0522c c88f04 07ef73 499294 b4aaed 8365c9 6f525e e4d6db
958c36 dae254 53600e 72c191 07f0f2 2452f0 f261eb b9288a
757133 8ea56a c0e8c3 07f125 35a39e dca3eb e00bf2 9a2779
f7d1be 85d935 07f1fd 5b58cf a18bd7 8f3165 dd8da2 e13a44
90897f aef126 557031 6abf50 07f3cd d2ace8 cd16f3 765079
edc75f 4c8036 9fac9e 07f3f9 7f1ec8 e43ef7 a07aa1 a52e68
eecaaf 55a326 07f41c d6ddf8 6d3de1 fa6ee2 c20854 b68b94
695e1d 1eb205 07f571 d2d9f4 2d3ffd 7364aa ae88fa dd82aa
f48d01 07f78c 6b8ee4 9ca0ac dad7f0 8238f4 ad1780 e41524
b8937e f68b07 60631c 07f79f b4cee1 758ebb 7122df b40a6b
edbe46 127d14 07f8b1 38aadc d4d9fe a62dd8 9d246a f74c70
f5dc56 409d13 07fabe b4cbe2 5d35e6 cf60e5 c5196f fa6289
785c4b c15d13 cdd234 5bbe85 07fae5 627883 9c0dfd d17fdd
7e4f45 a1a949 a6eb11 07faf7 7c94eb 8531f2 e8249a f29bb7
cf663f 07fb5d 742cf6 aa7af3 e4d0fc 9c5b96 fe97b2 aa0008
c2c936 8dbd98 6a8582 07fbe5 5c3de8 a46ac4 ec93f9 c32a39
d87b24 7f7961 c9de60 7eb9a3 07fbff 5042de c985f7 a13478
b0c38c 73963f 07fc2c 37714b 68a5e1 4167fd a73091 ca7996
1db148 07fc89 c6e2f8 4c52f0 c892fb b94c98 f090ad b3060a
ba3323 a0d852 07fdcb 515e5f 8485f6 7d44ae fabaff b69398
c91d02 d38d5a edd8bd 07fe3a a7bcfe 4854fa 8c899e 9b238a
84b517 4f644f 07ff98 12a1e6 3c58e3 ceccfc 906090 d47f81
eba570 ebe210 41802b 76e5da 6d97de 084df2 ac2d8b af778b
c6a298 776958 e2e1a0 35a129 8ae8ea 084eef ae1b86 e555b2
e57e01 9af61d 20cd83 20947b 084ef4 9d60a8 e3a0d4 c80c35
d9301f edc9b9 929976 4adf36 0852df d5dbf7 ea62b5 a63f77
7a4c49 edc56d 657f1b 1bf2f1 0853f7 9690e4 c94d95 ff85a1
d82b0a 7a655e c1956b c2ce32 7df2ac 48929b 0854e9 9e7cfd
ad4d39 b9bf3b 38ffb5 2cabd5 bfd8f3 0856fe 7c7581 7d4189
d80d05 e5e127 3d9967 48e69b 4c5e57 0856fe 8b388d ef84c8
e8dcad 18c741 aad8ff 085de6 a984e2 932e69 cd1d3c c78b93
fdd96e 88a94f c7ddd0 7bcdfb 1c96eb 0861bb c77496 bf0b54
d66262 e2b49d c2e344 16cad1 0862b6 8b86f7 6a6376 9e213a
cc190b 967c66 2edc26 0862fa 635a92 eb78d5 f2c3d3 804455
dde806 2c751e 11cb5b addbcf 0866f6 ef8de9 93237d a97599
c48d03 8d937a 99ea1b 08686e 6991ae 8755dd f3b5cd c90422
e3de24 95ac1d 677c27 086951 4c948b a0c6cd d667f1 b50b9f
f9bfbe c5e65d 45b16c 4adafc 086aac 998193 804458 bd2223
2aa740 9faaa1 0ff375 086b40 71777e c2d8f7 7a45a1 cc66f2
5e7450 98f763 a2ad9e 26b014 086b81 a81fed d878e1 febbf4
c63e0b 78fc06 5c6a59 78a17a c0cac6 086cd8 f794f9 853d7e
884b45 d7a283 e26606 c3d632 54f2fe 87abb3 4d6d7f 086dff
fdc402 8d972f bad095 086e03 9de7eb 39a8f3 7c53c2 9d3569
e7bab5 ad887b c3e55a 81a910 6bb8e3 086edd 726f88 a6164c
cebdb8 938217 85fd24 086f4a 798d8d adbae4 e727e0 a42886
b1b342 caef13 708605 92eeb1 086f4f 9829e0 de73f8 e23da0
757e16 95f93f 15cc5f 086f52 a21ff8 d161e3 b0108b e0bfd2
b99f07 c5c4be a6f159 4ce7fe 086f83 4598da 9c00e9 c9044a
ebd86d 81a222 08700f 36c2ac b8d1fd bb88ea 931bff ab6072
992f0b d9b9a4 86f80e 36a428 087054 aeb0e3 776fa5 9500f0
4b6807 4fab20 6bf048 08707e dddbec b77ff5 a905dd df88b1
c53d15 cde90b 5ec461 6c8c6e 087276 9c0cf5 d06ef3 fdbbe3
7b5800 d6e318 71796a 4ba72d a8dcc9 087290 6b2cdf e784cc
df5e30 c4dd56 a5edcc 27bc87 0872e5 768191 c29cf3 a20b5c
a7cd48 08733d 7ae1bb 08a1fb 9a21ff e9c3f9 87308d f33379
c4e66f 829f75 0ff1d8 08749d b78aee 7901f9 874f5a db0c1d
983f27 e06c07 9a9f85 afe040 40dcd7 087575 7818dd ae56c7
e38f13 ffd663 77906f 087621 6ccbb1 bf9fdc ba4bdc 6f536a
c75c09 f49947 d1e3be 08775c 3ea794 ab8ddd 8a10c6 f1c1ee
fac7b9 93ca0f 087a1c 9dedfc 9f15ff fa4ff0 d00494 af787a
b7d621 6ea00f 087a2e 15bf96 65f5e8 7612ee f434df 9c607e
e93d22 bfee0f 8ea898 39f4a6 087b77 855fc0 c98de5 a52b45
957978 cae993 6dcd05 087c0c ac8bf6 863cf8 913c84 eea6c6
a72b0d c9a654 dbe31a aee0c7 087c6a 5ba3f8 861db8 f923ab
f3d8aa a7b91b 737e37 6aae9d 087c87 72e3f9 cc35f2 814551
d2ad29 b5eb9e 087d0d 67a185 36dbcf ff42f5 c024a3 814a5d
56af2a 13f645 088038 dbd4fe a38ef1 8f19d9 d40284 e69bb7
e5dada b86905 91a480 42d237 08807a 7668c0 c299ba ba054e
a0532f f39b09 93928c 73e0c8 0881be 6418fd d5adf9 6e5a64
aed863 08835a 1df0f2 5ca0f4 8924cd ef39ab cca2a5 c00608
cfe90c 088432 48d47d 7d06fd e430bd 9e0b6b eab1cf 9f8c90
47f18c 7ca79e 088799 d1dbe4 b88df1 8338d3 ad0319 e75761
e0734c 7a540b b5baae 69fd86 08898b 831eef b35fe3 e8a3ff
d6bab6 9f5002 16f25a 088c62 c1d5f5 6810fe 7a4aa0 dc75af
a8712b ebd819 90b57c bceacd 088e78 1cc9cb ef20fe a00793
b05f2e fe7f26 34d28e 496467 0890f7 d9daf4 8405fe bf8eaf
8c4312 c96e19 11fc6b 089276 536377 8b3dcc c278e1 ecd5e5
a5887f c4c39d 27f32b 08931a c9e1f4 5e3bd7 e461c1 b51d72
e0c6a9 c0f237 089423 7bebf1 84a8db 7730db 914b68 999495
82493e 8bfb29 a8bc97 5a9a3f 0899fb 8a02ee f0c5ee d13d9d
ebd82f 089a4a 616865 4af0a9 8b9796 cbc1f0 de27f4 853985
d9d806 7ea64e bae7ba 206a36 089a8c 14e4f2 a471e9 7d4a88
b04309 83ad26 85f60f 089ae0 2545fd ecd6ee 906d76 f89ea2
bf866c 546c1b d3e1b4 7fdd33 089bfb 5834ec e533af f2b5d8
7e5d50 6bf764 089c1c 9d87e2 632af1 d6c6fb a81679 fa779a
eea3a0 c6de35 089d41 74f0e3 41656b adadfd c00efd f650ae
eae001 69e18f 089d54 8c9ea3 cbd1df 8039bf ac70cc 85415a
605b3b e6df36 579102 69d2b1 089dc8 cccff9 8e1ede d01a84
c8ef42 61d280 089e3f 9294a3 c882f3 9146b5 f5c5e3 a03c5e
b78783 e9cd3c 089f11 88f3db a2a1e7 6949f3 7e6e94 a80554
666a39 90b704 b0f436 4ce0ad 08a584 7c06ea 9c4dae b98bc3
68a623 396b11 8fe169 08a6f8 d9d6e4 8f30b6 bb3e70 ea819b
d95111 3eff70 a9cabc 08a770 36716b 7a20df c36de0 f4b3fa
b0471f 7ed56f 08a87d dbd7fc 6f36e5 a06bf8 bc8fba 63575b
d9e680 08a96c 69ece0 3c4ff0 a4a2e3 be4193 754d58 d00915
c14948 88b722 19ec9b 08a990 4e6d79 ccacfa 761fdf b554fb
ac0706 8fdd56 08aa07 67786b 8b1bf3 dcc5e9 dd68dd 9a4a92
aecf08 5de4ab 08ab70 2962b0 816c7f fc79e4 a12030 f50813
db6225 f7b144 cae5c9 08ab84 45ebf7 186b7c af16e5 c282d3
a7a883 658116 9fe064 43fcce 08abc9 8863ff 8a2799 b22760
ced746 7d9d0b 2f6d35 08af7d 48f8ee aea8fd 932af8 a969b1
5bff23 9abb94 08b100 dd06df 932c81 f19bd5 956e80 bf0542
efd5d4 147c1b 08b117 37eb5b 9ca0a8 8f31f9 b368ca 7a515e
dce425 08b187 15f1cf 5b30f6 9656b1 dc7cf1 b1205f f71133
f0d3c2 7fdf4b 08b1fa 1359fd b0b2c0 882b98 cf6084 d2161d
d96e09 29fb6b 08b381 9c96e0 756b88 ae2cf6 a50948 f4b9c9
ab7b0e 1df405 08b388 477582 aebccb 8a05ec fa48fa 9b3038
766b6a e58b03 96e586 08b479 b2a8cb d713b3 f3d4de d90005
b10707 40f43d 527d5a 08b556 e2d2f5 9b14d1 dc42a4 ffaeb4
b85c22 e3b13c d4e3af 7b9f80 246c66 9dd4d5 08b6e5 775fc6
cacba1 4a6302 86d81f 45fbf3 08b7d2 663ee3 865f9c f2054a
94d735 5da432 177520 08b7f5 7464f2 ded4e6 f50b8f f69ca2
d4e585 89b805 33680a 08b882 93ded1 a881c0 ac1ce4 6e5574
d5d21b 6a7851 7ff6da 08b8aa 346d76 c2bdff 760ceb e33ae9
f1ba40 7a8f5a 80f3bc 08b8ab 6538ef dbc1fe ce68f4 984278
a04629 b2a798 aeec4f 08b92d 3fecd9 722ad6 e26dee 93727e
f1b6ab 98a349 566c0e 1afd0c 08b9c7 9a43e3 991083 d74389
99981d 5a784a 7aeb41 08b9ee d6dce3 316eff b1158e d07e93
d1a78b 6eed12 507146 10a102 08bafe 928ca6 e1daed 743ad1
bb2c2c d2e3b7 59fb29 08bb1e 9872df 6f28e8 87526d f095c1
895543 93928d d1eb01 08be20 a8ddcd 1d7995 8710db da9efa
dcdba0 55844e 08be3c b3d2d8 b795ff a506b5 60575c fc329d
8df29b 08bf2c 178571 c8baff f303df a20e8a c8a5b3 c70406
6c6559 f0d363 759d4a 08bfad 66f9eb 3c41f5 c7affe c359c4
e3766c e2cd53 cbe2ca 08c0f4 9d87a1 b825c3 754a60 c70324
9a6e64 df6b10 d0d35b 97f0f8 08c1f5 7d43bf 9f1166 e49cab
7aff30 9fb9a1 08c618 4b8872 4047f2 d7abf5 a478ac cd232a
b01919 b09280 f27919 c6d6b2 08cbf0 2c80f4 405b92 756870
816942 8aa519 c5e45a 08cddd 677dc1 8603fc a01573 ed758c
d9e204 569f1e 08ce87 4f6461 b5cddf 4e38f0 bf90f3 a05fa5
846335 efd351 8ca404 08cef7 837ce0 6428fe cd0086 f0859a
f1c9c3 366e2f 08d148 1363df 7b94bb c7c3fb a00070 d75272
d53301 9cbb0d 169762 08d3a1 bfddf2 7059dc c188c6 7a4575
615b00 d3cd51 8f8b1f beded8 08d4fe 589dae 9940ed ab0461
c43203 dad520 8baf81 bae9e3 2a746c 08d5fe 7619f4 c04dbd
a21f05 a7ee12 6e8953 08d97b 1069f4 e7a9f5 8b3b8d b0759d
abf330 08db85 439d84 406473 a503f4 fb3ed6 e6c1d5 c4012a
7c8f32 a4f837 08db93 7c5df3 c7baeb 84348c e2549c a52949
ba9938 f9d715 a7d6a3 959a96 08dcda 6198c1 8b3ea3 c43549
fdbda3 de793a a8f016 08dde6 19a2b4 426178 b61ae7 bb0829
5e673b bec6be 08df4c 51997f 2c6487 b63af1 f8c3ff f270f9
7b8919 c9e6d3 08df72 8074fe 772cd0 dfb7e5 f769a3 b73e6f
9a7305 ead988 90ab7b 466958 08e1cf 3b98fc 7a36fa e9229d
ae0b03 9c9d04 d2eb06 08e384 0d754f de0fe3 875b84 fa92dd
dbe85c 54730d 0cbc1f b1e3c3 08e4f6 9f90b1 a92cb9 d72e77
9d8b0c 506d33 08e56a 4fa588 950bf7 e1bada fc34d3 a11468
bfef0d 08e598 64a598 ad99e7 8841fc 9f4282 f8bedf eb2438
fbd245 c19b06 99c7a2 50937e 08e8f0 6945dd 896fa3 c90c1b
fdcdc7 c97921 08ea4c 539688 425f85 c3b3ed bc05fa c10443
d06b3e decec3 939390 08eb21 206ce4 e78deb 952e65 b50004
c93015 d19c46 dbdfcd 5f6a5e 08ebfe 09667e 4ba2bc b91de4
4c7019 adc6b5 0daf42 08ef57 5444de f7c5f7 ca77c0 a04183
a2890b 08f025 61a0a2 b4bdf3 5b589b ad7ffe b5415b f0d4d6
f90d01 aa6f5f fa9767 fadd16 08f0fc 80a9f6 6e24fd 805fa0
bea396 f46401 6d6858 08f168 43a1c2 c2d3ff 7f56e0 a71585
ab1202 86ac0f 9ef82b 08f2f8 6b678a c369f5 a1595e fea1a4
9a8711 08f350 c7e0d3 3ea5a8 20656b c9a7fe 9925c8 ac1c30
82a546 0b761a 08f370 1572ff 79a1f2 d5d9f6 b81f9c df8eab
dc7a05 bdea1d 0c8759 08f4b0 6126f4 a068ff bfa7c6 ab1581
675947 e0c641 2fa345 08f5b3 9bb0dc bb0efb b11c8c 988f92
dc885c 626d1b c5eaaf 08f600 2fa5e0 9537ee 9f187f dab7c9
84ce11 506a41 139b06 08f6c7 e2bcf6 993dc4 d772ee db458a
d4be29 bfeda7 38726c 08f6fa 5a98fb 942ba6 f17aaa d7141c
367a22 c7e1ce 08f74d 2ab76c 6e0bf9 a24fc6 ce9bdc a9066e
d9c35a a58a04 637142 9ba298 08f7ca 2a4efa e561c3 cb0a81
907268 aa3d09 9abb9e 08f86d 625e7d 8804ce f224ea fba4e1
f5ac4c 4d8a26 08f8b5 9f69f4 6b0ff9 caa8e8 87428c f95598
fcc2b3 e48e19 836912 08f8f9 689b9c 2c53e5 a87ff1 ad1e67
b2f629 278512 28c342 08f9c3 6d39de cdaed5 da69ef d10a75
fb3004 91db39 7c9c70 08f9c7 ac1eac c793c4 6c5c62 aa1119
735f08 b8baa6 3bcd3e 08f9fd 8490b8 4760df 9e0087 e91174
bf0d0a 77af2d 08fa85 cadfe0 094ff7 b03a92 fe61b8 967778
d1c8a0 08fb11 5632f1 7559a0 ba70fb f08fce b50840 f44559
f83a02 91c48c 08fb1f 6536e9 805f87 d877e1 ffcde6 af2a47
d4ec18 3c7114 69c253 08fbc0 325af7 9d86fc e598c6 eb058d
ecdac2 b09c3b 08fd17 b9cff4 5283fe 720ff1 dd6497 9d4148
b1614e e7d1b9 7cd736 08fdfe 0f9be5 656c88 8825c6 ae9899
b1160c b18655 b7c1b4 08fe3b 34969b 7329da edadfd f536fd
ce4613 dab318 4d8169 08feab 41bc99 c0cbf9 8b35cb bd69f9
d30505 96b05b 08ff32 299081 bfcffe 971ab6 e444ea e0bfc1
d38f3c bebfb4 08ff7f 6db4ce 3951fc 8e3190 8a7381 c82e47
aa2b03 abd623 649752 08ffaa 4db3da 1a58cc 83748b bca3a4
a5631a 67cc20 7f9678 08ffb9 3d686d d4c7f1 8f33da cb84fd
5d671d b8e091 48c610 22fcff 094cec 7d7af5 be3d77 f884b4
c9ccad 406f02 3cdf1f 879f9b 094cf2 cb7ee7 ad3d83 eb3f5b
6b732d d7dec4 4fb543 3dfb47 094df0 fe94e4 b73c8c b39e9f
e58974 ad2b03 3cff17 5e6d67 094fea 6e8ffe bcbbe1 9e5a9e
eeae12 d1dca3 3abfbb 77f5fa 094fee b17be9 ab3887 f44250
c1f227 8cbb6e 248e64 79e5ec 094ff9 6f5d81 c07cca c8030e
fa591b 84f636 11c496 0952e0 9684cf dfc4f4 725f7b b10b43
a1756d f57b1d 3bf08c 85a1c9 5c6c89 0952ec d2d6f5 d70e15
b77f7d d55119 d1bb6c 42f4e1 0953ff 95b1f7 7879ac 764e55
ee110e c1e09c 0955f7 9993c2 6d4d88 fccbee b54e5f c3969b
6e5451 998377 a25608 b9ef05 59c65e 0956f7 6f748d f38dc7
5f6003 79931e 9eda4d 3cb884 0ceef2 0956fe d66dcd a73783
f0571d 796b5e b9e604 60b9fa 0957d9 697c9e d6a8af ba0e0f
e5ad9a c8e21c 83a804 4c761d acebe5 2fbeec 0957fc f6188b
9b6501 9be429 739174 15feb0 0958c8 5e9dfa 6b6075 c6abbb
7b4e31 cfbbaa 8bc92d 28a04e 21f6f8 095af4 7e6faa b396ff
b91405 e8a600 bddd9b 1e9f5a 87eff2 095cb8 74787f bb9ef5
6a6407 969447 33ed62 abbeb1 6988a9 095cc0 f5cffd ae3265
947570 c16901 b1d902 47f8a2 1ba6aa 095cfb 5c5b92 e7a3f7
975b41 5ef46d 28b639 0960ed d7d5fd a497cd d40187 d3aaab
c67e18 dfe428 64ebaa 529482 0961e9 b5b1cb 8075a4 ac0a0d
83de17 0ffee5 0964ed 7e6a95 cd9ef4 a40e49 e88492 f3102f
982f2c c2ebb6 0df230 3fab5f 0965c2 9f93ce d1bacb 836379
bc1204 88c217 60f5c0 09679e a38be1 e2bef3 7e4652 bc8088
a3331d e1d85c 8fa500 619582 a1d7cc 096871 9623e2 ef5dee
e1d6c9 7f6c45 5da502 6ddf57 096878 8209fa f929de b196a7
a82d11 d17132 e6be44 96b2a1 09695b 81e6f1 b884e8 a33abf
b02f01 c1ebac 45e61c 7b8d7d 09696b 9702ff d7c3d2 f32ec0
dbe58f 2ccf06 5a7c61 92a3ab 0969d1 fe90ff 8f3b75 a90009
9e5c01 30f905 cbe0c8 13b383 096a5e 857da0 9f03e8 daa8d5
7b621f c2ac0a 81ef94 669fde 096ae8 d6daf8 a00466 b85c75
617c25 63b80f 97f496 096b53 d5c5f1 b17efb b120a6 e09aa8
b56d55 bacc42 51bda0 34f3f9 69838b 096ba1 af7bfa ab040b
a49188 826610 e2dd9e 84b72b 41dde1 096c73 8108d3 cb4edb
21ef34 096d20 10ac5e d0dcde dba8fc b108eb b5067a f840ae
d28a81 996244 e8e184 a6b515 096d6f 6be9f2 5f9ab6 8534e9
a35e41 f38c4d d1e5b4 096d72 7fdafa 8b979d 4d92d0 941cd8
c64d4b c99005 eccf36 28dfac 2da1a4 096d88 9983fa 7a11e7
feda38 899f55 096e08 29f5ad 1667f9 ee77d5 884976 a8808e
b9650c f6b430 d1cdaf 096e50 15cfee 5e8cdb 7036f9 9c8a96
a69921 4af82c 096e56 3a9dde 9d13df d8bfd7 f20299 f08f95
e68f1d c3c0ae 096f06 46eefb 1e99fc 7f33fe ee0e9f 825461
ae4820 adbd13 799678 8ad7ae 096f6b b47cf0 8223bc fcc3fe
8f4302 bda422 52f393 096f9f 0ea1f4 929faa f4c9ef dd305e
b42f0c c7a922 87906e b8eaab 7aaabb 0970fc a14599 635c5d
bebca9 677622 80f470 0dc11f 097170 7d0fea c94cda fe9be8
9c9491 b3e149 5ba40a 09734d 53fac0 8000d8 b74fe5 e099d2
94be44 09740a 56f4c7 509a98 dbc4f5 c181f0 a80bf5 ef0368
d7d867 64900c 09746e 15f9ef 74aefb 9154df d96dac ab0a42
f4d886 abb605 097511 83d6c6 b415e9 e46ff9 9d1779 d64e7f
914018 88ad5d 4ff456 c9e0cd 09755f 1da696 9753bc d8aae3
b08c87 a61c07 df5413 40de59 0975c9 b39aff edb5d4 994d61
c97c7c 7ab112 bbeb82 097613 09bebc 8475ec 760cef c1058c
78564e bf3a00 bb9d02 f8d71c 53d5b5 09768d a385f3 7d19d3
fccdb2 a7d609 699903 097747 46e5ec 198aed 7805f8 f33292
d2e4c8 84997e 18f157 09777a 723aaf b06ccc e7a5d1 b8010d
99845e 9dc328 49f2a1 11b0cc 58676b 0977ab ead7e9 9a2f31
fdbfab 6d6532 d5e92c 7fae13 7cd0e5 0978ba a70470 a78f9a
ab2b01 ccbd95 b8e92e 5aad10 09795f 30e5f1 766a93 cf1cff
675c5a dac19e 35c516 097b08 32f2ea 767ded 403afa fd1792
725b17 adbba6 44c030 7afb81 097b66 8770da 7d09db e5adf2
90ab10 c8eb65 097d11 7fe0b9 37ab87 d2a9fa c50eb7 804a68
d29491 edd296 94ad29 097f1a 2fc4d8 8d57f4 990d8d 856b7a
6cb576 097f1b 0bff6c 1086fd 6f1eef d4b5f4 aa50a1 6e5a5f
c1881e 2ce874 70a996 c0dfdd 097f89 9b54f4 cca1e5 bb253b
b9210c f5be27 77b373 09815b 22f0ca c6b1fb 6909ff da3db3
dc1b03 fe9419 7bf6b8 098358 31bb9d 8885d2 e5befe 9a0ec7
755200 9b945d cbcb8f 34ccca 098491 9694f8 7c26e1 b81b66
928a83 efdaac afdd19 555d54 09861f 20c9c1 7b0afc b44dc4
b12c2b eacba7 b1ef05 81ae2f 6bc5d8 0986f2 83447e c96e7d
a87966 f3b598 73b405 9ff72d 0dc1d6 0989b2 812ffb 963a63
be8f54 6d5a00 e9e23c 86aaa2 65eaed 098ebc 8b0cfd b42e6d
645850 d9d6d1 8ee660 098f2f 24b7f2 814df6 af178a f54aab
f2ae9c 865731 a08e3e 86fd3b 099085 92a5ea d3cde2 6f45b1
b07700 82c75f 4dffc1 099287 5f539e fb53f4 efbee9 b8003d
ebc1ba 9f530f 12d540 0992e5 cbddfe 7f7f93 6b39f1 6d5356
aa2b1b fdc8b3 8aab0b 81ff2c 099479 41c4ef 4f597c d205fa
d51703 ebe20d 6ccc6a 09965e 636e77 c3c0db be49e9 8d1ea1
ce500f 635f4e 889082 4ad96f 0998b7 1c647d c2d5dc a705f1
f64808 d6cf14 29e49c 09997e c5dbed 919edb a232fb 91347c
7c681d d3e571 88b803 099b85 39d1fd 536683 a270e7 8024cf
774d3b a7c40d 099d43 72f1df 5d6c76 c98ee2 cb00cd fd7f9d
8c3f1c 7ea31c 2df27e 099d6f 474cff 675298 d676b6 fdc7e1
50eb56 099e26 cbcbf7 9980e4 833bce bf6d94 8c4659 d6aaae
ad6028 e29d15 30f6a5 32665e 099e9a bb6bf9 863fa8 ffc7fe
f3800a 8e7a60 ffcd7d 98b3a2 75d9e7 099ec0 7344fd 933970
e0712b b2bb98 73f864 099ee5 8e0bed 9d1c87 f2bfe2 a57072
df8c25 e6e30b 3c7036 47dea4 099f7d 9b94c9 9a25f3 9c4084
ac5710 edbf4e d4d6c9 5a6359 09a28b a2a7f9 760fe8 9f57ca
daa170 925e20 d0e53b a4cddc 09a2ed 6c8998 8337cf a40f59
9c7809 d8c171 5d643f 09a47e 17d9c3 36646e 9a08f5 f95ff8
