# colors_mcd16.0_mld2_nc10_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
85790b b6ec41 7ab508 0ec584 01815f 67fae8 0046fc cab0ff a11196 ff1eb5
d00c09 f39624 fed496 8eab8d 0e8881 7ed2dc 5b2bf7 714d96 ae73d2 a53e54
7a7f38 91de5f 10fef8 58c0f0 0e88f3 7915fb e919ad 9b2558 b97c8c cbbabe
795b52 d7bfa9 999d1c 527702 9bfa24 0e8a83 97b2c8 d207e9 951988 f2087e
b50e01 cba6a3 eadcbc abd32b 0e8b86 3cf3f6 65b7e3 af24b3 6f5056 f33744
f4d12b 95a211 94e093 0e8c6a 10fee5 32c3c6 a55bd9 784c76 ff569e c80d19
c9ee0d 4b6918 5aa91d 4eda72 0e8cc2 a3a8b2 8d18f7 edb8fd 9f1160 f92180
bfc521 71ab61 0e8d03 2bedad d0d1fb 5a45f3 af70e8 8b3191 dd80a5 c02a63
e5b1af b73714 7ba341 28f257 0e8e7e bfe7ec 49617e b5b1e0 da09db 863f4d
e6d7ce 84740f 7dd743 0e8f63 20e8fd 3aaaf4 424bd2 c0639b 943a6b c3a3ae
e2d4c5 9be900 73b574 0e9134 acacb0 750cfc f90aea a6179d f69af0 917884
8d4007 d1d921 94ab09 0e9251 4bc091 25fae8 b1baf9 7f79de 7716fb ca087e
bda210 827004 c1e68d 0e92ad 2bc2e8 52597a af24fc fe4a74 a12f49 e0cacb
e7cbca b28d1a 1e6c0a 5ee948 0e93ce 707e8d a4b2ca 950beb 9b335d f87d85
fc2d1d e2decb a5ec6c 6bbb7e 0e9474 16dde7 a48bec b411f0 9679a0 9e1069
a18623 e4ca3a 595f10 aab281 57f5da 0e968b 7c0eff 923fac f862cf c14062
ae1a07 9ac294 26fb30 0e9780 1942ff 5c5fae 9f7aff c98dbb fec6ed f8124f
ee8e1d 98fa40 14d1a3 0e978e 1754d7 a9b8fb dbd2e4 aa75ce 973d5e d2333c
f3e02a abb202 aaeaa3 0e9983 306687 74c3f9 8f27e6 bf66fd ff7eb6 da164b
acb405 90e782 146d06 849d8b 0e9b3d 674cb8 e2d4ee bd5efe f071c2 b8166a
c5300a a6e241 7ab132 316551 0e9c69 3bd2b6 2652ef 845792 f7c4fc d26fcb
feb9b6 fc5815 aef143 0e9c73 2ecff6 3b47e7 73599e a87fb1 815166 c21f33
c62725 838477 d5eb30 6aac53 4cecb1 3e8091 0e9df5 8003fa c8adcd 933351
a51716 abce34 0e9e4a 1bf8cd 9b85f8 e3c0f9 a504f1 fa0bb7 914366 c2969b
b03110 fd6b04 ddda2a 0e9e68 6fcdaa 1b4fed c8bff8 997df3 9c5a95 b08eaa
dedb48 6e726a 98ac95 186c1e 0e9f2f b7ecc8 4addf1 7724fb ea45e5 af1192
f5d8a1 807e68 5ad81d 1b6c19 0ea012 8fa7a1 c8d9da a737c2 f06df7 af0d71
8c3e2d e2a97f 85ef13 0ea126 68736b babbfc 9814d5 e5d7e7 d854b7 aa9a9e
e4a982 859609 546a31 d3ded0 176861 82dafd 0ea1fb 7456ef d91f92 fe6cab
fba577 e3dd01 267109 0ea204 66f9ec 98afb4 7b4cd5 d57bf7 912a7b 946978
90d923 2a7142 0ea34c 27f6ad 1b51e3 9098e6 ecd3fd 98458d caa3bc 957b89
be471e a1ab51 c0ed07 72efb7 0ea388 1d65ea 928efc 6a5c80 e7b1e4 834344
bea59b 7b5e07 cde058 7fb21c 498662 0ea5be a2d4e4 7910f4 a552fb b32f81
b01100 0ea604 51fe79 214aec b4b2f4 6e6289 be69ed febdd0 fb7189 ae5458
f68681 7f5000 d8d12f 0ea622 c4e2ca 47dfe9 c97af5 af09dd 8c6c87 a72956
cfa22a a4f73b 4b830e 45d59f 0ea670 ddbfee 88798a 933192 f518e8 a50553
f8d20b 9ab13c bdecad 1d7c1e 0ea68d 43e9fe c700ea c97eca 921d8c 705c6a
e7d5a7 5e6819 74da18 0ea6f7 c8cbfd 7e59c8 a67dab 9f135b de9dad ea2b59
e5c198 d39312 cbe92e 0ea896 98e0eb adaafb 5e49f5 9b6eca 705369 c41e35
e0a647 7f7202 116c41 3fffb8 85aeae bbdce1 0ea9e8 aa34ff a22298 ed0c6f
95450d d08f3a c0db8f 8bfe04 5e7359 0eab8d 9daef7 435be6 9c5d9c f2c9dc
eed1cf a5b67f 7bd921 0eaba1 28e4fd b384eb 9847de 8e3e63 be6470 e8171d
9d4220 fa8c3a f5dd04 578568 4beab0 0eafa9 7c42df a574e9 cfb1f3 7b4481
b5251a eed5d1 5f605b a1bd7f 8df23f 0eb108 788c85 9105aa e52dcc c89abc
695b5b a5150c f23310 cae7a9 56f917 0eb275 2a7d8b b843dc f37cf2 c9b4c0
c77213 725303 d3e502 24ea91 0eb27c 616c97 ac92d8 9010fa f9b8d9 9d3759
827262 f3d051 aba624 47fed5 0eb3a1 b9c2fd 6a16f8 d335ce 8c3f76 cf050a
e3b975 59881f a3c2b7 16f9f1 0eb3c4 867ef6 7817f9 8e2298 b72e6d f45279
bab441 d5eb29 2a7f04 5ef6ba 0eb4bc bdd2fe 7400f7 a051e4 973b6c dc5a88
c50f03 f0d072 0eb528 278251 d8dee6 ad8fe4 8e02ee 9d0d7e ea2ea2 d4919d
d6ac9d 785f21 0eb620 28ef49 2c6a5c c5e1e3 9da9c4 9407fa d035b9 9d858b
f08c03 c1ed56 0eb684 22f3ba 7e86ae 6a5078 b223d7 dfaed7 ac2749 e81b21
6f7605 9cda80 0eb735 44ffd5 3665a7 b691e0 e7bfef a50170 c17a91 955558
edb110 536f0d 98c681 59fcd5 0eb8a8 8b66cb 721fec debff8 a73e80 e4426a
9a9612 b8d693 85ff0b 2d6900 0eb8ae 2665c0 ce8dfc ffc1ea b3466d eb697f
b73b25 f85006 c8a184 cad93c 93ecdc 1e887d 0eb9ba 5533fb b066ef 88469b
7d6545 b28743 b7d649 67f2ba 0eba8f 6b898d 226a85 a5a0d4 b91de4 f9cbf7
906d67 9baf92 1b8203 21f707 0ebb14 7a05f0 fe9ffa dd56d3 a72e7e ded8d9
dfe60d 6a6e5c 1e7800 96eb92 0ebc30 7d83c2 7921e8 d1a4fe 764288 be8291
e7d10f 5a5b59 b2eea1 127d05 0ebd7e b2b1c3 932eff 9b289d ec4fe3 987e90
824820 af7736 ee8f01 a6f453 0ebf8c 24f6c7 7594a0 825ed8 c39ff0 b10c63
8d5740 c8bb26 858806 50ff9e bbded5 0ebfc7 877ed0 5e5776 961eff d8747f
a26c67 e7d318 679416 bceca1 0ec29a 593bf2 bbb4dc 9688a5 ee48f2 ad137f
f6d4c4 b08d03 70641b 9fe865 579e78 2f6b59 0ec8cb 2a6ce9 a490fd d80c95
92483d d33601 ffc498 709666 0eca3f b4e9e1 117c76 7a4bc4 d1b1f7 e258a9
e1150f be706c fe753d f3d33b 0ecbac bee5fb 5264f2 9787b9 774595 a6355e
b4660f cdc8bf 6d725b b2f10f 0ece58 3863c6 9087f2 aa93b5 fdb4f1 a20a80
c0a133 887103 b7d68c 86fd13 5f9386 0ecebc 512efd 6b5f89 f93fd9 a7274c
e4cdc9 7f7b76 b49f81 2d691c 0ed016 7cfd83 7897a9 b2c2f1 d417dd a11d7a
db4331 f9af1e a99e85 dcd1ae 6f7770 0ed2de 6299a3 682fe1 dd49f8 a33591
b88e1e b0f131 438564 0ed489 9baac1 7606f3 a95af7 a73b85 d9d1d4 b61718
c42c28 d8e507 95a439 9edf97 3aa6a0 0ed4ed 876fed 7709f2 785f8e a06069
d89c97 f26b46 e0dbd9 84f60b 0ed4f5 8895b1 646b7b 8e04b6 bd43de d01544
8c5930 c37b03 fdb834 b1a67d abe5d8 64a1a6 0ed5fe 5f6baa 7913e8 ac146d
a1ab9a 797e79 0ed744 a6efd6 e3caf8 b61fcd be81c3 745575 a90124 ea303b
c83e10 8e7f68 a9f60c 0ed75e 67667c ceb3fe 9221ca ca68d0 efb7cc 90373e
cd1711 f4b69f a9ab08 abf434 0ed8e2 8d9ca1 5d8ed4 642cfa 834f8c c75968
744e44 f4d6a6 57890d 90e819 3faf7e 0ed8f0 475deb 9b91ff 685e81 9588a8
905b33 8c8a79 e0dc3b 51a933 0ed98b acd3d0 376969 a23de0 fc9dff f752ba
9aba66 a0f35c 31893c 5f6360 0ed9fe a784c0 b916ff 9402a2 f01c8a fdc0c7
df6b5f beb102 e4e367 bed5cd 508790 0edafd 4e5985 9c35f5 c571fc 9b3943
7f9f1f 9df048 3e7932 24a471 0edcac 7004fd ecbbf7 9c27a3 fe3bf5 91788f
b2913e ecd53c 716713 849680 0edf9b 398088 d7def2 a3b4f7 a723c4 a11f57
d28433 4e6326 a9ed48 0edfbb 519da2 bd84f5 a236d1 f1b6fd aa0c78 e32069
ea8a31 dcd67c 436b30 a0c8b3 0ee1f3 5592ef 9c96b0 9a16f8 90248a de3381
81580b cbbe05 8e924e bfee92 186851 0ee6cd 39a8bb 604dfa de0981 f59096
d98b71 8c560a f1d8a4 0ee703 767877 55749b 7197ef ccd0fa 7f23ce baaab3
b21b11 fc320e cadeb6 0ee715 7870ce 523bf4 c993c7 f6d0ee 8f6285 bd5f61
80645a dc5b2a 913e0e d1df29 0ee8a1 8d9293 c9e1f6 157fdc 56657a 96b1ea
c8510e d8ba94 b9e318 339665 0ee8dc 919ba6 696977 8d2fad e573ef a8012c
a97670 a6e80e 1c7e07 0fae02 0eec8d b183e7 921ad7 f5a3da cc3499 8e3f50
dae614 9db31a 678006 83c19a 4a968b 0ef0e9 79568c b932ed ec67d4 ac0b4f
f66151 eae323 0ef1ae bddbfd 4a86d5 5447d5 84758f c89abb a0545a bc0311
a0b804 a7f678 61ac9b 0ef3c5 5659ef 8c77ad dea2de 9c366f ac0424 e65466
b4756f e42c09 d9a79b dde499 7cde02 0ef3f0 1968ec 998abb 8d3e87 a31738
8b6053 c63c00 da8a62 e4d8b0 0ef432 639394 4d6778 adbde7 ac72f6 8808d9
b5f424 46a827 137a00 0ef599 7b58de a686f7 d5befa 9e0b72 e970a8 946a6c
6c5e54 ecbd0e 559b51 0ef5ae a0a3a4 94bdde 853bff b270e7 cc338f ac0f11
67574a a55401 92cc32 1b9e5e 0ef5c7 5e6a79 d0c1e6 7e19fa af64ff c77abd
fdd2aa 897d03 67d70a 0ef5ed a655fa 7e16da e77bdc 994173 b4b0b1 fa5171
794c39 cac622 699611 b8efa5 45c49d 0ef6f0 5c69fe aa90bc b42ba6 e00d6c
a34026 b18b1d d5bf4c 0ef7b6 575e5d 61b6e4 bce4fa 3169fd 904e9a ef6293
cf8904 e2d8b6 306f07 0ef905 60b674 abb2b6 8672be 751fdc ea9af5 b14564
aca08e 78630d 42a637 0ef97f acd5ca 216855 9d46fd ff69f4 a40c84 b75f87
e0d8d0 9e8e5e 596802 0efa25 89aea4 6b02ff c30daf f45ad0 fcade7 88546e
9a3b09 a97250 cacbbb 5eb807 0efa3a c5dfff 736f7c 661ef4 e629f6 d396c4
da7803 cecd2c 96ab73 0efa9f 2e94fb aac0f5 5455b0 64526f 947c9a bf0d2b
efbdbc 556622 67dc10 27a61f 0efaf9 6554bf ed5eff a48fa4 9b1672 96646f
a5958f 8f6a2f 30c300 b9e6b0 0efb23 587074 877ef4 6c10fe d2bfd6 a2119e
de7c7b beab19 b1f602 417a0d 0efb9a 3d96c2 b6b5c9 9043f6 7b5683 94324e
ab0101 d55201 d7d7b7 9edf45 22b18c 0efbfb 688092 9023d5 f261ed 933e5a
bb140c a77e78 f27838 b9b79e 0efc3c 436576 b5d0de 7592cb a90bf6 8e3846
cfa601 505f4a 439033 0efc79 7fb2aa c9c1f9 a380df 8139b7 ad4a80 ff5d7d
8dd216 316d10 689f57 0efda1 2dc1a2 693dff dab6e4 967f9c e863ec b6406c
aa0605 f95d18 ceaf79 97ef08 0efded 2abdcb 9e79f5 8400f6 827283 a13ba5
e58a4c 0efe07 9ac9ad 3dbbfe 2351de 8277b8 dfd9f9 a99aaf 8e6274 c22227
c25929 fdb168 9e9e87 0effc5 82acb7 2e90cf bed4f4 5b5786 613bfa 916063
9e660f e4cf78 8eaf0a 0effd1 63bab9 1c56f7 68667e a47fd3 9e2748 e56b78
f7d2b1 b37f18 5a6529 79e216 b7b9be 0f44ff cd88fa 9447a4 bf4372 fc607d
7e5655 9b9983 658807 49c804 56fd79 0f47fa 877efc b6b0f1 d837b1 d7b7c3
e7ccaf 755b15 868f2d 84df04 27fdfc 42c1e2 0f48f6 856ddb af1d74 c96d9c
bd361a d37b56 e3ba3d 7af3bd 76bba3 0f49f2 7979ef bbabfe 9889ae 8d4b7c
805f4c f0b881 bef002 229e28 35eadf 0f4bff 988af6 e63bae a52a71 be7e86
e5b653 567223 62f2b4 6280d6 0f4cff b0a5de e0dbee c12180 e3709d f92256
f2ca4f 7f8133 3bdebe c4e1ff 3784fc 0f4eee a3a0d7 a90388 8b5667 c37e84
d2e00f 70bd40 5e8961 5ce9b9 cddef5 0f4ef4 a693f3 c5a0ba 936180 c8071b
e9e17e a5bd29 64665a 3c8507 38c180 8eead6 0f4ffd 9775c6 80339b e09ef6
dfde04 9ea111 5bce87 c3e3fb 4f7dac 0f4fff b18ff8 706a6f d896bc b81c1d
c00f0a a8896e ee7a01 e7be83 beded0 94abaa 66c9e6 598fb3 0f50e9 b24d7e
998668 d9e3a0 607119 14d937 5a868b 0f51fe 9978ff b8a1dd 990d83 f2b9cd
a63b26 de742a e6d10e 52f7af 21bcc4 c6e4e9 0f52f7 7f7acc 882c92 a77b8c
a51600 e8af99 756e64 74d013 679747 cfdfe0 0f53ee aca3e5 a12f8c e2519c
e98c6d d9cb1a 3f6b02 539708 b3e6d0 47aef7 0f58f3 acb0be ad2294 896977
c03b08 eacc9e 96ac1f b7f227 61845b 16d8ee 0f5bd0 6096fb 8f4680 fa7397
806160 cc1803 efd070 c39d1f a3c0b5 66f6f2 329af0 0f5be8 99008e c6589e
f74a43 fea108 d8d68d 14b383 9fd6ca 0f5dac 5d606b 946dff ba90d3 c01734
feae62 765733 928917 afecc3 23f2f4 59a6f2 0f5def a0a5b8 98058d d55e83
f67b5c e5c9b5 baec04 54a7a0 17d8ec 5d7283 0f5fa3 b06ff3 a22b59 e00a19
ac411f e4d9b8 82cb4f 5f9a62 1cd8e0 0f5fdb 796e98 b382fa f487b2 824957
c5110d f3b2a0 abf521 81af44 6c7c62 45edfc 0f61c1 b79cfc 823e72 b56797
c7600d 5b6252 87b95f 3ef63e 28a789 0f628e c3daf9 b28fe7 a93afb fe9abe
983909 d45d19 d2a36f 2bf82a 518768 2fb5ae 0f65cd cbdef8 948df4 886687
c62315 fbb428 dfd6a8 7d8261 a4b1b0 0f6765 46e5f8 34a9ff 7e37d5 c372b5
ac9391 8a5137 f99662 e0570b 48fdb1 0f676a 398bc4 bacee7 76b2ff 8d2bf2
ad837d f7d0c5 61ac1a 57f549 0f6860 bdc3d8 a724eb f065ef cf2998 b20206
e7a589 6d6d17 87a223 23f52d 0f6958 3fb2cb 652dfe b43cac e9cfd8 a88490
ce7a09 a3e718 709372 0f6b34 44db8c 13929f 6149eb c28dfd e8d4ef 923b68
8f5b1d f49506 a09b63 b1ee9a 668177 1deffd 75b5bb 0f6b80 6a12fb e135ee
92372f b7c0a8 a7f231 21be07 1ae3f4 0f6bea 9f9cff 863f93 b667a5 e31066
fc2a0d ead775 17ab78 61716d 17e1c2 0f6c8c a4a2f5 6b1bfb a560ef be071f
e21e06 b48576 49f40f 0f6d7a b39eeb e2d2f4 a45cea 8509cc eaacb7 a83e42
83874c cdd587 8abf01 0f6e03 6bf4ed 7c2fe1 af5ff5 f587f7 bc146e f74ba6
b39b17 c5cab1 58fb5a 0f7014 479a9d 9a2efa f471fd 9a3d9c f8b9ec fa2b7f
f3ba00 9b8e28 0f702d 33f89e 3abbb0 456cf7 6b5c9d e2d7fc bd97f5 bb6076
ebd9d2 a08d00 ace315 8a9984 3ad87e 0f7174 a4acff bb39d6 f46abb a9052a
c58e22 f0c519 0f721c 7ffaa7 14ca95 6563f1 d6cefa bd8ae7 a0369a 937082
858a75 abb7a5 8fe479 1eb90d 0f722c 6f02fc e965ee c221b4 fdc3e3 7e5b6e
a51800 f9ab6c aba8a3 a8890a 0f7247 49fdc3 b5d6ea 41acf2 8b4ed9 b44f85
bc877c 8ed816 419614 12f69f 0f72fa 78aaf9 a09fb0 6d5c8d e7d1f3 a94555
d74a02 4ee934 c2debf 59ac71 0f7361 928195 a925b4 ff22ff ee96e1 aa0c1a
7d7c29 c1d837 30b571 9dd3b8 68f7fd 788d8e 0f738d cb14fc d394cd a60360
e2a2a1 c86563 abcf4b 0f7408 8aebf7 34abf8 8c8da0 7631fc 945bad 8e3656
f57204 d7ea4e 41a26a 1ed8a1 0f7466 b2deed 6e1afa cd9dfc b167b1 cc0827
a29793 8e6136 e1d89c 9cfb1a 69b606 2ce7e4 0f74fd 5a6398 b09efc 63595f
e37c73 904909 aabc04 c3ed83 1cd5b7 0f74ff 555496 9593d5 f5bcfb a16d8f
fcd0bb 665b4a c8e402 527c0f 43c342 0f758e a9d6ea 845bea b68bde bc797b
eeb9b5 5ece00 0f7607 c6e1f5 a2a6ba 8348cd b97fef a26195 a11056 e93254
e0e70b 6a930d 8dcb5b 0f7748 32f6c5 1fb2a4 7706f4 c252fd fe9cf8 c60394
ae1e03 b68f43 67e718 c6e6b4 0f774e 80a3db 6c52fb 8a3287 dac5d7 ee3d95
e2a68e 975802 c9e634 6ead0b 0f7759 9ddadb c09ce6 6b5375 d503c7 9d7a93
b32200 c08006 f0c43e 838258 b6ead9 89a59d 0f7880 56d0eb bc74f0 8e26b1
ed886b 6a5e18 769101 78ec08 0f788b b2b3eb 6926e7 b270fc d1bbc3 ba5862
fbaeab 635953 75b101 11fc08 0f7a13 39bcd9 c6e2e9 8855fe b404a5 f60681
807500 a1b84c aef566 0f7a54 44ecfb 1746f8 7977e3 982c89 df518b eea4b3
b68466 fecb57 0f7b07 b3eec1 36e3e7 a28bf2 7b4eed 846d9e 9f1558 f784b0
e8dd31 4ba71d 0f7b1f 28dd94 178df0 c4aae4 870bef b94aa3 a1016a c788a0
e39153 dcd30c 3e713e 76f4be 0f7dd4 60a8fe b7c1e1 6c0af9 a8046d fc3289
cac37f 70a928 0f8048 d0e0f5 91befe 8913ff c958ec a10769 e53093 f58db6
f9af25 74601c 9f8a09 99b77d 71f5c0 0f8175 2cbada b84bfa 9514b0 f65aa8
804f4d c02e04 a79d10 d8ce14 3bb98f 0ff2c8 0f839b d6d3fe 8f21ec e97fed
7a8237 9cb401 7cf55c 66b58b 0f8493 6c41e1 c770f1 fe9efc dbc8d3 a9095b
e39965 7f786d f4d7a9 c2e433 0f861a 9adcd9 a695ec 8c04f3 921c93 ed37a5
dbe2ba 99f32a 0f8727 1cc86d 5646e5 8c71fb fa9af2 8d317b d66bad 927173
aa927d eac98b 0f880a 11c523 9febde 808aa2 bbb7f5 7e5597 e230fd 9c2c56
bf0f08 e2a89a b87461 dce37f 34d102 0f88e8 565a66 b3bee9 978cad 791dfc
9af105 606e63 0f892c 1aca44 21ffce 7f79e7 7301fe 7e5381 e6a1d2 a48099
f89281 8f5411 b68a06 1dfc3d c8e3d7 0f89b0 88a3fa 7302ff bba7b3 d44865
c98504 acd849 88966c 30ece5 5e6161 0f8a97 75addf 8c72f8 6715fc c42027
dd9487 fbcdc0 43a810 28ed46 2d723c 0f8afa 3544f7 d3ccf4 9a8fb5 82577c
ea7f67 d0ed2f 0f8c02 61eec1 22a8ca 9f59f8 f6c6f4 bc1988 ad7d8a 854354
b3312a d17806 97d746 0f8c6a 1fe8d7 7aa2a8 3c3cf9 c4a9fd 9f6ef5 87399b
eebfae a5b301 6dfc57 0f8ce5 8c9fb1 3f48e3 c8b9fd 983d7f fe3a7d c31924
fdc6b2 a63808 696a56 5aa21c 78ff4d 0f8cf9 7610f6 cdb5e5 be4cad f578a6
fbb9ac f37a35 566a0a a3f610 3f8067 78cae2 0f8dfe 6d26e9 b9519b b18f9c
9f8e77 c2c351 505f4d 0f8e10 b1eac6 1ef0ff 35b3ee a223ed a7078f ff2fb1
f6db28 a5bf99 40bc3a 0f8f16 91dce4 8707dc cb8de9 af4fc6 c20873 e0659f
cb8e3d c0f155 60b88d 0f8f7e 51e4f8 224eff 5f629e 9988c3 9c224a d1040b
a3a17a 96c73f 9af5a0 0f9032 686e6a 53b0fd 6b27fe 8744a4 c680a3 ffc2d9
c3e106 95b056 0f9204 75c7a6 35fcff 7644f2 aa79fc 83408c cf95ca dd4576
c9aa90 ed851b a9ee17 456561 0f949c 73dafc a089f4 aa0cd0 e6dadb df0814
c0aa80 e3e28a 91ca00 80877e 0f9607 20f6f2 4eb8c2 9a90ff a339e1 982b58
71ff89 18d043 0f9838 abd0b7 e6c0fe c783eb b60cff b5007f f23ba5 84434f
725d40 d5e369 96ad12 6a8301 0f99c0 53ccf7 8847eb 923276 e9647b fcbec3
8d8b76 c0bd08 49640c 0f9a07 77fe92 a7c9b1 4dc0fd a93deb c870a6 9a3b62
be1402 cdee16 0fe48c 0f9d7e b4e2de 816bc0 6e2dff b4a7c9 744a73 ff2244
fda69b 74511f efe005 a7b532 48e3e4 0fa0f1 3d66de a31a89 bd8a9a de255b
eac355 a9a674 499d03 33fbb4 0fa1e3 c9cffe 6950e2 893181 cc84a2 ba3b5a
973027 d35637 90fb0d 15d69a 0fa389 3d4fff f5c3f4 f958f5 ac49a5 745361
b74708 725c49 cb8a29 cddac8 5cec62 0fa390 343ff9 a3a6fc 735db3 facdfe
ab6e0d f0be1f 4e6849 5e9868 69d8a4 0fa4ee 6a4dfb e1d6e5 9d196f f138a6
837b69 e3d8b1 36700e 2cf914 0fa50c a596fe 8455e2 b6619a a10562 ee95b5
a91609 ecaf7e d8e01b 0fa80f 43ffd1 b9cfec 5161e4 b884f4 a1258b a07184
7b500c 6ab20d 51ee42 0fa8d6 5d5e78 878593 e1d6f1 903cd4 cdabb0 cf4756
d8b407 a6d48d 0fa977 57f9ed 2267da 808193 bc8af3 9b1d81 785862 f91228
bce732 8db415 596158 15822c 7ddabc 0fab83 7025de f8b5f2 fb30d6 ae0e83
8a4612 a6b838 5f6356 88fa95 47995a 0facf8 d4d3eb 7a5ddc 94688c fc8ba7
b55b0c c0d542 90f5ae 52685d 0fad69 4c68f3 9692fe a56a9d 863778 d598be
fca644 a3a68c 688c21 2ef6d4 0fadb5 6f44f1 a278ff e8affd 8f2591 c33269
d0755b e0c998 486c04 acf62c 26f2f2 8da6a8 0fadd9 a91df6 c0088f 8e505c
fdc33c 14760b a1f4af 0fae58 90b0a7 8b6ef9 ccc1f1 7536bb af8bc7 b42774
af391c ff6907 c6ef51 0fae6c 40eedf 6e7879 7326fa a05fe1 ec85f6 7e4183
b95429 f2840d 605950 ced692 949687 28f9f4 3e7782 0fb0f0 991bd8 e5adbe
996868 c19b96 f79f0e 48770d 45f39f 0fb0f4 b8c7dc 3f46e4 a9077f e73aa0
d0e080 a0bda5 0fb23b 7ee2e8 69737a 275dfb cf8efd 97189e fe42b7 b60243
ca6814 625e44 48ef57 0fb282 658081 9892ff ddd5ff b5a4c4 9641c6 fdc1c9
849b1f d3e4c5 8df462 217316 0fb38d 5c29fb b28fed 8256be f5afd9 a33f72
b4c979 50701a 9df725 0fb412 20e9fa 9d9af9 c301d3 e7248a f09ab7 795358
e5654e c23100 2ff819 0fb48f 606674 4f41fa b2a5f2 9a62c8 edb5ca 874243
d42f04 d7d1bb 767252 7cf929 0fb558 7e8d92 4c5f6c 8906f0 d534c1 f584d4
717321 8aa006 89e722 0fb581 dbdbf6 8d0dfc f84cf8 cd98c3 a65a8f ab0658
ae3012 f4652f d3b9ac 6cf117 126953 0fb5fb 3a89af d0dbfa 7c1cec b17d85
7f926e 3a7e21 28f44e 0fb7f9 c4dbf0 6907fe c819b7 b093ab 86505b ebb1b3
e7ad84 aaec01 0fb808 62d7f6 7f1ddf cf56e0 ac99ac 9d3184 837277 cc133b
a9433b a49316 d5ce5b c5e2c8 0fb8ab 8de0ff 3a4be8 7b75f7 756c9a f25c80
d41b01 e7cb90 82c11b 498b58 81f5f0 0fb8e0 4e5cfb b10e8c d174a2 7f455a
d51911 fdb308 5eefa0 0fba6c 5b8782 9ea4c8 4e4de9 765f95 e1d4df 96344b
d2c5ba 6d6150 91c711 2e8e0c 22f9fa 0fbdd3 672ff5 b556d8 9a0a82 f21786
ce8b1f 919583 bfd3ac 527531 4ffb5b 0fc0bd 3a4fd9 7682ed f9cbff 93417d
9c8f2e cdc029 226e09 b5e0ad 46fafd 0fc0f8 5c86a4 8c36f8 a65d68 d4878d
cae2ba 49f653 8ba391 0fc14e 15719d c348ff f583f9 d5b8d1 a61a5b e20203
c76b27 8d3f02 95c813 8df099 0fc1a5 205ec4 7b6d92 c479ff f89ee7 c40b59
f5b77f c28706 855f02 749563 0fc1b3 58f0f9 3b8baf a3acfa 6a17f4 ce0d80
e8613c 76520f bac9a8 81eb53 0fc2f6 358ad0 763af7 f3d3e8 ae93a2 a3285f
fbbc94 a5ab06 baee02 0fc3bb 99e0ff 6c3fc2 cc67ef 885186 d3576b cf0106
bd6d6a d32903 eac65f 6bfbba 0fc5a9 27707e cfcef6 7557cc b48bcc 933b4b
c26324 a0e41e 707b70 0fc68f 46f8c9 768ad0 7b2bfe d1b3ff 6e4791 af0a34
ddd34b 93a815 207101 49fcbc 0fc695 a8c3dd 842de6 c072e7 be588a 9c1f52
786200 8bf20b d7dcd5 838b84 416751 0fc76f 775ae5 f5b4fe e475bf a93983
b83e00 fcce9f ace704 76b232 189360 0fc8bc 4f5c82 755eff aa81ce fd7194
8b4f4e 6c8605 b1d05e a9e7e5 0fc8fe 6f7df7 6043d6 b9a1b7 c00680 d86882
ae1507 eed8cd ae8127 adce14 0fcb7b 2b7d64 9b53d4 fa8de0 833c71 ea579c
786502 dbdb64 0fcb92 4efed1 919ea8 afc6f4 a006f6 d45ee2 913873 fb0651
bf4024 c0e214 73b135 76fb9e 0fcb96 406863 8c809d c03dd9 921f90 f2abd4
e42c1a 807561 c1a95a e6e456 badfca 0fcbd9 3c6166 178fe7 763bca e17d97
907e09 b0f244 0fcc75 8eaaa8 558293 6e01fe d59aed cb4ef8 8c37a9 b54060
f5ae16 d0da94 9fac7f 6b9290 0fccce 8103fe b576df 9d32a5 a90651 ea2635
f4b1a7 0fce38 28ffe4 abbdf2 8869ba 7006f6 894276 bb8dad c25671 c40c20
aa2d1d dcc6af 9df959 71c43a 0fd2e5 8620fb ae59d8 8c2d98 796f72 a99a9e
8e5720 a2902e bee026 0fd481 88a1b1 1e7cbe 6925fc bd9aff f7cae2 e42874
a90100 fea418 88764a 0fd49d 58605f 4a948b cadee5 a594d1 9405fd a740a5
e85017 e8e413 bee1c4 66776a 0fd66e 407dec a00c87 f7a7d9 c575a6 ba0925
cdbeac a96b04 9b9675 0fd947 b2e8f4 1599dc 9baec1 4658eb df208e 9e2d3f
da410e fbc49f 766752 969768 0fdb1f 61908f cec1eb 9615c2 f845dc 9e1e6c
f30e03 9ac255 a1fa2a 3d8f4b 0fddf8 9c8bae d63cea 9e0298 775b69 e4aab0
b51611 889349 cee87b 89c113 587a62 0fdfb8 3248f9 f9a9f1 e550cf 994483
f0a86f e7e512 7e8b7a bfdfc3 0fe0e7 3d7a8d b57adf 890dc3 973962 e50b39
cf3103 e9c81f 9aa84a 386f59 0fe29f c0e5f6 9ba1e6 9431ea 7d3f7c c7829b
99a541 aaf285 186d2b 4fa784 0fe3ba 6646e4 9673fe 9e5ca6 df9bd6 6a6869
