# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
0292ee 0048f9 656365 b75ba0 f19dd1 ccd197 67fe05 0dcc0a 128836 81998e
b4bff8 8d70d5 644c9d a5829c 88525d cf2f2d fac1b2 8ffe07 03d343 72a173
a9e0e1 a8a1fb 661ef8 d02db9 c27fa4 7c6364 c6b3a5 7d935c 3f7109 03d345
649589 616878 d6d2e6 6b21f6 965bd5 c29fd9 b24a4d bb8a31 a5f555 03d392
03d3fc 72597a e921c4 d990b8 a15e64 a2a181 58a90d 84db59 0f7010 d6dfd9
5c5e66 cec0fb 9a2fdf 97869c ca62e3 e1adb8 9e4500 b2f07a 03d400 23905e
2f797f 03d8fd 53a1c0 995de8 973245 d21508 dc8f1a dee130 9e9f91 9ce0b2
03dbd4 1b7782 721be6 d885fa b24dd7 ae5402 a3a42a c4d779 586347 63a087
699ea5 03ddf6 416be0 6c5977 a95a56 ba2700 ed8539 ffc701 b3ad94 c5e696
aeccf4 6288f3 8727f4 893b98 b68cae f97915 dde606 5d7544 8b9b7e 03dfba
4a92c9 2e62af cec3d3 68516b b4969b a1451c 84a455 03e126 b6edab 667365
03e9f1 6daaaf 725dd2 9c88e0 98275e c56258 e9d70f aaa917 586800 abce99
7d20fc eec2f0 f017c2 d788af 9a1d6c ed070d d1e2bc 8ea778 03ec16 507d61
03eddf 5f6367 9e9ee3 ad55f3 7e3ca8 e945a0 c81303 e8be4b b49316 068a51
967cfd 8d07de a54a9c f4bbe2 b03506 98a647 d4dcbf 53604c 03f03a 399e81
03f1d7 406684 a4b9fd 9223f8 b364de be423e ff6a19 cfa888 d4e30d 80857e
148f7d 03f2e6 6d57e0 6f548c e37ad7 834749 e3cb14 828717 adb2a0 aeeda6
7d52d5 ae85ea e4afd9 aa057f ef308e 7f4e01 c2dab2 03f311 08af47 247659
bcdbfc 62a2e6 636bcd bcb8b9 a9849d a73375 e88a2a 626528 76946c 03f493
8da7a3 757576 044bef 5d80d5 d6a2f9 7d4b80 bb1d1e ca7959 d0e86b 03f4c1
03f4f9 06b6bd 7d33c5 a464d0 9e1460 d76071 d5bbaa 97a214 afda61 227d00
7b8e89 962bfe d2a9f3 ae5dc6 8e2e7b bb2d03 2eb741 03f853 496a50 b7cebc
abccfb 645875 9e4ecd a997a8 f1ab7f cc7a29 915001 dde623 327852 03f8cc
03f8fa 7283ca a6a7bb 712af1 a43682 9e8384 d6a893 db6e26 84dd22 1a694d
b9c9f5 9e93d0 6f56b0 916e87 c9a1b0 9f3252 dfd7c4 73b940 298b0c 03f907
d1e1e7 6b6e78 6e70ff 534cb3 c2adda 6e5b2b e2c017 958514 14b87c 03f9ab
7a8489 a3bbe2 6f40d7 a57ccc e1d6da d39f95 ea7700 a05100 03fa7c 1e6850
2766f0 c4cce5 998bf2 816da2 c07e15 fdd86d 605b14 03fac6 0cc39f 4a6a60
52c2b2 145fff 8285cc 5c5680 c5b3fa d46c7a 8c503b b5a333 eae16f 03fad0
03faef 7a8c92 1bb1d1 3874d3 695c75 cd555b bdafa1 bf8c06 f9c003 0e6e07
536067 7087a1 d1ddfa ce82fe b717de dd6a5c be2e1b dbd41d 03fc99 87c6ae
0cc6ac 1366ce 937ea1 d878f7 fbb7fc f76675 605e5b bad56b 4d8708 03fcd1
097996 899aa8 bbbdf8 8e50fe 9c1d63 cb5b56 dfc4bd 6f6301 a2a402 03fd0d
2352eb 9f89d9 d4bade a91391 a76b90 62574d 64881c c5e8bc 03fd4c 71be7c
88b3e5 9873ee 7f11ed a36897 e57e93 b23305 b7d62e 88a623 0d8c5a 03fdc9
a5bddb 7726e6 b863f2 8b2c87 6e6235 f3cf15 aba629 03fdc9 12c59d 298874
03fef1 8abefa 6e5479 c221d9 f75eb6 f5a8ba 9c7d7c d8da88 67a646 377521
03ffdc 5a6bf9 ae36a5 fb7ae4 b1a6aa 785f6c ff5a00 eacb60 4c6226 668a5d
0445fd 8068b6 c184ff fc99d1 bb7998 af2967 cce01a 296f13 64af65 94f6aa
0446ff 697bbe ecb6ea c61d87 805454 ae9913 c8e01c 63710e 64b97d 6df5cf
8e999a 2487fe 607698 0449fb f49fd7 c7510e 7a6851 e1d7cc b19f6a 9ce776
5f6e77 044df1 af8cce e1bbda da8c98 a72847 bcdb9e 75fe26 66c738 1e9815
64d7f6 a7aeb5 5f9ed1 0454d4 8a5776 c96059 b0290b fa9752 fcdb03 b9e1c9
36e3ec 0454ef 9386bf 8a5980 b3858f ccb9a4 ace70d 29bb16 0f8c26 4a604d
417980 ade8f8 19b3dc 0454fb 5f509c d8aab2 f08843 895d33 c9e208 858e7b
8ddcd2 628ce3 0454fc 904a8c da782c 8a7d73 fbcf25 526303 a2ae87 cae7a3
0457f9 9a98f6 cbcafb 8f6bad f6d4d6 c5a69c 7c4d23 8ea33d 42fd7e 2b8666
0457fa c4cbf6 ab7bfc 844379 b578a3 d9b6b2 d20a03 ec9706 6b6f4c 40fc76
7f838a 0457fd beaafe 6d5286 ae6ccb ddb9cf ac4325 dc741a 63ed6d 76b17a
0459c3 adb7ee 9883de 8a6b93 b20263 d77c62 c5e025 1e8903 5cfdc7 06c4a6
9fc4c4 09c1f2 1b8ece 045ac4 875e86 9c4e17 c47c00 ccad7e d6e258 6f7f6f
47dbe4 44a0f0 045bd5 926e9b 922e5e a8a547 cceb72 5b6b36 97c89f 73967b
479fab 696e74 045bf2 714788 f68ff1 a35b46 a09a01 c1d31b 93b09d 96f1d5
486287 045dfe ded7f5 ac7eee d490ad b66566 f6c7c3 725226 0ba904 32f265
26eed2 0462f3 9ab5f5 a60087 e769b1 7a4a58 bba100 6c781b c2e822 7e9d75
91dac9 89a3a8 2493cd 0463b5 d8b1f9 a00469 af5b6b cb9e43 70780b cae97d
546264 0463e7 724490 fcc5f9 f574ce 986f19 93a95e cad4ae 7fe141 62927c
6181a9 0464ce caddfe a999fe 756d72 d4b3b8 9d333c e97562 d90806 20fc12
3c6265 6797ae 0464d5 f1c6f3 fd73ff 7c6900 a5ad41 b7f35d 74826c 36d7aa
0465a9 4888e9 afa5ac eccbe6 6c4f64 a93517 c89815 67755c 7aa36d 90e2a7
0465b3 5f8dd4 a0b7ff c1bfcd 7a486c db618a c3a62a f9d943 5e7a3c 4ef1aa
0466ff 8d8995 6d4fa3 c892e9 fecbe8 704e5a e73900 ffae03 4f8e5f 53d6a6
bfe5ef 6ebfea 0467d9 7f82a5 605678 91444e ba8f91 f6b8ac b2c416 2c931e
78e8f1 48667d 638fb2 0467f9 a5a5ff d9a6b5 ca7375 75523d 7d8b03 b3cc5d
046880 ae90f8 9c41df facbfc c69cb4 e80709 80e567 646860 c6d5c1 53a965
1feffb 64798e a3abb8 0468fe 7299e3 8e3d3e bb7c79 ccc754 88900e c6e7c0
6f9ce1 8455da c89bae e71977 8c4e14 d1751c dae0bd a1b979 7cf018 046955
b5e7e3 41dbff 643fde 6c5f7c c07ac2 f06f0d 9f530d d3bb76 17a078 046a4f
70758c d3dafe aeaab6 9e1bb4 cc51dd dfac50 928115 046b33 36edab 3b9a7a
b7cfca 63e5ff 046bac 4398f5 ad8cad a51c56 e04566 8f5f00 e6da95 5bc92a
bcbdbd 7bdcfa 046ca7 258ffe 8599be 5c5766 857d7c f39a71 965e28 e8df47
06d7d5 046cf0 919ffe b569a6 9c2769 d1ca6e 3d7832 0dae1d 9a9c96 a7efca
046df3 899cf6 80829a 5c5585 eebffc a6412b a99488 e0934b cfec57 91dcc1
589a9b afc5cd 586270 046edd d78eec ac6501 73522a e28d0d 919968 1ffd8e
04707d 8fadbe 6727f0 8c60d1 f8cdff bd8382 a44546 e5521d adce03 40f2c3
cce3e5 89caf1 1ba4f7 0470d9 7b4d8a f998a8 96352e 837e7c ddd104 5ea42c
047169 a1ccec 47a4f9 8c1df2 921992 fe0cb7 bf3607 deaa33 d2cfca 879363
229da7 047179 93d8e1 8156c5 c593f6 d9ac3a a37d00 645b19 d5d9ae 88ab7d
1cb8f8 0471d8 6b628a 958ba9 c5b6c7 bc8884 933b34 d44d13 fa8c24 bce487
747c79 77cddb 8122fd b253cc 931f84 f0c62b cee5a7 2da30e 047229 93ab9c
047269 4febf3 87aff3 7a75ef 7537b8 db79a2 ecd944 646c31 a0be79 06a402
33e9e1 9e99bc 8802ff a64fce 853976 d29e69 76756a d3e65e 4f9b0a 047318
8af0f5 74b9c7 8956d2 952383 996779 d77b05 f4c01f dad3b8 9aa081 047333
9785eb ab0dfa fbc6fc d4149b 82415c 927b78 8fac2f b3de75 04742b 75be9b
f6c7f5 d629e5 d388ca 9a1081 9d678a 577400 bcc7a2 5ca716 76ee26 047455
57a293 0f6bfd d1d7ef 5e5867 b088cd aa14a5 e73e4c e3b90f 04760a 42ee91
047692 94aec5 c4ddfb ac86f7 8f46f6 874f57 9e3008 c9c5b1 629049 3cdf56
70c3c6 0476d9 526388 b898fa 864051 bb7680 d73013 fa764c d5cda3 acf318
1148f5 c5cfee 9296da 7068b8 77626a ad7965 f48d20 ceab8a 04770a 91f3d4
38fde6 8f929a adbcf1 7f03f2 675073 d43dce f09b79 ead300 10a91a 04773a
79a2e4 ded4f6 8b43f0 b24d97 f5c5c3 b21006 a9952f 78ea26 04784b 85928d
1048ff b784ff a35cad ce8fbe bb3004 f36625 f8d970 047855 31a886 8de8cb
04786b 1bbcd6 7361df 7a3f88 b83a24 a6a030 e0da1d 8ef69c 77a090 bfc9c4
047882 c6d0ea 757ee5 832fc1 a6a2a3 982850 b06542 f8ccb1 84ff3d 24cb60
76b8aa 39635d 64898c 0478f7 bba6fd a62d9d ab8157 795f05 ddd01f 34fac6
9ddcee 0478f8 626b8b ab9cda 6d5152 a32e15 e9cfc2 e69654 84806d bff120
047b79 7bf5f6 abb6ff 8e62fa 773da8 ab7db9 e9b5af da8262 cddf63 5f6b0e
c1d9e8 198de8 7b2dea 892f8d 806579 ad8fa0 f8dd1c 86ad46 047c2c 5debaf
679acb 9549e4 f9c0fe 991e89 e43a93 de8485 b7c353 889713 047c3e 25efc4
a4d8d1 2dadaf 7577c7 7531c3 ceb1f9 8e3d7b c91a17 f38e37 fed67b 047c55
047c8d 8d7dfe 8e1dbc cfa3df a66132 dd9356 e5e53b 868a7f 565b55 59eece
8a65f0 a40984 f18fc4 d05294 9e8f29 d8cb38 66680e 55c484 047d5c cfe3d8
5d51b5 9574ef 6b4e71 feadf4 ce7bad 9c5b64 bfb698 a3d71d 048000 16b134
38eef9 70aad9 9b9ba1 915bc0 93356f f33f6f d59b08 ccca82 a9f70b 048129
86baef 7673a2 9b3aef d6c8d1 a48994 9d280f f0aa8e 82ad2e a7ed04 04815f
048179 8499b3 6b08fe 8861b4 d0a7fe ae344c d59741 dae41a 93e393 19b893
929393 bdbfcf 8510d3 fa84ff d253c2 845263 e5d40b 048225 12c965 63f8ad
048494 75a9cd d4d4ee 7156e2 934a00 f3d6be b28748 6ced56 9faa9a 476353
6b36d2 aa6bf2 eca2f6 de6aa9 ad2271 829a70 71fe2a 6bc644 048521 cdd3cf
0ebaef 5d4f99 9360fc b9799a ceb1bb 7c8006 acd23b 6dad6c 7ff3a8 048562
9b9afc 895afc 644c9b 8f79a8 c0a4c2 884963 d5d8c8 04861b 4bec6e 16b358
048681 09e9e9 8896ee 614e90 ba0e03 715851 dfb589 a57c4f e48a0b b5e903
d1dfdb 7da2ad 86d8fb 0486fe 4147ea a258a9 6d5f61 e7ad17 949064 497c06
485f64 85cbff 7448b7 c06cfc fd54a7 8a5a10 feb927 dbd7bf 7d9c30 04875e
c4dbf2 048ef2 7fb9fb 8b10c5 b45d95 fd98b8 aa2557 ee446e cfda2c 048900
0fc8c3 048990 8854d7 b682ee 885113 a28415 dcbe39 829879 99f2a5 4e6051
8b27fa e2caf9 a42290 ee39cb 724e5d ffd614 b9aa19 abd79f 048b2f 58b29e
048b77 c6b0f2 b65bef ab0e8b f7c4d4 ff5299 77503a 67900b 87bc5b 64f013
08fcf7 05bcec 048bb4 6b41bc a2828a dbad99 b24608 e2740a b4d631 4d6e54
048bc3 6046b2 c4b4df 856c79 bb9591 ca6546 a0340e f2c8a7 9ef82a 78c40a
647f8b 048dcd a6b9d0 315ca3 7a5458 fbbead a94d0b 94926c a4f800 28c929
0490a2 c2bcc9 7048b2 ee4afb 7d4560 9a827b 7a9b1b b1f30b 4d713d 62c67e
37f2f1 0490f9 9ea1b2 7702f0 993c96 b1182b eda581 d77116 cad601 667b69
55e1ff 366ca6 0490fc 727177 9d9bbd d5bcb6 b88c76 e1671f 715518 a0f205
1857c9 ae70f9 d7a2f9 78507f d378a1 9db944 bfee5f 049342 83d7af 686f6b
0493db a9b9eb 8626da dbd1d8 754d5e a4868e f4ab83 a64c10 88a607 7cfe27
2561f8 8b87d8 913d9d f4a6e4 b58f7c 5f5d5c c4ee06 7cc030 049513 60efbb
0495e2 682fe3 6d5a85 fbaff2 d77394 afb562 708918 1efc19 cee4cc 1d7f57
0495f8 7f03ea 9d4b9d f6a5e4 ab3e2c ec6805 797971 d2d3cb a5f18a 79b885
0495fd cfd9f4 5e5db2 84496e d277a6 ba5103 5e5b44 dece31 529969 53d6a5
c0e0eb 5e6568 bd8bf5 a91fe1 ee32a9 79511a ce8d0b e0cf35 04975c 1fce8d
516b6f 12b8fd e0d5f5 a825cc eb48b2 923730 907713 f3cb10 90d08c 04976d
c1d8fa 83a1f3 943acf ae508f e492b0 8f827b d1d540 4c653e 049807 4cffc1
6a8b87 0498ed aeb7d4 4650de 73639c 6f4f61 b62416 f1c3b1 b58e47 28ed3b
8aa6a7 4a7897 0498f6 cfccdf 902cde 5e5960 dc9763 fed4ae 887a07 6afc05
7770b0 b58af8 8312e6 f2a0cc a0521a d67f16 bada0c 79c47e 049969 116955
04998f 48698b a785dc a617e9 efb1fa aa6b15 655743 49f80c 83b98f cae3cf
a9e8eb 66899a 0499f7 a4aed0 5f3dd6 884b66 c9473f f87c35 a79884 cbcd97
24666b b2b3b4 049bc1 5bc9fc 814ddf ba1600 f17a45 ebd866 c1eac7 77857d
77c7ff 049be6 772fbf d9cbd6 8c6589 964745 be938b e0310e 9abc3a a0f603
049ca0 5b3ff3 735ca3 a877f1 d1c3e0 916366 fb968f 95d903 5e940d 1c6d18
1153d7 9298a8 bec9ff 77659d ca81f6 94656f ccc576 2b6f28 049d26 72f1cc
426d7a 8a8edf 8452d0 bdabbd c65150 864506 d49820 d6ea2b 87d28a 049d85
04a19e 97e5e2 3d6e96 a68aec 9a1dfe 993c58 e5b950 71570f 798f42 7fb78e
04a1af b9a9fa 8e51cb f0cfe7 a5087c a37f4c 745200 ebb20c 596859 98e6ad
88c7b7 04a1f8 4a58b7 7c7b89 d6cdfa 6e5059 a05023 c58d54 ebc70f 2affa6
04a296 5241da 65628b f346ec fc9ae3 a12d53 816a19 dbd104 8bb857 96e8ce
7edbef 526775 8549e9 aea2ad c370d8 983c11 f3d9a3 b3e50e 7d7f74 04a53b
98a1a9 04a5fe 126ce8 687594 eebbed 774c57 a73d0d 97795c d89e03 46fbcd
4d64f3 dcd7fd 9d8cfb 777382 b09fb5 834494 f3947a 3d6806 22f806 04a605
a5a4e7 7607ec 695c6a a44dbc fbc8ed d76ba0 a94326 a3ad0e 73eda7 04a666
04a6a3 b8c1e1 9a88f2 7359aa 80536d c69512 e2dfb6 858c65 14fe37 18711d
04a7a9 4d5f65 b0c6f1 5a4ce6 a97ffe e5b16d ac842e e2e510 7b826d 15efbe
5460e0 8b8cf2 6b5c8e d3bbd2 a07486 db988a 824821 04ab04 64ef54 c8e7bd
8c9f9b cac0e3 6e34c6 b959e7 98407e f8ccca 7f6c68 4e6b0f 5cf437 04ab55
978af9 6151a6 b9adc4 8e789e 964768 f3c1b8 beef32 80ba1c 3a8031 04ac72
04ace9 8c95a4 d3cbe8 812afa 9a4aa5 ac1e31 ee7f6e f41f0e decb04 ade6c2
18777e aab9ff 6e4fb4 b7afbd a276c3 a22844 ec062b eac250 04ad75 72f4bc
04aee4 705ef4 817789 f2cdff 7b468b ad224d f78187 a07927 50e122 c8d9cf
5c6a72 ced9fb 9d9eba a81ded 814741 ae1e00 ddd1a8 958d0c 25f314 04b076
04b0c2 a5e1ee 6060f4 67646b 9f199a b0827f d5b4aa 735228 b0da10 599e01
04b0f8 3855dc d3d1f7 796f7a b7a1b2 8d2b81 ba2319 dfa136 a1f1bb 5d9e77
99a8e0 732de6 a56efe 84348b c8b6c0 bd5790 64654c 1ce805 04b112 b0e2a2
384fd0 817ae2 b2aec9 834f6f e06d95 e7ac8e e8e25c 6d7a50 04b116 81edd3
4d7274 93a0b6 d0c8f4 d67dff b92cc2 dd6b13 f5b42b 69663e 04b183 84f5d8
42fafd 04b1e4 7f53e8 de529b 9d3a5b cbd44e 49670d 97af8a 349a41 ade5bf
0f8696 04b1f2 a3d9fe 804dde 855b62 ce989e fbcece 9f3101 97a301 bad175
29d8f8 542bfd 895bc9 94396e b26c8c d39fb1 dedfbe a2e33e 457427 04b24b
9db4b9 3960be 777ca0 dfccfe d07df7 b8126c 8d750f e8ce25 9ef3a7 04b278
657581 4b59f0 704593 e5cff0 c785c2 914249 8e7624 89da0e 5effb7 04b291
6be7f7 04b2e0 695fd3 655a79 81463e b33301 f09d0e a5874e b0d49e 8e9e95
04b49f 11f6f1 2b57fb bba6fb a873bb af3c74 f05656 af0301 ecdbb6 addd23
04b4f1 4f78e9 7a8299 d0a9b6 d2201b b47f6d c5daa3 7dbf09 87f801 595c57
9dbcf1 3e54df 6d667b a176c0 a41650 ae623e e79952 f8dd16 c9dfb3 04b79c
c3dce3 b6a2ff 8026e1 b360c5 b59cac f3a186 715429 dde751 04b805 62756f
3960de af6fa5 9c2d8c fa96dc 6f7163 bde44f 396a17 04b822 a2f0cb 96a69f
788ea3 9eb7fe 6a4c91 bf14f7 d7c5d3 9b4e15 e88805 56f685 04b87b 08845e
7087a5 3363a8 b0c1f4 a274fb baaaad c04a09 6c6460 f1d5c5 4dfc43 04b958
98cfed 908ca1 6c1bf1 6d538d b34ce5 aa3356 ffbeac d0e42b 368a0a 04b95a
a6becc 408ab0 04b9fc 5b36ef 89546c c5133e debc9f c8822f 8a8f80 3af42e
5466fb 9e9ffa c6c3d8 6b549a 89405c a0848a e3a28a 79f300 427820 04ba0d
a0aba9 91cbf6 913abf bf6fc4 a32c71 615a41 dad1a5 5d7d0d b4f108 04ba55
b2dcf0 727984 8b1afc bd96ff bf48c3 f78bb6 735047 e7c48c 108505 04bb23
777a93 8620fd b395e1 734595 eac9f4 ac817d b24b37 fcb682 04bb24 a2f1d1
04bbda 1366df d4d4dc c96198 952b63 ed2a06 c2a69e 917957 8cc83f 41ffac
a1e4ea 04bbf2 3e88ac 8932cf c44225 9c8070 e97c2b bdb89c c3ed62 515d58
177b79 979cb3 682bfd eabafc be4dd1 992c43 df2e1e f49531 59f7a3 04be8d
8baaa3 04bedd 6907fe ad62fb 7e3da9 9c5422 b28e40 fcd022 c4e7cd 488068
6c04fc 977bff 71546d c267a7 e09ec8 eed6d0 848876 268012 04bf02 65f879
26665a a3aefc 8327d4 c3b7c0 cf49b9 f7b782 847504 c8f006 04bf1c 7d938a
a6bbd5 9c5dd5 83497c bf6ea0 a61b04 dfc438 969912 5dfdb7 537b69 04bf92
91eae8 514bf3 7c76cf bfa3f4 824484 a07986 f1aaaa c32413 afe529 04c150
515d64 a4bfdb 727ce4 9089a8 742cec e16c65 78611a dcbd57 71f8be 04c2a2
427d72 04c5dd 7005f4 76568e c143f1 963d3c fb4225 eabe19 8bb47e 9ee3c5
c1deea 5863b3 8482fc b7a8e9 932f69 e8639b e61104 edc3b2 7a6e52 04c654
8e8eac 7456e1 c57cfe 7c5575 ebb1c7 923447 ba737b cc3a30 91f891 04c743
b2e9f6 6157ad 947af8 c8a3e7 9379a7 983251 d17787 fdc4ba 04ca1e 209527
04cbdc 284ee7 8a90fb 7a5379 ef7e9c ad4303 a0943a d1da55 5b7955 acecd1
549587 04d1f5 33627f 973dee bb69c5 934350 e9cfcb d04925 bbf220 95b87a
7e929e cec3da 9656ae e46df8 963c06 c16705 a1a16b 04d808 b0e8b0 16765a
04d8fb 6b6e78 7a0fde bd44cd fb85bf c2023c a18b80 d6caa1 aaed2e 13b83c
97b0a9 a9e8db 0c8080 04ddfb 35a3ed 7945ec a61317 c19d01 8a8457 c7d38b
5f747a 267ef7 bda2df 76529b f0d2f2 95364a c36601 04de5c aed6b9 75a695
04dfff 1e96e5 5e4cb0 9b476d db6774 a29c18 cce108 5e7827 99f79d 9dbeb3
b8e4fe 85a8d2 87858e a523fb 8b2f82 675b5b f38a5b dbda1f 307a23 04e0b6
757ddb a2a9e9 615495 aca0aa f2c8e1 a5526c da766e 726503 04e202 b9ecb0
04ebd3 4c7573 8403d6 e19bff d24dc6 af2149 95720e d9de57 a4aa38 6aa57c
516a67 6e9594 04eef8 23afe6 a043e8 81378c ab1a25 b97135 b8b63a b9e7a1
04efe9 92adac 207996 1ca6eb 7f55fd 834b54 cb7074 ea2914 cdb159 c9ef26
04efea 21a5ea 6a1bfb 8e4dbb e24689 975310 a29048 ccc83e 9ec5a6 157260
04f1e1 8f9ba8 2472f6 d39efd 964192 987e6d fdd73b b3d192 22b00f 266f22
6a01ff b641e6 d698c6 b5007e 805300 7d7a64 9ba793 0cb004 04f413 c2e3ca
04f4eb 8492a4 85b7f4 4e6684 448bdc 860dda e4780c 7b6447 afa89c a7dc61
673ada 8d73f8 bda5f5 9164a1 c59da3 89a312 c4e1ab 04f500 187a26 666f69
c2dff9 5b5e62 891bf5 d68fdd e33a9c bebcae 8d936d 268517 1bbc16 04f550
4582f6 b3a8fa e1bed8 ca308f 68625a 91966e a3f539 61c130 276d05 04f5ac
04f5f6 11b1e8 4267f3 a07891 903570 cbaaaf 696048 d9e683 9ab660 678e12
52b1b2 04f5fe 5461cc ce82fc 9e0078 a7587b cfc69c 979d55 5f692e 8aed3e
6baa9f bae3f9 7974a3 c189eb ac04f9 784a67 b00c39 c85a24 b8ce52 04f6c3
35a2a5 1d7174 04f7ff 9f2be0 ea74f7 b35b0b 6f563f c3c83a 7d876f 78ce9e
629389 844afd deaef9 a762b2 9a2865 fc166a e2972a cdeb50 1b743a 04f9c6
97b8c0 7c20f0 a65bdf af308c 655557 ef7a0c e6d8c8 a9ad89 748256 04fb65
b1b2b4 6941c4 a06cfc 8a6c94 e9a5f7 8d4e59 2b7f14 04ff42 bbeabd 30ac5a
4e4bdf 8e86d4 5a5386 fca7f3 cc7996 a54a61 88750c dbdecc 7bbb40 04ff4f
479f9f 0546fb d3d8f2 ac99fb 9167c4 99345b c9a88a 7fa40b 62e82e 0e7d1a
74bef0 4e87f7 0546fb 953f97 db86ac dfd0c3 7f7617 a5a205 abe03a 6d8873
b8dbe3 57c4fe 5a87c5 0546fc 824a68 a33d23 bc772c 867869 e5c360 a3b197
59999a bbd5d9 0549f4 8763ac d589f5 8d3f6c f59e02 95a880 307538 63fc99
3eddf4 054bf4 5d77de b12a92 7e542f bb8f56 fcc908 b0ea9c adb5a9 727470
054fe3 d6d3e0 6b659a d85ef0 a71265 8f8b88 f5dd32 56bc55 1d8736 31eea1
0551f4 8a81fd 6b6197 e3d7fa ab9bc2 af4916 dc7b3b ffcd5b 76e5b9 19957c
669692 0551fe 685e8f a07de7 e2a2e5 a05849 9fa308 91e503 05c68c 0af8d1
78cad0 4f7286 3a89e7 0554d5 94413f d89a90 d01e01 f26e14 f5d5b6 bbda4d
a9b7d1 0556f1 617ed5 b63887 6b5554 e1cfc5 c09913 8d8981 a8f709 547725
0557c8 517ff5 b2acfb c47294 f5cbcc 755e59 974118 b7a880 70962d 29f50b
74edf0 afb0b3 3191f0 0557dc a0498d f6a967 88827d b38b00 4e6d0e cfe5c2
0558df 9480fa ded5e4 c699c2 986390 f5cd3d 535f2a 7c876e 18960e 84d0a0
a8bcbe 0558fe e0b8ff 9f3c99 e061d4 68575c 9c8e80 f5b44d 1a872a 89f6c6
b9cff0 055adb 775b8c cd73d3 e12f01 a06250 f1d4cb 99b746 44fd1b 66b28c
486964 055bc9 88b1f9 b3b4bd 97759a 9d4b06 ce881e efc50a a8eda0 789176
ccdff4 1d93f0 055bd7 980f87 816271 f56da7 bc0525 b7b300 6fa358 63ed93
b4e5fb 8ca1b3 0e98fc 055ece 657193 805c60 a31d03 d37d34 c9dd5c 2ad4a2
90acad 12c3f5 5788b9 055fa7 646267 ae392d f54a1a 9d9a70 cdca61 94f2d2
0560ce 6c78a2 bf90f0 e5cfdd 6f4f5d c46b7c f39996 b93011 88a802 07f80a
0561e6 5e5186 f9befc d48ac0 836a78 8e462b d6e4ad a6b490 7ed82c 1dab31
868789 496786 739fe4 0562f7 b7b7be e38861 ffd1b9 a3720b 625d2e 6bf205
0563fe 635e62 b773c5 fea8f4 af0192 788b6f 068a0f 06c128 7ff89e a9b0a7
36fdde 05685f 7c86b3 9a43fc d3aef2 7c4994 9d5f0a 99a407 99e216 0ec689
2197fb 0568b5 565e72 abb2d8 8184a5 e50a0b 866355 b59c7a efcb19 a2e9b8
4baefa bacbe2 0568eb 858492 ab0b9c d21e16 715a54 d27f60 c4b3ac 6bf96a
056aad 8d93f2 e2d8ff c9abbe c16c8c 735633 7c8e49 a3d589 25c701 1dfe04
6d3ffd 986fde c49cf5 f9c7f9 ae0470 c7698a f99db4 a8e90f 5eb303 056b33
056bae 628dfb d3befe 956d84 d5a7ba ae520f 615e4c 18d317 a8ec9c 679163
5eece5 26a9f5 6e7784 056cdb 684c86 eb8ea2 844e46 bfc804 389d18 b9eaa7
616a6a 056ced d2c1fe a18ac2 92218c b3110c b37050 f76e06 e7df00 8bb996
12fef7 056de3 8a93a9 c0a4f3 a3367b 966d6d a80029 f01b2d edb454 a9dfb0
15c0a9 056e6a acc5fc 8392be b42fd7 ea706f ab3d32 f3db6e bbb105 1cf6d2
5c6365 bacad6 675ff7 d97cd7 9c479c f0d7be 86856f 28a705 12db61 056f2f
809996 31b6df cae0fa 0570f8 59688f fa6646 894a02 6d6052 d8c3a8 0cfe4a
73c2bd 8f77cf 9008f5 d4a5ff b91984 946366 f08b5b e9e230 bcdaac 05710c
508ef6 6a697c 9023d0 f0c0f4 cc8fa9 92796a b2cb30 599a18 05721b 68e7ae
7ca1ac 5779fc cecae9 9f4fa6 a90116 dc8e7e f3d6a3 928c13 0bdc07 05724f
057285 8962dc ddcff2 b099ca 7d4e39 f4880f ad7b4c b4f443 48e0a1 65aa97
0572f5 d9dbec 7e719f ae9bb4 a1737b 814947 b70f00 e1ce0e 1da942 6fd3ae
139a9b 989fe6 7f6bd4 922a80 e39d06 d5d0cd 6e6f12 979964 a3f087 057354
349dd7 bed0f3 8928ff 7b7081 82388a b8a09f e8d6d2 80a551 05740d 22ef2d
aeb5b5 677175 b110f2 9b148f f435be cf986d e6dca4 8a8b00 09f30b 057533
685282 b407e8 cea8c2 e34cc9 6c8400 7db152 5ce408 c9dfbf 057543 219f7c
8d1bfa 76478e d2aade ef42f1 aa749e a7d726 05760c 687666 39bd69 38f6d3
a5aeaf 1eaed9 b4daee 7e5f8a b91ee0 fb9572 974110 ac8524 f7d842 05765a
2cf7fb 16a3ff a99fb8 a835af f53f8a a2200a e2b598 a07f35 72ce1b 057762
7e9e96 05778b 9048ec c798e9 edd3ee ab1d66 ffa23a 9d7f00 436724 93d4af
