# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0048f9 0292ee 0dcc0a 128836 656365 67fe05 81998e b75ba0 ccd197 f19dd1
10aed8 4f5d8d 7d5d63 9b37f5 a78897 b45c3b bfd1e4 e3e513 f6aa97 f7741b
10af63 1e60e3 21ff27 467658 991281 a2aef0 ba5e9d c9b5ac d62310 d8dbfa
10b150 16695b 615a8d 706eed 81611d 83e64e 848b83 d191ba d3d3f8 f7d2cc
10b1e9 586dd9 5a5d71 875c15 8be0b2 9295a3 baa25c c1616b e4d7ff fec845
10b219 32fed4 4f6e28 5f28f3 805fc3 905376 a0e877 a1a69b bb86c7 e7b5f3
10b2e2 2cf49f 546977 837660 8fb3b5 ac04e5 b00a15 c2e0ef d85115 ff9b0a
10b375 2e7b80 51e696 76510d b530cd b62160 c0c400 cedbea da8dc0 dd671b
10b3a4 374edc 5d616f 6e84b5 76e019 7a644d 969956 c33d00 d5a3fa d8dbf3
10b3fa 5a9408 695f70 884322 9082aa 94b1b1 a2ed7e a53bdb c87576 f7cef4
10b439 2a7270 3be8fd 744097 909182 9af167 a92414 b22cf9 e26ad3 e9bbad
10b483 3f7c73 72f367 933eb8 9d81f7 9f84ad a32e20 a7bdc6 cd9217 dfdec7
10b4ca 436b39 6e05f8 778f03 9356e1 a2358b acece9 af7b90 b4b56a fbcb00
10b5d9 629194 65e929 715157 a0278b bda990 c00a0e c235ed cee2e8 e1643e
10b60e 2b77ca 33eb54 366b1a 725981 878da4 aa626d cc9289 d0c9e7 ffc5c1
10b638 5934e9 798a82 7e688b 99d3ac 9e4c21 bd58f7 e6d7ea ee7ed3 fecf19
10b64f 17f656 667986 675b51 98b2a0 992ca2 af400a b194c8 c4e5bf d82df6
10b716 30ec3e 3761bd 5e5858 8081fc a05b28 b7abe4 b87fa0 efd4dd f89a98
10b82e 17ddde 336a17 7e917a 814dfe 996aa0 9e3163 a6dab4 b18efb ecde16
10b84f 188324 757274 80eb1d 871efe 902c8e ad63ed b9a3f0 d4e4a5 e4adc1
10b8ce 4d7aa0 7901ef 7fbe39 80816b 8d6309 a3256b b067fd bbf23d fbc0c3
10b8f8 626640 62f7ed 7890a0 8ee11d a1147b a343df b68629 c2bcae f01274
10bbf3 168c0f 6a716d 72b56a 894688 a15af5 a6e4ff c4c9bd db77a9 dfbb04
10bc0f 64546c 7342eb 9ad2e6 a574f9 a85b5e c1f104 ce110f d78ca4 e6d599
10bcf8 4964e6 7b6159 7fcc76 9fa6a0 aa0913 c7298e cddfe6 d27d02 deda07
10beef 65f603 689c85 774785 8b67e0 96789e a3334a c9dde0 d0bb80 ef3a3f
10bf07 156e55 41fb39 696c18 a38ada a6bfd4 a93ad7 d53b8d dfdcb1 e08c95
10c0f4 65f8a8 687f5f 7a5e7c a80020 a8c8cc ae0dd2 bcb836 e13606 e37794
10c0f5 1f8cd3 394fd7 596983 816f54 8c99a0 9eed18 d2ac78 ebd5e7 ec500b
10c105 3a8716 5f3fff 754e56 a73192 b076da b6eb6b c0b3ff eab7cd f75390
10c12c 656d8d 992f5b 9b8f90 9bd896 ab35e0 be0c0b dca6d8 dee836 f85cff
10c136 398d19 854950 909383 9156bd a8eae5 af037a c8a0fe cd75b0 f3c69d
10c14e 208550 8024c6 919494 94ee4d a73e79 aa5bd1 bd0e00 c0bfb6 fd81d9
10c1f1 138c96 44635d 6f31ff 7f9375 99cccd a065f1 a26419 b6a145 c0e11f
10c225 3f54ce 6e7ef4 80645c 912975 9297b2 9edcee b42709 c6a4a1 dbe2a4
10c291 587468 664d85 79a50d 7a68fe a0302c a471a4 afced9 d7e350 da8ef4
10c8f4 1d5ce4 4d5c80 7c8bab 8dfc02 91840c 99574c b4b22a b9cac4 d27978
10c9d9 2b5ad8 5f9096 962479 a2cb24 b17aff c2084c c2a392 c87942 eadc9b
10cd6d 4f8d82 6837fc 70f2fb 8f60c2 98e518 a0a2d4 a3183f c9b6bb f02a09
10ce62 4c6d64 7c06e7 804888 819780 88fd59 cd4327 d0dab7 d4a5bc dd65ce
10ceed 647c5e 877ef4 8a6f9d 8c28b6 9d2905 a0c9c1 cf5901 d2a54a fbdb38
10d135 1f6e28 64a05e 6a6e6c 834c9f 87fe01 af929e c5c9fd dfcfbe f451fb
10d1ff 1e91fe 347f16 7a5150 7d2ff3 aad1d3 cc3b98 d0ae0a dbdfaf fc7787
10d3fc 5052de 568128 67a6ae 695072 937fdf c2d4bc e09b14 ea577e f7dc15
10d783 3185b4 86a4a6 881afd 943a64 a4706c a90106 ade515 d95500 fda8e4
10dc64 1e845b 6433f2 785b79 7f9195 aef706 b53c0e cec0d6 e165dc f35b00
10e38b 378e2c 6a6263 6e9afb 833981 8454e0 9ce414 a9adb4 b469a9 f1d3ef
10e44a 288176 7337bb 96a596 a26ed5 bc1b49 c1d1de c47e17 d09afe e9d9b5
10e7dc 67a6a3 766c77 8d4cfb 98379e a3203f b373cf bedf16 e1211c f17567
10ec9a 317302 3b9ef3 787f86 a10882 a227e0 ac7b5c b1a4b9 ced6fb e99c36
10edeb 20a7f0 426824 4d9b03 8b5c74 8c1df6 9a908f a51396 aada13 dbae86
10ee4f 4e9a7c 574fbf 7d566d 7f79b2 9ac4a8 ab983f b63d1e b99bff f4cef9
10f1f7 308755 42c47e 655687 745206 9b870b a151ed b1ecbf bed126 e76bbe
10f1fa 2247f1 5c929e 887265 953082 a3c9b5 bb6aff cd231d dbd13e e08040
10f1fd 4755f5 4896e9 6e5902 8da17c b07b02 c3eb94 d1bebd d43796 e3a62d
10f2ae 5143d8 5b9bf0 835689 99adaf a92442 b7e0ea d2cd25 e1806f f91105
10f31b 28bb3d 40776d 687e0a 856efe 8d27a9 a8bafd dcdce7 e65eae fcc2a2
10f5d3 3c6950 6eb892 797b1e 874ed8 8eae02 a63584 c79afc e25eac f0e035
10f70d 2e65ed 787882 7b4089 8db99d ac8afd b00c36 cae5ad dfb0e5 ff2c38
10f87f 635cd6 73827c 7f4c7b 9b2b3c 9bb2a6 a38bb1 c3e5d5 d35c37 d7c1f0
10fb6b 2cc13c 60727a 7911fe 823793 9863e0 a9c1af bc2626 cd7cb4 f8adeb
10fbb8 5d929f 6d6a68 96b0fb a12997 a4a78f a552f4 dadbfe e2d10f fb4138
10fcf9 3d89fa 6c8587 705159 86bcf3 a231a1 b3e603 b90317 dfb5b9 e45e38
10febd 2c90b1 6451c9 83dd2c 916570 943d22 ada2fd cbb3ce e08981 e94b0f
1145ff 288e81 7164c0 775e0f 83b17b 87ea1d a88316 b183ff de9bd1 f2d6d6
1148fb 5876bc 706d7e 8d5731 8facec 8fedf1 a8847b b6e175 cbbbab e48530
114cf1 25faa3 558766 9173d6 974c7e a8c2e4 bc3b0e c7a251 cdec29 f46da2
114eff 1e958e 5bf4a1 645562 6d61a8 885620 8ba141 a3bfc0 bf84fd dcc711
1150f0 54e718 6a679d 758bfb a7385d bcd1d7 c689a3 e1dca7 fd0921 fe7376
1150fe 50a31b 55f59a 5e557d 8a73c7 935033 b0f203 cdc8ce e896eb eb5b87
1151ee 3aa0cd 3dd3fe 745e8e 8fa9a4 934b15 b6ddcb d5e92a dbae69 dd4161
1155db 2b8cfb 36e186 597619 7caf9a 8d74a1 8e4959 cdcad8 f2900e f6de0f
1157ea 276b0a 63910c 66cc8e 7a5d60 9abc06 9c8c92 c25fb3 c6ee55 d8a7e6
1159ec 476359 4891f9 66d3f9 6e8c73 7c6296 9d6f25 ada0ac b6eabb f2c139
115aba 13c779 55fab2 76846b 98658a 9f8ffe bd4024 c3ce18 da7801 dc96c1
115eff 1bedfb 2c6867 789594 836aa7 aef097 c1c4bf c48bec ea1f35 f3ab13
115fff 3a9554 78dbe9 8c3c60 9093fd a6a7a5 b52008 b9e69f c15caa e89b22
1162b7 38a1ee 556011 7b7c9e 99426a a0c5e6 a9af1e af7b51 bdef1e eccd9e
116691 14bef8 4f94ac 687d60 a4a39b aae500 b83717 be3bfa e4d1ce f46d15
11677d 5da1a1 6bd0db 8409f0 a4453b a69b07 bae7ca c9d72a d73adc ed9b80
1167fe 2bacab 685828 6a75a9 88e8b9 ab2671 b66877 baaff9 c59e63 cbd21a
1168bd 149f7f 1cd1a2 5b5c59 737d98 a0a2d3 a65b29 ab9d3a abe0e0 d1d261
1168e1 4d5f7d 66ab92 67654f 81ebe3 9c6312 9d8bb5 b5baff c2a229 f5db84
1168ff 6a97b3 77545f 85f0c2 a70f2b aa16ad b6a19c c3c5ea edb706 ef6948
116953 11b694 6c5dcc 7e7323 85bd46 8ff5c0 9184b5 aa1082 cae30a f7acff
116963 696817 79b383 838698 9f9023 a1dbf0 c02dfb c199f8 d8d8c7 fdaf01
1169d0 3f9dc3 7a5461 858a8d 8ccdbf 951e81 d02009 d5bdfa ee7a61 f5d44e
1169d4 54884e 635e6c 7095e9 913a05 93a925 aa8294 bcdd5e ee958f fec2ed
116c01 1e9c48 46c2c8 7ef4f3 8d5ed4 a2265c a990ff aa8b94 e3ccb5 feac2d
116c37 38f7a9 5c39fa 679822 6ebba7 8b6e78 a3de1a ac188c ef3cd6 f69fec
116ccb 4f6054 6deaad 7faade 90698a 929690 ae2115 d3ca31 d46c36 d6dafc
116d06 1a96fd 4057f6 47f57b 667166 67be29 9b9798 9f57a1 b6bdfc eccfd0
116d55 3e9cd0 79628a 79ccf0 8255ed 999ca0 aae421 d5a068 e5440e eeced2
116d88 3afdd6 595f36 618c84 89c983 909703 c414e0 dfc1f4 f0bb15 ff72b4
116de3 764a5e 77e719 889eff 897097 bd032c c1b7da e396a0 e5652a fed1ad
116e11 4c75e1 6da718 74588e 79acfe 9a5a66 ab9ca9 abd508 e29b83 e4c7e1
116e5c 638ba4 6a0bfc 75e2f7 8e7a3e 9830a6 9aafb3 c7b04d d2e4a7 d73cf7
117241 4caa95 70707e 734298 7d27fd a1b15a aaddd8 c45ee5 d7dea1 fc9cff
1173d8 44bcb5 63626f 755331 8d8680 a3ebb5 a8742b c6ad16 d1c3fe eae41c
117427 5df0fc 6d17f2 737a73 7e73f1 a23685 a4975c b8cfc1 dc80b2 f0de6e
1174d8 46bafc 4b5b7d 8683a2 8f7458 ae2d02 c0bd94 cfdfec db741a fdc900
11767e 659484 8dc9ac 9f3cde a6154c a8aa32 b76041 e0d7ed eb83dc f1d213
11778c 5b5a4f 7048cf 83c5df 9aa199 a1340e bb70e0 d5d8d4 d65a03 f9c750
1179e0 5d5775 60a5e5 92e4f6 9c7d88 a4433e bdc8b0 e42b02 fbdb06 ff8b3d
117c66 19ac81 5ce573 7b87a9 833a78 8652d5 b00712 dcd0d4 eb93f8 fb7307
117c70 80b7f9 817ecc 8529d2 86453e a09c7e c0dcf3 c25017 e29011 e8c788
117e67 6fc8fd 8204de 954623 98849b 99ac9a c842c9 dadeb9 f8610d f8c32f
117f8d 62575b 663fe0 6f8164 87f363 a2ab9b ae71e6 d8dedb dca6e7 e23313
11800c 635749 669f79 6a38f4 75d29b 8e7ec4 a6517e b0a60c cae950 fea4e2
118102 1bdcf2 1d90f0 61aa06 6235e4 827d88 864581 b49280 b6e257 eabdbe
11828e 3ae231 556203 8e61dd 8ea5d9 ae1e5b beabb3 c9dcfa ea3c5b fbc5a7
118533 3387fd 656b6a 7e0af3 8f248a 8fb413 8fc2d9 b7e91f e6c091 ef4898
11860d 48e9ff 5bcd2f 636252 798e87 974090 a830fc b9eb92 cc60c7 d6b7bd
11863e 5c47ff 6a4fa0 7cf9c5 873b60 8acd26 8b788e c6a4a8 dcc7ff f45ad7
118693 54fc1e 637665 70aba2 850dcd ae1e26 c240f3 c3e8bc e68b5f feb3e9
1187a1 4b673d 7546e1 784767 7a9790 7bdede 83842a a1b72b b586f3 cbeb3a
11888f 20bdc6 42f3e8 75a628 7b27ca 8e78e0 a54e2f a9f709 b7988e fdb88b
118af9 5affa0 604c9b 836477 96aba0 a98db9 ac1e41 bddf19 dc6a4c e2b9e0
118bf7 587f0e 63c04b 7615fc 7a529a a1ea01 b15a6a bb83ac dde1b4 f0b1cf
118c60 32d468 455f64 715c0c 9995ae a1810a b01ba4 cd79fc cee2dc fab3fe
118d25 2dbb75 46fc62 606570 784197 8381cb 9e8ea0 b1abff c4e8c8 d1bbd2
118d4a 4a5c7e 5b99f8 7dd5ec 828ba8 9832d5 b19b96 b8f11f e29825 e4cdac
118d5b 32c187 6057b6 6d526a 7f8791 957c00 afeeaa c769ff dcd415 fb85d0
118dea 3a7171 52d9bc 7aa3af 7d2bc4 a1927c aef532 c0591c ef8a31 fbaef8
118dfb 3d6d7b 68bba7 807765 82f0d6 858fb1 8d02b6 bcc3fa c4c36d e5251f
119010 3d6535 6cbf0f 6d528c 7545e9 9a7172 9d75e8 c2f10f f2ce9b f68cd1
1190f7 2742fd 648a95 71519c 76d7e7 8e5660 ce0f01 d7e321 dfad93 f66822
11916c 2fabf5 66537e 68e8fe 9391aa 9c3ed3 ab4803 aec9bb e58819 e6de2c
119198 46f2a6 8635a0 939d02 9a71ea a3d827 bf3e43 c1a5f1 c48f7e fdc7ea
11929c 41fd70 47c914 5653b2 7c7e19 9672ef a04663 b1c8da b69e92 e7dbca
1192ff 417a17 6ba344 7036fc 72f24b 83747b 932896 a7c59b c590b4 fcc4ef
119421 515c7f 52ffbc 60c492 7b8c85 83564f a78ab7 bbdfe4 e502fe ffad04
119820 23f4e7 4c6459 7152e9 84a7a0 8be407 954086 b271c1 d8e2a5 dd9afe
119b44 5f6460 83b993 8e6596 a0280f a598ad a7ecbd ccc8ec d157fb d3bd56
119bab 216780 609016 773dd7 7b7463 97edca a5a485 c0c4e4 dfcb76 e778fe
119c4e 136b5a 4beeff 89c95d a23a07 b212fc c094f9 c8ef1d e542a5 f59fc2
119c9f 1d678e 31f594 7ea983 82790b 8a01f8 94515d d54ef8 e0b8ee e8a204
119d79 40efb0 507232 6a5561 77ab3a afa1bb b0f637 b716de decfed ec5df1
119ded 2c6d75 70d8f5 7b4cf2 92a9a9 a3173f ac702c bedfd4 dbe815 ff9a70
119e31 136f05 675ff2 6c5f5d 95f666 9f91fa aa2891 bd6e9e bfa59e d2cdfe
119fad 2e7635 76a209 76d9f7 806973 815fdc 8f3388 afc669 c08983 f6c5c2
11a148 5b6700 6df1a1 777fa1 8fbaaa 913752 aa36db aec407 c390f6 facce4
11a1e6 1e6bc0 36dbf5 718b9f 9a2750 9a9a89 9e6736 bfe119 d2921f fdc9ba
11a2fd 425afd 587b44 65f5c8 8b9a0d 8c3089 b4cde8 c756a4 d3d901 fb8f7d
11a36b 4058a4 786b82 7f524c 87f1ff 898ed0 b56906 c7d88d cea7bd ea9002
11a4fe 18e1fc 3e792c 4340f4 695e69 92d360 9c9300 a347a3 da84ac f2d5d0
11a506 535c76 7d6e4c 7f00ff 9aa6b4 a8ebcb d132cd d8bdfa f0cf0c ff8c68
11a5c5 516e06 6d9c13 85dcdd 8d3089 9f18f5 a8c655 c8466c e98a97 eed9b4
11a76a 4f57a9 875664 8a9fad 90f845 b079df c9c5ea cf461b d7b9ae ed8707
11a7ea 2065d3 52587f 5ce5aa 785831 798491 96856c d0cee0 d19b50 f0dc45
11a8ff 47ed67 567da9 7e1fea 83af71 955f52 992065 cea4b7 d36603 e3d1f7
11a956 59ef90 606a6c 7426ee 9dbdb3 9e58c8 a31238 c18de7 e7cff9 f0b217
11aa32 296675 6e7c6c 73edc7 7b39ce 875b03 96a8a4 a568d8 c5ec2e c7a8e0
11abb3 6cee1e 7e16db 8969fe 90a702 9256a3 994546 c70104 eed1f4 f78785
11abc4 137e7b 15dcfe 8033c1 8c6ffa 93324b 9be04a d21b27 dfd2cb f2817d
11abe8 376fb3 5eec90 705a2e 991c6d a5a4af a96a6e d8d5db dc6716 fca706
11abfe 3677d7 72819d 755864 8b9b00 9cafc1 ae352b b3746c e3d9dd faa866
11ac6e 6238df 79d145 805672 8873c9 ab2137 bfa5b8 d3dad3 ef3e0b fe96fd
11adc6 3aec1c 675861 73914b 9d55eb b5120a bcd3e4 c8a998 e2e0a8 ee3898
11aec8 12e9fe 5d8902 6c5a57 835ad8 968480 9bb71a b00382 bbf060 f7abb1
11afd6 586aff 61626c 649423 82e5eb 97d021 a31934 ad8995 b22eac cdc5ab
11afff 3369e3 7e98b0 848470 943770 b7cfe8 c94428 dde424 e2ad93 ff7b1d
11b077 325ba0 6b5a68 6d6dff 6ff9ca 94ac18 ab79ae ae4922 b8e75b e5c0eb
11b0fa 14fef1 2d7f55 7420e0 794f87 83848d b0acac bbdcaa bf7817 fc9e45
11b12f 486579 8618ba 94eeed a74e54 af4bf0 b59f96 c20000 db6bc1 f2cd91
11b1ee 36ecfe 4350fc 628186 785ba5 8c4c09 98b159 9cd0bd ca285f e3dd63
11b316 3a6454 6a5f0e 845fd7 88dcf6 967e88 a33a88 b790f5 c4e40e dbb880
11b3d1 4139fa 696f62 814f94 8eb09f 9e63f9 a62906 d0d8e8 da7b1b e6c469
11b3fc 5467f3 5f6c7c 7a5147 869654 ab3805 b4d9f7 c6af1c e5dbbc f57aaf
11b4d3 3b696b 64eb07 8b4037 948c96 b131ea cddffe d25023 dad1c2 e88b6f
11b4e5 1f70fa 247f0a 505f45 764b9b 9aa209 a2617e c5d2d0 ebda7c fe778d
11b578 136482 6b8487 7033f4 9c6b05 a065e4 a1b1dc a8ef66 bba900 d6cdc4
11b5e9 3564eb 5f6278 8b8fa3 8d453d 977e10 a8e9af c86671 d9c8d7 f19f0b
11b5f2 635177 7c66ca 8aa3ae 8f4706 a2e6fe a87b08 c7d0ba dbac4e f74f77
11b6de 3b54f2 478266 675823 7f8428 9a4588 b2b245 b5e3d9 ca76a0 e2e64d
11b784 65829d 73f5bc 795a4e 9bd936 9e2c01 ad08e4 af9dff ba840c d2adc7
11b7a8 2b762a 6ca135 725ccf 982375 986477 99fc1b a685ed adc67a f3c5e6
11b7ef 1af5e3 566162 6570e3 8d8da4 906b37 911d90 99e18a ad9777 f29702
11ba1b 456f3f 62ded3 7367fa 85957d 922b82 a07d9e b9f10e bd9bf6 dccf93
11bef9 3b78f9 5c5297 84af14 896c77 9fe420 a64e13 c181b1 dad4e6 fc968a
11bffd 5e62df 66686c 7dda0b 919b61 961489 b02308 cc8fae cde7b1 ebc7da
11c0e7 21857c 5f6826 7a4de6 82ac79 83388d 958803 99ecb7 c3b30a ff3dab
11c1f1 2b7a56 62fbd7 735c77 7e00e2 90a2a4 968d02 b4040a bb45c3 c0bc26
11c2e7 1482db 266a1b 35feeb 59b300 917c97 91e30e a30e85 dd8384 e0d69e
11c2ec 506516 5f929f 73f5f2 8713fd 9dcb95 ab54d1 b93a68 c68029 fbb902
11c380 477835 6b35db 74fab6 8968bf 8b4879 9c9cb0 c1d8e2 c7d107 db94fb
11c3ad 249c00 2ffdcc 6c7483 8d3daa 983a2e b97cc7 c7d6f0 e5757b e9b463
11c585 71757f 7239f8 7a4799 81efcc a6b8c5 ac72ea c22850 d6e781 e66d21
11c6fb 22ae01 6f7269 7865e1 80ea80 853f88 9da085 a73906 dc83ba e0dbd9
11c88d 65fea4 6c7cc5 7d23f0 8f2b7b 916c7a b2ec2b bc293d d39038 e2c0f2
11c8a1 4c5c74 7186a4 727158 a8f1a8 b2b1d7 b9190d bd9413 bf21f3 dfd42e
11cad3 247e30 585d59 797fe4 7f1cef 84ab11 8cf5da bae77e bc867a da1f91
11cf3a 497cee 864794 948aae a41949 b86e69 bcd0ea d80106 e49ca8 f4d6ac
11cff8 5b5d48 5e9081 7221fe 946007 94a663 9564d5 b40587 b4e07a d7c2c8
11d0d8 4b6696 655c62 708be3 740ceb 8c8395 a0dc62 d64d1e da7e78 dcd5c0
11d26a 48626d 4b9c5e 9695a1 969ffd b71803 bb1bdd cbd9e2 f93d14 ffda12
11d7ba 427886 6e5055 a240d4 a8442b aeb200 bfbaf8 ca72fe d07778 e5e265
11d8c0 307657 519fb2 645291 9aa217 a8570c b643f8 bcd533 f1a1fe f5838c
11dbda 476156 5d49f6 6695e7 a33518 aa9c02 b7ebc6 ccd253 e33c8a e89388
11dbe5 1c50f9 387815 88aba1 945494 982853 bee6d0 c377dc e99d23 f43b59
11dd8c 28727c 7c9963 94323c 9844df a0f91e b5b006 c8cad4 cd73bd d63402
11dfe9 45ba0b 48759d 60585e 753ce3 a1643d b9e9d2 bba496 d05ef8 d8db82
11e788 4b5ef0 655564 68ab99 85522a 9b8cc5 a38058 b6f117 dccbd6 e09511
11f2ef 587e7c 7f2bb3 8f4a40 8f6be0 99b189 b3eba6 b98ec1 df6529 e6c425
11f3be 72b2aa 7c4a4b b53ae2 bf2483 cbddfe d19dff d6736d f30116 fbbb62
11f5fb 4c59ba 6296c2 766f6f 9b2e25 a6bcb4 a8f2b0 bb6428 d8c807 e7916a
11f655 2787e4 4e7d0a 5d2bf7 78bb72 966179 9d9c9d a50d8f c7e2ec d7a6f7
11f6eb 32b8e5 4276c0 745e50 7d808e 7ddd07 993203 e19ea9 e4dfad f54616
11f72f 3e87e8 446d56 68a347 901d93 9a6596 aba4ce bd1b18 c7dffb d8a9ac
11f7d4 137e98 426431 5aabb7 7739c9 78840a ab67f1 b3cbf8 d07783 d1bc49
11fcce 67be4d 6d6b53 8a3e6d 8d00e7 8f93a7 a56ae1 bd5c06 bec9fd d7da07
11fcfe 6cafc7 7259fb 787597 7b5500 aad4bd b08483 b5246b d8dd2b e3752e
11fdce 319b80 666a7b 72c2b8 85414b 9f40f2 aca105 bbda56 c05744 fe67ec
11fedf 3b4bff 458339 6e4f7f 8cb6b4 a46a7e aea67a cadf09 e852da f9a2fb
1246fc 4fffbe 6b577a 6da0af 7b6ac5 9adc41 ba91fe c71f2c cf8d83 edbaf6
124ef4 4ed25c 776ec2 7f5d7b 944641 a594fa b3948a d25c00 dbd9b8 ffa1d0
124ffc 20b6a4 50f39a 7968aa 90602b 9fb131 b01969 bbc6e7 f1e02a f43475
1250dd 318a51 3fbf75 8ef344 984471 b27dc9 b30901 cac6f0 d9880f f3d4d1
1257fe 36ae1b 567819 68f3fa 744c5b 867c6f b05095 b0c1bd b793ec d9c085
1258fa 4ae0e7 6185d4 685181 9b8197 b1cd53 c02246 e47676 f6cdba ff3b0d
1259f3 168f51 5cf9e2 6eba8e a7a522 a82a97 a92201 ab6e93 d5de31 f582d6
125ff5 54624d 559b9c 58c3fe 82609f 91bb19 a26a02 a89972 b4dae6 f0d49e
125fff 156d01 20ee22 5b91d6 69785e 794f9f a5a2b6 d1dfee d38236 dbb19d
1260d8 4eb3e7 6e76a4 81ff59 91374a a48475 a7b700 ced9e9 de3a0f e9baa6
1262e5 48fead 6a90f3 6e8c71 7b4983 ae72a4 b3410a b3b2b9 da7824 decf0f
1264f0 6c838d 6d4891 96e61e 994459 b01313 b9affc ce7356 eccde7 faa7a0
126675 22bdf9 7c534a 7f8885 b22eec b7e3fb be1d07 ccd4bb f65501 ffaa5f
126676 636350 6a8dc0 80fb5b 9917f7 a09d8a b72805 c4d2ae c87805 e5b3d4
126962 4575fa 69e4ea 76a3a7 854d9c 9d3c01 a87c3e a9c951 bc96f0 e8d5b4
1269fb 18dd52 6582ae 7f5870 9d9fa6 aa1139 b9dec9 d996f2 ebd0fe ef3c3b
126b39 499437 625e6e 81d435 845aeb a5a39e b46bac d3e3b4 f7c5e0 fa75ff
126b3f 56f9f2 60ac5a 7652d8 80847c 844f7b b0e4b1 b89dfe e1d03a fd58b8
126b77 6d715d 6de9b2 85a3e7 90a075 a12010 b237e4 bf6009 c9d6ed f29818
126c78 5f6b52 72a250 8ebbfe 9bf643 b79ab6 c9130d d5d0de d920fb fca39a
126d66 77f8d6 7f31ee 809582 94bfc5 a469d8 a9462d bc9ffe c1e280 e28c20
126eed 40aafc 52f06a 66828e 7d4089 95b5c9 b5104f b9a48d cddfc6 ef4928
126ef9 4a6726 63f582 71b8a0 88796e a70997 b6639b c8e3e1 fa7224 fa9ffa
126fea 555d5b 60e5fa 82a1f3 8f8ea1 953b92 a38170 c74a01 d4c2a8 f99246
127115 235ce8 42f3ff 7d8de0 887964 99e75e a10162 c18c3d d6b5ac d93b97
127168 239e9d 48d3f3 6d895a 7f5000 8857ab 8cbf12 9ff65a ab83fc d5d4b8
1273e5 397311 56ebba 619dc5 72656a 959c9b a00086 c4ac6b c7d8f1 e1e536
127562 34cc4d 565f1a 718a30 7f19ec acd6b8 b04e98 b26af2 c8aecd d2eb07
127842 6b2ce5 818cff 8d5794 9c9db4 a7e8ea b5a936 c0e202 f04275 fcb89c
12785b 1ba2fe 4ef249 6bb53c 77408d 7955f3 8f4716 be60ac e6ceec ee97ac
127862 526a04 5abacd 7caa40 912883 91f0f0 ca3fee cee145 f2388c f9ada1
127911 22e741 4da811 754d52 9622f2 a5adbc c079e9 ca1187 d8d9da e97687
12794e 1993ea 4de2a5 635f73 739889 8a1db7 9aa224 be2e00 cbd2fb eae031
12798c 79514f 880df7 9e988a af59e3 b7b4fb bcf225 c14b1e e69542 e6c2a8
127a69 5ab9a0 7c4f8f 83a041 904025 9ee993 afacfb bf59e3 d3c6db f0b804
127a76 52a5d6 7646b7 7d977a 8ad9bb 9d233f b1670e b5a939 bfe764 f8cefa
127a81 25b29c 3ff9fe 646215 848b4f 935dfb 9e1d56 a7dfbf acc11a c587eb
127c37 2e9fa7 2fcff3 88a106 97da00 a50963 aa47d0 d5a57d d94380 f2d5cf
127e55 62657b 75999b 854f06 8c8c2b 9a44d9 b0d4e7 c5c1b2 f766ea ffd676
127f1f 533ce4 62e2db 73b499 747270 8aa43e 8f3f89 bb6eec bce4ab e3d230
12802d 50fafb 7db4fb 923365 9a45ff a662aa b299b3 bbc5ba d86d72 f7c311
12809d 62d89d 867c72 870fc9 88a2ab 9c3e1d a8dd0c ae7b1e e929f3 f8c5e3
12816f 35ba8d 5a602d 63f488 8b458d 8b822b 9393ac a348f0 c1a510 d0c3eb
1281b1 19bedc 5af6f7 5f6b26 6a34e8 74956e a1ceb5 b2a12a c00079 cede00
128206 4d5f4c 5fe417 775779 7b61c6 91a9b7 c494fb d0dbf8 e07a72 e6ccc6
128223 616a60 64b810 734c81 904de9 9e906c b4cefb d1e667 ddb7a4 e763a9
128293 5f7367 69d7ea 8f96dc 9906c3 b19b88 bf550a c8d6b8 f19b49 ffda19
12847c 16f45e 893089 9755da 9bc6a6 a72540 ad8dff c09dc5 e1d7f6 e62328
1284e0 687990 7daadc 982e5b 9d999c b6725d c20f13 c6c9ca f9c480 fd8600
128697 5a6158 65e027 7e95eb a818e1 a90509 b9b5d2 ebd6d0 f6828f fa1d04
128772 68f2a2 798036 7cc627 932880 a1a882 b27daa b7f501 c933cf eeacd3
1287fd 587673 7cf5f9 8a9871 923ea0 92b0f4 a12e25 baea0f ce8406 dfcab9
12882c 29cdcd 5a6159 68aa00 692fda 9bf2d8 a1668e a4d70d a98ff5 c3ba8e
1288f1 1f7431 5f29f9 68c59c a85b91 aeebec b2b1e9 d4df76 e19618 f9125d
1288f3 3e8a02 523ce8 6d6952 7dafd6 9cebe8 a31c77 b8db65 d8608e f799a4
128923 5fb401 7f32b4 9562fd a37ab7 ad1f6d aeebd9 cbb9e3 de5f80 eba589
128a4e 5c2df7 69a9cc 80e5a7 8252ad 9c3468 a28f92 c0d213 e50b15 ffc9eb
128adc 3458ae 38fed6 775e74 88c591 97919e b05235 d9cbfc f16f28 f7c11c
128ae8 7bd6fb 8213fb 923771 a61105 b5759f b9bebd cd435e e6e366 f48e78
128b98 25f3a5 6c5462 758f6f 9f41e5 a98aff aa2f29 aaf728 c79c09 ccb7e3
