# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0045fe 5783de 65756e 88e0ce a62c23 c4b5f7 e2de3e e37a34
11b608 1e792f 6448a5 74fd8f 885f7a 9a9fbc cc978c ccd9dd
11b7ef 566162 6570e3 906b37 99e18a a1a429 e3679f f4c6d9
11b7f7 3c7faf 824364 968b8b 98f5a3 c82e21 d5b8c4 fe8e3e
11b7fd 3bffba 546f72 8805c8 999a93 aa273b ab801b bbe823
11ba50 3f7d13 48f48a 6f1cfa 8b62b8 b75e77 c394cd edd2dc
11bba9 657fa3 756e5e 8733f4 a5370c cc7a0b d5ca30 d7dcf4
11bbe3 589806 5f4ecb 81648d 90383e c3e4e0 d17f87 d1ca71
11bc00 4b6371 8c10b4 957462 b6bedd be2e03 d446c2 dbc681
11bd6a 397f31 4142eb 8a4e79 a2eeb5 c4de10 dc59c5 f1abf3
11bd83 2b71fc 635d5e 8e99bd 8ee62d a51609 d3d0da f84603
11c0eb 2a6e43 5076fa 85a12f 9b5a92 a4d986 e27f9c e3d2d9
11c3c5 254de0 7677c5 824977 95a23a b2e133 b73b53 efd9b5
11c3f7 5b826f 8d4384 8ddc08 a05af4 b74220 ec6cac f4b9a6
11c794 218007 6a557c 86fa94 9c6ee5 a1c201 a2656e e2b4d9
11c79c 518147 7c5f72 7e18ec 8cf9a3 a2cd08 dcb5e3 ec3cca
11ca7e 5e6247 675aec 9f96db b27790 cdd9fe e4d107 e7690e
11cb3d 555683 93fc07 96829e cb2637 ccd3bb d01cf1 fb9ef7
11cdfe 2a91bf 6e4f5c 8a21f4 909b9c bae3e4 da3328 fbb466
11cef4 3c7e1c 6742fc 91a362 9f1d6d a46cc4 b1e468 efbbbd
11cf3a 388c0a 59605a 864794 948aae bcd0ea c48f8d f4d6ac
11d259 3f8568 6c33ed 6c4e6f ad67d6 b9281b cde1bc dbacca
11def7 4d89f4 705f74 939da9 9df066 a42a12 d8c7be df5d60
11ed26 4d6a69 83b37a 8934ef 9a611e 9f8eb0 cde5bd feb1fc
11edf3 1f6f3a 4e9e63 865574 a362ef cbee1a ce77ae f6cdab
11ef2f 527ff7 625d45 918d35 964178 9caef2 e76da0 f0d0d4
11f2a2 24b0bb 6261ca 695e6a 759f0d 9add0d a12601 a47f72
11f2ef 587e7c 8f4a40 99b189 b98ec1 bdf227 cf24ff df6529
11f3fb 5d3dfc 5d8a48 5d9aff 8e395c 9d83a2 b8bfb4 eac24e
11f5c8 39657c 6bac90 736659 9de440 a711e6 cd9dd5 d54d00
11f6f1 18c096 316471 8250ed aa8fe3 b7efa6 e0421c e4bb1f
11f7fb 427a05 5b6cf1 6e5f68 8e278d 939fe2 a09362 e2d52a
11f9c4 298b99 8300d2 886754 c4c8f6 cbad5e d238fa d35500
11fcf6 516369 73b103 877c59 903b00 ae29e7 e55cc0 f2b686
11fda1 1e53f3 846295 95c3c3 bb2243 bd84e8 cbcc13 e26f76
11fe8b 47700b 675657 9db7f9 a535f5 c4bfbe ec138b ff871e
11feaf 33b79c 53808a 893dd6 b8462d bbb636 bbd1de ed6ce8
11febd 45abe7 5f62e9 7b8167 8d3f7a 9eb1b5 ef2714 f0b841
1243ff 53cb14 78f4fe 8172e3 9a6556 a999b5 b71187 bdd7bc
1245fd 66978c 74e661 9f3e94 b0add4 b870f7 d75040 ecc3c4
1249fb 4ae7ba 66a6af 725992 a66e75 b7b90f c6d5f8 d12625
124bf5 5cc831 6578b7 73626e b2460e b37d6a d0d0f6 f6a6ae
124df5 26dcb3 2ba858 8478d6 91557e a2f71a a93007 cfa2dc
124df7 1ff6b7 938970 9f3e71 c3e1f6 dd70f7 e13512 eec804
124dfe 4af96f 6a7fda 7f7086 84b315 9f411b c7afa2 d3dbee
124efc 3f91af 55fe54 7d5c42 879c86 9d0e6f c7741e e2b5d8
124ffc 20b6a4 7968aa 90602b 9fb131 bbdaf0 e87ef6 f5d885
1252ea 6a82db 83714d 9595a4 a1d291 a6347a cd9125 decaf1
125eb3 54656d 6692c9 75643f a2a5a2 ccddec ea7102 f3be7b
12609d 2892cc 5d6c73 a52835 b5e5d8 c9d809 e9a287 f65404
1263b8 5e5d0e 76849c 9dc6c7 ab6565 bc81ff ec8930 fdc797
1263e6 41b476 4af32b 6e592e a69bfa bc6fa5 cfd6d8 f45e0c
1264b2 738da8 756b6d 75d7f6 ab3828 bba6a5 bddd93 e28048
126867 3da1d9 6ef8c8 8a34b3 b199a2 b8e208 cd051e f18768
12688a 71909b 8225fb 9de367 a75e5c cf79f6 f1c4f4 f45e2c
126987 33b0f4 6b8a86 a423fd ae2c34 aee0f9 d0bab3 f19938
126b3f 31faf7 60ac5a 9c2ee7 9d3682 b0e4b1 e1d03a fd58b8
126c64 4ed83b 7b67b2 a2a18d a94913 bee3b3 e8c1df f779fc
126c86 626e56 66be8c 9696a7 adf263 ae22fe ba6a11 dbabfa
126e99 1ba3ba 627c1c 735154 a6d6f6 d6d9c6 f0657b fab544
126f90 1da9a2 8a4052 b3ea9b bf37fd c32d0d d3beef e78310
1270c2 40721b 45a712 877c74 923672 9bc4db c7ed32 e1b98f
127178 28a881 84f39c 8e46e4 9e5112 a09c1b b9bcc7 db74e4
1271fc 1ef1fc 405d8a 61abce 717f73 9cdb05 d05e13 d5cab5
127359 1af8ba 884608 918e9b 9454bd acc2db eb773d fbda24
12736c 55650a 6a96b3 73edbb 819231 b9c121 c617f9 d4d9f8
1274ca 705401 7e7d89 89a0fb 93edf0 afcb96 c87736 f9cc21
1274f4 5e678d 70f52f 884131 a0858b bed0ae c3660c ff96d5
1274fb 22ca84 2e6f23 72960a 995773 abeb3c dd7bb6 edd2f7
127562 2ecb8c 718a30 754482 7f19ec c8aecd ec52ef febf18
12765c 29b69f 6f01fe 8b8512 a8eaf1 b435ae c7d506 e576fb
12782b 15b5eb 80858e 93baa4 9933de 9b197d dddbf7 f0ba46
1279eb 50f1b8 66648a 916018 aebfd4 b19d05 dd677a e8de32
127a76 74d59a 7646b7 8d81fc a70143 b1670e cc91ba ced82a
127ae5 6b5e80 6bf5e1 7fb0c6 afe735 b9363f e47628 e6aa9b
127b0a 5ce128 8257e4 965373 969bf6 c4dead e67088 f7cef3
127c34 35f246 6819f9 767a7c 8197fa 94308f c4a498 ccd5f9
127dcb 4b684b 5f9f29 63bfec a93981 b7cbc7 bc828d ded069
1281d8 81537c 9797b1 a80c20 b0d3fe c57139 cebfbd faa54b
128206 5fe417 6335da 775779 8b71f5 d7dfb9 dca1ea e07a72
128223 64b810 734c81 9256f2 b4cefb cfed06 ddb7a4 e763a9
128236 535c5b 7f868f 8c41ab abc3e0 cc6bf1 d9e501 fd9a81
128273 7c49e1 91f3d4 9e273b ab6b14 b2d370 eec0fe fa4aac
12835b 29b4ed 642ef4 8a509e 928f9f d9d8d4 df9f24 e00010
128385 75f175 83444e 8c8100 a9adb1 d701f1 e78bf8 edd1f9
12839b 61f8fe 677366 7baef7 8e25f0 97730e c7d81e f4a1b9
12847c 16f45e 79ac82 9755da 9e2947 c09dc5 cddfcb e62328
12854f 71ab91 9736ab a481ee bfc0ff c1a52a da0e00 e8d1d3
128649 47ba14 625b82 7ffc64 938d9a c51dea d2d5dd de96f2
128831 61fbe3 623aea 8b537d 996dfd c2dd0b d18dcc f26c84
128923 7f32b4 90a796 9d3567 a37ab7 aeebd9 dfb7f8 f7b117
1289e1 4bf89d 6622fd 749d4b 894a73 99838a c4f10d e0adcf
128adc 7700ea 775e74 88c591 97919e b05235 d7ba0b d9cbfc
128aff 3eccf4 5e28fb 999d17 a2e184 b44f88 bf0702 f07db1
128b04 8d39e8 8d91be 97e2b2 b2986c c04e7e f5c5f9 fea72a
128b86 882f98 ac2210 c1cbf8 c95ddb dce60e ea6c0b f4ad84
128df8 157b50 66a449 693bd0 7fecf0 8a5b8a a0d505 c786a2
128e7b 46661c 6a32f5 934898 b58a26 b7eae4 e0c966 fa6ac1
12916e 3bf4d3 922e75 9b97e2 a91ef7 c00720 d47f05 f8c22b
1293e2 466e82 60671e 771eda 9c956b a1afc0 a7ead3 e2c070
1294dd 3054ca 5ce1b7 727184 8d5d4c beef41 ecbefb ed8a5b
129545 254ee6 74f8e7 8c76c2 a5b0ed ac3e76 cbe620 daaca3
12961a 64f8d7 6d5ecf 8f686b 9e1275 b6e23f bda2fc be9896
12967f 4b43e0 59f1c4 846fba 944338 a5b9d0 d49034 f3df2a
129800 645845 9042fa 97c6e4 9f327b ad75be d2cd06 ed7f76
12983b 59e8b6 6c5446 90bc07 9249f3 a22978 b2798d d1aad6
1299be 645c63 674ae0 899893 9b5332 aae8ad d1c3db d69151
129a70 46dd14 5e2afe 726a0b 766bac d681fe d7c4ec ff82a9
129bfc 2065c6 52e3fd 6abb13 6d7b0f 8d575f ba898b d6d6b4
129cff 4d54f6 60eb98 708693 7b5622 b7b4c5 d58e33 fbcd0a
129f71 1a61a9 69646e 997af9 a7eed2 ac5b09 baabc3 f7be74
12a1c6 40ecf8 53662b 8da151 9240da a7377d c9cdb3 ecba06
12a1de 15e776 5a5674 5f5cd8 7a554f a29d90 ced3df d74c17
12a1fc 156ebd 69f4fc 7f7785 903f18 afdf03 d1b7b7 e37842
12a380 586b73 af212b b02ff5 b8e9ab c9a739 decbe9 e859c0
12a684 6e46df 77495f 8a78b1 a0f3b3 adcf1f c76d12 d2a4d2
12a744 35695e 8663fc 93e3d0 9f3f99 b393e3 c27f97 e6df22
12a835 2d6f26 79677c 95af9e 9dfb06 d0dca1 eda9fb ee1bfd
12aa01 136969 716839 7dede7 8229e6 c0dc5d c5a69e de52e7
12aa0c 236662 25fb8a 72642f 9c92bb a41aec d68689 ecd2ee
12ac89 2b7b07 80e8c1 834454 836791 c4a817 cb21fc cbbaf0
12ac92 4d6da8 6ae5b8 72611d 759c1d 9b2567 be84f8 e1c8f6
12af8a 8361e3 a8deff aa91c3 af7a32 b12b57 d9e0bc e1ae42
12b10c 50664b 5d23fc 8fd4dd ac63fe c81c9d c98192 e3da48
12b180 427a6d 516211 5cfcbe 7b9c0a b7cf4b bf24b0 d78ce2
12b1ec 498683 75429d 92ae95 b60026 d7d9de f0c46f f95637
12b213 41745d 884ae7 97470e 9ce4ff aaa1fc be9298 c4db7c
12b517 5f5c4a 77eb00 7f28e1 938086 a0b791 cf56bd d4b0d0
12b57f 3e7c76 7658af 86e888 9a2b39 a49efb b86c19 f0b0cd
12b5fd 4b6ab8 67616a 859773 9dc3c8 a9151f cd8f17 eed7a1
12b689 396718 765689 77f269 80962b b93def d4e2d0 d8b3d9
12b693 2d49ff 427854 7e9616 b74f9d b898ee cad5f5 cfd312
12b797 13f9e1 7031e7 8e82c0 90692f b12f6f b1b9fd c0a51e
12b7fe 608d9f 834eb6 9ce403 9d9979 aa0f57 e7b0c3 ec5f0b
12b7ff 336dca 5eaf27 865452 a40176 a49dac b6dbee f9d677
12b87e 255ca9 64f7d7 85646d 9e70ff b66323 d887bc d9dc1c
12b889 34f4b3 4a8432 815267 8db401 adf03c d027e4 dcbaec
12b894 177d7c 7ba70f a44ed5 ab1d50 b1dff6 db8bff e6e258
12b8a9 356e05 832cf6 8b3178 aa72d2 b8d4ef e26670 ecd387
12b9ff 1e77e0 596f6f 62a471 8ff2ac c7bdc8 d44400 e2a523
12bafd 2c6c15 659a5f 8366c0 993a72 9ef546 ad8aa7 c4c2c0
12bbb8 1965f5 777095 805651 82f7cd b78677 e3d11d f26a0a
12be2c 12ff3d 2d733c 6e0cfe 875c82 a16af0 a5d1a5 dec3e4
12beaf 137378 1efde6 695f38 8653e8 b4e072 cf7f44 d695fd
12bef5 2b77ca 366b1a 78a203 8f456d a4e0de cbea40 cc9289
12c063 13772f 6425f8 716873 b45cc3 b9a0c0 c3e4e4 f2d304
12c14b 37fd6c 3d8733 9855f6 9c4c8a ab949b c7d1c5 f680e5
12c4c0 549904 744f45 8c61f2 9cf3b3 b27883 bacf38 c32194
12c524 4c7a88 84f0c6 8c9979 944a50 b622fe c42300 cdb3e4
12c69d 137e7c 8047ba 82453a 998aeb aed0e5 c05d1a cdc51a
12c8fc 685169 8d4938 8d4efd 8f9039 c6e715 df66ac f0c4a0
12ca96 5e7a40 774b6c 97a00a bed4e3 d420d6 e78bff eadc24
12cafd 2695b3 555e42 85a092 9936f0 a28b2e b8dbc0 cbc62c
12cd2b 587f26 5f4ce2 64517f 9a9afa a9e7fe ba749f f4bba6
12d0da 1a61bc 6c7788 a8f660 aa4016 ad9185 d8cab1 fe6c14
12e9ff 287e4f 6f5772 74940e 9bc5bc b70de1 bb83c0 c9cc7a
12ea74 60907c 62549a abc6bf b33128 b461f6 e896ef f3610c
12ebc0 35aa95 527077 743cc5 94cd60 9d6cfe a1714e dd93df
12ecce 544dc1 5a7332 894a65 b1f30c b7aef5 cea481 d15ea6
12edd3 1f5bc3 6294a0 8e4f00 959724 aed114 cd2965 d776fa
12efbe 8793e0 8845b6 8b8e2c 923924 a2d701 cb7093 f3c9fe
12f0ed 13667f 62790e 7868f2 a78ac2 ad6c72 d6c944 f792a6
12f4b9 18b587 47655d 7f7a03 9533f4 caca50 cc449d df87e9
12f7c3 5f5e55 64ab52 9ae415 ad45d6 c21c09 daa4e3 dc609a
12f8a1 1fbb7e 625a4f 6d878b a36e28 a6cb07 dc91df e402f7
12f8be 5551b7 725b70 778b77 8dcc5a b578b7 c15401 edbbf1
12f8fb 436527 8aa9e3 9141f7 b0529c b6b9b3 e83367 eac128
12f9f7 3d6a23 4da528 855f7e 979b8b c421e4 e4cc97 ff66f4
12fcb5 1753dc 33c266 506a65 907bbf a6561f c9d2e6 fadd15
12fdcc 1b57dd 5c837d 7e3e7c 9981c8 b34a23 b4cef9 dbb458
12fde8 319513 515a84 7c7579 88b1ec a90af9 b4a295 bcdd8e
12fe26 168ec7 4e6372 8d03f9 92603d c1bab8 c9dffc db7d29
12fe30 41a6c7 4f823d 7428d8 8c4f78 93b250 d7dbff dcb6b5
12fee1 3b59c1 717188 75b3f3 a59c8e bb1142 c4d87e c6871e
12ffca 2e8218 635863 802cf7 989288 9ebcf5 a957a7 d8de0f
1343ff 6fa6a5 7b6cc3 7e670c 96e41c a03258 a1ab6f efc5ee
1344ff 3ff313 4598b9 5d59a0 776163 94b68d c25629 f7ccdf
1347f9 1da1ca 62d5ff 745e1a a8e357 bbb5a7 bf8a12 de3787
134aef 595f7e 79655a 7ebad4 8a79e7 afce5f c09395 d82a05
134ce9 19c9f4 5c84db 645686 8c5c2c 919090 cccac6 ffa33d
134df1 6b6fac 705a64 76f5eb 8fba13 b63a2a d09efa dd819a
134fec 43faa2 666f0c 78c401 937ad5 9d3182 cdb1d7 cf6b8c
1350f8 3ffdc0 426069 4d90bb 896f16 c0d5f2 c1c924 cb8970
1351db 3cf5f1 5096d5 8d4e0c 93bc96 ca8d2f db246a e8cd34
1352f7 287d27 6f4c6f 72e4fd 858bdc b37088 b9c1a4 f9bc3a
1353e1 36e796 516e70 a683ef b2083b c697b6 d6673b dcdaf0
1355f5 1fa893 2af49a 475c81 9c78c7 9d6822 d1ba07 dfd6ef
1356cb 2e9cf3 536470 7f622e a392a4 baf210 ebc9c4 f1746d
1357f9 35c32b 6a81b9 6d5270 7ff980 949193 b2424c f3aae8
1358c7 4afca9 5bb59e 617979 a82727 cd79cc e2d025 ee582f
1358e7 518a73 5bcafd 8a620a 937bb6 9e0d71 b0b95d c1e4e2
135bd0 3ca5dd 536e62 8b9199 91d0c1 9c7110 cfa46c dfe240
1361e6 336b15 3d9ff0 abc4e1 b62886 dcc5a9 fb025e fc9c3b
1362fd 7f3c97 879ac7 89ddfe 9a8129 c84976 d2e2d3 d3bb50
1363fd 595295 609be1 7d894d 93e7f4 973957 a3b5a3 d8b013
13647f 5d6057 949493 ad5407 b046e4 c7c6d1 e18536 f5d657
1366ac 3e92fa 4ed55a 6b8739 844253 c1eac0 e0c6fd fc66a0
1367e8 14a6eb 615287 8deefb 8fb134 a3645a c89dac cfdaa9
13687c 7aa5f9 888281 a03c21 b405f4 c3af95 c5e95e cc8330
1368d3 588608 6597e3 6d5455 7beb08 acadba f17a7c fbcfb6
136974 65674d 6fe5de 8f988b bee594 ce9dff d031d2 d29e1d
1369f2 665f6b 82f2ec 8791b1 a60b30 d1de14 dda27c fd2605
136b5a 5da2ea 688916 851de3 8dd85a 9a4e9c a58d9e e6c9cf
136bb2 62fac2 769807 976459 a41f00 a9d903 ab93fe cc9eba
136e57 6d6c06 7698e4 9e32dd a5a05b a8f746 cf6390 f2bec2
1370f0 69c2a3 85747f 963893 a494d8 bda328 c1062f d1d8ee
1371ce 29d2fc 4e6076 93aa31 b0e90e b95656 e08dae f1d6cb
13726d 64a11e 69ed40 a02e2e a162ce a6a490 e1dac9 f6a1dd
1372b2 24aef7 69e80f 70534e 838e97 ab3203 c38734 dfd0cb
1372cb 76f1b5 7aa593 884954 a80f02 a9863e b3d924 eaa1f2
137342 2483fa 55f090 6420f8 7b6e8e a7bab8 ba922a d6aafc
137628 69b35f 7f7678 991683 a417ea b3e0cf cc8fc4 ebdf47
13762f 2dbb42 6d5069 8f8c9f 92f91d d6d4a3 d81ff4 f899f0
137671 48b168 6d03fa 765c04 8cd8ff a09dae b75acb efd42b
1376fa 40c9fd 4a9224 6e6276 8d3a40 b7918b c3f04a f5c6c0
137b20 6727f9 77a26c 95f6a8 966fa6 c894fc d0cff2 f2c100
137b29 63a713 90eefb 9a49b9 ac9edd d2d606 dd5086 eda585
137b64 8720b1 938db0 a8c0fb ab6015 b74ffd cd9e98 e7e090
137bfa 447a52 63c2fc 764770 8980a4 b19845 b8d2c5 fcd373
137c03 63e5bb 6b706a 7179fb 9e1d95 a2a6d3 b99f3d dede1e
137c2b 54c7af 8f61bb ac176d b796f8 cbb715 cddaf9 f93f67
137c93 745952 8ab6d9 8f49fa 96943f 9b3100 d3e0da f1bd08
137d55 719e9d 8e4afc 9a348a a71a04 ade9b3 c1b4e7 e0a91d
137dfe 804389 81c7ef 8d7f81 ba232d baf41a efbd9e fb593b
137e7d 1bbb8e 34f2d6 865ecd a5201a a8872f b0b3fd e3df4a
137f92 645d57 7aff35 80bd3a 8b51f4 98897c a44d01 e4bae3
1380c3 2bc3f1 526274 919b91 bd3a2e bfee06 de8d1e f4c6bc
138292 733cdc 8d5c56 91ede9 ab8ff9 bee23e dc5310 ea9780
1383bf 545e6e 87b4fb 8c5327 9d8573 d9e90e f3adbe fa761e
138600 3ce024 765d7b 7a21e3 a16cf1 aab5b5 b3916c ecaefe
138808 67586e 81e7bd 9364ee a08191 ccef05 d4b0f9 de9367
138842 43d0a8 7a4e6d 8b33e8 9a90ac acce57 d26aff f9c8f4
138884 766110 83a579 97069a a7e2c0 bcca0f c56bde ffa1fe
13894a 71b124 7f4266 7f4db9 a9718d afea35 c29be2 f99da2
138976 25f12d 95b890 972b96 a90033 b18dd8 d47105 dcd7e4
138a32 66c5ac 7646a6 853f57 95b90f c171db ddde87 fea4f9
138a4f 1fd772 5d33fd 606770 8da09a 9c68d7 c9d9cf dea7e8
138c96 5e700d 88c8e6 913a57 a065f1 b6a145 c0e11f facfc3
138df6 5b7c5f 60f3dc 744d6e 9a9aa7 b1660a b5df31 caa072
1390f0 1a5fa6 3edf21 735c07 98a8b1 a6365f c07f56 d4dacf
139186 2ad4ab 644d97 a55efe c79dd3 c97904 c9e20b cc2458
139327 42e9f6 5e5c48 904dea a6227c aac716 c874a9 fcccb3
1393f0 14629e 84e9ac 8a9a8e 9e463d cebbf2 f4d61c fd6a0b
1393fe 20fb81 566487 695712 85a501 a37471 c8cbf9 d8a2aa
13948f 507718 78ab3c 7949b7 972c58 ae8bfa cedb05 fcaccc
139512 17f708 734d61 96867b 9ca3e2 ba14bc d9d6fd e7afb8
139685 4a6941 72e084 7d9126 8b2f8d 9d28fd c367c9 d8c7ed
13988c 15c1ff 73861c 8c4951 984dd8 a5ebfa ccb411 d0dbbc
139af2 5b8a6d 711be7 7ac3a0 8c4f1a b7a826 df2ea6 e9e33a
139b1d 21d9db 526438 772fef 875772 8f82bb a5dd29 bd8f95
139bff 5ff6c8 76469f 8b9eb1 a1596b cdae54 cfc6fe e11311
139cf8 4355ae 8ec1e0 98a60b a43419 bc6f7a cbe40c fca8a1
139eed 1862cf 366a01 a1a2ae b1dabd b53a74 b99005 fcd261
13a156 426427 9019be a3df9d c05bfc c4a9f1 c54f8b e8bf0b
13a3c6 6449fc 6bfc6d 744791 747a80 944a44 cbbbb6 e57039
13a417 506925 5de771 7d4661 986ac7 b3a6fe cf869c e3ceee
13a469 316469 4fea03 706125 8550d6 bb77af ccd6f0 f1c2b1
13a888 3f37ff 6a6671 8dbd53 98602c 9fe0f3 ea5dd4 f0d4b3
13a88f 5663d0 5a576b 906921 9c97f8 a3b748 bdf201 efc5d7
13a945 757a81 774584 90fc2f a5330d b0ace7 d331e2 e9a1aa
13abff 3d635e 4350ff 88e5d9 9d76a5 cd020e e1de37 e89283
13ac47 745edb 756055 a894e8 a8d9e1 a92b03 c3d122 eca59d
13acef 555e9d 977e92 a0c7ce a40956 e3d91b e8154d f4957c
13acf1 2c60c5 4dfebd 848a6b a50e2c aecdd7 eda716 ee1103
13ad32 546136 7aefce 818989 9c419f d1b3fd df4dfd fcda40
13ad88 41616a 9b42e2 a05631 aa9ad3 b3d784 f17303 f8cade
13ae07 3b745d 9d4ce9 9f1a85 a19d88 bfd2ef d86ab6 f6d75b
13ae9c 34718c 595c58 80ede0 8c3cfd a8cd1d ae7647 c28ff7
13aee8 802cea 829ea0 87f6bd 8d6f14 ad3c64 c1a627 cbd2e7
13af6a 5cfec6 6e58a2 804e5c a76fff b1e213 d71f0b e877b5
13afbc 4b6278 7be29d 9b3efd aa0001 ab6955 aea21f cee000
13b19e 695dcc 6f7e22 764d52 87b35a d0d6e1 d78be9 fdda1d
13b21f 5c7a4f 72ede2 765e79 b0ac9f b437dc cbed42 ee88ff
13b2a5 42fc5a 5b6071 8208d6 8e82e3 927f53 bad0e7 da8b05
13b2e8 587c78 9b4eea aa0101 aaea4f b1a88f e25c32 f1d3e2
13b2ef 6515fe 848d89 8954c0 aa3446 bcdcc8 bd873d eac10b
13b3cf 6b526c 6dfab9 84a093 a82f38 b137d9 c7d32e d1702e
13b516 197a22 4ae6f9 794d68 7a5ef2 9886b5 cc9e9d dedd8f
13b61e 6ce5a7 734970 7b8d7d b351d0 c1042c d0dbec e393fc
13b695 35fd9a 386d6e 64499d 9188c0 a65615 d1cfe2 e49037
13b78d 387e7e 6d00fc 6eefa6 a353e6 b6b8ea be4d3a d9a01c
13b83c 6b6e78 7001fb aaed2e bd44cd c2023c d6caa1 fb85bf
13b8c6 587e7b 870fc7 8ea132 96431a a1e0d7 bf4bef d7c684
13bae3 149827 5f37df 785561 7c6baa 84cf22 ca7d90 edcbbb
13bd97 1f7bcd 5c6d75 7d5c33 7ff7dc 809f2f b2b8eb dbd06c
13bdc3 356642 718b84 995de9 9cf2d0 a3108c a48744 bbd151
13bee6 147ed0 655f5c 77f7b0 7f962b 86490e c9de37 e57690
13bff0 3e646f 80aa92 a253d1 ab2b31 b9dce1 c9701f e5e08a
13c095 15feae 7535e9 786e78 8a4637 aeca01 b4803a fa4dc4
13c0e7 7364d2 814579 847e79 90f1f9 a9c4b4 c6652f f2bc58
13c196 158a7a 61579b 774d3a b782c7 bf5c0f bfdbf0 cccf5c
13c51b 477978 7a3caf 93f47a ad86bf b2bca7 b3503c f6b6ea
13c536 577f1b 706060 9624a3 a66ffe a9bccf cf509d f8cb9e
13c590 6d5df2 943c49 a982a9 abe9ec c5adff ea2818 f9bb20
13c7dd 6432fa 8d7afc 962b4f 996391 b3c2aa e02741 feaf2b
13ce18 768b5a a30a81 ac34f1 b68fe4 b8d8f6 f1379f fc9eaf
13d9c0 645cd4 83725a 9494c7 983a73 ac0700 c49d08 f1d839
13dd90 2e8b46 70656e 742ae4 9ca819 b5f133 c35ad1 ebbbdf
13def9 4d93f6 7d2ef4 858789 933357 9f7347 bedec3 cbae5c
13e8f7 176dc9 5e6612 69ad3a 942c72 a58886 c3dbb5 f1dc24
13e9b1 4971d2 656d79 705d1b 9f8773 a0a6b5 cad9fd da871b
13ea75 4f7a49 880deb 9c9c9e a33982 af8a02 e2d2f3 f038de
13eeff 4c6559 50abef 7946c0 8a8d9b a17401 b8e6ce bfa967
13efbe 5975cd 716d00 9fa863 a9105a b9c0f0 c97b9e d8e840
13f08f 652bfc 656d7d 8bb311 a75fd0 bb4d2f d8dafb db8eaf
13f0fe 3799f9 7743a6 97abad 9c4b69 dddfc4 fcb73e fd1e35
13f6da 3b6868 4e9a8b 675823 9bbcf0 c020de d5a156 dfe631
13f6ff 5a6903 7e56d7 8197b8 982370 9b6d6b a5deb0 a8af22
13fa39 14b65e 407034 8b91a0 99207a 9d38e6 adbdfd dac4c3
13fb83 21a19f 5f5c00 8ab503 990eb1 d6c5e9 dd2a58 e859fd
13fbae 446466 74721d 788eae a205a9 c2867b ceb5f0 ffc403
13fbef 97a8d1 9a5483 9c58e4 b0172e cfd751 e8a3a2 fd4b2e
13fced 3065f8 49654a 50b69c 884d88 b8dc37 c996d9 da7a49
13fd23 1c912f 7abb7f 8532fa 9e305b a0808f e96dd8 f0bad3
13feb3 376726 3965e1 7d96f9 80935e 814974 ccb9e2 d6ab02
13ff4b 7939e0 7a626d 8b95b6 ab0c0b b57f36 bbcbf2 d1bbb3
1446fb 48bcc6 6c5e9e 78544e 9b8388 b5f019 cf7d00 d2b880
1447f7 28c18e 367c65 5bfca5 765c11 7a69a7 bfbad9 f69a2a
144ceb 47c29a 677e94 8d465e b92b0d c06df1 f8740e f9d96f
144cf0 167d21 2792ea 88acc0 a23077 a69e8a a8ece1 e2d004
144cf0 438c3c 6ae3fb 848485 8e5697 8e96f1 cae5d4 d1bb2e
144ef7 4c7a6e 8dc3e0 9fa49b a0481a a16dc0 dc781b f5c685
144ff3 875d81 88d5fe 8abc35 9678de b51c0d c47c84 e6c7be
1452db 1fcea9 539951 93637c a92801 b5dc58 bb91fb f8c5f3
1453f2 5b547d 6f82ce 76ca10 928d96 b45648 d3cefe ecb4a4
1455fa 358a41 43c912 6d4a92 9279c5 b58293 bde1a9 d6b6e0
1456da 39b883 417126 42f894 8d5f8f bd98ec d3dde2 e79f08
1457fc 69b7fc 767690 95059d c02e4d c8ea16 ea771c eea8a7
1459e4 626978 68591e 8187e9 9d8640 b2d5e4 c7c95c ec8aa1
145be7 6fa694 8c5981 9b83d3 b52e0e dae672 eb832d fdb0e6
145dd3 557475 73cd98 9d2a23 b38ad2 d9cdf4 e48e2e fdd528
145ee1 5c98b7 6f6572 a5222e b2c9f5 b5a192 f08f41 fed1af
145ff4 5b8a82 796f17 7fcacf 9d86cd a80a8f bd9d10 f2d994
146384 708a8c 74dbe3 7f532f b76ff8 dde753 e7aea0 ff7220
14648b 49c9f5 747ff3 7d5654 80a546 aaeeb8 c2d42d e388a3
1465b5 79afdb 85f1fd 868191 a41d04 ab6956 cad2bc f8a023
1466fc 19dced 42725f 8578ac 99b348 adf553 b95510 d79ea5
146a39 43b2d1 649200 765ce3 aa5887 cbdfdb d4cc45 e8948c
146b65 5bc156 5f7733 6bf9dd 9d1ea8 aeeb14 b9a8d9 d353fa
146b8a 15ff39 6b26e6 92bad0 ad67ee ba3e33 d5e0db f28478
146cc0 41ff29 7b7a86 a4524d b4caaf f180e5 fa691b facef4
14702e 75857a 8f43f6 a5b03a ac71bf b6b4fe c7ea1d f9b4c8
1470e1 5a6a08 79f294 7da6c4 9fb507 a9787a ac248d f0d4ea
