# colors_mcd20_mld2_nc6_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
05d274 0046ff dddae2 7a5396 e088db c62b45
908a8a f0da7d 1f6b08 0bb10d acb2ee aa26de
a72321 f78075 bedcd2 5f6667 0bb1ea a132dd
c72913 0bb977 5afec7 9978e5 e19dca 8e5265
a7c864 627a5e 0bbbbd 6a17f4 a960fa 9a3e8b
a4ac9b aaf574 0bbd17 b13fe9 ee84d9 bd3754
bb7936 ffbc32 adbcb7 5d878c 0bbff3 284aeb
fdb924 398b0b a4c6c0 0bbffa 8f1cdc c24884
a6d762 0bc1ac 5e3cd4 b080e5 fbccff e10f5d
a85b00 ffae01 969185 a6dba0 0bc2eb 5e4eb6
dbd9b1 585d57 0bc349 ac22ec f670f7 9f9294
d4cfab 85b700 12843f 0bc3cb b327f1 a4026c
928e01 ccd93b 476e3a 0bc7ad 8784f1 c91483
7b7a7a c26006 e1ce08 0bc883 266cc4 bda9f5
9ba497 247e1f 0bc905 7a3b9e f2cafa c76cc9
b60400 9b988c 0bcb3b ccdcda 68637a f842ef
c61000 778066 0bd007 305fe1 bfc2e0 7e426b
12790d 0bd41b 8748eb 922e6d bc72a0 ccbcbe
ffb3af b75f48 a4f23b 0bd5f8 534cc3 8f78aa
d74836 f8961b cbddac 0bdae2 108897 8d4559
965f12 8aa17b 0be740 3b8be6 565c63 e6bcf8
d6e2b5 61b517 45663d 0be7ec e91dd5 b58288
efd57a 8ba11d 0be8d6 607be6 b4727b ae081c
0beb2a a5bfac 25a34d 2d674e 8a499c cd97d5
c14123 afeb54 0beee8 638fcd 755872 e0989f
cfaf1f baeaa9 0befff 2c64d8 7f88ad c75c64
59610d 6f9859 0bf48a 823df3 a25c88 dda9c5
67574a ac8b5f 0bf658 a807f5 f450d0 ffcdd5
f83b32 0bf743 3c6772 9994db 8846d8 e0b8be
a5b5a6 0bf84c 613bd2 906ba8 eb92f8 fb164d
b3bc3e 34894c 76bdac 0bf8fe 8312f3 af66ad
6e7042 c3d231 0bfad4 94adcd 4977d0 9a3a75
b93f05 e8c172 0bfaec 1a6965 9b88a6 c732fa
37b028 0f6c32 0bfb83 aaaabc 8c63da a9277d
879306 0bfbaa 4b75a6 d4c2e7 904758 c97c89
0bfd3b 1b92e7 d7c2e3 804b7f df6d8c 9c2838
814844 6dad13 0bfd48 ccdffc d124d0 ce9daf
d2cf15 595e11 0bffc1 92bbd0 9d35db ee1762
cd3018 90e401 209a94 0c4af2 9a8af5 cdbce1
91480e baa187 97f347 1296fb 0c4bf3 636d8f
9b6138 3ef553 588ac5 62666c 0c4ced e3adc0
fad677 3a8a29 99b9f5 0c53ea 995170 ed8c8f
8a5214 0eb149 96e4c9 0c57c8 6f6f85 c399c6
b04a1c d3bd17 4db892 9fecfa 0c57d6 947da7
bd5956 fbc719 94d8ba 0c57f0 6d6e8b c09cef
be6701 f3c41d afb1af 4699e2 0c58c6 6c686b
e17830 cbc1ac 91f242 779396 0c5bfb 933745
d48551 646660 91f590 0c5cb2 608bf8 e3cdd8
cbd127 51c89d 717b7f 0c5ead cb83cd c60620
bb4129 c0bf57 48e6d3 0c5fe6 7a92d5 8f777a
c3a576 608223 46a5e6 c7d9ec 0c61f4 ad4488
745314 a9db12 24b1ee 0c65ef 716c8f f797a1
ae1c08 9c8269 f9c035 d2ddd7 34b9f8 0c67ce
fb793d b8c2c1 0c68ec 505c7c dd91f8 af676a
b77030 b5d525 429e8a 0c695c 26eaf5 8753a6
a89378 f1a51b 0c6c14 47ffa5 c6cdf1 6f54b3
bdee95 2ab50f 0c6cc2 f38cf8 b6afb3 c63b60
21c604 0c6d2a b8dce7 7f65d2 a12872 b07f87
f4804d bb4709 606560 3af4cf 0c6ddb 9f95b2
bbce13 0c6e0e 7ab4ea 9253fc ba0188 eb9ea4
af3e07 fec979 0c6e5e 3ad3ee 93989a bc62f5
cbc915 6e8a06 0c6f46 b7d1e8 ae14eb e7749d
52ae0c 0c6f4a 6df1f4 af8ada 6f5c7f f29c9f
f5da38 94970e 0c6f53 5daaa0 b5a6f8 925392
d75040 74e661 0c6fa6 b0add4 76535e f6d2d5
cfaaa3 f95803 0c6ff0 86a9fe 886f80 b6183d
9bf919 90b564 0c711d 8870ef 765d7c e59dc0
918146 e7de88 3fb8fb 0c71f9 b61e6f ec6fa2
8e3c25 f7923f 787874 0c76ba 71aff9 dabdc7
8d7308 dad601 0c7867 79bbbe 7628d8 db57fd
e77717 edd366 5f6b49 b2e9de 53bae4 0c78e9
c2af23 0c7918 769cbf c9e0fa 934cd2 8d3d61
e0d7d5 7f9d27 95e354 0c7959 53aacb 8d4dc6
ca7457 c5c707 70cbb0 0c797c 9892cc 7033ce
feaa04 c4e0c2 0c7b2d 87888b 8110d2 c379da
794f2a e89547 87c7c1 0c7b74 9773ce 7c02fd
977f4e d9d21d 4fd9c9 0c7b83 a392f2 762de7
ebc4a9 536b1a 82bd02 0c7c82 ae8bdf 8c32dc
e4aa11 6ce5e3 0c7dbf 725468 918f90 e7293a
dec178 0c7e0f 81b4f2 953afe 7a4188 d47281
946b07 aeaea8 24e244 0c7e66 6c52ac fe7fe5
ab6d0c 615d51 7ff468 0c7ed8 c0aee4 ff6b8c
d4cc20 749503 90c0b3 0c8064 8d24ac fa46e8
8c591c 7cd54a 889686 0c81e3 5f5477 d8cae5
ee562e cad8c7 0c8388 bc45f1 f693fe a4154b
eda818 0c850f 6ed6a9 5e5e62 a99ac0 bd12e6
c4ae3d 0c854c 89e4bb a29bf4 8c24f9 953274
91483f e37420 7d9889 7ff6b8 0c86b1 d0beef
c08f1c bde614 63c4ae 0c876c 695790 a574f7
ffb028 0c8822 bde5cd a7a0bc 6641c8 994a6e
f99011 587e46 20dc9e 0c88ef eac8fe 6c526c
c6bd26 0c8b57 c0d8e2 1eb3fe 6243c1 8d7399
4fe734 0c8d22 7d4fe3 fd7ef3 85567a e7d8de
e79f95 93dd0f 2e711c 0c90ea 86788f dfd0e6
8f4700 e7e036 9ea206 0c9170 0ce1b4 765b9c
d2bdad 5c762e 93ee29 0c91bd 5345ce a31f6b
af8a61 beea7a 0c94d8 765a7a ebbbd0 ab1d3d
d6c75d 0c9507 cad1ff ad2fec 9f1672 e24d86
43d22d 0c9515 cfd9f5 7d4cfd 67527f e97daa
acc40c 0c9556 94ebe5 8644f1 75537e d37ae4
814a2b 979964 a3f087 0c97a7 7d40e6 e2cbd8
eed15c 0c9855 65f7d9 99afdc 6929fb 845ca4
e1c324 0c9930 b2ddc6 542dfa af6ef1 b33c84
4df613 0c9a05 58605b 9ab3b5 8e17ff b06cc4
60f86c 0c9a47 9891eb 7f7481 9a219f ffaac2
7e4945 c27d00 f6c722 0c9b8c b9cad6 846abf
f1d099 0c9c01 7cd5e0 8e59de 834d68 ce7a92
b09385 9b5319 b7d578 90e9f5 0c9cba 565e69
ab4d1d 7cd697 0c9deb 6c32d8 f7c1e9 8a7e81
c44a36 5ce687 0c9e95 9a7df6 7d3f96 d9acde
a21d15 e9c901 9ce9b3 0c9f62 a3a2b6 9d3db1
bf1901 c8cbb7 60db2d 0c9f6f f95eef 903274
957032 b0b137 a6e1c6 0c9fbb 116578 971dfc
fe4201 f3b07a 79ddd3 0ca097 9461e1 ac4d59
794f4e e96146 e1d148 55fec2 0ca0ab 8c3ef8
e8d5d1 c65e01 877463 46f001 0ca0bc 4c5eb3
c24a01 86c062 0ca0ff 355fc9 ebcdfb ab747f
c7ad9e beed0b 4b6c46 0ca50a 4ce4f0 9d54fc
f4ba25 7b9f92 0ca9fd c9dff2 2361a9 ef3b42
b8c588 0caa13 72dce6 797b91 c342f0 94364e
e2614c d1e88b 0caafa 615cea a4027b 98838f
c5bdb6 50ea06 0cab01 1e65a9 857e84 ef8add
f0b509 0cabed 1c5bf9 6a5770 e1d2de ec1539
83501f 7febac 0cac50 727792 5554fa d5a2e1
bb1608 fbcb06 0caf5d 1f695e adc4df b358e3
f2ba42 6a8e10 a2e6ef 0cb1da 5361cb d5638d
efd627 9cb67f 0cb2b1 4b3df7 646084 a35051
9f3916 fabc8c 0cb313 515b70 964ce0 b4aabd
937311 74f835 0cb391 cbccde 8678bd a72967
ab3326 b9b412 9ee4db 5e8584 0cb8d7 9751c1
976d27 b7ee1b 888989 0cb8e5 5766cd e2c6c8
d54d04 dda47d 0cbbc9 257586 974ff6 8e3f41
d9110e d8be85 bfd9d9 0cbbe6 66727e 8727ac
a7673f e89e23 bed8a6 0cbce8 3958fb 605b70
bb8813 a7d48a 0cbcf8 79939c 2177de 7d4e5e
efbc50 0cbd9f cddbf2 843ca2 db5af0 b9395d
a02513 7da945 8bf64a 0cbfda 6e54b0 845d6b
c0c417 5e761b 0cc097 176899 b3c5eb af7ff3
7b5921 0cc112 5a6e82 e2adfc b929fb fd89a8
a63304 0cc44d 7269c5 79466c a78596 eabacf
f79c2b 2b6a20 0cc697 c5d2ed 9a59fd cc1783
d6b742 1a6e2c 0cc6bb a792fe 8b3abe e94b74
af4307 0cc72e c4cacd 626fc9 9b8ea3 7a5760
ab3d07 f86703 0cc791 2064a9 ffc7fb 746970
c62313 0ccc0d 5a866b 8d17d7 d756d0 b9b6b8
8a5009 a7cb0d 0cd194 477d85 a56bed f1c8e6
259310 0cd87a 6a1bff 9e69d9 f69ef8 a52d6f
a47b20 0cdb6e 4e6e69 9a1bf8 fa3bb6 d6c9d1
8e5445 e07a41 e2e066 0cdbc9 4c50ce 9884d5
d28823 7b550e b9e18e 0cdcd4 477f83 9c64e0
d1b607 7b801b 0cddb6 2a6969 a3a1ea 8453e9
3e6f10 7fa572 0ce126 dbd5f6 572df9 ac52ad
814f48 858d1a 0ce28f 3f64e0 c5c1f3 cf6c97
c55315 ace20c 0ce7c0 28a198 7d23f8 bd83f1
844a0f f8d750 8aa034 0ce7e1 358fa5 8339c9
b7562b ccd1b2 0ce81f 32707b 859bbd 7f2ccd
ab6a1b 9fa09f 0cf121 267ac5 535d6c d9dded
a22720 cf7010 0cf52d 16847a bcbbf8 9857cc
83c814 4e6041 0cf5dd 907ce2 8914d8 be849a
7f4e10 c8a403 9acd9a 3e7262 0cf5f7 d63bd9
f57b69 7a5d21 0cf7ca 49a7f3 788591 5347dc
754f32 ab8f0c 0cfb7e 6361e9 a09ac6 e92c7c
b6cc8b 2a8833 7dabe6 0d49f8 756397 ac8f99
d07e79 c2bf16 c9e0e6 0d49ff 8170ac 9f3554
886453 d5dbc9 76a63b 79eb1c 0d4af0 c295cf
ba2611 76bb29 5c766f 0d4bf1 d4bfdb b371c9
f56613 b1c0a6 356458 0d4fff 9e70b2 f8c3f7
7b572a dbb63e 647f7f 9eedf4 0d51e5 b5a1fa
f29669 b0570b 63face 666d71 8da8bb 0d55e3
956754 90d015 5692b7 0d55e5 eec7f4 f09297
cdc03e 51872b aed6e8 21abf1 0d58ff 915791
726d6d f2d1bc a36604 96d921 35b0b8 0d64f0
8d4131 c4e2a2 4fb24a 0d66c6 777379 e489ee
af803d aade61 0d6863 5deef0 7a96a3 2482fe
a73c05 c39274 c2d03b 85bac2 0d6994 ad79fa
954817 b6a862 84ff1b 5eaab4 0d69f8 66507d
be8474 b93f0a eadd5e 60e2ed 0d6a72 1f87ff
e0c561 7f970b 0d6b53 41efd1 6eaaba aa58e3
b17a30 ddb864 73e8d4 0d6c64 a8a9f4 8a66e0
ab4a31 d99f81 adf015 50e0ec 0d6c82 9e6de7
77633f e7ae11 22b1a6 0d6d73 cde1e8 8254fe
d64224 ef9f05 d5d9b0 75b6ba 0d6d79 bf69fd
9f7712 94d21e 575c58 0d6d9c f886f3 decfd5
faac94 a27a2a d1ed15 0d6f6b 80e0ea b18aeb
fe9467 0d7003 cee5cd 80bbc5 a931e4 666266
f88947 5af4be 0d7255 bfb5f5 844cd5 a88597
904301 83a12b b1ef9c 0d7272 a028eb c68dcb
efcac6 a2a36f abdf3d 0d72ae 72b2e0 8e3d51
c9988f 9a402a b5d913 91ede3 0d7574 769bea
df9b00 e2de9a 0d760c 74aa8b 0feae4 7b69c0
904500 90b05e 7cfe0b 0d7963 7f6db4 eca8d9
e89f07 0d7a24 0ebf93 d4c9e6 7f00f7 985d96
65b446 0d7a2f aaeac0 9b75e7 d4b5df 96138c
7b5306 dabb5a 88ebca 0d7b73 8600f6 ff2dd6
c92a22 caa694 40f9e7 0d7b80 76a6ef 7107f5
0d7d05 35df41 814ffc b090e2 be2272 f0b9bd
e4ddb1 7ec816 0d7e27 847acb 615376 ce8e95
e0bda9 8bb60c 0d820a acd9fd d459d1 99218d
cbcf91 0d822c 79aaa5 bde3f3 cd04dc 734d62
9a2d2a 41d416 0d837f 9a97e2 a92ffc d9c0d1
c4eab8 27d00a 0d8422 7f5780 f85af3 a895a3
745305 a2a015 dce346 92bbcd 0d86e4 b12065
d89785 92654f 9be928 0d87f0 54647c ebc9f4
973619 d86c0d d6cd27 7fc5a8 0d8ae7 756e75
e7ca00 0d8b0a 35cfa5 bdbff6 e12aed 806271
ebb845 0d8e44 61d3ac 6c34f9 d556bb 744e61
994f06 83c564 0d8f8b 7124fd bf7cf1 e3ceeb
824901 d6ca1b 0d9264 7ebcc5 7036ff 9571c1
b34904 aa9682 f69c03 466264 0d93b3 b6c4da
933903 e59e5f 1bf6e6 0d9694 9d8bfa 7e07f9
bb351e 39e262 0d9aea c0c6db 3a55cf 817c86
955200 c5a809 9ee3a5 0d9c78 9e9bc3 6c61af
f4ce3e 0d9f2b 4ce4b2 b08af6 7722f5 825b95
52ed3e 0da006 afb8bd 8640f4 c282ec 914a69
ad4134 faa83f 0da08f 27fde5 aeb0f8 986bc6
8e504f d54f12 f7b127 a0dbd2 0da0e1 453ff3
5a6721 87ab0f 94e390 0da27a d28ef3 b514df
685643 b87009 87e901 0da285 8864cd cca6de
979896 4a6941 0da310 72e084 d8c7ed c367c9
a6421c ddc8bd a1dc0c 778776 0da6eb 3248f0
41f97e 0da745 747b83 871fc7 e758f1 c7b5b8
7e4b14 7a9a00 c2f122 0daa91 2eedfc d223d1
d3cf46 585e25 0daaf4 b6daf4 2f65ca d17577
0dae1d 32fab4 5f6f7f e3b2eb eb41f5 96323c
f4c987 9a9c96 0dae1d cadde0 ff61da 9c2769
a78818 95e8f1 0db0f0 1166e9 c71d7f ff8393
0db214 2afea2 ccd0e0 3a48eb b38bcc 9a4660
d5b299 708128 bae311 0db5d2 1b667d 8543fd
c25c30 9dd511 0db79d 4e6879 e4c8fe b875f2
c0d0b4 2efe4a 0dba45 9735df e49bd6 ab2e61
d31e1b ddcb2e 0dba8f b8bff6 a975f9 745298
fb462c cae0c6 0dbafe 1865de ac1c4a b79499
796b1e ccbe29 9bf1b9 0dbdbb 7263f9 93335e
a61803 f05803 62615d e5d874 0dbfbf ab47bf
8b7772 994b17 e8a728 b7e9de 0dc0f1 5c77be
597202 0dc10d 4a76c1 d6bcf9 9f155e a38486
aed93a 0dc1fb 8a50d5 8e3861 ec3d61 e6adaf
0dc40e b5eabe 7b72c8 eeb5f3 9e8998 875557
6e623d d8bf0b 0dc4a3 518392 bfc9f2 8a23fa
706c6c f87352 8f3c0e dbe0b7 0dc5d0 2762e5
d6cb27 62952d 5a5d5b 0dc694 bfd1e5 bf72c3
7d6010 b5de9f 0dc711 557c78 cd13d6 e0a6ce
556524 0dc881 c5e4ed a13ff8 e068af 90476d
736150 0dca42 8c9f92 b0e9d5 507195 e9a8fa
b95644 d1e30c 0dcaa8 b9e6fb 6d5ecd b197ef
568a59 0dcc33 b9b7fc c33eff 972291 f963ad
b3adab fcae36 875a01 0dcdf5 426067 0e83c7
217743 0dcf66 a322ec f562eb 9e217c e0b3cc
6c740b b0ed0b 0dda89 6e86e3 7914f1 b46282
8c8a0a aedd25 4c7e6d 0ddccd 9a0eb8 ed4af1
a4862c d6e035 606d60 0dedbd a5b7e7 99198c
b46c39 c7dccb 0df04a 69a3a0 576870 a16dfe
bc2a23 92ba48 0df9be 854efc 675563 d876b5
c06546 0dfb4c 237ff4 cbddf6 7c597b ff96ab
b0dd3b 30ac5a 0dfcc3 a06cfc e9a5f7 8d4e59
d2c70f 808623 316a56 0dffbb 7eb6b1 af48d0
1dc152 88f8bd 0e48f7 d7d3f8 dc51aa b00f53
dd3404 cec62d 4b8068 53ffbb 8fa8e5 0e4cf0
15ad0b 5fe999 0e4cfe e3d9f0 f369d6 a1686a
adbb95 88f625 43a91b 0e51ff e47bed 8d687e
9d802f bbc20a 50604f 99e3ef 7c95b1 0e54f8
b5e33e 67fcc0 0e57f1 bc84b5 a10a67 e90953
f4ada9 f96e3b 56736d a6ddf2 0e57fc b277be
736a0e adb707 a8d7b6 0e58f6 9b2280 e279c2
b54a0d f9b884 598f73 99beea 0e5be0 6c607f
f3d1ce cd3303 34f508 0e5cf2 b09dd9 7a6490
b7f036 62c26f 0e5df6 89899e e8c6f1 ae404e
e96900 7b5a38 e5d14d 7bb2aa 59f5fe 0e5ebd
ed5908 ebb68b 36bcc6 0e5eec 99507b b20017
c68479 b4361c c1e518 56c8f9 0e61a0 616061
96766e c0b0a8 b34508 a9f438 0e6486 1593e1
dfba32 86e0b2 49685c 0e64f3 d5ccfa 9d7da6
a09634 e2d630 576536 77dfc0 0e64f8 b74287
eb7324 c1f045 49c4a2 43645f 0e67ee d8a2fc
985509 68fa5b 2fa577 0e6876 bfc7d9 926ef0
25ea52 9da3a8 0e6bc8 f4bcfb 754b66 fb083b
b9a889 7c7559 93ed0b 77a2b8 0e6bfb ac1f7c
a26703 93a67f aae684 0e6d59 329ded dcb6d1
c7ec44 326e09 679d75 0e6de9 7c5b6f f7b2cb
f29c13 bbcab6 0e6e2b 8929e6 b47be0 b24079
8c7b1f b0cd23 63fbc6 0e6e59 49b69f e11ebf
c2de4a 6c951b 95edca 0e706b a329df e98eeb
6c5827 8b9447 b6e882 0e7076 7e53d9 f6bae3
d4d5d0 55a72c 5def2a 0e70f0 b28eba 6f656f
67a61a a1dd7e 0e7123 1a82f5 8e8098 d3afdb
ae905f b0cb03 0e720c 13f9e1 8e82c0 b12f6f
925a09 bcc77c 6df4df 0e7267 817eba 7b2ebe
e1a183 956331 c6e00e 0e7470 8fc7cf 8381cd
dccb02 4fb17e 0e7540 ace9e2 8a23a9 c561bb
b7a15f fcd818 0e7581 a1bec7 b535ec c7181c
80b564 2ff919 0e7648 7b2bbf d753b2 edcfd1
88463d 9fed2a 5aa624 0e76c1 edb6cc a27a88
98f90b 6cb710 0e7e4f 7540cd dba6eb ee6292
837847 9ebd5b 0e8080 6245b1 f95af6 eed3d9
b1ee3d 0e8304 16c066 767386 b6a3da c427ff
bbbe8b 556009 0e836e 57d9f5 742ff0 9767b4
a97f48 e1cda1 8af3f2 0e84ec 395f81 8f95a7
b57e07 ddc419 6a6e4b 92bba3 0e84f6 3d6184
80c238 0e8529 6f1bf0 9f5dc4 b1186d f2c1cd
5f6a2e a3d539 0e86bf 8d3b64 f7b2c4 d1697e
b93a29 cac58d 0e877a 64559b a777fc f190c1
eb8f43 536a47 889a97 0e87da b4d7fa 9a1e74
f0bb8a 0e8942 91b6bb 6e6774 cb54f3 8b17b0
b82115 d7872a 686d64 90eebe 94a8af 0e8be1
c19f98 615d57 7cda06 0e8c1d 2da6ff 9d4a9d
a12b00 dfc033 0e8d60 b5b8c2 6a5c76 ca42e1
7fab16 a1f14f 0e8e55 8c41ea 9c2f7c f582c6
fea091 b7450b 81786c ece204 0e91fb 93adc7
f85209 9ba28b 0e92f2 b1ceec 8202f2 a8080d
a9c856 0e9356 6149b8 f4bcf2 ac85a6 824e6b
c5c634 4f653f 90ada5 68edf8 0e95fb 8f5b7f
7e5f4e c87424 c1e01a 0e969a 8fc6e1 634b9e
fc8a56 88d0d2 0e97cc 525a6e 8c0df0 bb3f40
cdd545 0e980f 11face 5d6162 ca6bf4 912195
868201 c1c002 91dbad 0e998c 604e94 d164fe
4b821d 8ed059 0e9ad5 e2d1df 7d515c ba8c96
efc1b9 985203 71bb3d 0e9cfa 603be3 79698a
ecd6c8 97d33d 0ea0ff 3f46ee 836993 b65b5e
c73f2b fcbe90 0ea2bd bfdef6 7136d8 865f6b
f2a26a 0ea2f1 6d44cd 7f6884 eecbee a43e43
f2aca4 6df106 0ea318 6d6f72 aaaddc 9344ae
675a4d efcb2e 0ea353 bde1e1 7d3ef8 eb54a8
c4beb2 41f225 0ea636 5852c9 998aec 9c6a85
b27148 cac315 0ea8ad 53e3f2 8c51d5 ab0a6a
e2d56d 0ea90f 426763 2be3ee bf3fc0 f888a4
7a5103 bcc677 0ea9b9 75edfc 25669f cd5367
a75b3f a6b38f 0ea9ea 2b43fc 646788 f4d1ef
824726 daaf0c 848b6d 0eacf2 4d639e cbd1e2
f9a49b 0ead31 a8b4f6 6a5be9 8a7c8b b40447
bf704b b3f50a 1e6e81 0eaee5 8d45f2 fcbdcc
c96c18 9ffa09 0eafa2 2d717c a03afd edc7fd
8b653e bcb012 9aeaf1 0eb0f7 436e85 963fff
705705 bfe886 0eb60a 4265f4 c03a6e ec96b4
f92c0a 87ef84 0eb793 5a686c a4a5e3 9942d8
c1ef2b 5f7b46 0eb802 cc39cc 795169 dba1a3
d6d993 637245 0eb826 9fd8f1 2e46fb ac69a6
ea0b04 e9ac6c 77f7e6 0ebbbd 6874c0 846871
90fa85 0ebd81 617077 ad7ce3 e0cbe7 a80d19
eed395 5b6115 6e9c2e 0ebfed 2e6eac cf8998
c74b33 d5b47a b1ebea 0ec0ea 3056f0 696886
764e4a cf4304 b9eb6c 0ec1e5 3f6497 c78a95
b3a266 b8e205 50710e 0ec4ca 8f64c7 aa5172
b2ca2e 368006 0ec5e1 8e47ff 98278a 948088
b37e1e c2cd32 0ed4aa 595a5b 3263fa 8e95c5
297343 0ed576 6d21e8 897695 e3aefb d852ff
12942d 0ed65c deb6f1 d21bd5 7b4768 98838a
725222 e6aa2a 9cada9 0ed8f5 576f81 a866e4
657005 0edc67 ced6e8 ee0dc1 9e0d69 aa6e77
f0cbc5 3e8e1f 0ede03 8d7e96 d775f9 ab14d4
16780e 0edf28 288ff0 d6ccdb a31867 f43d6c
7c4c18 b0aea0 0ee42a 187068 9761be f58ce1
6f7208 0ee735 3d77ce c6c7fd a62677 db7a7b
715453 dd9c57 0eebef 699bed 325cee 908c98
f8cecb ae8a49 0ef145 546e65 98a0b0 8357af
d8832b 2e684b 0ef295 c6d8e5 8992a1 953ce2
d9e848 536d1f 0faa8a 0ef5c6 c600e1 e18bde
c89d9b 7d6149 41aa29 0ef942 1b6591 9e8fd0
dc7602 0ef988 b6cacd 6d57fe 9e75a3 b02149
a54135 b3c50e 0ef9e9 65a5ad 6a517f ba3aff
82b70e 567856 0efab2 d256d4 7d4a78 f4b5e6
866532 dbd53a 0efad2 698f8d 1f5bb7 a8bef4
8dd22e 177150 0efbe4 6f5baa da92f7 f06c99
eac715 0efcbe 7cafc8 656ebe 96435f ee6075
ce7033 0efd62 4cb29a cfdee6 3e54d1 a698e7
8c6431 71d01d 0efdfc 436579 ec13dc f1a7b4
df3513 0efe0c 1a6294 838aef e7baea ea819a
a9654d 6be176 0f4df1 6c6a9c fd6bfe e4c0d4
5efe36 25be0d 0f4efa 9c88df c23f6b ccaeb5
75594f b28c41 c6e7bc 0f51e6 7f88d0 efc2f1
f67951 d1ed29 23f5dc 0f53ee 7c8db5 af215c
ba634f cdc30b 7bdbb8 0f55fe 8f7ec6 784c77
8f5d3b c2c921 aedeed 0f57f4 837fb3 cd8a92
ead6d6 94db53 3eb2d9 0f5bd7 6d6b8b e9363f
d7d114 456a32 28ba69 b2dec8 0f5bf9 b27cb5
caa4a2 9d6c3a 8deb71 42adea 596771 0f5dca
9c3a18 cfd2c5 61bf19 0f5ded 7e6a82 eb7ff0
eeb5b0 b7ea50 6bb4e8 0f5ec1 b3566e f3101a
a79d54 c8df53 9ed4e4 0f5ef8 8286bd 844247
bd5633 fb9915 cde4cb 92a992 0f5fda 9f7aa2
f1ac2e 6c7349 addad6 27abe2 0f63f2 8f3d76
947372 894208 dc8944 bfeb20 72bebe 0f66ad
b0a996 6f735c 54ec08 0f677a 3395e6 7633ed
8f5c1a b69812 89f37b 3ba57c 0f687e 9771e0
8a5c31 b5965a 44ef0b 6a9ea3 0f69a8 e1cefc
d3911e b9f301 59644a 53d59a 0f69d3 c29de5
ffc649 36e4bc 0f6af4 ababe1 a30063 ed5f65
83481b c77d2d b7e541 38c69f 0f6ba7 daafe9
7b8e21 73f971 0f6bfe 75428c f7b9de ae5a72
bfc006 0f6d31 a2f0d2 13a8cd a90ee4 e13186
e1dcd7 886b28 d9ac2e 81a3bd 0f6db6 992d5e
f1af24 6b5917 6f9a60 cedcd8 0f6f6c 8f59db
7b7675 9aeab0 15b951 0f6fb0 c5affa a32225
707035 b4b678 a8f009 66b9c3 0f70f6 990b84
d8bd11 0f7215 b8d5bc 54c9e4 8a8191 b137cc
d24612 f9a381 77f8dc 0f7565 8cb1d1 a153b9
d4b3b3 955833 c2ee09 82a911 0f7573 9b40e6
6b8313 d1e2a4 8be3e5 0f76df 94537b d78086
eacb68 207400 70cbd6 0f76fe 9d4893 f35165
bd7d73 6bcd24 0f7714 7652da c9aff5 6d5169
96360c a28c38 ece023 8eb99e 0f7771 9142fa
b3ba4b 718041 7ff5c5 0f7875 91aecb a722ea
fbc3b3 854f38 8e8e21 81db13 0f7879 e056c8
f7c20f 92b177 0f795b 45edfe ad7be0 76487f
5dce22 0f7b38 8530b4 dec9e2 f364fa a6909b
715d2d cce985 0f7bee feb4fc 9e0c77 fa3673
afb07c 0f7c4f 5bf7f5 9a99f8 673bc5 866492
fc9d1b e9d8aa 0f7c50 a0aebf 825edc 9c247a
82541e afa558 0f7d88 99e7fa 8c88f5 7236c6
b4a863 5a793d c1e3d1 81a8b1 0f7ff7 8d3c7d
9f2e0a d6750d bae2ae 0f8072 7f48b9 b57df0
864e1b c9dcbb 26df0d 0f80dc ca97ba f05277
eed0cd 98d346 0f811c 975ec2 e68ac2 a72668
f76559 9c3a23 f2d992 0f83a6 c3cae4 6633dc
9a2e23 e0de1e 87990e 0f848b 52e2f5 c60ef8
67f01f 0f8715 adb3b5 26a5f3 7b00f7 755987
9e5d04 59f295 0f8b86 a080ef 76429d d7bbe5
c7733f d9ce33 99b9cc 0f8ce1 7d7c84 9b3033
eada75 0f913f b2d9cb 947bff 784587 ae93b0
877171 bd4300 a8b60e 51f3c2 0f92bb 683cc9
20fa51 59635f 0f94e3 f4cdea f07a96 f0060c
ef6d01 7c7460 acee54 446882 0f95f6 e2badc
84471c e4cf26 97965c 89e8eb 0f99c8 666165
82cd42 0f9b47 5d41dd 9985ef c9b5cc a8598c
0f9c2d 3ff77d 977af6 7e22d6 bca1c0 aa2467
3ce815 0f9c35 4f50ab d2c3e5 c46999 7d5457
993430 d67f6a d2c916 b1ddc2 0f9cbf 7a32e1
615e5d bade06 0f9f4c 6beede 5637e8 a984ba
b51903 d2c85f 0fa063 a4bdbb b685f9 873596
cce913 0fa40d 757d7a 0fedc4 782dc5 c078ca
e8d2d2 665952 43f438 0fa45b 7251da c77dcf
d32016 82776a c8cf46 5fecf2 0fa4e5 575dad
a3e3b9 0fa748 4a6c5b 8f7da5 ccb3d8 7f37a1
dfdfa9 356930 0fa815 a3b4c5 7e48ef 9b6593
9d2f22 b8b62c 0fa87a 15f8ba 646975 9c56c9
d05a27 e6b942 0fa88b d1cce4 b976f1 7c4aa3
b7a712 a1cfa8 1bedf9 0fa9c3 5158a5 ae5266
b1e162 0faa13 27fadf 4e5ab2 a994bc 836173
f2400e c1c1a5 7fe828 59766a 0faec9 a3229e
