# colors_mcd18.0_mld2_nc8_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
004ffa 447c62 9593e5 a0edfd a7ae0d af3108 e69f97 f81ca2
0a8bf4 30fc5f 3b7a34 5a34f9 b5c3ff b8a992 d50a84 d78d03
0a8c45 24e5b7 68555e 7c7d9e a30cd4 c59ef5 cfdefd e6d30d
0a8c60 4eadf8 98e6fa 9b30c3 b9c1a8 d56fa3 f10101 f3c336
0a8e91 31daed 7e25db 9eb499 b06bf1 b3275a bc733a e4e164
0a8eee 2afba3 568c30 6e00fd 70c90b a9466c b89b8a cdc9d9
0a8fff 31f328 414ccf 625b7c 80a5bb a75e49 e2dbb4 f25f01
0a9049 6234f9 90d897 a42891 aa80fa ba7aa3 ddcdf6 fdd811
0a91f5 15d892 7b11f5 8ba8b1 985290 c73f4a dda024 ded3fa
0a9255 7cd250 9a9b9e a103e1 a30b6a d05ac5 d8ced3 ed1005
0a968a 6e04fb 7cdad0 89a04f 9b57cd a54145 eb82ff f2d714
0a99a8 6436e6 736f08 7daf3e 8ce5d6 aa5a6e d0e93c e093ff
0a9b16 5ac0d6 5d6451 823d83 9fd90e a95efa d3628c faa1a0
0a9b3e 40f125 645281 8b4854 9693f3 aa16f5 ec81a8 f6d0e9
0a9d37 14e807 632bf2 bee8bb c81486 d152f2 eeb0fa ff5e9b
0a9dcb 406587 58d5ea 67780e 8d15f3 b19369 c2d5a7 feb539
0a9ddd 65d3ef 757b88 900ba9 ae3210 bad29f f65b0f fccc29
0a9ef1 416982 69cf1e 7e493c 80832d 8233fa d2c1de e38386
0a9ffe 23e36f 5c5d1b 609b06 9224fd 987370 f12ab1 f7b5e6
0aa04e 185ace 44f422 948fcc af0c70 b69da5 c7c2f2 f6ccc9
0aa0dd 19f401 1c61d6 84a816 966341 9f0f63 c3a58d ddcdf8
0aa0ff 16fc3a 43924f 6e595d 7b0ae4 c2bee5 dd9a9e f603a1
0aa101 5ee053 6221fd 834f9c 8d83f8 b9b0d7 e08b98 f0d8cb
0aa23c 0ff6ab 436546 8504ff cac7d9 d68199 f11db4 ffd414
0aa307 306e19 69d61b 8315c5 a0a98e cd0673 e3cde1 e562f5
0aa366 26675d 46fde3 7d01fe 9bb0d2 c00307 c5d935 d025ae
0aa4c9 3e6b7c 75841c 903c45 9141ea 9af472 c69d79 d7cdfb
0aa4dc 6155b9 6df8b9 a31f55 a4c0c4 ac6d8d eecf19 f7184d
0aa5e7 5138f6 7c508f 979119 b8d9e3 bd435d ecba59 fc739b
0aa6b7 42f3a2 746151 8069f3 99018e b8762f bcd800 fecaf3
0aa6ef 458901 7e31f6 7feb23 a64972 d78a9d d9dbfc f0cfb4
0aa897 7433e3 79486e a068ca b5c2fd c01207 d4db93 d68904
0aa8ba 4be7c6 5b51e4 6d7a78 794d85 c0e94b c1272c e49571
0aaae0 296d78 4be9b3 8018cd 88958d c23e34 d2ea1a e48e14
0aab05 41e9f0 6b6c4c 7b23db a22a7b ad92fa c17da4 e3d893
0aabd8 15eaff 6e5a5c 9e857f b004c2 b3d02d de4222 f9d2b9
0aac7c 46f1c6 653ff8 8fc937 9f5c84 a21d41 df89c3 e30d19
0aaee0 0f7690 8d52fc 94e4f4 a91325 a9d060 bf9da1 c37736
0aafe2 196ba6 32f5de 4e641b 77940d be5a71 cdc00e f98993
0ab211 395bf6 77f977 7c4d20 a0bf9a bd8bd1 dd2572 f9bced
0ab26e 5df5dd 7d848a 9a3fad ad0f1a b5d805 d56fff fc310b
0ab54a 216759 78f1d2 9a85a6 9b3bc3 b32c0c b6e345 eeb2fd
0ab560 277c67 45ef9f 705095 885eff a83c07 c2e808 d879ba
0ab69a 0c7802 77f0f8 7e44fd 9d276f a1d177 bc97f4 fe0146
0ab7cb 4e30ff 6c8315 74f2f1 7972df a50581 dda85b ed3881
0ab80d 1f57d4 60705e 7ef120 8e6a92 96a78c 9f4300 d4a1c9
0ab891 1cf4ab 546a4b 7d40f6 9871a9 afb9d4 dce634 ff703c
0ab8ec 56f6fa 588f3d 890afc 9b7986 a2cfa9 a53799 ced10d
0ab964 117736 16fce6 8856fe 92da29 a94185 c493ff d586aa
0abb21 1bfe42 7341ec 7d5518 a10365 a3a0ef c56c88 e0dad3
0abbed 516820 831bfb 893b5d 965fad dfdcdc e2bd01 e96d73
0abcf9 6d819a 8b4c60 8fd674 9d32f5 a1897a b83c1c e4cbd9
0abd13 506360 80f920 8428e7 a897f4 b23b1e cc64a1 d1c6ac
0abde2 648a8b 79f508 7e417b 8a62d2 b80b46 cb7850 f2ae9c
0ac022 307b1a 6141c0 64f932 7e4c73 a2ac9d a46aef e1a4ea
0ac16d 697440 7734e9 7d3f7c 7d81e1 84f448 a6889a f2d4d3
0ac1b4 407a64 8b01fe 9a6199 9e391c a787fe d98e11 e5db22
0ac3c4 3a62a6 8389ed 917d83 9ed3a5 c20820 ddd734 e18243
0ac550 6860ad 855255 948f87 ade5b4 d61005 e2e505 f495c9
0ac651 5d6638 6711ff 95a2a2 b4e9c0 b5098e d4b5f0 e92ff1
0ac677 19ffca 4a6553 7e7e18 a0e601 aa1f89 ccabda f211e1
0ac99f 5c52d8 82ff50 873d7a 93ad38 b86ba5 b92f4e f6aff0
0ac9fe 3b84a9 8500f6 9fa591 ab5252 b9e9e6 eabf23 f04304
0aca32 0e63fe 3b7400 81866e 82ff05 c3c8bd cc2292 e698e6
0acaf5 266b74 7a9691 9823c6 a11d40 bdf002 ca601a feba9e
0acede 2272df 744e53 7fb54d b16390 c11f10 ceec0e f7c8ab
0ad3d5 4844ec 5b8675 8b5c9f a24f24 a585f9 b2a304 fccfae
0ad3e5 5470eb 866502 89c044 8dfd07 a90a65 d16f8f fbbcb4
0ad4fe 3a7fe0 757636 85aa28 b2367e b8d6b6 d28ab1 e6de11
0ad64c 169421 765146 940cf6 b386e7 bf1a90 cb7698 f5b3de
0ad77a 268512 6e22fc 9497d1 953c97 c0d9f9 d45381 dbe81c
0ad8e8 177e65 5aae46 7d5198 9c3d14 a563fe c4ec9e cb8fa4
0adae2 43886b 7703eb 943a7c afa119 c90d24 cd52e6 d6dc72
0adcff 3c961a 6c1ef1 844f58 95a591 b4dbd4 ed20bc f3d56d
0ae1ca 2056eb 9290f8 962480 adeb6a bc1108 c29c21 d75b6c
0ae1ff 178804 732ae6 7ac425 89596e b37ff0 cdd8ab e07ca7
0ae9b0 2567dd 7e9509 844705 96a6da c3c632 cddef9 cf0c65
0ae9e7 4b66e4 6aa1f6 755d79 9d3345 dbd397 e52113 eb7ca6
0aeabc 4c630c 61a59c 8052bb a72b62 bed8fe e39219 eae339
0aeba0 116e5c 2ca16a 627404 7a00e5 a8cd22 b344b2 feb6ea
0aed9b 346c22 489f9a bc0dcb c6e4e9 e0a6fe f2095a ff9b03
0aeeb0 176d63 5ba49f 9157d5 a9a758 ab3c09 c7d5ee f2de46
0aeee5 1a7b16 75a92f 9f0372 aa1ae8 ab8fe2 cce741 d74886
0af0d9 64a51a 700dfa 96df0f 9741a4 ac1d40 b1b290 e667e2
0af1ff 32b2a1 526c68 5a28fb 8662b2 aa471a aeb031 f6d896
0af269 506f49 8493f5 9339fe b8871e c0b3ca c4e8d0 d12e96
0af2a7 3ba0ad 406165 686031 819322 9d20de abd506 f9c4eb
0af402 0bb48e 3968fe 764593 b60050 d2e2c4 e08fe2 f15017
0af41d 43861a 826467 9898ad 9e027e c0daed d4b0a5 ed0cf3
0af42f 4293a6 861bc9 a0abfe b69d6d c51a44 dbd6f1 fbc3b6
0af431 3e7a2c 6d01fe 986c7b a7178d cf9b89 f4d0ec f516ec
0af4a5 514ce4 796698 876204 8fa5d1 9a225b df5a66 ebe128
0af72a 4b89d9 6135e3 83823c a4b8ff ac187d dad8e8 f1879d
0af8b3 316ff3 5d6456 78c901 879362 a1250c b94b91 f2a7f1
0af8ef 3fad8a 907ba6 98d776 9a02bf a51124 d392fe f14c3f
0af996 57568e 5db463 867c92 a43152 c456f6 dc0805 ffa2d6
0af9d1 2e7b4d 699ce8 863683 8c40ee 98a590 9c8603 dfd510
0afa09 549dca 7754db 7a603a 94b089 9e2970 c67610 c7e8c6
0afa17 30b88c 46675d 8939f9 93a107 a967a4 b22b0d d5bff2
0afa1a 7871d0 7b4a74 94b0ff ae9930 bb0a26 f0769c f5cae5
0afaf5 0cca3b 5743f0 595972 a0a1a0 a36950 c9dba9 f053ce
0afb51 267d81 9206cb b13647 b681d2 c8c7b7 feafee ff3c26
0afbdc 406a14 6d9d02 a80ce1 a8b3fc af2369 f34d91 fcb970
0afc44 2fbe2c 6d5ff6 785a35 baa0f0 d3dcfb e60691 f5a0af
0afcc2 69b744 775fe0 7e4c72 a8413e b999f9 ba73a5 c0d4f2
0afdd6 2c841c 7717f5 867bff 96e718 9cad62 c929a2 ed99e0
0afdfc 2e87f6 39726f 59a714 9bed21 ab1c09 c9b89f d580ae
0afe64 229e08 236848 7735d0 b369f4 c7ccc0 f1a3f0 f4028e
0afed5 25b684 538a2f 755755 8535fe 8edf0c c492ec de219b
0afef9 49d106 6a897d 7c0ede 834a78 c30103 d5d3ab e978cd
0aff35 1d91e4 6c2ef3 798b21 adc3dc b01574 db809e e2caac
0affc8 6fac51 7c798b 7e5153 af53e4 b03d06 d6ce00 fb81ea
0afff2 398682 52c08f a60dab a7ee76 b01413 e35938 e68ef4
0b49f3 447e29 83dae6 963b8a a775e6 d9dfc0 e3b842 f6668e
0b49fb 39f8a9 6565ab 6aacf1 965d70 aa2c25 d0a642 dcd9ee
0b4bfe 18e9ed 708cf2 844d8e 9eaa9d a1ef5f c48f3e c60c2e
0b4df5 338b58 3fd2eb 85af0d ae047f b06cc9 eccc7d f27fa9
0b4ee6 1ec914 5b8d6a 645e69 a84116 aee0dc d066ba e1df9a
0b50ef 579bf9 586592 9ff1c2 b2787a d8ceea e33023 e6bc59
0b50fd 109888 6cd255 705049 7063a1 bf460d cae7c4 f283cf
0b53f8 308e41 67fc41 79b81d 9d1a5d b486f6 e8c6c9 f74497
0b54ea 2de11a 447f1b 735d5e 89a463 cfceae e678f1 f3339c
0b56f6 44e3f8 4e7425 774589 87bba1 bf7bef cce685 dc8f1a
0b57fd 5e92a1 66e357 717c23 903b58 ab8cfd b1917d efbed3
0b58f1 43a11d 6bf127 9e90e3 9f4a50 e2d3f9 e65693 fda9ac
0b5ac5 2095ca 27d6e4 596a69 7da285 7f6b0f aeeaa1 df9317
0b5be3 358736 3dd0bc 7cb521 9072aa 9e235e bbed33 c49bf9
0b5dba 19ebe9 3f9ae7 7a887d 91c0a1 ad4920 cce575 f9721b
0b5dc6 18f902 2092f9 468a4d 845472 8cc074 cdb7f6 d27ca2
0b5df8 3ec310 40f9fd 963773 a78a99 c5140e d9d0a0 ef74f2
0b5ee0 7d7a9a 8c615c 9bc492 a21e06 d5e52e f7a0ed fb5808
0b5ffa 5cd4f2 6b7633 768ad0 94b527 a3f612 cb3783 e0d4a7
0b60bb 1be19c 4aa28e 6b7132 89ab14 b781c7 c4e034 f1b5e3
0b60da 686e45 84bafe 853d7c aa739f c3f131 d4bb9e e98822
0b60fe 2bab9b 38704e 3ff5ed 7e8722 9a0983 cfd66a d382ee
0b62e4 2d6913 5ea22a 877b71 8be34e a60e7c c88ac0 fec1fb
0b65de 4bd8d1 6d6210 939df2 a11d63 a19a55 c6d557 cd6a93
0b6791 67bff3 6b8992 9f69f7 a03754 a2ec27 d3cbc6 f05855
0b68f5 56e7c3 7198f1 7f4e85 9e9cac bc4d1c eed94d ff7562
0b6c38 36eb93 8524e8 94a311 c965e4 cdee1b dbb2d9 ef328c
0b6c3f 20f70a 59ad1d 7d14f4 be41a4 cab3ee d48f96 fecbb4
0b6d04 12ac0f 60f52f 8a9e85 8b6f87 cb25d5 cdb6c9 ee7af6
0b6d0e 1fa00d 89deca 9c2d6f 9c9f82 e524f6 efe115 ff94fb
0b6d66 11a82c 665821 85dd43 9466cb 9da29e d6d6ba e39ae2
0b6dc8 64bab8 715d1a 97ae0f a10671 a3ef0c e4ddaf fb0b73
0b6e15 0dda9f 6434fd 7f8af1 8ca61c b36c7b c10e8d e4d4e9
0b6ebc 30b017 53edf5 778269 a592f8 a81d20 c89eac c9ed27
0b6ffe 66e65a 729ef2 81587e b38a7f b70730 d86304 feb4dc
0b70ff 42a62f 527143 85f8b7 bb02a7 bfd644 cd7ebc fabce8
0b726f 4eebf3 8120c9 8da5ab a075cd bad912 bf4b1e ef806b
0b7289 24a896 67e1ee 905957 9843f1 ab90fe bae77d c88636
0b7333 197afa 80a10b 94e2d7 9e0187 c05c9c c3b1f9 fdd911
0b73bf 49d7f8 546829 6bb313 a00975 b26c79 c3e5de d4c986
0b7435 348ffc 58d3f1 6d33d6 6ea33f bf5c9e c9eb58 fcc0bd
0b7582 73afed 77896a 94f3a6 a12f1d a21be1 c7a3ad de8022
0b7656 3aa2df 59e9da 767e07 8e27f2 990788 c8bb28 fa1f9b
0b7702 0bf779 8a2cfb 8a2f86 9dab09 e386c7 f7cfd8 ff1475
0b7816 0be143 71535b 84928c b43aa6 c0d7ea e4d8ba e779f3
0b799c 3bb499 6f941b 8027fe 824911 8af0f3 ebcb81 f877f8
0b7a51 7e9e9e 7ff225 a543be b69e3a bfa6f8 cb0002 fccded
0b7e48 51b85f 63f5a3 767080 931a94 caed24 ce9fd8 e039f0
0b808f 5ae21b 6b15fc 994610 ba8bf9 c58969 cee0be f6b4e7
0b811e 2bced9 767788 7728d0 79b72b b3f153 b7aa98 c158ff
0b8146 5ff81d 7e81fa 8821d9 a0b15c c75192 d7e1c4 f7b3eb
0b8237 6c5660 74b4de 7d57fd aa1c9b c8d0d0 f8d52d fc6781
0b8270 18c3d2 8e84fd 908a3d 9b300a 9b3aa6 a5ebd8 e4b67f
0b8312 5fb08a 605851 a81893 acaa20 bae482 c640fa fa82d4
0b8329 34cc53 7605f4 867bdb a2f915 ddcfb9 de1a86 eb98ca
0b848f 1bc1b8 7111f3 7ef9cc ae9660 b11629 c6e65b e734fd
0b857a 57cd96 9b229d b4f377 bd0446 c45eea d5c2f9 f48b18
0b87bd 56dcac 692cfe 959196 a5034a dbc0ed f1a314 f31149
0b88b1 612dee 81e3fe 8c4b6c a3938b aed496 d7073e db9c03
0b8946 807fad 9703f5 a1c8ed a20a63 a3a00e c1e117 f59499
0b8a04 39ef7a 8b1ce4 8c7ac1 a4054d aab3e2 cb8a91 e2dbdf
0b8c6e 32cd54 52621b 94fd06 9610df c0c3dd c250b0 f7ccb8
0b8c8b 59e95c 84ab84 ac0316 bb56e8 c6d6cc e45e24 eda1f8
0b8e78 2cc58b 6221fa 979526 aa240b cacc3c d539c3 fc9ad5
0b8f12 585f4b 75dca7 a40cc0 b0c328 c16df4 d45888 f8b7ea
0b9040 4bd1b6 8d3a65 95ae03 aa7599 b5e47a e2aefc e625e2
0b90f8 5b5d24 8812dc 94bfd6 a68487 af147e d4e562 e77b35
0b92fa 4ad107 792cfb 972d85 b4cf9d b87da0 cc284a efbddd
0b93ec 5eebee 706b8d 8109d3 86a5a9 c25654 c4e896 cfa13a
0b99fa 167a21 19f499 6ab549 741ce1 a81a6c ced5f6 ee5996
0b9a7f 31e4bb 3c646b 676239 9d942e a7b2f4 b01abb fbc146
0b9ad9 0ddf82 6238f1 654f80 81a605 99757b b13b21 beddd9
0b9b85 316368 57e3b9 a451d1 b7bce6 c51129 dc9526 f4df20
0b9bf1 4258cc 52fbe6 85bc92 938492 942e66 e53245 e6cc43
0b9f46 6a0dfa 6c5a4a 88d9fa aaaaae b51888 e5db76 ee26f9
0b9fa4 52ef09 593cf2 813a83 ba1950 ca7e51 cce4ae e0afff
0ba01a 2df1e3 4a6764 864424 a8aafc b39aa4 cc03be f6d48e
0ba02d 0be115 704a84 8d35fb ad7dd9 af647d bad8de f18c90
0ba088 6af133 a10063 b51dcf cac1ec ef0f3b ef59f7 fbcabc
0ba2d4 4affb0 6f7e2a 844be1 92ada2 a20f6d d7cbea fe9b26
0ba331 24fafe 671ff7 7d797a 8e7efe 8edf50 943491 c4c0b4
0ba36f 0fe33e 486358 a3188c aa91b1 c3ddde e72918 f601f6
0ba593 786d30 8beb0c 93a607 9e267e b419f4 d8dcce dc99ea
0ba629 6f603c 86ea9d 9f2eab b775fc bdb4e7 e55590 ede00b
0ba6dc 34f4f9 517d6a 775991 7e0ff9 98d516 baaaa4 e22f0f
0ba768 6e5344 7b59f4 8dd84a a6327a d283d8 e7cbe6 f41c03
0baa8c 57e5d0 9448ff 9f3b8e ae0401 c189db ed3847 f7ad3c
0babab 225cb7 5ef5b4 74772d 9c3e66 ada221 c5f023 e8bbf9
0bae82 32f5f7 507270 675729 7c06fd 9d8f0b ce42c6 f4dd70
0baef2 446352 830bff 8a59a0 a6dd3d e2cfd6 f80e03 f87a87
0baf93 376d7b 39f40c 8707d7 bedeb8 cd1e46 d07ed9 f9ccfe
0bafc4 50757e 63ef3c 7d0bf4 96a694 bb0f26 c08735 cedec3
0bb0f1 4b58d3 704e75 a6abb4 bfddff c27c72 c31f03 d6c254
0bb170 166efe 535f52 89ecd2 b71704 ba4d95 c4a0de feaa15
0bb1a8 236f24 7ee9c5 af2eb3 bc84f5 c7c4f3 ee5670 f1b531
0bb1e1 5065eb 8b3568 9af25d 9b8065 b5170c d9c8c5 f0690e
0bb1e5 5856b8 77e463 857a92 8a4103 b6b1b5 b88102 d10061
0bb497 0efe1d 505ff5 645a2d b07b1e b493fb c71a8e facbf7
0bb528 0ef720 7260e4 795f05 a6155a c68cd2 ddd5de ec3c8d
0bb7eb 349919 4f684d 703bfd ae4e90 c0d7e0 e1e521 f3a399
0bb89e 457a86 8231c0 a788e4 a7dbf5 ab5c3c bba244 c9ef1a
0bb8fb 2c8ba0 71f5ae 7c19dd 906910 a6a361 a91f60 f0bb05
0bb949 27f93f 6d8190 8d20a0 9fb2bc d10163 ebdbc3 ef12ef
0bbab1 2d40fd 59f709 7b8148 9b5499 b3d39b bc7bf8 f7c9fb
0bbb3b 7bf2f4 7c35e2 7d869a a7415f ace80c ca63ff e6bea6
0bbc0f 457233 834380 93fb3b 9d37fc c9cfbc e54e7c ebabe8
0bbc82 3bff82 6b4dfa 768004 86b904 a60e61 c35da3 caacf9
0bbfba 767ebc 79476a 8812f5 ad1d07 c0687f e2e380 f74535
0bc10d 376b80 7607eb 7cefba 919a9a c148d9 cdc4fd d20f46
0bc390 3378f0 72fb9e 835f67 958ba6 9dc91a e8a4f5 f20c2a
0bc48b 666df1 7d4d7a 982e33 a796b7 d7d9fc de5d13 edbc11
0bc4e7 1da30c 685658 8c0efa 96e730 9c96a0 b046a7 e4dbb3
0bc677 17751d 60fdce 8938db ae5786 b9b1de bc73ff e2d024
0bc6d9 336e5a 769e85 93840a a5ebdc a800f6 c04797 cec877
0bc6f7 0e7a74 7561b5 87ea23 9e2a45 a19fa7 e0d1c0 e75320
0bc8e9 376f2b 825efd 8df75a 92a149 a81b97 de6199 eeafaa
0bc8ed 1b6b46 259796 a7dad4 ad8e09 c1c57d c71fe0 f7047d
0bc9a9 750eff 932770 9757c7 b3b9e9 c41b12 e27d54 ffc539
0bc9e1 7c3bdb 927c80 932d71 b9e3cd c50321 d2812c f7c030
0bcc60 0d5cdc 686c44 8afd38 9493ff 9e1372 d6d5e1 f351a0
0bcc81 187e75 8d3eac 9383f8 be8eb1 c5ee1b d92130 f9bfdb
0bcdc7 5d34f1 7c526a 8571cf b14223 b9edbf dd8571 ead93c
0bcf0b 3d655c 7280d2 8809f8 ba4b10 bcd4fb c39c93 dae090
0bd49e 409b5c 8a479d 8f8d9f 9e3105 a0ef2a ddb7eb e368fe
0bdbe0 6997c3 8055ee a4f134 b53773 bfa96b e3dfbb f32100
0bdfb5 519db9 5357ca 88ba1d 9d3524 acf518 ba6f6b d5c6f3
0be0c7 48aa03 6b3ffb 726790 a6150a ab6c6c b096ed fcd81c
0be0f0 33811b 6a33de 7db25b a5ef03 ad6ffc ba6d8e e1dfb0
0be116 4d8044 6e525e 91929a a82ead c5cbda d96ff1 f0d4aa
0be128 3599fe 519429 8e06f3 973171 c8c9db fd4b9a fdd2b7
0be1b8 5540d6 7d9391 7e4f6b af5216 d0af54 d5cdfd ea5bdb
0be37a 2c6388 6696ff 898c3e 8f474b 970dff d582a5 eaccdf
0be795 429ac5 744593 761dfd 90a118 a14718 a7737b d4d8e3
0bead9 2c9ff9 8c08fe 8ebf0f af0404 d5858f eadf88 ec1ba2
0bec03 228b89 61594b 8f9bfa 961eb7 a29a72 d9420a eacbc8
0becd7 3ea8cf 6c33fc 9d0f80 a66b76 a9ab7a dd0a2e f7a700
0bee83 6d29ff 7c93d9 824ea4 a02714 b7796a f4c0f1 fc6618
0bf0c8 556c5a 619ab0 9c45df a19985 b7c7f5 ba681e f0ac5d
0bf0fd 247018 82a7f9 9411d6 ab896b d3e5b1 d947a5 ef9e10
0bf113 2f72a5 65a425 83695c aa1206 c0b9f1 c289a1 f9c9bf
0bf1a3 676f78 6aa695 8c25ef a5291a b2a742 bbe71e c15ac5
0bf2fc 2978c3 716002 76c3a0 8ea33a a2116a b16572 f4db47
0bf40c 52ae6e 6320f9 7d6a0d ad96b2 cb047a d349e4 e8c9d6
0bf558 1e7593 7a1edc 8689ec b66169 b9befa e4a9b6 f7150a
0bf5c6 0c9d3a 27692e 8f3bf8 a3db58 a73b7d b985af ceb4ff
0bf5dc 5b6990 8106d4 9fb1ff a82346 af8770 cbee09 ff0617
0bf5e3 479804 5957f0 847190 96acf0 9a2a41 a8f817 b8c57b
0bf603 1e6e2d 4bb237 856484 aa9fa8 d634fd d6dce6 fb93fc
0bf643 685720 759d24 a3769a ac14b1 b6c4a3 f6abde f836f1
0bf6a9 4cb476 595abb 715461 c12f2e c4c401 d0e0f8 ff69b9
0bf71c 7665c0 7ba6fd 816474 b09c4e b91023 b9bcd2 f4d3be
0bf7f9 2d60e9 4faefc 605382 9d6875 c43821 f1bcb4 f98e1b
0bf9ab 546890 8a05e9 8c9cf3 968f53 a2184c bab6c6 fcba2b
0bfa2b 556981 6d87ec 7c13db 96bb92 b29cb6 ce4f4a fcc4fd
0bfab2 296966 80a892 9e992d b1d403 b32823 f105b8 feafe6
0bfae3 24bbc3 3445f8 478b22 7e61a5 96e00c ac1f5b d47983
0bfaea 226afb 5f5a61 8da2c5 ab1da1 ac8179 e5350f eab03b
0bfaff 40aabe 697e7c 9045d0 91df4d a7043b c35d26 d0d0b8
0bfb46 16a6fd 3f972e 45643a 9238e0 af7ea4 cbc8e6 f68783
0bfbaf 3460ef 846a64 859ff0 a52289 adafb3 e2d317 e77418
0bfbde 10720c 559ddc 769c0f 851efd 941f82 a2d16f d1437e
0bfcce 18b29d 705ddb 7b5882 973b17 9eea40 b87b1c d3c0f6
0bfd0b 179b4a 6d58db 6f6076 a80c00 bad3a9 c68fcf fbcbf5
0bfd63 5e5f2c 694aff 70a5e3 908a21 a0b98d c15981 fccce2
0bfdfe 6b6b42 7d1ae5 81b68e 93407d b5850f bd87f4 d8c416
0bfe3b 376175 7bbe91 908d9e a23538 bb9600 c53cd2 d5bde2
0bfe6d 25b5f3 6168d0 923e6c 9f9879 b9d5d2 c80916 f67109
0bfeaf 41bd95 8f0ee0 a06c1a a20f4a b4d4e8 c7af2d f926b8
0bfed8 60585b 89b9d0 8d3a8d a17f7d be0815 c7bf44 ee01f2
0bff28 0cae4a 556730 7307f4 8d8990 b3b8d7 b458bb ecb1a4
0bffbb 4085d4 5c6a1f 7810f4 80c1b9 b8257e be8e21 c6dd10
0bffed 0f9225 2cbecd 6b5c61 6e46e9 92958e 9a0189 9fe552
0c4af6 3f8372 5cd5e2 926ead ae2523 c9df9f f25724 fbbb04
0c51e3 36ebfc 3ab685 84723b ae127b b4a614 c8e99a de5aac
0c52ff 23acf3 85e5c0 866685 a31a3d c48186 d0e744 f71532
0c55fc 46f6a9 6b88b1 8a3b5a 938987 c5392b d2c1ec eab403
0c58d7 10c022 3c7801 6ef961 9f3568 c0d2c4 ca748e e3abee
0c5bb5 5b667a 72c5a7 8a4a31 9c8944 dad9f4 f1c649 f564fe
0c62cb 5e6780 73b350 7e6656 8df557 a81501 c5c8b1 ff77ca
0c63e5 64604e 9bdfa1 a16204 ab99cb dbd3e8 f23993 feae2f
0c667b 25ca3a 668379 7c590c 9512e9 bf73f1 c0e7d1 f3b3fe
0c6777 2392d9 70b227 75f983 8024e2 af3422 d9ccea e3839e
0c68f0 36bed2 528142 80f948 86b027 97207d a37f8e dab8a5
0c68fe 34f38e 664e94 7a83a7 835b53 c1ade3 c78a21 c8e3e2
0c69da 1ba943 3eddfe 6c5435 a6ec2b ac067a d079a0 fecccf
0c69f2 5bc5ff 698692 6c5758 9eb5b8 b05c0e cdec69 d09c73
0c6ba6 51faff a17c81 a41538 a5ee22 a8a0cd d5b288 e9241c
0c6bfa 28a018 7f584e 90d715 a4097b dbdebb ec3d93 ec8efa
0c6d02 3ba130 70e6db 840df4 9da7f6 a73b9d bbe98a e96c96
0c6d03 1fe6cf 780ffd 8487f6 8b8663 8f3e9d d48b20 fdd052
0c6e11 39f3bd 6b58fe 7cc215 9983b4 9c2798 d5d8ff ee0167
0c6f4d 18a838 3dd9f0 8319fb a9dc07 af74fb d0a0a7 d21aa0
0c7064 5bbd09 79792b 8e22f8 b1f151 d43aa8 f0c4ec fa92a6
0c7139 32c9e2 689b74 8afe08 9c4ef9 ad3686 c7d7a5 f2831e
0c7269 39b8f7 6d6d28 a1be1b aa0deb b1e5e9 f54ea1 ffa6a3
0c73ec 4fe3e6 57b104 6a5a07 ab9cfc b40066 d16aa3 d5df94
0c740f 1cad17 2147f1 4ee923 984a73 d6a6a0 e3d5eb f361bc
0c7412 38fde1 59a866 754fd6 8e73a0 98285d baa4d5 f3cf36
0c75eb 33791e 5ad90c 74496e d5caf0 e092ab fe2a5d ffd4a8
0c75f5 5e9339 5f5990 62f318 982a46 aaaefa de6f99 e1d9d9
0c7655 36c978 7b8a0f 8b0dcf 9bf946 c74fe3 d6d6d2 f2a9f2
0c775a 60a995 71f0e6 7565a2 a49acc ad0e00 e25810 f4ad63
0c777d 2bb801 54ead3 a81a3a abab8e ac14e7 b2e973 fc4cec
0c7784 29fec7 8da50d 9cbfd4 a128de b2534f c69687 dbd73f
0c780a 59f2ed 6bacc5 83a211 a923d5 b5f43f d0b784 fa1f88
0c782b 47c6d3 8a818e 9c0a78 9fde49 b434d9 d1937c edd4c3
0c7836 28e2be 933064 acf202 b641f4 baacea bd9b10 e55f79
0c7878 17b39f 29fa72 810cfc a666d3 a6b4eb a76213 edd6e4
0c7b0a 39c9f3 8e82a8 94ce5d a30758 b93cfb e5526a e5d1d3
0c7b1f 4affaf 71a859 894060 a251e7 b4e922 cd6491 f99bca
0c7b47 698dfd 7e7a9b 88ebcc 8f15a9 b8b5dc c08f12 ddd222
0c7c09 5fb21f 6f01fd 7a489d 91dbd6 b6607a f17bf2 f3d479
0c7f68 19bae8 7325e3 7d4c86 7d950f 89efe0 eab574 f269a1
0c7f87 17f13c 753cb6 819e27 8b563d c5d7ba e2aee8 e758fc
0c7f8e 1eb6b9 21fac8 9606e4 a27efb a97606 c1085b cfb943
0c8034 19f68f 32b94e 8578ae 870ec0 a22468 c691a1 d6bfe6
0c8127 3ffe49 8320d6 97b4ca 9b9382 ac4590 da65ff eed8c3
0c8174 7acd36 8630de aea98e b00522 ce74b6 d5e4b4 fab1e5
0c818c 23fec8 42b8b4 772ff3 8d814c 9e2051 a683fc b1df48
0c828e 38e9f6 92c4a6 9801d7 ae0b23 e6df3a f735e2 f82f24
