# colors_mcd16.0_mld2_nc10_cvd100.0_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
0046fc 01815f 0ec584 67fae8 7ab508 85790b a11196 b6ec41 cab0ff ff1eb5
0d68d2 40afc4 69f509 784477 82797c b4013f b7cbc7 ba6b0f e3dfa3 fd7668
0d6952 3debbe 73a4dd 75600d 80956d 920afe a3f00c b9891a c71788 efd2f9
0d697f 1193ef 24f961 6fba26 8e1bdb 929180 a26a01 b12f4c d5a2bd dadcca
0d69f4 46ee95 6996e4 78537b 858d96 a81003 aca712 b8505d bce522 f3cfe6
0d6a49 299283 39fade 777b1a 94bcd9 992393 a1a639 b7e15b dfb6a3 e009ea
0d6a52 1fba02 587624 9bfb3d a589ad b113d6 d6317e ded0fd ebbe94 f364ff
0d6b38 0deef8 189d39 6f8276 8ce125 a026db a41980 b9a794 e9d7c6 f162bc
0d6b69 34e59c 91997b 9303db 93b2cb a75732 c65be5 c7b431 cbdce1 e10791
0d6c05 1da884 6ae2e7 9e94d6 9f26f2 a31482 aab017 aed0a0 e01745 e1de07
0d6c0d 2eb3ae 72f3f4 8e9f16 a2d29f a7139c d3a1fb da1264 e222ee fecc30
0d6d22 13b499 64974b 8002fd 83696e 9bebff b01187 b5de1f e5d1a0 f21fe1
0d6ec3 1af875 476850 5e9aa9 705c79 8d400a a5a982 d7761f f4d1f1 f589f4
0d7005 10a815 66f922 74866a 7757f9 8f507c 92b99d a792bc d3e4a8 eeb4fb
0d711d 3150ff 329ffb 50d94e 709726 7463af a699b8 b16783 ced8e0 daa1a1
0d716b 12d0e5 6b90f9 6f45f9 89299b 97dc57 a969a9 bd4118 ddd5c1 de898c
0d72ea 3aaff9 3d6179 779c81 7fe361 9182a6 b33d3e cbb0c6 d7e1c5 e6722f
0d730c 0fc318 33eec7 6479fc 7c4ea0 974e66 9a8a70 a6ec64 d471ae e1afea
0d736b 1ceb96 5f6133 64ab48 7453f7 931692 b0c6d3 bd85e7 eb1e8d ffc621
0d7412 16aea2 5d53f4 6cdc51 739b23 9565ab 9e0c6e c05f70 d181f2 dcd4d7
0d7460 64ac7b 8f2398 9900fb 9d7025 9df508 a3b518 b885fb f234ab f5b3c4
0d7489 74bfb9 9d2e53 a6ad07 abed17 c74cd7 db1e1d eedab5 f16a7a f786fa
0d7605 19eba7 940aa8 a59db4 a5f65c ac51fc b78a66 cf2d7c e1c6ed f78d0b
0d7765 11a670 4eda5e 952f95 a21a34 a72cf7 be88bb c5c6f6 ef120e fad3bc
0d7796 0eb737 57ef47 706415 809188 943c55 a8c5ba b79ae1 cb35f4 f3c7f7
0d785e 3de9d5 8ba997 9c0089 a91be2 b9ef9e cdc724 dd0415 e333a2 f781f7
0d7862 50eb1c 788ca5 8e7627 8f2191 9925f2 a6bad3 b48efc cf9b7e dfe0b4
0d78d1 33bf93 50f2e2 914272 a07e9b ae0a06 c8ed71 d99ffe f0184d fd8327
0d7914 19fdca 3da913 535c59 7333dd 81866c 93e601 b0b57a ba3891 ed65d4
0d7a8b 772efe 7dc1f0 97aaad 9877dc a52646 c2dbd1 c3886f d0c803 e50519
0d7b3a 2bc72e 65fe55 754b78 8790a6 bbdaad bf8e84 c199fe d311e1 eeb6dc
0d7b67 6b23fe 72af6b 7aea49 9455c1 c42b20 cfd6fc d2b8be ea7df1 f26300
0d7d08 29f89f 605e4f 69b4df 7763fd 948c98 9a4e96 bac705 c9906d d6def0
0d7e16 16ee62 5d5762 8a9dce 9f1098 aba89a b31ef4 b8eac4 efc6e8 fd254d
0d7e62 4ef9bb 6bac17 8c22dc 8e4313 aa64b0 b1bbd2 da86ff e5d238 f17897
0d8167 525d77 57e7fb 698af7 8ac89c 9317f3 c985af d90e13 e5dd56 fd7a12
0d8194 1ab83e 53ec83 778a6d 7c505c ae3bee b1a2a8 be2929 f1d1f9 f37bf3
0d831d 635651 648fed 6fc9ff 8121d8 97af37 9ceb22 b18d83 da2390 fac8d7
0d83a5 346b36 45ef81 8720f0 8a7c01 af8cfb b8c5fb c4a0b4 db7a6b fcd0d9
0d8465 4bfec5 51c1a8 7a17f8 893087 9ce72d a065c5 c2151a d0b0e5 d97916
0d8531 45f6c9 4ebd10 5d2cf2 74565e a278f8 b4d4ef d30ca2 d37f89 e1e637
0d8558 4a5d67 69e5e4 9609b7 abee47 ad55fe afa6ff b9ba80 e06cb5 e20e00
0d8902 1b50df 66f56b 7e76ff 88ad98 9074aa 9c3850 d09ad7 d6dfdd f06155
0d89fd 26dfe3 2d7660 68bc2d 8102f2 953612 a58c97 b2d89d d71bb0 e9e00a
0d8c62 1af97e 40bd4d 822be1 8f2f84 bc3615 beb0f8 c067e1 f479aa fecae3
0d8d34 2feb54 6cad04 8b0cb7 aea886 b31370 bb79ac c1eabf e319e8 eda5d4
0d8df8 2842f9 6cc8fa 7f7075 b1050a b80398 bc9e9d e8dbd0 f5b754 f64647
0d8e5d 54c162 69fdaa 8750db 9d207f 9e8097 b7b5ee c5e50c d4a6b2 e8240b
0d8f99 26feb0 6ab8a2 6d01fc 855009 b5e20f bf0569 c53af2 deb4e2 e75c54
0d9085 0dcc93 5e3ff0 80549b 9c224e a874f5 bce6de c4cb20 ed2652 f095e4
0d911b 39df78 6e38e8 734791 8f76f8 a04867 a5b4ed a9f202 b592a2 d2cdd0
0d925e 4df6cf 5f43ef 87b794 8f3272 b0799b c23307 cfc4f6 d6b550 f64ddf
0d9494 616b5e 6b00fe 71dec8 873f8d 99a3f0 a04be7 b6de66 b7431a b89446
0d94ec 25e9cd 386835 5640f9 a68e9f b0bffa b63c94 dcd70a e91a63 fa977c
0d96ff 389c17 69d2fd 6e6e4e 821afd 892a98 b2efba bd4685 cadc1a f66da0
0d9784 446061 4af3f2 6fc390 8538aa 909536 b2281c ba4efc c0c23c e478d0
0d9885 81f5f3 8620d6 93428d 94bbe6 9d2642 ae75e7 c37114 c5d7b5 d8ba18
0d99b3 3ac4f7 68563b 8711f7 8aee96 9a7820 a1b630 d41f78 dce813 e67c89
0d9b73 72515f 7cb1ff 8032fd 8689af a60293 aae9ae c7b8ca cb2133 f76e23
0d9c53 486902 4ecd8f 899b9b 8b0bee a6d233 ae59ad b81a6e bd94f6 ffcad8
0d9d8c 17d0fa 396a6e 7cbe84 9107fb 9d2338 b968de ba603a c7dfe2 cec43d
0d9e71 585a6b 839f0f 8ce7f8 8f0ff9 9962b3 9d3f28 b0cb5d ce7efb ff7ab7
0d9f99 3563bf 59791c 745559 7aee29 86aa4e 991677 d1e3be eaafe8 ee67fa
0da075 7a4b56 8ef2e9 94c12a ab2a85 b7a2b8 b90dfe d60d2b eb64fd efcc99
0da1a1 58667b 83f9b7 97aa83 a71345 ae00c5 d2bbf5 da4ff7 e9293b e9a634
0da278 34d6cb 453df5 8266cc 9e3280 a3a4f7 a5f3aa c82b33 c9db33 d27e0c
0da289 65dd92 666d82 8f6c27 9095cb ac1755 b09e2e be02fa cbd1f0 eac81e
0da37f 43645f 6cd5bb 9321fa 937136 a41598 bdafdf bf6bf6 cd8d0d dacc52
0da3b6 20e2e2 3f3bfc 637d40 7c6cf5 94ed33 a40688 a6a341 de3b8b fb959e
0da3f6 3a50cf 507b12 6e6560 89447d 8be5bd a77c97 b3d152 e07a71 fec0fe
0da479 18f448 5e7480 6f01fd 8549b6 a72a3d aea2fa cfb6bf d2dcff eb6412
0da64b 17eb9b 486c5b 7f658b 909ea9 a508c7 b00909 b869fb d7daf4 dfd919
0da7e0 4e5e52 508e5d 86b647 87e4bf 8a49bf 99899d cc3607 cfd2f9 e0e24d
0daa72 1af5ee 52781f 745e5b a1157e a1a5b2 aadba6 ccc336 ce29e4 fc71ff
0dac44 2f720c 56e48f 6341cd 806ffb 9a5173 a378ad b6adbc b9ef15 f698ff
0dadf6 12f3f4 4b4cff 585b5e 648b73 70ce62 936628 d5ea12 dcafba f119a8
0db1f4 21698c 42f7f9 767a6f a7de37 a812f0 ab462d aea4b4 af8b20 ffc0b3
0db225 395ccf 6a7249 863e69 89e0b1 9e759d a89ae7 d37f89 d6dcff d9db62
0db269 1e757c 38f343 5c664e 8f08c4 9a75e0 ae5608 bf8eaf c6e8c3 f5bffa
0db2ff 61f937 73645d 7fa1b4 972a75 9b935f b81feb b9cfda ca1d01 e3b69f
0db3b2 5746cb 5af55b 8072e2 875106 b28031 bb005f ddd8cb f9a9f6 fd308c
0db3d6 52fab5 6431fd 66a04a 813a8f 8b67dc a9cece bd1f04 ca5b93 dccf3a
0db4e3 6c64e2 72e7e0 858e9e 8c4d6d bab0a1 c0272b cfe8a7 ec653e f2b531
0db510 3bebef 678a6f 846221 942477 9b4bdf b1a0fc c5e706 ccb484 f75ab2
0db7c9 2cf1f3 4e3bfd 6d7af0 727059 9abc24 a05994 a1f668 e51a0d e5a99f
0db98a 0fedd2 3e818f 784c5c 8d07f4 a5bef5 a8533d aa7ddd d6eb26 f88a11
0dbb88 68fc1a 692ff8 915483 945fd4 982b4c be0000 c89dd9 c9cdd4 d06b3e
0dbbe8 19fd87 6170a9 7e05e3 835746 929049 a4c0b1 bb0177 dca614 e1d9f1
0dbbfb 51f6fe 5b25fe 7798aa 7d4daa 8b4564 8bd64d cb897f f1bdc2 fc282f
0dbc05 2ceabb 348455 6427f7 785379 996dfd a9c2e7 b976b1 c51901 d3ea08
0dbdbf 314cdc 5dfd32 607ecf 6e9605 6f5d00 a59a81 b43b5c cce1fa e1cdb8
0dbdfb 7125fc 79eec7 86a087 905fca 99536e ac000f c19c24 d0ddfa fbc403
0dbec4 22f5dc 487e55 693dfc 804478 8588f2 93c279 9f8a03 d57596 f2bd0e
0dbefe 3d6812 5ea540 78df64 827f80 854e8e 8c3ff8 c4ada3 c9d4de eb72b9
0dc1c6 3869f5 4f891c 6cff9a 8a92f5 8d3c94 91758e a40b52 a5bc9e f8a722
0dc269 0ffe60 72968a 8d27ef 9b5199 a3045f b4caf9 b584e7 e5c7bf f00e20
0dc29f 425f6a 646ddd 80ebde 99bc08 9f7ea2 ad1f15 cfe695 d35458 d49ee4
0dc2f0 5939fe 76665f 8569db 9b3b7e a51420 ad7d4d b2dcdd e4c251 fb629c
0dc3e1 19fbff 7e26cc 9b418a 9b66e7 ace1c2 b5132e b97d83 eb4736 f5b761
0dc60b 1afe1e 217437 836b89 8a987a 9502a0 b692ad cde2bf e423d5 ffa0f3
0dc91a 377c22 675971 8da072 94f0fd aa1cff bfe19c ca50bf cab4b8 f57dfc
0dc9ad 2a748d 59fcd7 6eb112 876e3e 9100d3 913458 b8ace4 e130ec e5cc6e
0dca83 3d5ef8 49fbc9 609a2a 8970a2 8f4d45 9687ff b599ad bfbcff c8d814
0dcb70 3a6829 506ad0 748d10 a27fa1 a39bfb a3f1bf a91271 b9dc02 eda6cb
0dcc18 5539fb 555b57 558b46 72fa69 877d8b 8b4393 cacec3 d468e5 f0abf1
0dcd5b 354efb 506052 749c7e 8f5e21 95eeb4 c4f116 cd0f8b d46ed1 deacd0
0dcf1e 3f7f05 61ffae 6c0bff 839f98 8f4678 b8d8d5 d02fc9 d3a4e9 f43564
0ddacb 167d87 82715c 8522f4 9ea290 a90708 d5e923 e2a455 f72410 f835e0
0ddb16 0e7a19 58a110 7423f1 a00c61 ac42aa bd76f8 ee82bd f5d2cd f7437e
0ddd1a 1d60ab 5280f6 6d7852 825871 9793b6 afe09e bf9090 ca1103 cbc2ce
0ddd68 6f09fe 7d5802 7d66bf 8a9ea2 af4169 b18012 c38be8 c9cfc2 ffc0fd
0dde0a 2d7bb8 50656c 769bfe 7a09e4 ba1c32 bb8585 c9c7fe fb110f fbc6a1
0ddfce 5eac8f 816e21 8a82a2 8d1e9d b80f61 c59542 cca2ff cd10f1 e4ca44
0ddffe 149907 7056f6 705797 72d029 7f8798 834627 b87fdf df807c ebcdb9
0ddfff 614cff 637665 80359f 89f219 94a6b4 ae1c0c bb7df5 c1c18c dc5712
0de026 2088a2 77560b 824ff5 8ba8ad 959151 ac3961 be9afb dad7e4 f7bba9
0de0de 4190ba 7e25e9 8d5b6d 92fb1e a12818 a39591 c35e05 f6c5a4 ff8548
0de2f9 6435e4 6e92a0 814e91 92c388 a5a205 ba2f03 bf64fd c1656a dcd435
0de428 2f8136 77ab7a 8817f6 89767b a20387 bfe2fc d19fb8 d5d5a6 f135ec
0de5ef 649eab 755f6d 9cccb8 a9805f b70015 be12c1 ceb663 d6ea23 ff3dfe
0de64c 7d95a5 7f4d00 a39c87 a62ee2 b40577 b67035 b9dcfe d7c8bf e383f9
0de6f8 3978f3 4b6252 7d8b6d 7fb1ae 8c618d b70913 c9e291 e0b505 f14515
0de6fd 4759f3 7f4494 8db099 a30752 b0eebd b77abc e12941 eb7f07 f5cc2e
0de6ff 3591ba 3941f9 916953 ad9d9b ae1173 bcea10 dd2604 e39650 f0d8bf
0de7a6 11782c 1770fb 77a0f3 7d4190 94788c a3abbf b6e4e8 c5c12f c87c70
0de7fe 137457 5a5f04 6a74f9 73d124 958b19 9892c2 9a4491 e0d0ce f08089
0de825 11715b 770aee 776609 98abc6 a79c75 a84493 ccdaef e2cba3 f013fb
0de8ee 1c85fe 214fdb 7d6808 8896af ad1e73 b0f50f e79757 f63679 f6c7b2
0de953 349d67 82454d 9114fc 93b5aa c12d96 c1e8c3 c6b3e0 e81715 e854f4
0deb5b 1daa35 327461 9f4e8f a61606 aaa3cb ad42fd b99797 bfdae7 e5d9bf
0dece8 15880e 7d4e4a 7e62dd 7fa5d6 93b805 9cf553 ac1381 c66182 d8a28a
0defef 228ea3 736a09 82b1ae 902cbf 929c0e 9c2d4f bde6b0 d3c618 f076f5
0df0af 2555c9 2b8ff9 6aac52 737475 9f69a7 a99ba7 b0bbf6 b53208 e8dd40
0df1dc 456283 45b5d7 7300f1 7c9522 88d226 90553e a14bf7 b27f87 f6ab9c
0df228 106bff 3d8862 5b5865 8bba81 a821a7 ba92a7 d05d14 ebcde1 ff77f0
0df38b 447c2d 7ec21d 822ef6 9379f8 942887 ad90be c6c2fb c7607b f3d2dc
0df5ce 6458ca 7993f1 7a4f7c 89828b ac514e afc5e8 bca08a e94d03 fba249
0df605 1e8d0d 7f00fa 835c58 991d6d aaad55 aad0bf bc7d9d ecc3fd ee0fd4
0df69b 456c92 52642e 7daeec 844efa 8d91a0 b6616d b6c1c5 fad706 fb7114
0df6ad 554bea 7d75b3 85425a 85aa15 9cc5d8 b496ff b79a8d bcd74a c6373c
0df709 17ada4 956c0a a100e0 a1174e b29d3d d4d6d7 d84ceb ec3b7e fe9aed
0df7f5 376f10 61c097 649a17 796f70 8f2f74 9ed405 b481b0 c0a5ff cd05c7
0df812 22a713 276a0a 4d3ffd 7b5fad 7e5668 9788f3 b5c2ec c6b57c d780ac
0df88a 883974 8b7e82 9429ef a3b59c ae1e1e c991d0 d0623a e4d3e4 f89f0b
0df896 2b6a71 3487e0 6d15f1 81b4a0 8c89a3 ac3125 dae506 f8a1e2 fd6226
0df9ab 3e6ad6 46b190 7f5c6f a81130 aecaf8 b480b0 e3e60b e7a34e ea3c18
0dfa79 2eadf5 3a7b9d 649008 665907 79c011 8027f5 988f71 b7276a f7a9c4
0dfb1c 249e9f 3c6614 6e8e07 8f656e acc2d4 b207a5 cfa275 e6d9cc e82af7
0dfb81 5d88d0 7e0ade 816a80 99af0d aa5e58 af2702 b5cfc7 c08a95 d4aeef
0dfd74 2a5dd0 5b8ce4 606b64 85a196 976496 9e2e22 c6cfca dc7026 ecacfc
0dfde4 2a62fc 2dcc70 3d9e02 42702b 937378 a18eeb bd389d cdd40d df88ad
0dfed9 11a2fb 178190 5f49c5 7e5c07 8cc4df a4aba6 bea024 d5cf85 dd3e5c
0dff67 0f64f9 624f98 7c88c8 8f455a 9d8a98 c4d5cc cc5008 ea8b74 eaa9e7
0dff8d 3dcc23 466962 6c7a02 7b46f6 981695 9986de b6bcff e4c1ca ed2a92
0dff99 6aa201 816332 89a4f9 96218c a142f6 bad4e5 bd947d bdd119 ee57b2
0dffd1 44c588 508e3d 8caf0e 95eb28 a37a8c a532aa ae155d e43ef7 e49fce
0dffd9 21943a 93b109 9611ee 99c3d8 9d2555 a24d9e b26bf8 cbe027 cfa69d
0e49f3 41b13d 4bedfa 6275c1 766b56 944476 a0d504 a1a1fc a6a39b e4dd9e
0e4de8 1ce631 578b9e 6c5f08 aab7f4 afaf94 b072fb bb7e08 c12c72 e9dacd
0e4df4 4ba096 675fa7 7ddf62 89a04c 93600f cbcbc7 cd1566 dd70df fdbdfb
0e51e7 3feb70 41aa1b 5b6da6 904c06 b37cf8 c3d9ca d42864 e27e9e e2a9f2
0e52f2 7c84d7 7ef93a 83405f 927888 a5ab7d bd181b cbd5c8 e9a6de fd4812
0e54d8 3a8d9b 7edb83 84a293 a0494f d1140c d3daf5 dc85f0 f87817 f9ce05
0e55e0 36c467 4ef4ff 73830a 7f584c abd5c4 b80085 cd72ee d3dc1f f63897
0e56cb 2bd24b 8473ab 8d4b6e 8efc07 b4b9d4 c48efc c6344c de7687 f0c2bc
0e58c5 2ba46d 48dee0 757618 76809c 9b4461 a3a909 b6e231 cb71f0 e9d4af
0e5bcd 3eb3a5 4b7b30 886e9d a0dbed a92b6b a9be21 d46d71 d683ee fdd295
0e5eed 15bea1 3f8a77 595a86 7efc78 a07eab cc1140 e5cbec e96623 f27eff
0e61e4 25abd0 59e6a2 81444b 8d9486 bc257f dad9f1 e30e1a fa7b46 fccb21
0e61eb 3da9dc 646b9c 81812a 82eeff a80663 b1dba9 b8b0b8 be6a7c fdb514
0e63f4 2bd9b5 625d99 629073 735262 93b157 af6704 bccaf2 d476d6 dfdc36
0e63f6 62b5d5 735684 8eedca 979397 97bf7e 9b284c a16b3b dbe671 e0850e
0e6582 689997 6efe35 737e41 795358 9cc29e aba713 c32bdb e1c7dc fd77ea
0e67d9 675546 71a4ae 8addc7 8c836b a44b7e c99bff cf4513 d1e96f fc821f
0e685e 10fcee 35a5e8 6d5eff 738322 92a999 b36f9d b5e3a1 b716ab e6c332
0e6a46 17ff9f 5bc936 608430 784f72 8811f3 99a783 ad7d97 cfb2c9 fa2ee2
0e6a8a 4ed94a 828779 866100 a30f4e a602ed b68faf cbbbf1 dc50db f0cab8
0e6a91 40c880 675658 79971d 86f6c4 957968 9d12fc b09fb2 b1d405 fb7eff
0e6c00 129838 894859 9d20ef 9ed4e6 b09cfd b7c049 da838b f715a9 fdc1b9
0e6c03 1f64d7 599a10 8cfa40 91b5f3 a80370 ad8a78 bdc899 e968b1 f5c5db
0e6d06 731ffa 90df99 9b99a5 a04fb6 b31567 c6c51e d8d6f9 dd7ee7 ee305d
0e6d20 6ecaa3 77989a aca801 b32ac0 b40c68 ced4e4 df67dc f81c63 fbdc25
0e6d93 15a32a 2bcef6 607572 8a4337 a28dac a7eee8 b8e32e e229f8 e2c097
0e6e32 15fafb 3196f4 668678 7b2df2 84b891 8d880e a99fbd b2318c c4dc83
0e6e63 1aa2e0 2dd9e6 5e7509 7b3dda 84ab06 b0e6cf c3d828 f31f98 f7878c
0e6e87 49a792 7e6060 96d592 a71405 af42f8 c27828 cfccdb d59ae9 edda0f
0e6f71 32fdac 53a17c 6a12f8 9269c5 b3d0f9 ba9b38 bc2120 c2e234 f886bb
0e7055 7092aa 87dd8f 8d298a ac9a15 bf3108 c498fb c918e3 e1d7fc f4c511
0e7059 4ae7fe 740eed 796fde 80618f a896d5 b75706 bfddd2 ca8766 f0ba73
0e7075 38ff7c 4f9bc5 738465 754f30 7e4cc2 ad6105 afd0ce bbae8a ea8d16
0e7079 1ffb6e 6994ae 7752c0 98b481 a31e47 a876ff d25c32 dedddf ea9efc
0e7103 2cf7e0 4096ff 676d5d 9f15af a0c0f2 a99c7d df41b8 e89a3d f2e039
0e7159 19f732 6ea0cc 750aef 8b7d01 a45afd aa2b93 ccdedd f2a399 f43e8d
0e7273 43a53a 4ffed7 854931 9dde02 9fa4ba a326e7 cd66f8 f3c6fe fb9293
0e72e7 55f2be 66a6b5 7f7f7e 9c2173 accd41 bb9772 be170e f1b3fc fb3e0b
0e73e4 1fefce 71837f 8a538f 8cbe66 993649 a289b9 c8e61b d23014 ddb2f8
0e7656 44e1e1 639bb1 8157f2 95138e a9690f b5ae14 cae986 ee2c8c ee9995
0e783e 4dac36 5a30fb 83dcdc 8e65fe 95717f b195ec c71ba2 cedb3e d29f92
0e7877 29f1f2 9313c4 97a050 982d43 9ee42a b475c3 d01412 e2dcb2 f88cb1
0e7878 0ff10d 7fa174 9e4117 ae7f13 b487f6 b513f9 c7e7aa f7c1e6 fa07ab
0e78d9 0fc250 1cfae3 366c50 75467d a6e417 bf6996 bfb2f3 ca0404 dba3a9
0e7957 1ef0d2 2c87fd 7d10d6 806d03 a49864 a6017b abd371 f09df4 f70bb1
0e7966 2ab284 5fe5a8 7613ea 8a83dc a50d8d b5a0bf e60b10 eea303 efc9ff
0e799c 59c10d 5b6160 812ef2 8f7e61 9af701 9c9fa1 a51329 d3d2bb dd9bf0
0e7a83 49f6d6 6bc495 7a30ca ad2261 aff389 bd72dd be6b47 c8b7ea dbae1f
0e7a9a 42b4fc 606d53 75ea58 8124f1 a12503 c48da0 cad8b6 f6c9ed fb4a13
0e7d5d 1ec950 46ff63 8b11e6 a90215 af47af c682fc cecaff e13905 f9acbc
0e7e6d 695d02 6eb7fb 7b9752 9c0ec3 b0cad9 cb4ba9 cd97a0 dce0bc fccc2e
0e80de 49d18b 579256 756e92 89435b a89e02 b8f205 bc0908 edc9d7 fc91eb
0e811f 3be7b5 56aea8 8200fd 8f6e70 9d0e8b bff068 caa059 f91ee2 fdbeed
0e8165 32c5b2 96eefd a689d4 a9031d b10b99 b92ef6 c1e0a2 fd0014 fd9c3e
0e818f 27bd25 87f0b1 900fad 95aa9f 9a6b42 aa2766 e018eb e2e62f f88bf4
0e8333 25f52b 5a596a 77b034 7b08ff bb32b7 c9abff ccdff4 f0ccb4 fe60b1
0e83ff 55d8cd 6f10f6 78a2c8 869476 8f5c9c 9e3c5a c7d28b d4a10a e1112f
0e866b 586024 5bf8fa 8f2ee0 963283 aca1f7 ae7e2b bedb83 daadb9 e856af
0e8769 586479 6fa5a3 820be2 84d9d5 86601a 959600 ca49c0 d9e51b ea9d74
0e8881 5b2bf7 714d96 7ed2dc 8eab8d a53e54 ae73d2 d00c09 f39624 fed496
0e88f3 10fef8 58c0f0 7915fb 7a7f38 91de5f 9b2558 b97c8c cbbabe e919ad
0e8a83 527702 795b52 951988 97b2c8 999d1c 9bfa24 d207e9 d7bfa9 f2087e
0e8b86 3cf3f6 65b7e3 6f5056 abd32b af24b3 b50e01 cba6a3 eadcbc f33744
0e8c6a 10fee5 32c3c6 784c76 94e093 95a211 a55bd9 c80d19 f4d12b ff569e
0e8cc2 4b6918 4eda72 5aa91d 8d18f7 9f1160 a3a8b2 c9ee0d edb8fd f92180
0e8d03 2bedad 5a45f3 71ab61 8b3191 af70e8 bfc521 c02a63 d0d1fb dd80a5
0e8e7e 28f257 49617e 7ba341 863f4d b5b1e0 b73714 bfe7ec da09db e5b1af
0e8f63 20e8fd 3aaaf4 424bd2 7dd743 84740f 943a6b c0639b c3a3ae e6d7ce
0e9134 73b574 750cfc 917884 9be900 a6179d acacb0 e2d4c5 f69af0 f90aea
0e9251 25fae8 4bc091 7716fb 7f79de 8d4007 94ab09 b1baf9 ca087e d1d921
0e92ad 2bc2e8 52597a 827004 a12f49 af24fc bda210 c1e68d e0cacb fe4a74
0e93ce 1e6c0a 5ee948 707e8d 950beb 9b335d a4b2ca b28d1a e7cbca f87d85
0e9474 16dde7 6bbb7e 9679a0 9e1069 a48bec a5ec6c b411f0 e2decb fc2d1d
0e968b 57f5da 595f10 7c0eff 923fac a18623 aab281 c14062 e4ca3a f862cf
0e9780 1942ff 26fb30 5c5fae 9ac294 9f7aff ae1a07 c98dbb f8124f fec6ed
0e978e 14d1a3 1754d7 973d5e 98fa40 a9b8fb aa75ce d2333c dbd2e4 ee8e1d
0e9983 306687 74c3f9 8f27e6 aaeaa3 abb202 bf66fd da164b f3e02a ff7eb6
0e9b3d 146d06 674cb8 849d8b 90e782 acb405 b8166a bd5efe e2d4ee f071c2
0e9c69 2652ef 316551 3bd2b6 7ab132 845792 a6e241 c5300a d26fcb f7c4fc
0e9c73 2ecff6 3b47e7 73599e 815166 a87fb1 aef143 c21f33 fc5815 feb9b6
0e9df5 3e8091 4cecb1 6aac53 8003fa 838477 933351 c62725 c8adcd d5eb30
0e9e4a 1bf8cd 914366 9b85f8 a504f1 a51716 abce34 c2969b e3c0f9 fa0bb7
0e9e68 1b4fed 6fcdaa 997df3 9c5a95 b03110 b08eaa c8bff8 ddda2a fd6b04
0e9f2f 186c1e 4addf1 6e726a 7724fb 98ac95 af1192 b7ecc8 dedb48 ea45e5
0ea012 1b6c19 5ad81d 807e68 8fa7a1 a737c2 af0d71 c8d9da f06df7 f5d8a1
0ea126 68736b 85ef13 8c3e2d 9814d5 aa9a9e babbfc d854b7 e2a97f e5d7e7
0ea1fb 176861 546a31 7456ef 82dafd 859609 d3ded0 d91f92 e4a982 fe6cab
0ea204 267109 66f9ec 7b4cd5 912a7b 946978 98afb4 d57bf7 e3dd01 fba577
0ea34c 1b51e3 27f6ad 2a7142 9098e6 90d923 957b89 98458d caa3bc ecd3fd
0ea388 1d65ea 6a5c80 72efb7 834344 928efc a1ab51 be471e c0ed07 e7b1e4
0ea5be 498662 7910f4 7b5e07 7fb21c a2d4e4 a552fb b32f81 bea59b cde058
0ea604 214aec 51fe79 6e6289 ae5458 b01100 b4b2f4 be69ed fb7189 febdd0
0ea622 47dfe9 7f5000 8c6c87 a72956 af09dd c4e2ca c97af5 d8d12f f68681
0ea670 45d59f 4b830e 88798a 933192 a4f73b a50553 cfa22a ddbfee f518e8
0ea68d 1d7c1e 43e9fe 705c6a 921d8c 9ab13c bdecad c700ea c97eca f8d20b
0ea6f7 5e6819 74da18 7e59c8 9f135b a67dab c8cbfd de9dad e7d5a7 ea2b59
0ea896 5e49f5 705369 98e0eb 9b6eca adaafb c41e35 cbe92e d39312 e5c198
0ea9e8 116c41 3fffb8 7f7202 85aeae a22298 aa34ff bbdce1 e0a647 ed0c6f
0eab8d 435be6 5e7359 8bfe04 95450d 9c5d9c 9daef7 c0db8f d08f3a f2c9dc
0eaba1 28e4fd 7bd921 8e3e63 9847de a5b67f b384eb be6470 e8171d eed1cf
0eafa9 4beab0 578568 7b4481 7c42df 9d4220 a574e9 cfb1f3 f5dd04 fa8c3a
0eb108 5f605b 788c85 8df23f 9105aa a1bd7f b5251a c89abc e52dcc eed5d1
0eb275 2a7d8b 56f917 695b5b a5150c b843dc c9b4c0 cae7a9 f23310 f37cf2
0eb27c 24ea91 616c97 725303 9010fa 9d3759 ac92d8 c77213 d3e502 f9b8d9
0eb3a1 47fed5 6a16f8 827262 8c3f76 aba624 b9c2fd cf050a d335ce f3d051
0eb3c4 16f9f1 59881f 7817f9 867ef6 8e2298 a3c2b7 b72e6d e3b975 f45279
0eb4bc 2a7f04 5ef6ba 7400f7 973b6c a051e4 bab441 bdd2fe d5eb29 dc5a88
0eb528 278251 8e02ee 9d0d7e ad8fe4 c50f03 d4919d d8dee6 ea2ea2 f0d072
0eb620 28ef49 2c6a5c 785f21 9407fa 9d858b 9da9c4 c5e1e3 d035b9 d6ac9d
0eb684 22f3ba 6a5078 7e86ae ac2749 b223d7 c1ed56 dfaed7 e81b21 f08c03
0eb735 3665a7 44ffd5 6f7605 955558 9cda80 a50170 b691e0 c17a91 e7bfef
0eb8a8 536f0d 59fcd5 721fec 8b66cb 98c681 a73e80 debff8 e4426a edb110
