# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
a62c23 e37a34 e2de3e 65756e 88e0ce 5783de 0045fe c4b5f7
cd4540 d5e0d2 05f911 339580 9a94fe 642fe4 b9a5bf 8f5190
ef9c62 f0e110 858015 05f9c0 79babb 3f57a3 b881f5 a63f5f
dad3a8 70d21b 23951b 05f9fb 918af2 613bdc e391b5 a55269
cca8a3 25ba0d 05ff0e 087d2d bbd0f6 8558e6 d869ab 873d62
a1620d 61e56d a4b5a8 3d715a 0646fe 6b5198 e7d3ee ce85da
f2110b f59d8e d4cf07 3a7e68 b6c5cf 0649f7 9e75ff 795196
d7de2e 90b575 188a20 0b9cf5 064cf6 9b3384 f1a3ca ad7b90
f7130e ca9885 cfdd1e 6a6e67 99c8d1 1daff6 064cfd 975c9e
f3cbc7 586f18 789f70 2ee143 064dfa c6cef6 90519a d178d6
9d8005 e5cc2f 5b7153 20a5da bce0f1 0651f9 70497f f16c91
dad8a2 9ca61b 247c24 9eedf8 38b7e0 0652ee 963f6b e65f9c
90756d db5520 45f25f 0653f7 636f8b 778af8 e09ac0 a70d1b
c39466 8a6c04 e8d349 bce3f4 0654d5 797293 b19cdd 9c3652
fe2a14 4ee713 9bb3a5 567578 0655db cd78ea e8c0f0 b31127
7d7519 badc15 95e8fc 549fcd 0657f2 952d66 b96c79 ebacb0
f8544b f8bb3d 8cead9 5691e0 0658cc a49ba0 745a63 c00d1a
ed7a75 866319 68f862 0659ff 736ca5 dddcdf c0a2c5 9f1761
f2b905 7a6e3b 96a559 d3e6a1 4494a1 9ac3dd 065eb7 924166
a04f3e dacb99 60bf0e 3feffc 065fe2 9b89ed 796a7e e592b3
f0982f 836a47 ebde9a 28b992 acd3d8 065ffb 596272 9288b0
8c6849 82b351 1efba2 0aa290 0662d0 cdcddf d38aea a1156f
bc170e ea653e cbb89b b8ea28 0fa1b8 82dbf9 0663b9 a44967
7e5448 c34000 f19c12 b3dd95 35aea0 06648b cf55f9 f1cbfe
953914 c67922 9a9583 cdd340 96e6f0 0667f2 7386b8 7e5272
c0a39b 7ba50b b5e77e 62d2f8 0668c1 5997d3 666b70 a9222a
9fe12a 30fbad 066ab7 978bff c2b1df 8b3f69 a27f8e fb4749
af1c10 ca7319 dcce3e a0a591 5b7964 4dfbd1 066ac1 8db9e0
f7d1a8 73e003 066bc3 919cae d0c7f2 874a6e ef566d a8131b
e3a81f b0cbae 066c23 75e0f8 517fe6 8d8d9e 884c89 ee3065
648a06 9ddc12 066c3c 42faab 17a780 7a5885 d729ea ccb2ca
fcd918 54612c acce8a 45a042 6ce8e5 066dae 9f89ff 9c798a
992e1d c26628 ffd669 a8a986 a1e2d4 61a3b9 066def 746273
786464 cc8b84 dde1a4 96bf25 066e02 7dd4d2 1f79ec 76859f
d1d112 066e0b 5bb376 3cf3b6 c5dbfa ad39d6 d97bf4 716f71
ae5735 cc9436 22fe6e 89bda2 066ef0 797a96 c6a7ed 704f58
8f3e21 f14f0f 9e7e6e c3dd51 2be7dc 066ef3 91a5f7 60688c
974035 f24505 bbd30b 92976e 79a4ac b5dbeb 066f9e d476fa
e7ce4e 60cea4 769197 066fbd ceddf3 b89ef4 884069 d93356
8f3b27 e46b1b 86f65f 708f7f 0670f9 73628f c5aae9 fdadbb
937c00 9fa19a 73c853 cae6cb 067145 dca3da ea1de1 873975
d3be57 928a06 45a57f 82dbbb 067152 d5d6fa bc15b5 da75bd
ef6220 e0d4cc 715840 aaf734 7f957a 06717a 0abcda b32cdd
96e785 28ab26 067257 9700fa fcc4fd 932189 fb4bdd b5b1b3
c13e0a ea901b a3d0a5 659b8a 067274 9e87d3 852daf f3bcfc
fab6b0 9e776a beca26 3e7206 30f4fd 0672d3 82a6c8 981e78
a5a72e 85e29b 067429 71a690 dcd6f0 8f57db e77fe9 915979
637b00 57bc1e 99f289 06765b ac5cde e2c3e3 883d81 dd8d9b
a4a22f cee26e 067702 3feacc 5b92e1 b2c1fc 7239c9 b75270
dab772 067820 54fcda a6a8c8 720bff 9860c2 ae2d74 ed5382
e5b530 d1e2ba 067908 73a5a5 c190f9 964fd0 853b6e d56167
bd471e f39b3b 3affb3 5cbd9c 556267 0679fc cfb5e1 b374a8
934014 e9dc81 90960f 7ba799 b2dfd4 067b70 b501e2 ed89dc
984901 a28961 e6b611 ade9d0 6ca5a4 067bd1 4f5d76 c4a6f7
da6945 f6b53e 067be9 8ab1fd cecbcf 94799c 80475f b40c29
ddad9c 97e831 067c1f 40f7f8 a594ed 8852e6 a12f6a b1777e
908c86 83bd16 7dfd74 067e0e b637d0 765877 f68cf8 cdc0c5
b77676 ff5113 f3d624 7bdb97 067ee9 9f9bb9 6e5a7f ad0443
eac993 8bb80a 6f746f 067f0f 6eded8 6b21ff 983a8d ce6ab2
855819 d79c3d efde1d 6f716b acb6b3 a0e0fb 3d6384 067ff3
605a54 8dd505 068011 3dfdba 733ce4 a26cc3 e7aef1 de7590
8af639 59b632 06802c 793cce aa78d4 d4c7d8 972c67 be6a85
f9ad10 068239 38bf8e 78f3e5 7d859e 693afd 61517e b97bfc
9ad25a 068303 6fddff 2fa7dc 5d5969 9c1bb4 a17e83 f7cacc
6f5453 ad3908 e1b29d a78270 84a400 7cfd41 50bbd8 0685b9
d86e02 f4cb92 8adcde 0689d5 5d34ec 736977 9f999a b12932
e0c219 068b2a 5fffa9 8ab8a8 69696e decfff 8d1ca4 bc6db5
fec5c3 1dc815 068b37 808289 c4c9ef 6e2ce4 c774de 8d3e8a
efab86 c4e60b 069047 abebf1 535d60 9724a1 fb3ef0 9f8392
cdb640 97a39c 76edbc 0690dd 3059b1 e1d4fa 6e5d72 d22638
936829 b3a048 c9e833 7fc3e5 0691eb 77808e 1853d3 ffb4b6
954c11 dfddb1 7dc83c 069469 1bf0fd 6a7187 a9a5af b850ed
555f23 a5ce04 77d2fd 0696fe 812de2 ae3b8b fd4170 e5c9cb
8d9386 5afb1b 069729 7724f8 84509d c07bbb 9e1e4e ebbcc5
c18d6f 786c1c c2d769 a1efd4 0699ba 3b4aef ffb8fe bb407e
c44f46 b39c95 e39205 3bf088 069aca 6e707a dccefb 813a98
af150e d76d36 a7f443 21f0fb 069acb 4d49c9 936a82 f7a2b6
844f07 caed21 5dd188 069c5f 676b70 9a99a4 ffaffe d207bb
d1ea41 32d78d 069c6b a1b3bc 6640c4 7b628d de57fd d81417
725a01 d8ea40 8ab517 a1e9d2 069c90 9e4ce2 ff79d9 e02363
dadcd3 70e957 91a88d 069e2e 286659 9d14a7 ca5cc7 d4a3cb
b43415 ef6700 d8bd7c 79f7d9 069f7f a2b9e6 2047f1 8167a8
f8cc51 625d29 06a006 8edad9 1e62e3 737692 b18df2 fb8597
e9af69 52742b bce2c9 06a08a 4be8fa 603df1 936ec5 96276d
cc4017 866c64 bea846 96c6ae 31f7f5 06a0e1 4c56f0 5f5d83
7b4d4b d24d08 eea545 06a281 9cefe2 c3bbff 645d83 9589b7
7b5c53 efcb04 06a30a 89f7a3 cbc0fe 9048f9 af338c d484a5
e4a023 717d4f 7feea8 8daeac 06a3e9 3067bb d4dbeb 854363
909d15 c8ef09 0f750c 92d7c1 06a582 d899fe 5d585e ba56c1
6a5e31 7ca535 2bfc91 06a592 596584 cdc7dc a314f1 f94eec
d07a45 9a4806 9cdc36 5cfac9 06a592 602ffe 9871d4 e0a7e1
88441a 907c6d d19c0d a1f09d 06a6df 605fd5 605c75 cabdc6
d8291c d0d6b6 87d734 06a8f1 4f628b 1f48fb 97919c 935d61
f3d1bd b3d937 36713e 06aa1f 96bbef 9964df 844271 ed7391
b72501 eaac10 06aa6b 0ef29d 1b55e2 d4d5f6 bc96fb 8a668e
64564f cbbb56 96a99d 06aae9 bdd9f3 1254f1 a45489 fa0013
f68a69 7e5525 bde709 4a7a8d 06aaf5 7f3fdb a6a0a6 f9cde6
b3d817 497403 06ac6d 13faa3 9b71f8 7545ab f998dc a16c91
e85521 c9d370 b4edd0 06ac81 9d4af8 b664a2 f3a4dc a31a4a
f61b01 9b6658 b5d355 06ac9c a3e4e6 126f8f 835efe df86f0
fe7658 f8cb06 546900 8febed 06acfd 8a45a9 a58fa8 b73265
805d3f bbe02c 06ad39 35e6a5 575a6c a19baf c83ddb f6c7f9
a4623b fcaf29 d7e1aa 8b9491 92dfe2 06add6 4e6575 294aef
835613 aa9b2a cbdf91 377666 06ae88 8a7ed1 7c2fbf f1aec9
8e3a33 e18b70 987406 dccb32 badfd2 06aef7 0866fe da2991
de6f03 b7b88e 4af300 668464 06aff0 6a17f9 8a5698 bc0014
705c13 badc13 06b068 2e7964 8ceaf6 7301f2 de1fb5 c09cb0
decd2c 8bba82 168037 87e9f0 06b0ed 827e95 a70ef5 941f89
8d3e3e ce2e03 97bb54 aaebc1 06b29b 277377 bd48eb f0b7fe
816f6d a6451d f0b28e d07a22 99f81e 06b2b7 2a6dd8 4e5a78
a62619 bb861e 676761 cbdd07 06b382 b4ebe5 6462ce 9b99de
8e5614 8ce512 06b452 326d5c 989ec5 d1cfd7 8559dc 6b4d7f
af3429 c4e951 7c8c7d 06b643 5868f9 ce82be 6f545f edc2cd
f3b314 2d6910 06b678 b2deec b29bfa 8847d7 aa78a0 a33367
d29c90 a5e425 5a9d1e 67f4e9 06b6fb 0753f4 f23ca3 a63650
8ee103 3d7b10 06b750 22fee0 959fbd 4138ff 7e5eb6 9c3368
cbe135 06b84d b4ebdc 95a8a5 2c45f7 7c6db0 da91f5 aa214d
ecbe39 366f2c bee6c0 06b884 5cecfa 726c76 a617ab e452b9
dabdb4 4e6c2b 5efa3f 06b932 aaaff0 b44dbe 9b8c9c 9f0f6f
8a5202 af9365 e6d7bd 5c5a52 75ee36 06b9c8 39788b 8a44fd
7b4a42 e17f3d dad41e 92bf9a 51f7e9 2e838d 06b9d3 ac53ea
946f1e d0b978 c2f009 90a099 8deadb 06bbd3 6e63ad a80e64
3e8803 6df77d 06bc68 a9babb e4a2fd 8b06bd 756776 cd57c7
63851c 84e920 06bc79 d5dad9 8353ea ef88eb 9e899d 944e65
9b988b c1db8a 486945 06be0f 72f2f4 3d44ed 8a74ff 8f5885
d7aea9 8f5d50 729500 b4df5d 54fafc 06bfda 377e97 7833e9
e6a26e 89fe0b d1d8da 06c0f7 0971da 7f829a 943160 d62c4e
807b6f 137c02 06c11c ace3d9 7b71f5 aea4c6 700ef0 b43a90
9a3516 cde823 06c270 a4d8c5 6d6e70 7c23f7 be6cda f3a2fd
d3af9e 65810b 9dd315 076c64 9fecfa 06c2fb 9937b1 d7619c
f36c63 c5e025 1e8903 06c4a6 acd0f1 6b40fc 9883de 7a4577
a14642 c39310 d7db1c 92948d a0d5ab 06c4d1 666db9 73526d
8f461c 8b8076 da7705 f1c514 a1c0ae 06c4ee 3255f2 676f9e
855b04 d3cf10 9eceaa 06c4f0 1470f7 525d89 cb7fa8 f34069
d7770e 7d5e2d d0d380 8aa782 b1eadc 1f7f74 06c4f8 af3af3
f26420 e2dc03 5a5e45 b2dbc4 06c5d0 9372fd a60199 9d7785
fa784d 9f5126 98f606 6b7e78 06cba7 cbbefd 6a1fee 9f5fd5
f17404 9f8e79 7c6037 e2db5f 06cccd 1851fa 9a8af4 7363a0
eeca0f 60634f 6e9620 06d186 5740d9 ccc3dd f550f5 945392
f9a5a2 9d8155 06d320 626765 bddff9 8b0ddf d64bcd aa1016
bf332a c6d9bb 8ca385 06d32e 596968 1a8cc4 8516c3 ebb0ff
a5a81e 717810 a6ed60 06e1cf 5663cf 9797d2 8c3b5b eb8f93
e0dcdc c34921 06e37d 319596 a9badd a37aeb 5c5a5f 8324fa
dddab4 959011 06e82a 248460 85aca4 59576f 9804d6 d456ef
984436 de5c21 06f125 73ad9d c7d9db 0a6671 9c4ae1 d79dff
934c43 d3e66f 3bac54 06f1e3 2a4ef2 a591cc 706387 ff9ba8
874b4b b5da90 73a750 06f2ff 3e88fd 2143fc 836a96 e396b5
7e5c5c be4c0c fbae2e a6a597 06f4d8 1890a0 95b7e9 6540cc
bf8911 bcd17e 06f5dc 7fa7ba 4e6c85 2446f6 ab70f6 984049
fcbeb5 a16849 a8d627 06f5ff 7d8cc6 4856fe 5e566d 9e979a
c12f23 f6d4cb 82ad63 06f622 47726d 199bcf d3d3fe 8c21ab
c53900 dec529 1db679 06f7c5 757b8b acbcf9 c84ddd 7f454f
917940 8bd517 06f8a7 0eb39b 5c7076 7149a0 ee78fb f2cde9
c13704 c7b725 308a5f 6bbfa9 06f9ef 4c39fb 9f85d6 87578b
e8d2cd cf8e7c a64a0f 06fa23 9fb6f8 4252ec 5a5970 967ab3
b02c09 ea730e b6b2a9 06fa45 d3dbfd 977cf0 6547bf 8f566a
d33109 06fa84 73a58e 53635d cacbd4 6859fa 9d78b2 ef98fe
944d0a 7bbf6a 06fb23 6a7f7a 6538d6 b078ba fba4f7 ded5d8
c5e3b9 61bb4d 06fc24 6a727b 8214d0 b36cd3 f99af1 a32d44
c96001 9dd63d 2e7b5e 06fdb7 2cb091 975ce1 e7c0fb 853974
e06a57 9c520b 8cd909 06fecb 466867 79949a 9163dc debfed
905a28 c0dd88 39be16 06fef4 768990 175bdf 52587a ce84fb
b88c3c d2d10d 06ffce a1cade 798fb7 953bef 7f4575 ae2439
7d7424 c1c893 95eb19 06ffe8 4d9396 3f47ed f182fa 983f60
99604f ade782 48b83c 0744ff 7f6dcb d1b8de b10876 f3729f
a46718 d8bc33 9befbf 8cb09c 2b735b 1aade7 0746ff 795fa8
c8de09 7fa838 33745b 49c1a5 b0e8fb 074df9 b68ecc 994c8c
9a6522 ccdd0f 64bf6a 5efdaf 3a7265 074ef3 ed7ef4 ee3fa6
b72b1b fc5f12 c8ef08 3ff3ca 0750e1 be9af4 8a6fa4 c67479
b08241 e3c000 c0eba5 6ebea4 0754fd 766aab c0a9fb 7e4a4c
9ade4d 1ab29a 0755f9 8271b0 c097ff f8c4ed 962b68 f13b40
d3d21d 437d22 1cb75f c6dbe5 0757f7 a0a2af 5f5a63 a067ad
dd891e eacf94 706648 52ac96 b5e8e2 0758ce 72799e b2a8d8
bc4b1c dda12b e4dbc3 93a88b a2dcf0 0758f4 6e8cee 81647b
816034 c38e30 e1c782 76a084 b6d9df 075cbc 70707c b691f2
755303 d4b34c a3af9f 9be8ef 38b3fe 075ef2 926da7 c43e62
c39a73 b46503 f8d663 615f51 a4dad3 0763e1 8b90e5 813c78
526109 b5e842 42faff 25a6f4 0764b1 6b8297 ddaeba cf5d5f
efde1f b3aa2e 486a13 33ba94 a9d4fc 0764e5 9591c9 906076
d2b979 5f6157 32870a b7e5e1 40b9e0 0765f2 8c288e e3559e
a4af19 baf10e 75d8bd 24a59d 07667e ad69db ebbaff b7133d
b46f43 c1e700 6dfbc7 72bbaf 0768c8 727b94 b48de7 a10c58
7e5648 b94e03 e2ac0f aceb9d 0768d2 8da9f3 877f8f d0c1cc
a7564c ba9110 b0ea10 64fcb5 29baa3 07697b a172d6 d5bded
e3dad9 98e571 75aa65 076b44 319ef8 6d6d81 a019ba bc9faf
c05945 d5be10 a3f1b8 33afa5 076b78 8f82de cbc1f8 8a34cf
f2caa5 71901b 90c923 5ed8e2 076c7b ab7fc3 9f213d de7786
efb99e 2bcb0d 076f20 afdeff 4d67fa 9799bc 7e4e96 b36677
edc876 077020 08a15f 81f0dd bbbaf9 7b3cf7 8c72a3 a92769
6ad668 077211 16a524 747f7e a322ec eb59cf 94217c f3c0e4
667618 81f26f 1bb675 077258 a73ad6 dd70eb c4b2c6 9e007d
e8c0b4 adec1e 077506 2bcafa b94ecc a793a9 9b1871 ef4f6d
e0ab96 b2d830 077819 7ef1fd 2285f0 8aa4c5 6e13f3 956b82
c68023 edcf06 67b59a 07787d d7d6e1 a097c6 8c45e8 b0054a
e99576 7f5c20 7eef0a 5a605e 0778c1 77a3fb 958b9f e8cee0
ca7d05 67583e f4b811 c2dcb6 0779cb 81aed6 958891 a91177
caea10 95b24c 077a03 4fb196 a4deef 7d54f5 ac74b8 93325a
625e5e eed8aa a7ba42 077a1b 7aa9a1 bcdadf d081ec 97459e
655757 9d7320 e6c323 95e8a8 57af85 077a9f b0acd1 8412f7
9c8b85 6c5a44 d2d411 63982b accbb9 40b8fb 077bf0 bc1682
c2942b ebd84c 077c41 bcd6d5 6ebef0 9162f9 9a277d fc3990
9c3e13 acbf3d 077c66 92e8e6 5ea3f8 8617fd 8a669f ec81a3
feb322 077f07 7bad81 bfe1c4 4ee7fa 914dda ca76b8 883a66
a6d174 078019 779984 65f2d7 d0a3e3 d037d1 990989 676063
b6d819 45bc62 078136 32f2f1 5c5f66 b79cf9 b625e1 b28b9c
ebb198 a6b005 d4e92c 078330 86a5b0 bcd9fb 5f5c65 a04ec2
b08672 e4c55a a9c4ba 078492 1bc5e4 a666f8 840adb b22930
e7d306 627012 85a222 7dd092 0786dd c8c1e9 903973 b1728b
b88807 d5cc4e 07885e 3cfbc7 5ea8ea a2a9b1 855bf1 755a85
b43a21 e0d0ca 57c252 078869 bfc4ff 6541d0 74577e c473c2
b13d37 d29024 a6f49b 6fb98e 0789fc 86899c 705284 e5b7e7
85562e c7ac05 90b294 92f5c9 0789fe 6b6d89 5f2cff d3c4fa
e5e008 5bce79 078b38 bcb4eb 847e8b 7a00ff db3de5 863489
a81f14 d4e903 7bb217 078e63 2bd8a3 c3a4d3 804f8c ee2dfb
696020 949034 8bfe2a 7ca594 0790dd 5646c6 d9c1e4 ae2871
a7d909 079318 56f7ae 9f73ff 6d26ef 735a91 b692c0 d27684
c0ee82 76c21d 4b5f54 07934e aa13fa d276dd b72392 e9c1c9
918004 b2cf4b 0793f9 8d959b 5c6889 2a55d8 fec7e1 99424c
677a50 57d927 0794dc bfbeff 6a3cc0 8a567c ac8d99 f3c0c4
ad9b90 e3e62f 50910e 0bfabd 0794e7 afbcdf 7436eb 8f5968
857f7c 7f522e bd910a c1eb68 37cefe 0795c9 5c4fde e9c8cd
b3a200 457e1a 5ff2a8 0795de cac9ef 8700c7 a13766 d86a90
d7a780 60f005 0796e9 919ba9 cad6e7 692ce7 805a7d e70846
ef927d dae538 07980a 85a5f2 834efd 6e5978 ad84a1 9f2a42
935032 bf8739 969f8f 31e788 079db3 d2cbe3 8d3ffb 6e5379
ac3416 929b65 a5e224 27f6be 079dce 224aeb ebd2fd 715668
6b6665 68d25c 07a053 c7d3d5 a42aff deabfe 903091 d45cb9
bee022 58812c 3ad7a9 07a080 7f07db af58cd f188e7 ad157e
eb998d c0de0b 07a110 33fce4 3144f2 7f76cd ac92aa b53f62
bb3820 e1c249 a2a98c 1fffc9 647e7e 07a2ef bad1ef 9a26a3
944434 d5590f a29682 91ef88 07a3bf 2655cc 736171 e8c0ce
c7a79a 76bf26 488c29 bce6e6 07a3e3 2259df 60576e 8d8593
d5250d ffcd24 ac9f71 92f4ca 98b3b9 07a3f8 1c67bc 9a5864
6d5432 7c8b28 94d94c 07a4db 535f80 3c57f9 e0c4dc c09099
d7a017 768b70 7fe6a9 07a5e9 dbceff 7f4bdb 7a577c aa1b2b
e7a080 dcda17 07a716 cbe3e3 8891a5 5b5d70 6052e4 c07cff
d85834 bfcb5b 65e9c1 07a783 576276 9c57f3 e791d1 9a2c3c
8e4c40 bb9d5a f0d826 55ebf0 759295 07a7eb 186ece 61556a
b81305 877f5f bab22f 66e3d2 07a7ff 8897ab 4f6ba9 8c3e62
8c5140 ed9073 f9d95a cbd3d1 07a8e6 7957de 63546c a27e97
5d6942 88e161 07a907 8065f8 ab84bc aa397c ddc8d4 ec728a
aea609 597d1c c5e492 07a979 80d1d3 6128ff d247c6 7d5c69
fdd855 656933 9ea958 1bf1c4 07a9a2 bac6f6 7370c6 8d4165
ee881e 7c5304 9e9b7a cce09c 447165 57e0da 07a9b6 9449de
e2ce04 4f6b29 07ab3a a2cad2 2f5cf0 b787f9 9d1564 c05f97
665e57 a4833a dac240 a4dbcc 07abfc 1e68c3 8c91a8 ab070b
f2da5a b2b38e 07ac0c 09763e 1ee9de 742ccf 827f83 ed4aec
944e31 ffd0af 93f215 07ad09 3b658b 8b53fc cdbee8 d38c9c
daa086 b9d91e 4b771b a1edee 07add4 9537ee 992474 ec4a9e
84603f cdde5d 07ae03 5eded9 4e6271 9196c7 9654e4 f5949a
c2d003 82a028 3d7329 07b0f2 c5e1f1 974bb6 a11d64 d99aa4
eabb0d 167b36 35ee99 07b171 9fb8c0 5927fc bc4abd 685963
7ed157 2bf3f6 07b1f0 7a15ff a14fa4 a31a3d f00426 b9a7a8
f5d4ab a1e70b 07b239 177442 47e0ff 7943f8 da1a90 fb79b0
5c6b2e 6ef05f 07b267 a7aab0 5f3dce eaccf9 d074ee 8d5281
9e2b12 f6b719 07b26a 45f6b7 a3c2cc 5359da 9289c4 755468
eedf0b a9b041 498334 07b292 aad5d8 604c9b d77cd9 875f75
f9aa1d e3dbbc 5f8b7e 76ebf3 07b2cd 1269e3 7d527e cf313d
dccb02 07b357 0e7540 ace9e2 a5a4a8 7940e8 714f71 c561bb
6a8801 a4dc25 1a7150 07b396 61f0f0 6c30d4 c05ae1 7d5c83
d3ba95 afe21b 07b428 1d7740 65f2fc 95a1ab 7d61f7 b81297
937e23 abbc2e 91e8a6 07b58b 1e66c3 808faa fbacf4 89474c
7b4c4a a0978f eab755 1f9300 88f1d3 07b6f4 7c5fcb ac0a7c
ebceba 78a413 95e605 0f6d27 07b7c5 9c33ed a9146d cb6188
755747 e9a906 6e8402 7ef6e2 07b8e1 5a6ae8 961c7e e44183
9e5f55 fc2902 aad74d 07b995 745cac ed76f6 eacce5 a10064
c8e910 2d7e36 07bc41 a0a5a2 91e0fd a53dfa d56ac6 8a447e
e65619 8ae33b dbded9 07bc8a 698790 c592fd 8d38b4 a21854
9f4b1b 07bd10 1cf672 3a67fb 4c588d b491ee e4d2f8 e987a0
b01b00 a7a053 7bea04 427355 07bde1 8f47ce dad7da ed54a2
b68f6c 7f6119 eacf5f a4e8e6 8aabb0 07bdfb 2374c2 5b6272
854d23 d1ea2a 909c90 07be3d a0e0ba b653dc 766c79 ecb2e6
e24e44 fc9b2f 7ff6d9 07c09b 1e8081 a94bfe dab6f9 a71f2f
7e4f1a bd7906 fdcc44 9ef1b9 07c1b3 536474 2e6eee bb9dff
e6321d ebb7a8 b1c71a 07c1f7 1155fe 63548a f46eb1 ae5c6a
e23f14 d0e325 92f2e7 07c2e4 496373 924ce5 972d3c d67e85
b9831d 6d6450 a7a7a5 bae833 a0eef8 07c2f6 3e72ca 913c76
7f6957 dfd4be adf64d 07c44f 6a7597 4343eb fd83f7 ae9598
caca33 34a23a b5d5d0 07c4f1 6840c4 837099 a42861 bf8b95
b82e1a e76913 e0df8c 498a6e b5d6d6 07c7f8 565967 966ce9
cc2d2a c8df15 07ca7c a2efe5 6484cf a9b2de 8212e5 88546b
af891b cfbe72 a6edde 5d7f7b 07cbf7 177ff3 754488 a9363b
b61211 d1dcb3 98fc03 07cc43 4a47e3 8c7af6 f28dc2 aa6688
d2bdad 5c762e 93ee29 75ae4f 07cef6 0c91bd 4d4cc7 bd407f
e78d22 847a6d 07cf9b 526278 9384f8 9a18d0 e4d5e5 cf0321
9d9184 d4cca2 a8e925 2f8211 07dcdd 2651de 7a83f7 9f3c76
eace0a 36ad3b afeeb7 07defe 0a6398 8c6dff b093ab ad2e4d
ab2f0b e86511 abf335 07e1a0 1d7d68 8a9fa3 9360ca feafe9
c46d05 07e523 6b7075 5550df a67fe6 e8d3fb d49eb0 9b2b34
bd4532 eba41d c2ea99 07e5d7 5d89d7 5e49b7 855062 a9868f
9e3521 c4b571 abf00f 639c06 07e6d5 7615e2 db44e9 786e77
a5463c ced2c9 07e757 0a56f4 8185ec 76468a f6adf9 f0558a
e97711 e2dc02 07e7c3 66869c a43cfa 8a2992 e889ef c7125c
8e9e5a cae4b9 187b0a 07e82d 829aff 6346c6 eabadb c04583
8e9821 408b64 07ea7d ced2da 6e5b84 c338e4 e193f1 a9021a
e2d2c2 919106 07ef05 3e7159 a6a4fe 7f4eea 79497b e77aa8
e48373 c24923 07ef2a b8c2c4 813cfc 656168 b370db 872e92
c5ad35 c4e39f 107f21 11b1a0 07f0e8 5e5f60 8900c3 c454c8
b16920 c4c1a6 07f317 3b6b5b c7e1f6 931ff8 823887 fd40bb
b62604 d59958 e0de06 5c6359 07f3c0 3f7bae c1c9f1 97939b
5d5951 72900e 07f50c 57ad82 c2dbdc 1977f7 a6318b cc88bc
d99794 685b58 ab5b27 d1d661 07fceb 9bb9fe 817e9e be45ff
903934 ef3e22 e0d663 0cb97d 07fdcf 737a7d 1170a3 a9b6de
7f9e12 9ae32e 157624 07ffbf 0b85f1 f8bff3 bc2781 d77b90
f99a6b 65716e 07ffec a4a7a9 9cc0ff 812ab1 b763c3 e8070b
edb79e 797751 b8eb24 22b722 84e4e5 0847fd 5e61a3 af95cd
ca4308 46e864 2d815f 0847fe dddbf5 625991 947beb ba9fab
d9190a d3c94d 51ad71 95f0bb 5f7267 0847fe b0b0d5 9b70aa
f3b94f 696860 809c75 1c8304 16a7f6 0849fc cccccd c8459c
c9201d 76746a d7e66d 89a56b 9fcdd8 229fff 4c6c87 0850f4
ac7b31 e4cc1b 42de93 cbe0e1 0853de 8e90fb a8a0b2 695d71
d0785f 80482e 08f118 69717b 0853f4 7984f2 a29dbb f4cffb
936b36 c39f06 38fe8e 7092b1 0859c4 b6bbc2 5e5d78 f26b7f
bc5820 f9ce18 5dfbb8 71baab 0859e3 6a758a c6b9f8 774b4d
735e4d 91bb33 60880d 65e0a4 085dca e1d3f1 ce82ca f92984
aaa89c 5a5f1b b3eb02 099f01 3afaf9 085ddc f07ffe 915784
97430f f76909 fcdb16 4fe08f c1d6db 085ead a27cee 805e6d
bd9e87 fbd1ad 856e3f 9fd811 7fe9f4 0861d9 8990d6 a21f69
ee750f 927257 baeb52 6bcd9a 0861f8 6574a3 a2a5bd 8d3462
b09790 95c054 92fc04 367045 0862f0 7a93f3 b9548e f7b7d2
716c53 c3e853 769f0f 15ba83 28f3c3 0864bd fc96ea 8b366a
d9c4c3 e43b12 938a6f 81fd86 086672 559eeb 7156d0 a13235
bc4b09 a19079 84cf3d 35fec3 086961 4692a8 9423ab ddbfe3
895413 dab541 6c866c 086972 81b0f8 dadce8 a8a4ae 9a44d6
9f564e d19430 bdef68 6dedd1 086982 8b909a 6c7cf6 dbb3f9
ca5f22 21ff87 69b29f 0869cc d8cce1 80708a db8fec a90048
c61f05 b2b60d b4e2c5 139f7a 086a59 755af1 876d9a ff84e1
b2ebab 98a199 2aae3f 086c1d 8a46ef f762d8 fdb5df 795466
dcb3b3 c98601 85e95e 086c23 6f8a7e 16b8eb 0f65fe a32399
945a2b 98c61f 56eab1 14aca2 086c70 7b68c4 bf95f9 f5c8fc
b34a17 d8e81b 80bd73 17f3cf 086c71 7a6fd1 dc9be0 9a9396
feb8a1 6b6e36 daea05 70b131 086d69 b8defd a01aff c563b8
79602d 929c7b 31c814 8df8b2 086e73 7276fd 740fe9 c289b1
ebcab7 9a5607 d49831 086f5e a8c1d9 6794cb 913fea a39799
ca230b 74fb58 2cbb50 086fb7 899299 cdc9dd db94fd 963d5b
963406 97d837 38a435 21ffc5 087056 8c4be8 d1abdf bb619c
b58608 4e6212 62e624 1aae90 087075 ab9cd9 e8d0f8 aa1ce1
687e49 88ce5e 47fcd0 087276 658cff 692ae5 dabef3 ab9395
839f42 98ed98 087551 6a2bf6 a668f0 e0dae1 dd8dcc a0538c
e92d05 f18e64 d2e922 a7dbce 08756d 9d9ae3 ad17e2 a0222b
