# colors_mcd18_mld2_nc8_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Colorspacious 1.1.2
88e0ce 5783de 0045fe c4b5f7 a62c23 e37a34 e2de3e 65756e
07c1b3 536474 2e6eee bb9dff 7e4f1a bd7906 fdcc44 9ef1b9
07c1f7 1155fe 63548a f46eb1 ae5c6a e6321d ebb7a8 b1c71a
92f2e7 07c2e4 496373 924ce5 d67e85 972d3c e23f14 d0e325
a0eef8 07c2f6 3e72ca 913c76 b9831d 6d6450 bae833 a7a7a5
6a7597 4343eb fd83f7 ae9598 7f6957 dfd4be adf64d 07c44f
b5d5d0 07c4f1 6840c4 837099 a42861 bf8b95 caca33 34a23a
b5d6d6 07c7f8 565967 966ce9 b82e1a e76913 e0df8c 498a6e
a2efe5 6484cf a9b2de 8212e5 88546b cc2d2a c8df15 07ca7c
a6edde 5d7f7b 07cbf7 177ff3 754488 a9363b af891b cfbe72
4a47e3 8c7af6 f28dc2 aa6688 b61211 d1dcb3 98fc03 07cc43
07cef6 0c91bd 4d4cc7 bd407f d2bdad 5c762e 93ee29 75ae4f
526278 9384f8 9a18d0 e4d5e5 cf0321 e78d22 847a6d 07cf9b
07dcdd 2651de 7a83f7 9f3c76 9d9184 d4cca2 a8e925 2f8211
07defe 0a6398 8c6dff b093ab ad2e4d eace0a 36ad3b afeeb7
8a9fa3 9360ca feafe9 ab2f0b e86511 abf335 07e1a0 1d7d68
6b7075 5550df a67fe6 e8d3fb d49eb0 9b2b34 c46d05 07e523
07e5d7 5d89d7 5e49b7 855062 a9868f bd4532 eba41d c2ea99
07e6d5 7615e2 786e77 db44e9 9e3521 c4b571 abf00f 639c06
0a56f4 8185ec 76468a f6adf9 f0558a a5463c ced2c9 07e757
66869c a43cfa e889ef 8a2992 c7125c e97711 e2dc02 07e7c3
829aff 6346c6 eabadb c04583 8e9e5a cae4b9 187b0a 07e82d
ced2da 6e5b84 e193f1 c338e4 a9021a 8e9821 07ea7d 408b64
a6a4fe 7f4eea 79497b e77aa8 e2d2c2 919106 07ef05 3e7159
b8c2c4 813cfc 656168 b370db 872e92 e48373 c24923 07ef2a
11b1a0 07f0e8 5e5f60 8900c3 c454c8 c5ad35 c4e39f 107f21
c7e1f6 931ff8 823887 fd40bb b16920 c4c1a6 07f317 3b6b5b
3f7bae c1c9f1 97939b b62604 d59958 e0de06 5c6359 07f3c0
c2dbdc 1977f7 cc88bc a6318b 5d5951 72900e 07f50c 57ad82
07fceb 9bb9fe 817e9e be45ff d99794 685b58 ab5b27 d1d661
737a7d 1170a3 a9b6de 903934 ef3e22 e0d663 0cb97d 07fdcf
0b85f1 f8bff3 bc2781 d77b90 7f9e12 9ae32e 157624 07ffbf
65716e 07ffec a4a7a9 9cc0ff 812ab1 b763c3 e8070b f99a6b
84e4e5 0847fd 5e61a3 af95cd edb79e 797751 b8eb24 22b722
0847fe dddbf5 625991 947beb ba9fab ca4308 46e864 2d815f
0847fe b0b0d5 9b70aa d9190a d3c94d 51ad71 95f0bb 5f7267
cccccd 16a7f6 0849fc c8459c f3b94f 696860 1c8304 809c75
9fcdd8 4c6c87 229fff 0850f4 c9201d 76746a d7e66d 89a56b
cbe0e1 0853de 8e90fb a8a0b2 695d71 ac7b31 e4cc1b 42de93
69717b 0853f4 7984f2 a29dbb f4cffb d0785f 80482e 08f118
7092b1 b6bbc2 0859c4 5e5d78 f26b7f 936b36 c39f06 38fe8e
71baab 6a758a 0859e3 c6b9f8 774b4d bc5820 f9ce18 5dfbb8
085dca e1d3f1 ce82ca f92984 735e4d 91bb33 60880d 65e0a4
3afaf9 085ddc f07ffe 915784 aaa89c 5a5f1b b3eb02 099f01
c1d6db 085ead a27cee 805e6d f76909 97430f fcdb16 4fe08f
7fe9f4 0861d9 8990d6 a21f69 bd9e87 fbd1ad 856e3f 9fd811
0861f8 6574a3 a2a5bd 8d3462 ee750f 927257 baeb52 6bcd9a
0862f0 7a93f3 b9548e f7b7d2 b09790 95c054 92fc04 367045
0864bd fc96ea 8b366a 716c53 c3e853 769f0f 15ba83 28f3c3
086672 559eeb 7156d0 d9c4c3 a13235 e43b12 938a6f 81fd86
086961 4692a8 ddbfe3 9423ab bc4b09 a19079 84cf3d 35fec3
086972 81b0f8 dadce8 a8a4ae 9a44d6 895413 dab541 6c866c
086982 8b909a 6c7cf6 dbb3f9 9f564e d19430 bdef68 6dedd1
0869cc d8cce1 80708a db8fec a90048 ca5f22 21ff87 69b29f
755af1 876d9a ff84e1 c61f05 b2b60d b4e2c5 139f7a 086a59
8a46ef f762d8 fdb5df 795466 086c1d b2ebab 2aae3f 98a199
16b8eb 0f65fe a32399 dcb3b3 c98601 85e95e 086c23 6f8a7e
14aca2 086c70 7b68c4 bf95f9 f5c8fc 945a2b 98c61f 56eab1
086c71 7a6fd1 dc9be0 9a9396 b34a17 d8e81b 80bd73 17f3cf
086d69 b8defd a01aff c563b8 feb8a1 6b6e36 daea05 70b131
086e73 7276fd 740fe9 c289b1 79602d 929c7b 31c814 8df8b2
a8c1d9 6794cb 913fea a39799 ebcab7 9a5607 d49831 086f5e
899299 086fb7 cdc9dd db94fd 963d5b ca230b 74fb58 2cbb50
8c4be8 d1abdf bb619c 963406 97d837 38a435 21ffc5 087056
087075 ab9cd9 e8d0f8 aa1ce1 b58608 4e6212 62e624 1aae90
087276 658cff 692ae5 dabef3 ab9395 687e49 88ce5e 47fcd0
6a2bf6 e0dae1 a668f0 dd8dcc a0538c 839f42 98ed98 087551
a7dbce 08756d 9d9ae3 ad17e2 a0222b e92d05 f18e64 d2e922
97e4e0 60a9c4 0875c2 795370 e2818c 923d19 868f21 bbdc04
8884b5 6b4d86 ae03fb e7c7e0 9f7b06 3bea6f 08764d 1da981
6a7874 0876a3 7104f3 f188e5 7b5520 c8c907 0bb86a 69eace
0876e8 8c98c9 d9dcf6 b11e71 c5a9a7 af7756 6c5e01 68dd3a
5bf7e4 6b9f9d 0877cb bfaaf2 66516f 945150 e52706 dcbc7c
0877f2 646b8d beadf9 f0d1e5 7c591b 9d9d09 6bf36b 30b888
712bd9 cab0fa d74dfe 967999 f5b2c1 55d328 087b20 739973
84aba6 087b7f 773dd3 ddb9f0 cb6aec a81a1b db583e aaf236
087bcb 645174 e4aae4 b3040d 8e9054 8ac300 4b6d59 68efb6
acbcd8 7900f7 b456e1 c04e78 bbb24a d2ed05 087c0b 1cebb5
a6b5e0 7e78ce 62587a e45c77 e8c3be a2a400 c4f00d 087f1b
b4e7fd 8e7f9e bb30df ee79f8 ab310c c9bf29 0ec38d 08815f
72b2b0 0882e7 655373 b61c1e 9f786e fa4410 efb67c 76f0d3
0886ff 6815fb aea6b7 cf29ad e2a340 756821 ade8c8 4e8272
4bd4fd 088bc7 9f3903 c5801c fabb27 d7d3c1 789071 3f6352
088bfe 707683 414cd2 d5a1ca c22d22 fe6c0f 8ff46a 8ab585
c4d3db 6537e4 bd5fad e9d89f 9c9885 6c6a5e 088d08 26c233
79c7f8 6f37e7 704b7b b080a5 feb4b9 c0e33c 748e05 088d62
9ca2c6 dcdbee 742ef3 8961a4 955713 d3a439 8fe8ac 088e77
088ea3 afe2f3 663fbc d582ff 7f5c5a cd1009 fe9709 a0b3a7
a1a7a7 657379 088fe5 8114f6 ebb1f4 a44c35 e2824e b4e6cd
08917c 894ded bf93e5 ab078e e96e2d 7a5237 f0d981 b8ddd0
a3ded7 0891e4 504acc 814c77 a4829a c9530b f69d28 66745c
0892ee 524bdb 736385 c797b2 7f4846 558817 0ae354 cee2d2
d2dbf5 93a2df 794fd5 9e0175 9e6073 d8bf3e 089606 5de3b3
1757e7 8d85e8 746b84 d6a3c0 84424c d9dcbb 49cc45 089633
089899 a2ebfb b915e5 fc57fd eab4b2 657416 98c406 2a6a57
1748fa fd98f9 ca5dbe b29aa4 775b65 e5d9c7 7dd14d 089a2a
726092 b464f2 e88dd6 7e5426 96a531 bcdf15 58f8b7 089b75
777b95 b50eec ccaed2 ef60fc 765758 089e22 15e758 bfe1c8
45f6ed 6a4bd9 df6ed3 96396d d9c401 4a622d 089f33 92c99f
9ad4e2 a998f8 8712ea a152b0 d39f93 cfeb0d 08a03f 45635a
a9c1e7 6246af ab79f2 b45681 dcd2c4 fbbf14 6b5e3d 08a12d
43ddfc 08a1bb 2850fe 756a70 c4592a cbbe5c 8b9e81 cedcd1
08a1fb 555ae0 cfb9d9 9e6896 923950 f12f11 fa9b5d aeeabe
c6c7fe 6421f6 de43d0 7d5f6a b7a8ab 1e7113 28e846 08a25b
08a2f6 8f8ba3 764dcc debeda a12e5c f2908e aaea48 3b820b
08a2f7 5158d7 f6c1e8 9b6586 db4248 acbc0d adedbb 7eb095
286a71 08a3b8 d6d6e5 8446f2 b05e4c f58731 fadd1b 53e7a1
87eae7 08a4a2 6a0bfc 9d59ca d18dfb a70f75 f29a57 4c7048
23fafa 08a4f7 853dd2 aa076f d16591 e6bbaf a8ce29 368d02
595a67 959096 e3dae3 aa15ed e27fe2 fdce23 95d192 08a53f
88d9d5 08a5cc 6755f5 9f3e6a ad7f70 fa8827 cde294 51691b
ded9dd 884ee7 f979ca a52174 776725 9a990d 72ee80 08a778
8ddcfd 08a7fe 3363aa 7a7481 7d4f1f cd7700 c8df7d 8eab97
2961d4 a78cee d2afd0 89337a bf5f94 b20710 c6eb88 08a852
8bf0f6 08a8fe 6441c9 7d6687 f399b5 8f474d c6d145 42921a
08a9d3 c1dbec 6363ec 844a89 bb800c d4bf81 4e6540 858a81
2dffe6 8cafb8 1b718e 08aaf6 98371f bb7502 c8c44a 74766a
45f0e3 728fa3 08abfa 246dad 824d63 ab001c a98b58 aad510
bad0e0 7260fb cd87df 83398f c6567a 5a6826 08ac2a 18e967
ccdddd 08ace4 5e2bf9 949197 a73a9c d19a57 ded607 5b671b
b1e4e7 08adbd 6e5cc8 804464 ad210c af785b f4901d cbd993
08aefe 6d58ca ba85a9 973500 666052 499b4e 29fa7a c7cfcb
84888f a9b8d7 7f21df ab59bf e4d9bc 1aea07 08b021 47614c
a0eadc 08b0fa 7c4cf9 6b5973 c97f97 94962c bdc976 176c2f
367377 beb2dc 750ee8 e632e6 825531 d0a737 14fcbb 08b296
8eb0b5 08b2fe 6564fd 8f4d87 c3ba4b 838177 13750a 73f4c7
9bcdca 08b2ff 752df7 e23aaa 85676a bb9170 f9c71b 347e0c
2dfedc acc2fd 796a7d e315d6 a9341d b1871c d9cc50 08b37e
a2ebfb 08b3f0 7d899b 882aaf ab3231 ffb19d e36219 d3da06
b4e0df 08b4ec 2c74c3 7d4f6a bb778c decb24 989e47 59733e
a153f6 6c507d e079bb f5d2ba 8be810 7e8975 08b50c 2b7227
654eac af96cc f5cbf5 875a74 db9804 aadf8e 38863f 08b58f
c3ddee 4a59c4 9184b6 d53075 c8a7a4 556405 20f41d 08b73e
d7dcdf 9c71f7 c09fd4 99698d fabd1e 6b7f17 366850 08b77f
8aeffb 08b7dd 7369da 655770 a76c69 ce1016 c1a95b a5c4b3
60f1fb 08b9ce 8928d2 dc4880 a21e48 fca39a a8d921 658d14
206d75 c6dfea 08b9fb 7557cf d883aa 805e11 cbc29f 889c19
18f9ef 08bac3 1379ca 864a7a a71607 c87112 767c63 b3d894
869095 d3d7e3 cf82fe a239d9 7def36 1d750c 595a57 08bb57
08bbb6 7cf4fa 5e717d 5330fa 9162cb 93482e ad8232 c4e05c
6e8e91 08bbdd 9350fd 834996 c01e56 bc9331 dadd2b 9ac1b5
08bbe3 096fd6 585870 f2ced4 937a7a a03334 eb4116 89cb6d
695bcd afa4d5 934a69 edb8bf cf6e7b 556824 5dfc25 08be0c
08bfe3 6169dd a77e96 903d76 e1b1b4 b9e325 5b7533 6fae2b
856af2 baadc7 7c6291 904e57 af0704 f75616 fed851 08c17f
80a7a1 9beeec 08c1fc 5862f9 9d4791 df9135 dbca9e 5e6639
08c3f0 8d8390 a739ca d33b0f f6b601 84b277 176955 a0e6d1
3f7190 7a2eec e36de5 eacfe4 fb4f26 665b49 97e41d 08c4a0
08c5c6 3a778f 8326f3 bd71fd 96422a da864d eadab5 b1e932
4b605d 08c5e8 6c5ffa 88759a af4c21 d8ae6c cad4cd 8ba29a
b9b7fe 9f69dd 9a3d78 d06e91 e2c0c2 88f80f 5b7f40 08c75b
136ed8 e48ec3 b20f87 edd2d1 99691f 595f53 08c807 828d82
08c8d5 6b6bd6 9f7c90 a14610 dfc21f 5a5c56 7ead70 c6e0c2
666b6d c3def2 2760da a18df8 d57419 74522d f8bb0a 08caab
8d9796 cdc1e8 d976fd a43da9 695262 ffccc7 496d30 08cb1c
08cbb3 8b03e9 e9d5fd e83df0 9d5c89 5e5b48 a2e786 2a922b
08cbff 8177f1 615b90 ab86ab 824753 edc9c7 ca1400 83bd69
7196a5 8461d2 cdbde9 95486a ac1110 eb6748 ffbf07 08cc9e
08ccd6 674efd 9785fa 8b3994 b5766f fe8136 e0c5a3 2f691c
7f9a94 5a6278 8744c9 ebd7e9 e294dc cf3937 08ce09 aadfa1
b7e6fe ac96fb a543fe 675b66 c60908 f17148 d5dd70 08ceb0
1a67fe a8b0ee 9570a9 a70569 d2686d d4c6b5 5b6a1d 08cf04
a1a9a7 b7e8e5 08cffd 5b5f61 b35ebf f75a59 ba2e10 fdc083
8d9998 903cee a667af e7d0e4 ed8ff0 58620e 08d05d 25705e
909292 6528f6 ecceee cf8ad5 9d5ba3 08d10b b0dcb2 1a7b47
3f4ee8 9392cf 5a5385 f6c6eb 856972 b56320 08d11f b7dcb0
08d3c8 546285 983cf8 c27ffd bb2b0a e1a41d c4e29b 2d9864
08d3fb 7570d1 95869a 7a4f6f d2715c d7c193 bced01 4d6216
1854fb 8266a5 ec85e1 9c3300 71a53a adec6f 4e7056 08d7a8
08dbcd 2758bf 7b95e6 be5f17 ed9f26 909175 acf1a3 51675d
2ba2a3 08def6 6c5fcd f11b74 874f26 d68826 d4e77a 98c9ab
bfe8e2 598da5 8e3ff2 f1a5fc 795762 c34d36 a5b392 08e23c
08e3fc 8f93bc a656f1 6b5367 b9481f f97b01 e4d59a 12a687
08e4ee 6c9eb3 82549f 8b461b ca6901 b7a47a f7d583 5a6862
08e4fd 6b8fb1 1063bc 5c576e b52518 cf8b26 a8a892 b8e8d8
a5cdc2 08e4fd 19a0fc 5353db 787b9b c06965 a9081b b6b12c
08e4ff 26a2f1 2d5dbd 815e6c ce81a2 dc3d30 ded3c8 86d501
58888b 1f42ff 67529b c97dd9 f9c2d4 c32d54 869603 08e74f
3381fc 8996b4 f0c6e3 7f4460 9f7b7b 606a0d cce4af 08eb0f
08ebe8 635df3 8d8dc2 75558c 913641 ac773b d5b511 a4d4a7
08eceb 2f656a 97a2fe 8213fa a48a9a f7afa2 cb4e30 c6e823
319ff1 979aab d5cbf2 902bfc 953967 e9a694 e85617 08ed07
3493f8 3558ac f4c7fc b296a0 a9325e fb4153 b3d836 08f3b9
496e81 7a00fb c8b9c7 ed67df 84662f b0f10c 28b76a 08f59a
3e8dff 6f30fe 9e64a3 dcaace 6d7851 72b654 08f627 c1eac1
10b69e b3cdee 576cc1 b291ff 7c4965 d4e808 728c0d 08f8b8
08fae7 39a1ec 565edb 977e8a 854152 f5a598 d74432 9adb03
728c9d 1581e1 565783 d1badf 815d07 9b8b67 a8e520 08fbc3
0d99b0 c5ddf4 6a47d4 6b535e f0b6af b04124 ef6f33 08fc2b
c0c3d3 8c8bdf 8f0cbb bb3c8c ed988b 958b07 08fc37 437552
b2c7cb 2690ee 6f2ae3 d13b9c c98b89 95a123 18771d 08fc61
08fcf5 5636ec 997aad b03d66 fc9290 e6d815 536c03 20ae16
08fde0 9b5bc3 f48deb 9e265e 9ca21b c0db07 687620 84bd9b
08fdfc 6e43cc a477d6 6c4d77 f99abb c42b00 56cc1d 307759
2e9ab4 bed2e4 4a4de6 846a6d bb2029 f46721 dbb8a2 08ff04
515977 826ef8 d28fc2 7d5b55 c32708 f26c0b 08ff78 39bc78
bed8df 6e3dda f751ee a44f8a b9b93d 1e7b15 58a97b 08ffa9
0949f4 8977bb bda9ea 745663 c68290 f3cbb8 49e93a 34862e
b3d9de 0949f4 c8a8fe ab6bc3 a12b57 e6907b e4e249 6b7607
96b1c4 094de9 5f7abd 755170 a84c50 f7b4a4 a59025 c2dc09
18b4a3 094df5 857abc d8b8f2 bb7062 bc1407 f3af0e 56f2a2
5c7072 dadde5 094ee8 ac8afa dd91a6 a03536 89f06f 0ab102
094eea cfd6f8 a377be 7c5368 ed9aaf f2db96 53c32d 26853f
b6cbc9 69c3f3 094fe3 6482dd 8c8893 e89270 975b3f e4df41
9dd2de 5b8be6 0950e7 6d6a8d 765852 b9641a d2b93e 989d9a
0952f6 bc95d3 f1d0f4 976167 f5999f a7ee25 426503 69b411
44eaed 6d7d8e 0953dc a97cf7 f79cad 8f4e54 ab854c c7e422
0955ff 7d7bc9 c7bee3 99607a bf103d e18f53 f0e016 5cf2c6
0956cb b67def e6cff2 7d6a6a b62008 c58032 f9bf2c a8d0a7
4e616e 0956ff d2bcf8 b676cf eab638 776f3a 0af2c7 2e9a83
0957d5 b1bbf4 7981c6 ad496c c4a8ae f4850e 506c0e 7cfb8a
679ff3 b7c8ea 0959f8 898c9d 7d4a68 cf323b dfa458 e7dacd
095af1 918fad 635376 fecde5 9c7374 297e01 20ba1c 37fb6f
92f1ec 095bc7 a7aee3 8b5577 ac2725 b29078 f28216 edcc9d
6af6f0 5c9ae9 095cd2 82716f 992d27 f22901 f7a64f a6ab9c
095eb5 878dfe 6a6473 f296bf a45032 a7a156 d8dfb2 73ea2a
095fb0 887fff bcaff8 d985a7 f0cfb8 746c51 729717 17ea32
9ae5ea 389cf8 0960ef 555881 8e6562 be2c05 9a9f4a c4d743
9bbcc3 389fee 0963bf 8a627f c89753 efd41f 4b6343 30ffbe
096674 a9aeb3 6d3bd9 946fc5 944e02 f5d50d 0eaf68 11f19c
607489 0966e1 c2b4e0 784d38 fe7f32 928c7d fddc03 48e2a8
c4d8ed 0967f9 675093 b476ac d6c208 3f9252 45ffc3 18c39e
4ad4fc 0968cd 853b74 de5986 aa2425 d5c7b7 78a414 9ff438
25d1b7 8427fc ba73f5 c42898 c9d637 5b6a09 689c62 096a52
096b79 aea8af a713e3 fd9cfe a33743 e74117 86f16d d8e0d7
297cf7 b2adda 735f8f c8919a dfe44c 50990c a3e8b3 096c4f
57f0f2 636176 af1aea b888b6 fa8e24 cce89f 096d16 55a580
8109fe d5bae9 e431c4 d4929e 766605 8da83a b2ee9e 096d5c
096d79 999698 d01ee7 e4bdd8 814743 c0ec08 6db82f 6ef09f
096df9 6d9ffc dbd7e8 7b458e c57e8b a24e2a fdbb9c 9bb32b
096e69 8159fa e7c0f3 9e85a4 7d4a2a b47230 fdb11d 63cda1
7087a1 ce82fe b717de b80e69 dd6a5c dbd41d 097000 87c6ae
c4e0f3 7bb2ea 9868fd 894979 c56e8a a8a042 dada08 09700a
bbc9d8 6d5afd af7dc2 864a92 e17f69 eccf43 097022 72fbba
2eab9c a27ae4 715797 dab8dc a21e08 a2811e 73fb86 097052
8a949e 0970b5 549ff4 b6c5e0 f87f5e fcd42d 61643a 46efbd
6aabe2 0971e0 898d96 ced9f8 942c67 946b52 cdbb4c 40f3b4
097263 2bdef8 948bd5 812eac d0bc2a 93890d 0ea679 acdac4
77f4e2 0f6af4 ababe1 8279a3 a30063 ed5f65 ffc649 097317
097370 91e0e9 a39df2 766dbe 8b4206 b87308 f9ae2e 2eb693
097372 bdc2f8 ba2fd0 ad0409 e2501e dab70b 57fa9f 7b9984
0973b8 9ba7cc 5d5669 a72f34 b67c74 ed6a11 c3dd14 24e4c0
097469 c2cade 7316f9 f932ae f5cb15 5c7725 55be71 84f8b6
097573 94b1c7 770fe5 b64dc8 d51b25 d9af7a d0e620 61edcc
afdee1 706aeb c89dee ac7190 9f1374 e3e101 097615 43c25d
42b2ef 0977d2 dddaee 696060 bd5523 e3a40c 92e19e 8ba299
a5cce8 7651f6 9e6998 99225e f08c9e d2e28a 10ad21 097916
8bd9d3 62a0c2 6254a0 e19092 a22002 e5cf6e 948f1a 097a55
097a79 c438d0 ecb2d2 903745 ce381e 9ba76d bee2a6 42e103
a813d8 665362 dc95cd 90827b c7da1c 40b343 097b1d 9cedc3
bde3e5 cba7ee 8c72a4 8f13c1 b10169 d9984d 097d09 74aa9b
7df0f6 979597 d552d4 a4228b b00202 c1dab4 3bc335 097d53
097d8c c262fd 8b0cc7 fc9af7 cd3e19 7de570 87aa89 dbdbd7
d1d5d3 90969a 097eb2 661cf6 e293fc a42b6e 986c58 65c754
9cd1e1 3d668f 7a95bf 097eff 5a595a d00515 c5be56 8e8e7c
9a55e4 afa7ad f4d2ef fc86f7 774e68 6ea80b 8ae100 097f3d
c2e0db 097f92 a06afa 792dcb cc9cd7 cd5346 9dab9c 10f486
7ddbd3 098181 b098ff 8c4dfd 82444d f69586 d44f37 b9e931
732de6 8c75bc cb9fbe 8e5168 a8d82d 098215 26b67a 31f7bc
83afa5 1e99fe cbcefc 7126f6 b94aa2 bcab2d 09854d 23fca9
abebdb 5abacd ca3fee 912883 aca13e cee145 526a04 098564
7df0e6 098696 8da4e9 9931e3 fe9497 b07e1c 5b6232 b4cb20
859594 5b9afd 6e25ee 73648a ddc3e6 f2a426 098740 a4d2a9
098a87 762fd9 c784e5 fb8914 646e3a 86fb82 2bc381 d2d6d3
bcd7dc 5dc2fd 535b64 5c3ffe c453b0 e9ad5f 909789 098b1a
709595 5ccbdf 098bf7 475d92 d18a1f fad02a 696953 bfd3a7
505f5b c5d8ec a98de7 9734f2 d64499 e5c098 64bb08 098c40
98bdd9 098dff d81ca8 794a61 bb8083 f6b9ae afb60e 188609
a19be0 745ae5 cf5a97 a90464 e8d403 098e43 55c281 c6e1d7
098ffb 7232c7 cbadd7 8b5a92 9f3e04 7d9b5f c4e9ae 3cfd09
0992db 6532dd ccb6d8 a23c87 e47a0f 73f335 87b482 257444
a3c9d9 7f55ff 6a4f82 c385ee 8d4f08 cce14b 81a011 09967d
4ed2f2 0996d7 5e42f4 70667b f0c9c8 903d3e e97f1d 7a9979
0998ad 45d6fb 625e66 9902db f94646 973129 d6cbb6 a4f659
aa94bc b739e6 66526a ebbfcc 94c36b 5dff07 3b6d2e 099976
69648c e106f2 d990cb c83705 cad90a 91cc97 099b6d 1a6854
9ac1c5 099bf0 5460a5 605663 a2581c c4ac6d d6ea17 838885
5753cc cac7cc a97ab8 f49eff 95276a 6b6a22 1cd87e 099c7f
099d93 20637b 8871ce d7a0f7 946356 d93001 9ab774 a5f43a
ded8e1 8611ff db8fed da08a0 8d9b7f 7fd343 099e08 276928
a730af a0859a fb75e8 e1d20e 94ad82 09a012 446655 a1efd2
947ff6 831ce9 bda7cd cc4593 fcbc3e 555d46 09a056 bae6cb
2fe1ff ec30f1 b01087 f8cb83 446712 09a211 89918c b4c6bf
2f41fa b487f9 e2bae3 f41da7 db8c92 7d6554 87d958 09a21e
09a2ac 7301f4 a458f5 a95370 c10e0a eebba7 ad9059 a9f430
bec3ff 8361d1 a38ba3 8e3963 e1afa9 696300 61fc6c 09a552
18e5e7 1f7782 09a5e5 8525ed 75554b b2641d a2ab7f a8e602
a4c6dd 8a22f5 b355ac e2a49e ad030f d3e003 09a749 55746b
09a7a3 16effe 604f99 9876e6 b36166 be2400 c8c162 a4d4bf
397e7c 09a7f1 ded3e7 a315da e59b88 9a3206 9a8a09 98de20
528392 09a9ea 1750ec c6b8c6 b51909 af725e fdca2d 88f7ac
09ab97 5b5862 9a39c0 ce84e7 eed4cd 6f9e16 8be34f 167526
d2dbe4 3053e8 6a5e88 b29ebb 992e2c f9bc05 7cea9f 09ac64
cadbf3 8278e6 83648e bb93ac d7d905 416b10 09ae68 33e6ab
09aef8 2e62ef 535c74 e6d5f3 b8809c 7f584f cc571d 74f17c
1c4ce9 9e9def efd2f6 947195 f88694 3c7423 11ef2a 09af1c
773eec c6b6fd 9d7bcc 735084 f1c7d2 c33900 90e02b 09af73
6f9893 09b2ee 1873dd d9c8d4 a82185 a49554 306906 7ff438
09b3fd 8798ab 4573dc 863d64 f34271 e0b34c 42712c bce3c9
4d63e6 a670a0 f796d5 9d3758 deddd4 5d8b31 8fda5e 09b48b
5a818a 2346fa ba91de f2c5dc b33c38 df9c32 baeda6 09b78d
09b7b3 1179c9 f7c2fe 88545a a91f0a 9f8c62 bce101 90f4cb
09b7f4 cdd7e8 8253da a43672 e75fa5 dbba95 8dab1d 108e4e
46dff6 d440c4 794a6c a9310f c5c09f a4f656 748965 09b911
607b78 d5ddf4 7e44a3 c664ea b22b26 d3c94e 17f8b8 09bb93
6bf8f7 09bbf8 5367a8 7b757b d78125 7b5202 cfda08 9ecaa6
a4afc2 d440e0 8c338a 88737b dfdbd9 52f637 09bc1b 368534
aec9e9 857cd2 8714e6 fb7fa7 f2d7a9 60751d 09bd18 1a6b56
09bed7 6e6a8c b62bed 6f5350 d77760 a84306 f8c20f a0e7a3
09bff9 2259c6 9b76a3 9e4214 cc780c f6c011 b0c9ad 538970
475f62 818d91 c6c9cb 3b77e9 ef94f6 6c6203 09c018 66fa7e
91f1f7 09c0ea 7d51eb 973265 e7cbb3 9c928a 8ece3a 4e8b21
7e14f9 786582 c055e0 c6a5c8 973216 bbe5bb 09c15e 588363
8788b0 c1bce1 8d24a0 cb150f ecc8ad 957e68 74fd25 09c21b
9172a7 8f0ead fdb5d8 be0f65 b2b813 588402 52fd97 09c285
389280 09c8c3 5c5096 967dea a43126 c46e0c b5d565 9ff1cc
09c8d5 4a7683 cd1fed a08f84 d9c2aa 785e29 7dae34 88fa18
3c6a61 8944f0 b38bfd ffcbf9 e64ea3 984d03 99f148 09ca85
09caf5 6f7cd5 968a96 814876 bd524d c89126 d9c39b b2e50a
1d9288 8f32ce e5cde4 f762f4 894406 af7d24 99e14b 09cb9c
b2d8f5 6a676d 892e98 eb3dd4 c18c94 e4dcb2 1a8e15 09cc26
6f6ae1 ac9ef4 d4bcd1 b3158b aa7683 57600c a7ea04 09d071
09d0ff 6a23f4 9c5aa7 e984b7 b20f43 ec4d48 dfdbc6 90da51
09d3ff 136ad4 fa7bbc 8c4c62 a81f04 e0c546 639450 b1e0bb
0a6d6b c6d8f3 a937d8 df71cc 913830 db4712 09d55b 709d88
1e6c6e b8cff8 8c3ec6 b483b2 f6c5c6 be460b 829376 09d701
96a6b0 667280 3691ea dbdadf 4143ec a3371d a88a61 09e55b
09e6e0 c08aed 7d4aa6 f2ad98 953610 e25e18 b6f247 5f7961
248eb2 723ffe eab7ed 814168 d46c6d a9292f c7dabc 09ea03
88a5a5 2287b2 6a2ede fcc1fa b0324f 9c8b18 bbdba7 09eb04
4e7eed 98adf2 d8d8ef 695073 fb6d99 9e912f 09ef43 2d6e40
09f0ea 8550fb b792fb 906ba6 7e5304 c7e780 21735d 5aa08c
67717c b6b8f3 9853dd b02921 febfb2 b88e81 ea601c 09f11a
5c766f 0d4bf1 d4bfdb b371c9 ba2611 abf420 76bb29 09f3aa
2b7b82 ded4ff 7731c1 f743c7 d7014c f3a856 09f4c3 5cb199
09f5ff 4b7b83 a042f7 d87ae7 b02e4c fa482b ebcd12 92c4b2
09f6ff 7699c5 7b4ed0 714b77 b5a09f eb7c2b f9c580 26703e
909794 6572d3 7a557a f7b4e1 f47f3e 8c4213 adf331 09f7b1
bdc7fc c055f6 854774 f380b3 dcd6af 90a933 09f816 24864c
