# colors_mcd16_mld2_nc10_cvd100_minj40_maxj90_ns10000
# Python 3.6.6 |Anaconda custom (64-bit)| (default, Jun 28 2018, 17:14:51) [GCC 7.2.0]
# NumPy 1.15.1, Numba 0.40.0, Joblib 0.12.3
ccd197 67fe05 0dcc0a 128836 81998e 0292ee 0048f9 656365 b75ba0 f19dd1
ffc2bd e07800 725404 7ce72a 099e71 4d6967 97a3b3 ddd5fe 9934f1 c36bdf
d3370e 81bb0e c2e1be 376d56 099f60 9b88db 9043d8 873779 e6b9de ac7e97
fe7658 d4d723 546900 6fc7b9 099fa1 c9dcfe 5a2afb 8a45a9 e059fc b73265
fdc31f ade7a0 09a13b 3c625b 7b32fd 80429f e0dce1 c8a7cf bd67c7 ef798f
de623d 854c0e c4d9b9 73e059 6a6f6b 09a1f9 6d41f6 f0c9ff 975fa5 d98eab
6b5e5b bbaa71 d2e235 446712 09a211 89918c b4bafe ec30f1 a94593 fea8c2
c26546 ce9c04 f0d403 92f5a1 5a6260 09a287 b4b7d6 7a67fe 8d6495 ab021f
c16745 c2d69c 6ed226 09a585 6e6f91 a77cf8 8e2dd8 c796c6 fac8e0 a42d49
b2641d dedba3 a2ab7f a8e602 2d7e63 18e5e7 09a5e5 8525ed 8e2a8f a5799b
c5b92b c0ec92 7ee7d0 92a6ae 09a5fa 844aec 9f5ea0 9e1c59 c75561 f70214
b6211b d6761a a0e864 09a671 2fd6ac 3e676c ab8ffd d3bff3 851cbb a565a9
b75218 f7db00 706e5b 87b83e 82ebc5 09a790 860bf1 7e3c91 c349d9 ec91db
685808 bad20b 5d9200 73d3ab 09a89b cbdefd 7857b2 d18de6 9e2c67 dc5275
ed2d2b ff8c54 b7f406 4bf7ad 09ab99 6d64c7 aa88ff f2b3fd 744b7b 944352
992e2c ec4a0e f9bc05 09ac64 47796b 3053e8 9d87f3 6a5e88 b29ebb dad1da
b0bd07 bfe99f 197c33 09ad78 79e1d3 9aa8eb 5a596a 9b6fff 967ba3 9233aa
fad36e b6a736 446506 afbeb7 09afde a1dbfc 6f30f2 7d65ad 8a556d cc666c
a43900 e16909 c2cb77 3c7f5c 27facc 09b1a1 a4bfe9 55596b 9b7ac9 9136c5
9e4140 48ea04 91b098 09b239 69817a 4461e5 5c5672 b475b7 e2a3db e0d7da
a16305 ded69b 7db419 6d706d 09b272 316091 b6d2f4 bc96fb a24ff0 e990b6
be7063 f5bbad 9db93a aaf552 54ecf5 09b2cc 777688 9c00ef 9a0e8e b9101c
b11001 f7b361 696560 52914e 76f8c3 09b3a9 3d5d8d 146cf5 c9c8e4 bd8dec
c5642a dcddb0 8fcd2e 09b490 3345f8 6c6fc1 ad9cec e9aecb 7b626a af1a36
a66763 ffa28d bc3006 f4dc4e 09b534 bad9f6 2b68ae 8787e9 665266 c7a3b6
a4ed63 44733a 09b717 98a8a2 38ffc2 0c50f2 8e64b3 f174f7 f2baeb c20577
a91f0a e76e02 9f8c62 bce101 90f4cb 09b7b3 6d6d88 dab4fe c639dd 88545a
bc7942 735c0e d3b21a 88daac 09b7b9 3248e5 5d6497 8e91f4 efcefe 7f7c80
b4aaa9 f79805 7ddc86 389360 09b7f1 ced6f1 8985a5 883bff 7e4a64 dd090c
905728 d1ec34 8f947d 09b901 9ad798 1ed8f3 5f727a 790fff d932c9 ef8aba
cc3502 b2b129 b2eab7 2c805b 09b97c 2343ff 60598e 846dff f6b5f0 c275b7
c77473 ee2b09 7c544b f4ae41 d2cbab 83a7a9 b5e2e6 09b9e6 5e79ef 56587f
8f9d28 626e31 d2e2d7 3df67b 09bb89 5f8c8b 2f627c 7e1aed d3b4e3 dd33c8
b22b26 ca6d13 d3c94e 8deeb4 09bb93 607b78 d5ddf4 5f5478 9834d1 c664ea
963619 a6791b 4df25a 09bd7a 138566 c7dafe b4b4ba 8d8dfb 704db6 92839c
ab8200 766220 d7e59d 89db1c 09bdf4 6779a2 8f47ee 903462 fabdd1 e36e75
a1260e f6ce2b 989e88 cfe1b6 44a82f 98cad6 09bdfe 5f5f66 625ffa b96bb0
fccdba 5e6532 848e74 91ea0b 09bf41 48848e 9ca2fe 8d6af6 bda8c3 882d95
936767 de281c ef8e2e a3f58f d6d7d6 09bf92 3d7092 918ad3 7a21e4 fcaff7
efd7ba adc91c 555e3c 358c13 09c072 81898a a8d9ea 832cca 934784 e863c7
9a5a33 a09d12 c1d675 719682 b1dce8 09c0ff 5034fe 9b64ec 78528f e477bc
f36e04 ccb48b 88f816 09c1ee c8d2da 1578fd 435993 c874a9 7a5157 ba121f
c39f03 d2d572 577801 15fbf5 09c4cb 367f8f 8518ee b258e8 7a4e5e f06d7a
c5827e e0c3bb e75303 8dca62 88f1f7 4e5f61 09c5f1 4d92ad 8647b6 af1b2d
9f5022 e57817 b9f338 09c778 1b7466 8875b5 7d2ac1 f196f1 cfc4ce b38598
d5863a c7d724 09c88d 1dffbd b2dce4 7895a2 6163f8 6d569a dc91f4 c1103d
834f3f d2b409 7d8e30 09c88e 0f9384 445f68 afc6fa b985fa 804fb8 dcd3d8
93a727 a6ef7d 09ca9a 6a7a7c d3cfe4 5d3ce1 a567d8 d09df2 86488e ba2637
c58e6c 8fd109 3e6c37 64ff93 09caab 7d9bc3 e0c5eb b615ef 9b117e d63883
ac7d65 e96d0b 706329 c8ef19 85d070 09cafb 4f8eaf a516d4 a41967 e5bcc6
81551f eb8809 edd851 09cc92 535d5b c2cff1 9b9ccd 766ef9 c0229e 95878e
ebbea5 6b5a00 09cd3d cbdcea 576c9c 9375f4 c9a5fe 8d16ea cd84aa c8345c
ab3705 9f9624 cec70c d5ddd5 09ce82 418a6f a8daff 59606c 8b86c3 8b44ca
f64b06 e2cf0f 9bd78e 09cef7 478ebd dbdbe0 594fc5 a24f62 bb8e95 b9191f
9d2922 ffcdc4 9f7f29 a7ab7e 09d106 5a6f72 b5c7ec 782df3 ac73fc e565ab
cfdf35 8aad50 558346 a1eecf 09d5fd 634cbd a874f4 5c595c 9d6f95 c59cb9
afa693 4a6141 c1e6b3 169619 09da52 189aff 7d878f 5051fc a002a5 efafe8
e4cdc4 c8460b 7b5f4d 8f9570 a2df5b 09dcf9 4d6576 953be6 d06afe f968b1
7e5e3a c27113 a3f905 09de70 486067 6a78cf 96a2fb ccc6e0 95919c 8010f1
ab7314 575d3f 808b69 b8ebb7 09e431 9db6a2 448591 2f4efb ddc3f9 d47fed
904200 696051 e3de0c 0bb732 09e78d 818d8a 3b7185 bad1e6 c28cf3 b81cdf
f96914 09ec67 d2d3ff c395ff 8220fb c834b1 9d1e52 b2848d f7bdc6 cf011f
ac7546 efdb21 09ec8f 748280 9bb5b9 3a7ea0 6f09f7 d0abfd ed0efa 973c49
e0d7d4 a19b02 3c780d 09ee10 20a06d bccef4 969ec3 9156f1 a61591 7a4e62
bfb888 7b8805 396721 09ef2a bce1e1 9fadbf 6995d8 465cdb 99317a da527e
884832 dd5c26 b7d20a 4dc67b 589471 b5ebd1 09effa 737080 a496cb a145fd
b02921 febfb2 b88e81 ea601c 09f11a 86a1ed b9c0d6 7013f8 9853dd 9f4481
e1660a e2df04 59693c 9ac27d 09f1cd 617bd0 7e23c6 a796ab ed9ef6 974f78
ab826b b0ce05 227724 09f4a8 8ba4ad 4ca2ef 0c65f1 78708a f3cbfe 843396
e9a681 b76402 e5e117 416c5a 09f5d1 1ea0d1 afd1ff 9832e4 8b898c 9b1381
a78e4e ede013 7a7b78 09f6df 8ebfec 6a82b4 9f2bfc 893e6f ff9da4 bd1d1e
c18e83 9f4a0f fd8211 d5caae a7f916 376a58 09f6f3 5aa4b7 75678b bb13f4
f47f3e 8c4213 adf331 909794 09f7b1 920ef8 cc4ddd 7a557a f7b4e1 cf4155
c7ac1f 2b6e32 7fca97 09f8ff 0d5bf2 a09bda 7872aa 89376c 98838c e8155b
c99328 7d6325 a7c994 09f931 186b5e 7c86e7 7546ba f8a6f8 9a8f97 e5d9de
a3e405 88b03d 238447 09f9a1 6f37ff b698df 8f62c7 8a4170 f7cee2 cb778a
90837b e2d61a 496241 2fae14 95c78d 09f9e8 8c0afa b04fc5 a9007a f179cf
e75425 ae9d7e 9adf51 09fbcd 15afb1 3f3efb 7270d3 eebefc ab4579 bf0926
6f7f24 8db02a c3e5c1 09fc1a 33654f 239571 8427f1 b462f4 e18dce 903a7a
b2690c e29c41 dee83d 09fcb4 60a893 26685d c4ccea a995c6 832df4 8866a7
c33718 f9cc05 93a642 a7d8a2 548b69 09fefb 62b3f6 ac0fc0 6b5263 d761a5
c35808 dddfcb 09ff0f 7fab81 136d56 958d9b 9700f8 cea6e3 c059dd 834c80
7b8636 a5ad9a 71cc5a 09ffba 4f959a 562dff 7853b2 d470fc eab7e1 835165
a28383 ff8215 f9db44 bebb8e 187035 b9daf4 0a46fa a09edd 7269c4 914676
8f7865 89510f c0d70c 7b9e21 27e08a bbe8e9 5975b6 0a47fe d993cd c21083
766763 cc8e54 baf21d 28771b 129f94 93c0f5 0a4ced 8574c3 913978 feb9c4
faa48f b57d6e f96027 a2f713 0a4fe6 5977bb 68696f d3d2d8 b69fc1 a91f3a
fcd2a9 8ad736 516c43 199718 47eae7 0a50f4 909ac5 8367b6 8b5b76 c49496
ca3700 f98428 887b6c ebe131 92eda3 0a53e0 7d98e4 666392 d1c6fd cda2af
d0281b ed7a53 f4c79d c5ea0b a0d7df 66a2cd 0a54fb 555683 b2848f 94575d
8a7502 97a650 3d7551 c3cbc6 31f77d 0a55fa 85a5f4 f8c7fe b52f8c ee56b2
f1b59d fa8229 7e5d30 a6f911 1e8ff2 8eb9fd 0a57e7 5b528c e2d1e6 99939a
d0e7ad 84e522 90ae81 4ba7b1 0a58d4 9779f0 c9aefb b12c7e fcc5de ed2e36
fcb72b 696b5c 669a46 6aeb99 29b99c 0a5ad8 bcb7fa bf70ba ab1784 f0d0e1
e35a59 994f14 d9c17d c4f113 949996 9de9d6 29c8d8 0a5bce 646d7c 6889c6
d36c06 fcae30 e0d1b3 81ae72 58c9e6 528be3 0a5ce2 866188 a2939c bc1d48
ca5050 d3de39 94ad0e 29b391 46e3cc 68727d 0a5cfc beb2fe 6e4a93 ae7fba
b76936 e5a534 86af80 b2dfac 78f2fb 0aa9f2 0a5db1 747578 b5a9b7 a52944
9b5a3e e6610c ebb405 95b687 a8f19a 229f97 0a5eef ae87fb 6f4f8e d0cdd0
a52421 ed4f05 d8dc52 98a07b 6fe5b0 cde1f0 0a5eff e196e6 685f66 be5ca0
f28987 ac2402 f5d681 757454 3aa502 75e6cb 0a61fd b9bdfd 575680 b088b4
b29780 ebc03f 789701 257737 41faa5 5a9cda 0a63ff bbbec6 8f2ca5 7e6a7f
a61106 dd3c05 edcb2d bceaa5 78dbe4 30a5fb 0a64c8 6d627c ec7a9a a25253
933b00 896e54 cb811b fcaf13 dad894 6bb596 48647d 0a64fc b7b9e2 8786bd
7f4941 c0e13a 668710 6bbb60 66faca 0a65e7 9b88fd d198c8 aa0473 e54b8f
a05b08 6b634f c2b31b 888e80 aad2af 30ecea 0a6672 50a0b0 7e03f6 9f53cf
a32f2e d55a02 f0c00c 8c9467 c2eb9b 0a6864 67a2a4 49d8e1 cd7ffe a25cb7
bbb1b0 e32d14 7e9b68 b5efb4 20e83e 0a695b 6a60fd 775495 fdbffa c976be
ae8b88 db4e32 f29105 eace7d 8ef3dc 0a6977 769fdf c1c9f5 a90be5 96464a
ad1d0e fd8f1b 8c785a b6a47b e3d5b1 4e9697 10e3e7 0a69bb a489fa 7e4074
ad8368 fc8620 ae5a05 c7ed71 88caaa 0a6a61 438f9f 7b58cf b382f2 f2c4ef
eb5e1c 9c4516 efbe33 607b62 62edaa 85b1a1 0a6a76 ddd2f7 c399ee c240e2
a13a3a df4a1f 8e8e87 ced335 81c480 38f3e9 0a6b6d 991cfd ab56ae dd7ed7
cd8d82 f8bfa6 b75c0b 82c711 3f7152 d6dde5 519dfc 0a6cf9 9387a7 714a75
f5d1b3 88740a b8d144 5fac61 9ee2e6 0a6cf9 714496 f181fc ce5a9a 944549
70851d 93e157 0a6d49 0cfcc3 26b1a2 d8caf5 a434dd f268f0 ab3c84 f9417a
cb837e 90ad11 cdde87 0a6f2e 26faff 6c9ad0 0c6ffe 6d6d76 9040a4 f5b2c4
916a61 953c00 d1661a eab80d 86be7f cbd2cf 1fa59a 0a6f83 4ccef6 8a47ea
a12615 fd340c 936e5d e3bb20 7df7cf 0a6fff bac8e6 5f6a8e 928dd4 f67894
9d2f20 de4501 a9aa5e cdeb44 24f8b1 0a715d 2c9c87 9dcccb 6f60a8 ea87fd
f99f64 f8dc0d 47ddb6 57a898 0a71d9 9c97cc d6c8f8 884479 ba0e21 da5c62
b03904 d4790c abd41b 77b48d 95e8b3 0a7258 7e7791 af50e3 cc94dc f7caed
a03703 765f52 feb020 5f9646 80f1aa c3d0d8 5aa9f3 0a74fa 415b8b af8c97
bad657 5faa17 0a7533 57f7c1 a2c0e4 567ff6 8e84ae 624ea1 917078 c39ca0
b99184 8e410c c66312 c5c579 0a7754 9ceadd 6697ff a3aecc 7062bc 837087
ebbf2e 959775 20f6a3 4b7672 ccdce6 0a77fb 9aa9f9 a12fa0 e96caf f9132c
c7c5c3 de7809 fddc00 666335 88d26e 13edff 0a77ff 8d2591 cb84c2 f51b6d
b96401 797051 adde21 6bbe67 68fbce 0a789b c736fc ef85eb 893c62 a7979b
ae886b f49d4b 5a5b57 0a7915 b6ebcd 86b7b0 74868f b489fe e0b6ff c417bc
bc4108 fdd2aa c2e125 7dad6d 0a7a5a 68cdc9 8477cf bfa1ff 8231a1 a47d8f
ccbcb8 e6941e 587724 bce683 99effa 18b9da 0a7ae8 938f96 79438e 9c4160
f9bfaf beee24 7cc143 0a7b24 3ae2fd 6d00fd b694b7 d843dc a00f9e 866f73
8b3e35 c34d02 e98106 ddd9cb a2ea61 6c996d 0a7b8b aaadae 9c3fda cb8dda
decd71 a2ab09 0a7d2f 9eeacc 729ea9 c4bdef 8108f8 c07afa b43dae ec467a
8c8281 815945 bbae9e 649c07 9be72b 0a7d99 a193e0 9f33f9 e5d9ee 962864
dd918a a62a0d cdcb3e 919a0d 4ff0cb 0a7f93 c3dcfe 8a9fe6 9741fd 7d6062
8d8f0e bbc82f 576618 8ce1b3 88a4a0 0a7fa0 a873fa 8724fc e394df ba5c65
b68676 835e49 d76104 ffc86c a7c9b3 6bf5fc 0a80be 6eb3ed 5a6476 9c96a8
c13837 c6953c f6c768 c2e1c5 4ee2f4 0a81fd 2660a3 7a8db7 b1aab3 706473
983700 9a9b2a cadab0 93f743 0a8251 13b599 9e9efa 706076 aa47c9 deb6d9
af4407 8d8c5c 0dc40e 52ff6c bddcc6 0a8393 9686e5 790ff0 eeb5f3 875557
e8ad11 afa686 94f7a9 0a872a 50abb7 5038f7 8977f2 72539c e1cfe5 9b6e79
dd6665 147d23 13e863 0a87fc 9aa0d3 6634f1 922286 94657a f9d0dc b9a5a9
b2290d f7b298 899901 39f80d 0a8856 88aedf d3def4 5e5c66 8970d2 bd8096
7e4b47 e1e431 32870c 30d278 0a8cee d0d1f8 5c3dfe 716690 b09dc2 c07788
9b5907 d37e05 9ff457 0a8e5c 416161 4fe6fe 88a0f3 857da5 813ecc bdb6ba
b4732a b5ed13 6ed07c 116b51 0a8ebb bdb5ff 8127fb 745379 e0c8db 9b898b
c30504 d48a12 cfe6a9 61f501 548a5a 0a8ef9 9fb2e7 867ca2 75459f bfa1a5
c67f73 efd2ca b5e269 71b700 4d605b 7ed6eb 0a8fe4 8323ec 8a7798 c50412
a55a23 fad01b b09701 a6c378 578269 80d1d7 0a8ffd 3b42f0 845796 e4799f
a34c01 cba946 e3e025 4a7f5e 91d7b1 0a90f1 3a51ed c8b3f1 9987a9 665471
6d605d f6cb76 b39d10 448230 70b69f a5e8ec 0a90f6 5536eb 918bad a1108c
ab5206 bb9c08 d1d261 859a70 68f8d7 0a919b 0ebfeb 7707ed b850eb 725b64
ec7768 e4cbb6 6d5e4a 85da1e 0a921f 16bfcb 515d72 5851f5 ab78ff 9d7c87
8c4d4b d03609 c1ae42 839362 38ffa9 a0cac0 0a9394 554dc5 dac1fa d76ceb
ae3200 b97942 eda708 c6e38d 85a28c 0a939b 68c2c8 745ae4 ba86fc 7a4e50
a34615 f55e0e 766959 dcd66d 9fa576 77999d 0a93ca c8dee7 85bff7 225baf
f5c4a5 ef910d a29786 c1f14d 3c833c 80edea 8da9bc 0a93f5 2f5adb 9a2a66
947372 dc8944 f0d5ba ab5e09 b9e256 72bebe 0a94fd 0f66ad 6f8aaa 5b586b
92574a dad525 6fa22d 0a95a7 d6dee4 9dbde4 5c4daa 8d73fa 695e6d e29c9d
be230f da720e 71715d c1e6bf 1bf940 8aa38f 0a95e0 3554ed 54548e d1bbd2
e3c03f 565e3a 218f16 98e8bf 0a95f3 9aabcc 513dfe e7d6fa 87516d e2728b
d01702 db8601 99f332 4d634e 0a9a60 50c7a9 848da0 cdc5f9 b37de7 983c9b
bfce7a 698514 80b300 94e9fe 0a9bd6 1b51d8 765d7e e7a8bf d4727f 974047
c15b49 f79e6f 8a410d ecd500 b0ecc1 0a9ddb 5d5fe9 cbbee8 6f5664 a9959c
dd7c0b dfc934 276b25 b7ebbc a8b6ae 6dcbeb 0aa0db 1d4ffe 9a4e85 ed0e5e
d5bcb9 b86e1c 50f323 0aa36c 626c6f acbee6 8a49e0 b578d3 8b2d89 a9252d
8e8423 aabb30 3d6c49 97caaf 0aa378 0b61f2 febafb e16dba c12a85 a90005
bd9c3d f4dd53 99ecb6 87b498 6e7b74 0aa3bd 5262cf cacce1 77567f a4183a
7a6a1a f7db21 bba504 5af2b9 0aa485 257268 bac6ff 786daa a788ff 8021d2
993428 f6c048 7c8466 0aa513 83f8ac 4e7073 d2ccf9 a127e1 e868ce b19fa3
ba522a e28c3b 59fb6f 0aa784 5b6264 8584a4 bfb7ec 754497 ac42f5 f4b7c2
a8580b bcf30e 82b911 57d78e 0aa868 1c7866 ba9eff 6827e9 937ab3 e0cdd6
765a2c 95b305 aef439 27e48f 0aa876 46786f 9938fb 9c018d bf51ad f782c3
c89f98 e8dcb7 6d683c a3d302 0aa90f 3af4f5 ad95dd 8c1dd3 9e0672 b65680
954832 d25102 a08469 c6dec6 4cf360 0aa9ee 116dd1 f6cefc 695764 adaaab
b78c8b 52672c 44ef30 0aaa2c b6b7f8 8d75e8 5a32ed ac3093 e6cbda 83676f
f94e4b ba0a06 b1aea8 f3af24 a9e5f8 0aaaf3 2063ee 667098 8a8286 73555a
d9b276 cce013 4a632b 0aac0e b7e7e4 206d79 b1aafb 9502eb bf51d1 a69aa4
d78503 efd2a2 bcdf1a 5f8c6d 69dad3 0aaca6 395ddb aca9f6 9e4980 a91631
a24d17 d2de3f 7ed995 91a69c 0aaec4 d2deff 5b29f8 8b68de 755365 eb5a5b
c32725 ee7a36 e6cc0d a1afa8 35fa9f 72807e bfe6e1 0aaecb 3658dc 982677
f62a07 b1837b c2ba4d bde0ae 7adee3 0aaff7 688a9d 3d66ef 5b5893 b32440
c2bc34 585b54 bfed9d 288933 87bf8f 5eeef6 0ab0d5 755acc a12281 aa7386
fecf17 c4a114 67590f afbaa2 10ede8 0ab0db 3b78bb 92888d 9a3c6b e43255
775830 ddb62a 818f06 88f49e 0ab187 3e7b6e a8acc7 582dfa 6f5c91 c360e5
a22401 8c6a53 dec17e 8aae1c 0ab1a2 4d6d77 c8dbef c1a9f6 741dfe de31cd
b02e12 e65a34 aca586 dfd66f a2ecd5 0ab1b5 cdc5f8 7151f2 6d517c a15e6b
fbd190 7a6c25 839f1b 0ab1dd 92ddfb 6275a2 295fe5 893e68 ba6376 ed8a96
9c3b03 adec91 0ab215 0d6a4d 9db1ad 788587 755e8b b42df7 f4bbf7 ed5ee9
e43823 fbd980 9cc01d 0ab28c 8ae6e2 3c59be 857afb 9b8ab2 d6a5fd 886375
f1d5c9 41f034 0ab503 0b8516 b7c3dd 7b32ed bf84db a50677 9d6272 ef8794
f78f87 c06116 e7db24 c6e7d0 357f78 0ab6bb 4ee5f7 9e64f4 783ca9 b4023a
adbd95 8fef35 0ab71b 737a96 7531f5 674c8e a468f8 e78dda ebd1e2 c02f5a
b80c00 6e9165 3eef30 0ab818 3a6847 c2e2d2 1f64f0 ed97e5 9b5c8d b5a5ac
955603 c08129 c2bd77 b5e604 4f8f6c 51fbda 0ab8cf 1f52f4 7f6eb7 6a515d
f6d788 777802 a5af10 0ab98a 0c7268 758f98 c0cdea 8a34f9 ab76d6 7e3e96
7e531e d0e727 7ebd3c 429164 82e9d7 0ab9b6 4e5d5e 7f55b9 b378f0 f9a5ff
ef7800 f7d954 5d6503 b7bf8a 659281 36645c a6dfe5 0ab9f9 2966ea 9f669d
e17e4e 705d21 eebf12 d4dece 6e7a76 92beca 3a91ac 0ab9fd 35607d 9337ec
e15c1e ecd8c9 f2ac2a 0abb7d 0c6a58 cad6fe 6b29fe 9d60fd ce92ef 9b6690
6b5853 f6bb71 918970 b9bcb4 3e720b 43aa0c a6e0f5 0abcfe 2b81f4 c2599e
908984 aa660c f4d102 3c694a 0ac057 67f7df a4b7ff 7457d5 6a5f78 f277bd
aa8681 ef4400 e59e69 d2d90a bae5cf 0ac0c5 10728a 9359f4 6e00fa ae1742
dcc2a0 69695b 8e9b42 abcf2f 609590 7ef0ff 0ac1e6 1c6a7a c334fe b90521
edd7d2 616050 199137 0ac43d 2bfa7c 868c8e bcbad3 7751f1 bd78c8 80416e
ca5d03 bfbc3c 646645 55fea7 0ac6a2 8699b0 4d80c9 abc3fd 6e35d7 8b5579
7c4c13 e0cb05 93ab46 a2e9d0 147458 0ac8cf 7d85d8 726c86 6335f2 c4838f
deb0ad ac8878 757a14 78f718 0aca3e 1e696c cfdeed 9599ab d11ae6 ff6efb
ff7052 e6d248 a0c9c9 0acdfc 5345e7 8a79d5 6f6975 84358c a39094 dc072c
c03a26 a2817c d4b291 0acf01 a7e5d6 2a8ce2 929cb7 504fbf c9b8fe 984f78
ac801f b8a980 f0d232 426742 adecd3 0f8b8a 0ad4d9 9c87f9 7353f7 e11d75
536731 669337 a8dda6 0ad81a 7750e3 ded6e7 de8ee2 8b2e8b a79ea2 876f74
8c5e4a d24700 9dfb01 0adc61 96a69e 2d8286 d5d5e3 7240a1 ac5ff0 c99fe3
e3240c f08f41 cceb02 7a8776 0adca5 5c98b7 b2c9f5 ab1cc0 785a7c a5222e
e4691a b9a889 7c7559 d9dbca 93ed0b 0ae2fb 77a2b8 7814e7 b946d0 ac1f7c
c5bfb8 94790b 92ea26 6bb567 7d8a7e 3c6741 0ae3f1 4165e3 6b5d7e d675b6
c1a88b 8f7e0c 0ae636 676d69 3f8fc7 8f98a1 a5b9fa 2b46f2 d3cddc a41586
73630e 8f9324 cae6cf 0ae975 a4b3ac 277c5b 934ed8 d96fc8 912e81 ffb2f0
b84e21 f37b18 d3e168 889383 0aead4 3a798f 7405f7 ad4fee d593fc 715a5c
b14237 b9a09a e3d4c6 24b112 0aec39 bfafff 9b7ae8 8b21d7 b26a91 804463
ef9803 e5e27c 4b6300 98cebc 0aecf8 4baae1 2170eb 9f2c8e f10947 b97485
7f4942 d0c923 979c66 4c8502 0aeea0 89b3c0 d3defc 695d73 e172fa c90cdd
ce5e3b cecc46 9cac86 b4eeb3 0aeffb 70a4b1 515e6d 7d19fd 9453b9 d571fc
b08177 d6c970 3daf05 297b1f b2eacf 0af2ff 9ca0cc 7462f8 636269 7d3f94
dfdbd9 378a12 0af468 13b97b bdd8fe 0d60d9 68667c ba8cfa d595b8 9f2149
906000 0af476 bdddec 2e7adf 4c5f89 86a5ee 907f96 9a2841 d99faa e9465d
944c3a 9c7e02 fadc28 c2ac1e 849782 a2dfa0 0af6f4 53abd7 2b78aa 665964
b47a35 765c38 7ebc91 0af768 d3e0eb 4c7acc 8e91a1 7512f2 cba1e5 a83570
c03304 cf860b d0d32c 717f63 0af7c0 9da5da 5b64f9 950799 7f5c76 ac9aa1
a16c4b 9fa218 0af859 7a9d8f bec7c4 2c8188 a76cf1 8030d8 d68ed3 a30b50
f0cebc d69b61 936101 0af90d 2e8971 94a0ad b4cdef 635e79 9d78ca 8708c3
9e6e58 ec7419 fcbc0f cad4b3 466506 0afafd 4c999f 8f33e3 dd83fc a3236d
c0b199 b58502 526831 a6dc65 0afbdb 288e86 7441fe 8b25a0 fe6ec1 ed1870
926d6b e13411 0afc2a 92be99 8e89a6 8428d6 dd43f4 f7a0eb 8b3277 e3dadb
6d524b a8470f ecd16d 8ba42e b5c8b6 47925f 0afcfd 7ab6cb 5f5c77 ab2bdd
efa17b b2e803 426a05 65991d 0afdd1 3568f3 d3bbe4 a67fbd a7229b db2a75
e7602a cac09a 78766c 8cf047 0bc6c5 0afdff 8f8ef6 9836ea 993a7b ab0022
a53c1f bd8f4d ced705 686c62 a8e7b2 7a9c95 0afdff 37bdea 6868f0 945796
c15f22 ed9212 7eb077 0afe81 32aae0 414ff3 5c5393 9b919d cfc3c6 86686a
8e991e bfcc4b 23b880 0afec3 b6dbea 97a7c0 395ba9 6e71fe 7e6578 b11f48
f77f50 b4cfa9 0aff0f 68abaa 3a49df 5e5e86 9579f2 dca9f4 c40033 987275
b86757 296b00 9bbc9f 14c940 0aff7f d8dfe2 3271de 928795 d2a9d8 ac0284
715151 cbcd2f 687700 a7eaaf 7fa288 0afff3 129fa7 396c8d b636fa e792f1
e4da65 7c821b 3effd1 158a71 add2ed 575f76 0b44ff be97ff bc50be f771aa
ac3c2b 97837a e1bb9f c17a0f 99e82a 55affc 0b4bf8 b1b2c0 736abc 725868
c78180 f9b6ab 478c28 22e223 0b4ef9 9696ef 7162af d7cee1 9e89a5 ae0971
f7b352 5f8220 72ae84 9de1c6 0b51f8 dcd7ff b099ff 644b95 df63b5 90556e
c7da18 507b02 14b319 5ff3cd 0b53ec b7c4ff 8c6db9 b49ab7 ad516f fe7e8b
9b670d c1aa27 e0e295 848e7f 566a4d 8bc2b6 0fe1f4 308bd6 0b55d1 744f83
805623 b1921d afdc02 46fea6 34c69c 0b57d1 5582e5 929cb9 646778 eabffc
e7d9d2 cfa68e 8f6716 68af08 48ea1d 38745f 3c91f9 0b58f0 b8b7db 7974a1
904d4d c87b6e cd4905 66d545 4f89d8 0b5ac9 bdb7ff 766a89 e7d3e9 aea2aa
e2b190 4ab70a bfddea 1793fb 0b5cd9 707497 a5a6b5 60575e cb0d2a a9767a
aa463b f23902 f3955c dcd6cf 87ff17 9ba398 68838c 0b5dc2 a5beed bb7afe
bb5f57 9b2c17 bda706 a6cdb7 13f67c 8e999a 0f9dd7 0b5ef1 e4d2f8 87628e
bc695a f66306 bedc36 8fd4ac 489f96 0b60c2 74597d d585e7 fdbff9 9f2031
c19561 ffab14 d7d49d 72756f 247f0d cae0e7 90befb 0b60de 6f8aed 951c91
cb642e e39f1c 80eb97 a8bcb4 2c92fa 0b62cf 7e8086 dcb0f4 893b80 be044e
93441c e0c917 9b9f34 6ef59f 21a485 495e61 0b67f7 cacfeb 777da4 949cfb
bdd02b 80847d 57a64f 296f37 72fab6 a0c1c7 0b67ff 5f5764 e184f4 9834a8
bfac85 5da001 46632d 56eb2e 22b0fd 0b68fb d7d3e2 a622aa 73556c e767b1
f0830f bdee52 71996b 4c6a58 93d0fc 5e9bf6 0b69fd d413a0 c6b4b8 a70a11
bc7a78 f0d612 989a1c abca7d 0b6b32 adeed2 68c4e8 668096 448df6 8431c2
be2709 bbab99 cf832d cde968 0b6c54 61b3c2 7de6fb 997bf9 7052b0 906f87
b7cda2 7ffa2a 15b14f 0b6d3c 665af9 aa10a4 f86adc edbbdf 7c516b 938b8d
914412 cc7806 d2d604 54ca6f 3a7759 58f4f3 0b6dea 9e9ba9 cd89e9 9a5e90
